year,region_type,region_year_spec,region_id,region_level,arxiv_count
524,2010,NUTS,2010,NL,0,1871
525,2010,NUTS,2010,NL1,1,123
526,2010,NUTS,2010,NL11,2,79
527,2010,NUTS,2010,NL113,3,79
528,2010,NUTS,2010,NL13,2,44
529,2010,NUTS,2010,NL133,3,44
530,2010,NUTS,2010,NL2,1,396
531,2010,NUTS,2010,NL21,2,27
532,2010,NUTS,2010,NL213,3,27
533,2010,NUTS,2010,NL22,2,369
534,2010,NUTS,2010,NL221,3,1
535,2010,NUTS,2010,NL226,3,368
536,2010,NUTS,2010,NL3,1,1251
537,2010,NUTS,2010,NL31,2,293
538,2010,NUTS,2010,NL310,3,293
539,2010,NUTS,2010,NL32,2,416
540,2010,NUTS,2010,NL326,3,416
541,2010,NUTS,2010,NL33,2,542
542,2010,NUTS,2010,NL332,3,5
543,2010,NUTS,2010,NL333,3,100
544,2010,NUTS,2010,NL337,3,434
545,2010,NUTS,2010,NL339,3,3
546,2010,NUTS,2010,NL4,1,101
547,2010,NUTS,2010,NL41,2,95
548,2010,NUTS,2010,NL412,3,3
549,2010,NUTS,2010,NL414,3,92
550,2010,NUTS,2010,NL42,2,6
551,2010,NUTS,2010,NL423,3,6
552,2010,NUTS,2010,NO,0,342
553,2010,NUTS,2010,NO0,1,342
554,2010,NUTS,2010,NO01,2,135
555,2010,NUTS,2010,NO011,3,131
556,2010,NUTS,2010,NO012,3,4
557,2010,NUTS,2010,NO04,2,7
558,2010,NUTS,2010,NO042,3,1
559,2010,NUTS,2010,NO043,3,6
560,2010,NUTS,2010,NO05,2,67
561,2010,NUTS,2010,NO051,3,67
562,2010,NUTS,2010,NO06,2,133
563,2010,NUTS,2010,NO061,3,133
564,2010,NUTS,2010,PL,0,1145
565,2010,NUTS,2010,PL1,1,622
566,2010,NUTS,2010,PL11,2,89
567,2010,NUTS,2010,PL113,3,89
568,2010,NUTS,2010,PL12,2,533
569,2010,NUTS,2010,PL127,3,533
570,2010,NUTS,2010,PL2,1,242
571,2010,NUTS,2010,PL21,2,206
572,2010,NUTS,2010,PL213,3,206
