year,region_type,region_year_spec,region_id,region_level,detection_sequencing_lq
331,2020,NUTS,2016,ITI3,2,0.0
332,2020,NUTS,2016,ITI4,2,0.73
333,2020,NUTS,2016,LI00,2,0.0
334,2020,NUTS,2016,LT01,2,16.97
335,2020,NUTS,2016,LT02,2,0.0
336,2020,NUTS,2016,LU00,2,0.0
337,2020,NUTS,2016,LV00,2,0.0
338,2020,NUTS,2016,ME00,2,0.0
339,2020,NUTS,2016,MK00,2,0.0
340,2020,NUTS,2016,MT00,2,0.0
341,2020,NUTS,2016,NL11,2,0.0
342,2020,NUTS,2016,NL12,2,0.0
343,2020,NUTS,2016,NL13,2,0.0
344,2020,NUTS,2016,NL21,2,0.0
345,2020,NUTS,2016,NL22,2,0.0
346,2020,NUTS,2016,NL23,2,0.0
347,2020,NUTS,2016,NL31,2,3.36
348,2020,NUTS,2016,NL32,2,0.0
349,2020,NUTS,2016,NL33,2,1.05
350,2020,NUTS,2016,NL41,2,0.0
351,2020,NUTS,2016,NL42,2,2.07
352,2020,NUTS,2016,NO01,2,0.99
353,2020,NUTS,2016,NO02,2,0.0
354,2020,NUTS,2016,NO03,2,0.0
355,2020,NUTS,2016,NO04,2,14.57
356,2020,NUTS,2016,NO05,2,0.0
357,2020,NUTS,2016,NO06,2,3.13
358,2020,NUTS,2016,NO07,2,0.0
359,2020,NUTS,2016,PL21,2,5.48
360,2020,NUTS,2016,PL22,2,0.0
361,2020,NUTS,2016,PL41,2,0.0
362,2020,NUTS,2016,PL42,2,0.0
363,2020,NUTS,2016,PL43,2,0.0
364,2020,NUTS,2016,PL51,2,0.0
365,2020,NUTS,2016,PL52,2,0.0
366,2020,NUTS,2016,PL61,2,0.0
367,2020,NUTS,2016,PL62,2,0.0
368,2020,NUTS,2016,PL63,2,0.0
369,2020,NUTS,2016,PL71,2,0.0
370,2020,NUTS,2016,PL72,2,0.0
371,2020,NUTS,2016,PL81,2,0.0
372,2020,NUTS,2016,PL82,2,0.0
373,2020,NUTS,2016,PL84,2,0.0
374,2020,NUTS,2016,PL91,2,0.0
375,2020,NUTS,2016,PL92,2,0.0
376,2020,NUTS,2016,PT11,2,0.0
377,2020,NUTS,2016,PT16,2,0.0
378,2020,NUTS,2016,PT17,2,0.0
379,2020,NUTS,2016,PT20,2,0.0
380,2020,NUTS,2016,PT30,2,0.0
381,2020,NUTS,2016,RO11,2,0.0
382,2020,NUTS,2016,RO12,2,0.0
383,2020,NUTS,2016,RO21,2,0.0
384,2020,NUTS,2016,RO31,2,0.0
385,2020,NUTS,2016,RO32,2,4.4
386,2020,NUTS,2016,RO41,2,0.0
387,2020,NUTS,2016,RO42,2,0.0
388,2020,NUTS,2016,RS11,2,0.0
389,2020,NUTS,2016,RS12,2,0.0
390,2020,NUTS,2016,RS21,2,0.0
391,2020,NUTS,2016,RS22,2,0.0
392,2020,NUTS,2016,SE11,2,1.0
393,2020,NUTS,2016,SE12,2,0.0
394,2020,NUTS,2016,SE21,2,0.0
395,2020,NUTS,2016,SE22,2,2.04
396,2020,NUTS,2016,SE23,2,0.0
397,2020,NUTS,2016,SE31,2,0.0
398,2020,NUTS,2016,SE32,2,0.0
399,2020,NUTS,2016,SE33,2,0.0
400,2020,NUTS,2016,SI03,2,0.0
401,2020,NUTS,2016,SI04,2,3.31
402,2020,NUTS,2016,SK01,2,0.0
403,2020,NUTS,2016,SK02,2,0.0
404,2020,NUTS,2016,SK03,2,0.0
405,2020,NUTS,2016,SK04,2,0.0
406,2020,NUTS,2016,TR10,2,5.88
407,2020,NUTS,2016,TR21,2,0.0
408,2020,NUTS,2016,TR22,2,0.0
409,2020,NUTS,2016,TR31,2,0.0
410,2020,NUTS,2016,TR32,2,0.0
411,2020,NUTS,2016,TR33,2,0.0
412,2020,NUTS,2016,TR41,2,0.0
413,2020,NUTS,2016,TR42,2,0.0
414,2020,NUTS,2016,TR51,2,0.0
415,2020,NUTS,2016,TR52,2,0.0
416,2020,NUTS,2016,TR61,2,0.0
417,2020,NUTS,2016,TR62,2,0.0
418,2020,NUTS,2016,TR63,2,0.0
419,2020,NUTS,2016,TR71,2,0.0
420,2020,NUTS,2016,TR72,2,11.13
421,2020,NUTS,2016,TR81,2,0.0
422,2020,NUTS,2016,TR82,2,0.0
423,2020,NUTS,2016,TR83,2,0.0
424,2020,NUTS,2016,TR90,2,0.0
425,2020,NUTS,2016,TRA1,2,0.0
426,2020,NUTS,2016,TRA2,2,49.69
427,2020,NUTS,2016,TRB1,2,0.0
428,2020,NUTS,2016,TRB2,2,0.0
429,2020,NUTS,2016,TRC1,2,0.0
430,2020,NUTS,2016,TRC2,2,0.0
431,2020,NUTS,2016,TRC3,2,0.0
432,2020,NUTS,2016,UKC1,2,0.0
433,2020,NUTS,2016,UKC2,2,0.0
434,2020,NUTS,2016,UKD1,2,0.0
435,2020,NUTS,2016,UKD3,2,1.21
436,2020,NUTS,2016,UKD4,2,2.7
437,2020,NUTS,2016,UKD6,2,28.99
438,2020,NUTS,2016,UKD7,2,0.75
439,2020,NUTS,2016,UKE1,2,0.0
440,2020,NUTS,2016,UKE2,2,0.0
441,2020,NUTS,2016,UKE3,2,1.54
442,2020,NUTS,2016,UKE4,2,0.0
443,2020,NUTS,2016,UKF1,2,0.0
444,2020,NUTS,2016,UKF2,2,0.0
445,2020,NUTS,2016,UKF3,2,0.0
446,2020,NUTS,2016,UKG1,2,1.49
447,2020,NUTS,2016,UKG2,2,0.0
448,2020,NUTS,2016,UKG3,2,2.6
449,2020,NUTS,2016,UKH1,2,0.0
450,2020,NUTS,2016,UKH2,2,4.23
451,2020,NUTS,2016,UKH3,2,0.0
452,2020,NUTS,2016,UKI3,2,1.27
453,2020,NUTS,2016,UKI4,2,0.71
454,2020,NUTS,2016,UKI5,2,0.0
455,2020,NUTS,2016,UKI6,2,0.0
456,2020,NUTS,2016,UKI7,2,0.0
457,2020,NUTS,2016,UKJ1,2,0.48
458,2020,NUTS,2016,UKJ2,2,2.16
459,2020,NUTS,2016,UKJ3,2,0.0
460,2020,NUTS,2016,UKJ4,2,0.0
461,2020,NUTS,2016,UKK1,2,1.34
462,2020,NUTS,2016,UKK2,2,0.0
463,2020,NUTS,2016,UKK3,2,0.0
464,2020,NUTS,2016,UKK4,2,1.72
465,2020,NUTS,2016,UKL1,2,0.0
466,2020,NUTS,2016,UKL2,2,1.25
467,2020,NUTS,2016,UKM5,2,0.0
468,2020,NUTS,2016,UKM6,2,0.0
469,2020,NUTS,2016,UKM7,2,1.4
470,2020,NUTS,2016,UKM8,2,0.86
471,2020,NUTS,2016,UKM9,2,0.0
472,2020,NUTS,2016,UKN0,2,0.0
473,2020,NUTS,2016,AL021,3,0.0
474,2020,NUTS,2016,AL022,3,0.0
475,2020,NUTS,2016,AL035,3,0.0
476,2020,NUTS,2016,AT123,3,0.0
477,2020,NUTS,2016,AT124,3,0.0
478,2020,NUTS,2016,AT126,3,0.0
479,2020,NUTS,2016,AT127,3,0.0
480,2020,NUTS,2016,AT130,3,0.7
481,2020,NUTS,2016,AT211,3,0.0
482,2020,NUTS,2016,AT221,3,0.0
483,2020,NUTS,2016,AT312,3,0.0
484,2020,NUTS,2016,AT323,3,0.0
485,2020,NUTS,2016,AT332,3,0.0
486,2020,NUTS,2016,BE100,3,0.0
487,2020,NUTS,2016,BE211,3,0.0
488,2020,NUTS,2016,BE212,3,0.0
489,2020,NUTS,2016,BE213,3,0.0
490,2020,NUTS,2016,BE221,3,0.0
491,2020,NUTS,2016,BE234,3,1.65
492,2020,NUTS,2016,BE241,3,0.0
