,year,nuts_id,nuts_year_spec,deep_learning_count
203,2013.0,UKJ,2016,2
204,2013.0,UKK,2016,2
205,2013.0,UKM,2016,2
206,2014.0,AT1,2016,7
207,2014.0,AT2,2016,1
208,2014.0,AT3,2016,1
209,2014.0,BE2,2016,1
210,2014.0,BE3,2016,1
211,2014.0,CH0,2016,7
212,2014.0,CZ0,2016,3
213,2014.0,DE1,2016,4
214,2014.0,DE2,2016,9
215,2014.0,DE5,2016,2
216,2014.0,DE6,2016,1
217,2014.0,DE7,2016,1
218,2014.0,DE9,2016,1
219,2014.0,DEA,2016,2
220,2014.0,DEB,2016,1
221,2014.0,DED,2016,1
222,2014.0,DK0,2016,2
223,2014.0,EL4,2016,1
224,2014.0,ES3,2016,3
225,2014.0,ES4,2016,1
226,2014.0,ES5,2016,1
227,2014.0,ES6,2016,1
228,2014.0,FI1,2016,2
229,2014.0,FR1,2016,11
230,2014.0,FRB,2016,1
231,2014.0,FRG,2016,1
232,2014.0,FRK,2016,1
233,2014.0,HU1,2016,2
234,2014.0,HU3,2016,1
235,2014.0,ITG,2016,3
236,2014.0,ITH,2016,2
237,2014.0,ITI,2016,17
238,2014.0,NL2,2016,2
239,2014.0,NL3,2016,3
240,2014.0,NL4,2016,1
241,2014.0,PL2,2016,1
242,2014.0,PL7,2016,1
243,2014.0,PL9,2016,2
244,2014.0,PT1,2016,4
245,2014.0,RS1,2016,1
246,2014.0,SE1,2016,4
247,2014.0,SI0,2016,1
248,2014.0,TR5,2016,2
249,2014.0,UKC,2016,1
250,2014.0,UKD,2016,2
251,2014.0,UKF,2016,1
252,2014.0,UKG,2016,1
253,2014.0,UKH,2016,2
254,2014.0,UKI,2016,2
255,2014.0,UKJ,2016,16
256,2014.0,UKK,2016,1
257,2014.0,UKM,2016,3
258,2014.0,UKN,2016,1
259,2015.0,AT1,2016,3
260,2015.0,AT2,2016,1
261,2015.0,AT3,2016,4
262,2015.0,BE1,2016,1
263,2015.0,BE2,2016,6
264,2015.0,BE3,2016,1
265,2015.0,BG4,2016,1
266,2015.0,CH0,2016,16
267,2015.0,CZ0,2016,12
268,2015.0,DE1,2016,12
269,2015.0,DE2,2016,13
270,2015.0,DE3,2016,8
271,2015.0,DE5,2016,3
272,2015.0,DEA,2016,3
273,2015.0,DEB,2016,1
274,2015.0,DEC,2016,1
275,2015.0,DED,2016,6
276,2015.0,DK0,2016,6
277,2015.0,ES1,2016,1
278,2015.0,ES3,2016,1
279,2015.0,ES5,2016,9
280,2015.0,ES6,2016,5
281,2015.0,FI1,2016,5
282,2015.0,FR1,2016,24
283,2015.0,FRF,2016,1
284,2015.0,FRH,2016,3
285,2015.0,HU1,2016,1
286,2015.0,ITC,2016,11
287,2015.0,ITF,2016,2
288,2015.0,ITG,2016,1
289,2015.0,ITH,2016,4
290,2015.0,ITI,2016,10
291,2015.0,NL2,2016,6
292,2015.0,NL3,2016,4
293,2015.0,NL4,2016,1
294,2015.0,NO0,2016,1
295,2015.0,PL2,2016,1
296,2015.0,PL4,2016,1
297,2015.0,PL5,2016,2
298,2015.0,PL9,2016,2
299,2015.0,RO3,2016,2
300,2015.0,SE1,2016,3
301,2015.0,SE3,2016,1
302,2015.0,SI0,2016,4
303,2015.0,TR5,2016,2
304,2015.0,UKD,2016,3
305,2015.0,UKE,2016,3
306,2015.0,UKG,2016,2
307,2015.0,UKH,2016,15
308,2015.0,UKI,2016,9
309,2015.0,UKJ,2016,18
310,2015.0,UKK,2016,2
311,2015.0,UKL,2016,2
312,2015.0,UKM,2016,5
313,2016.0,AT1,2016,4
314,2016.0,AT2,2016,4
315,2016.0,AT3,2016,3
316,2016.0,BE1,2016,1
317,2016.0,BE2,2016,5
318,2016.0,CH0,2016,55
319,2016.0,CY0,2016,1
320,2016.0,CZ0,2016,15
321,2016.0,DE1,2016,15
322,2016.0,DE2,2016,31
323,2016.0,DE3,2016,10
324,2016.0,DE4,2016,2
325,2016.0,DE5,2016,1
326,2016.0,DEA,2016,11
327,2016.0,DEB,2016,3
328,2016.0,DEC,2016,2
329,2016.0,DED,2016,8
330,2016.0,DEE,2016,1
331,2016.0,DEF,2016,3
332,2016.0,DK0,2016,5
333,2016.0,EE0,2016,3
334,2016.0,EL5,2016,1
335,2016.0,ES1,2016,1
336,2016.0,ES2,2016,1
337,2016.0,ES3,2016,6
338,2016.0,ES5,2016,10
339,2016.0,ES6,2016,6
340,2016.0,ES7,2016,1
341,2016.0,FI1,2016,11
342,2016.0,FR1,2016,48
343,2016.0,FRC,2016,1
344,2016.0,FRE,2016,1
345,2016.0,FRF,2016,1
346,2016.0,FRG,2016,1
347,2016.0,FRH,2016,2
348,2016.0,FRI,2016,1
349,2016.0,FRJ,2016,2
350,2016.0,FRK,2016,3
351,2016.0,FRL,2016,1
352,2016.0,HU1,2016,1
353,2016.0,HU3,2016,2
354,2016.0,IE0,2016,8
355,2016.0,IS0,2016,1
356,2016.0,ITC,2016,14
357,2016.0,ITF,2016,4
358,2016.0,ITH,2016,9
359,2016.0,ITI,2016,27
360,2016.0,LU0,2016,4
361,2016.0,NL1,2016,1
362,2016.0,NL2,2016,16
363,2016.0,NL3,2016,16
364,2016.0,NL4,2016,8
365,2016.0,NO0,2016,1
366,2016.0,PL2,2016,3
367,2016.0,PL4,2016,2
368,2016.0,PL5,2016,3
369,2016.0,PL7,2016,2
370,2016.0,PL9,2016,3
371,2016.0,PT1,2016,4
372,2016.0,RS1,2016,2
373,2016.0,SE1,2016,6
374,2016.0,SI0,2016,2
375,2016.0,TR1,2016,3
376,2016.0,TR5,2016,4
377,2016.0,UKC,2016,1
378,2016.0,UKD,2016,3
379,2016.0,UKE,2016,2
