,year,nuts_id,nuts_year_spec,cord_count
791,2007.0,UKJ2,2016,6
792,2007.0,UKJ3,2016,5
793,2007.0,UKJ4,2016,1
794,2007.0,UKK1,2016,19
795,2007.0,UKK4,2016,2
796,2007.0,UKL1,2016,3
797,2007.0,UKL2,2016,7
798,2007.0,UKM5,2016,3
799,2007.0,UKM7,2016,11
800,2007.0,UKM8,2016,10
801,2007.0,UKN0,2016,7
802,2008.0,AT13,2016,25
803,2008.0,AT22,2016,2
804,2008.0,AT32,2016,1
805,2008.0,AT33,2016,2
806,2008.0,BE10,2016,5
807,2008.0,BE21,2016,6
808,2008.0,BE22,2016,1
809,2008.0,BE23,2016,11
810,2008.0,BE24,2016,11
811,2008.0,BE31,2016,2
812,2008.0,BE33,2016,1
813,2008.0,BE35,2016,1
814,2008.0,BG41,2016,1
815,2008.0,CH01,2016,16
816,2008.0,CH02,2016,5
817,2008.0,CH03,2016,4
818,2008.0,CH04,2016,17
819,2008.0,CH05,2016,6
820,2008.0,CZ01,2016,6
821,2008.0,CZ02,2016,2
822,2008.0,CZ05,2016,1
823,2008.0,CZ06,2016,4
824,2008.0,DE11,2016,1
825,2008.0,DE12,2016,5
826,2008.0,DE13,2016,9
827,2008.0,DE14,2016,4
828,2008.0,DE21,2016,20
829,2008.0,DE23,2016,4
830,2008.0,DE25,2016,2
831,2008.0,DE26,2016,5
832,2008.0,DE30,2016,21
833,2008.0,DE50,2016,1
834,2008.0,DE60,2016,6
835,2008.0,DE71,2016,5
836,2008.0,DE72,2016,10
837,2008.0,DE73,2016,2
838,2008.0,DE80,2016,3
839,2008.0,DE91,2016,6
840,2008.0,DE92,2016,6
841,2008.0,DEA1,2016,1
842,2008.0,DEA2,2016,11
843,2008.0,DEA3,2016,2
844,2008.0,DEA4,2016,2
