,year,region_type,region_year_spec,region_id,region_level,policy_fund_amount
442,2015,NUTS,2013,ITC33,3,691993.25
443,2015,NUTS,2013,ITC4,2,2078903.75
444,2015,NUTS,2013,ITC41,3,108000.0
445,2015,NUTS,2013,ITC4C,3,1970903.75
446,2015,NUTS,2013,ITF,1,918899.29
447,2015,NUTS,2013,ITF3,2,579344.29
448,2015,NUTS,2013,ITF35,3,579344.29
449,2015,NUTS,2013,ITF4,2,207875.0
450,2015,NUTS,2013,ITF45,3,96000.0
451,2015,NUTS,2013,ITF47,3,111875.0
452,2015,NUTS,2013,ITF6,2,131680.0
453,2015,NUTS,2013,ITF61,3,131680.0
454,2015,NUTS,2013,ITG,1,221840.63
455,2015,NUTS,2013,ITG1,2,221840.63
456,2015,NUTS,2013,ITG12,3,221840.63
457,2015,NUTS,2013,ITH,1,3518689.87
458,2015,NUTS,2013,ITH1,2,180498.75
459,2015,NUTS,2013,ITH10,3,180498.75
460,2015,NUTS,2013,ITH2,2,1322089.5
461,2015,NUTS,2013,ITH20,3,1322089.5
462,2015,NUTS,2013,ITH3,2,592658.47
463,2015,NUTS,2013,ITH31,3,592658.47
464,2015,NUTS,2013,ITH5,2,1423443.15
465,2015,NUTS,2013,ITH53,3,51957.4
466,2015,NUTS,2013,ITH55,3,1057836.75
467,2015,NUTS,2013,ITH56,3,199320.0
468,2015,NUTS,2013,ITH58,3,114329.0
469,2015,NUTS,2013,ITI,1,26496615.97
470,2015,NUTS,2013,ITI1,2,6037537.41
471,2015,NUTS,2013,ITI14,3,1752110.0
472,2015,NUTS,2013,ITI15,3,2726139.91
473,2015,NUTS,2013,ITI17,3,1559287.5
474,2015,NUTS,2013,ITI4,2,20459078.56
475,2015,NUTS,2013,ITI41,3,163000.0
476,2015,NUTS,2013,ITI43,3,20296078.56
477,2015,NUTS,2013,LT,0,596305.16
478,2015,NUTS,2013,LT0,1,596305.16
479,2015,NUTS,2013,LT00,2,596305.16
480,2015,NUTS,2013,LT002,3,176896.25
481,2015,NUTS,2013,LT003,3,219725.0
482,2015,NUTS,2013,LT00A,3,199683.91
483,2015,NUTS,2013,LU,0,5176382.79
484,2015,NUTS,2013,LU0,1,5176382.79
485,2015,NUTS,2013,LU00,2,5176382.79
486,2015,NUTS,2013,LU000,3,5176382.79
487,2015,NUTS,2013,LV,0,762577.15
488,2015,NUTS,2013,LV0,1,762577.15
489,2015,NUTS,2013,LV00,2,762577.15
490,2015,NUTS,2013,LV006,3,709873.4
491,2015,NUTS,2013,LV007,3,52703.75
492,2015,NUTS,2013,MT,0,101625.0
493,2015,NUTS,2013,MT0,1,101625.0
494,2015,NUTS,2013,MT00,2,101625.0
495,2015,NUTS,2013,MT001,3,101625.0
496,2015,NUTS,2013,NL,0,45134887.42
497,2015,NUTS,2013,NL1,1,1189562.0
498,2015,NUTS,2013,NL11,2,185627.0
499,2015,NUTS,2013,NL113,3,185627.0
500,2015,NUTS,2013,NL13,2,1003935.0
501,2015,NUTS,2013,NL131,3,1003935.0
