,year,region_type,region_year_spec,region_id,region_level,products_proj_spec
447,2015,NUTS,2013,FR421,3,1.02
448,2015,NUTS,2013,FR431,3,3.05
449,2015,NUTS,2013,FR512,3,3.05
450,2015,NUTS,2013,FR515,3,6.11
451,2015,NUTS,2013,FR534,3,6.11
452,2015,NUTS,2013,FR612,3,4.07
453,2015,NUTS,2013,FR615,3,6.11
454,2015,NUTS,2013,FR623,3,1.02
455,2015,NUTS,2013,FR714,3,1.41
456,2015,NUTS,2013,FR716,3,1.41
457,2015,NUTS,2013,FR718,3,1.53
458,2015,NUTS,2013,FR824,3,0.87
459,2015,NUTS,2013,HU101,3,0.46
460,2015,NUTS,2013,HU102,3,2.44
461,2015,NUTS,2013,IE013,3,0.56
462,2015,NUTS,2013,IE021,3,0.63
463,2015,NUTS,2013,IE025,3,2.04
464,2015,NUTS,2013,ITC11,3,1.57
465,2015,NUTS,2013,ITC16,3,3.05
466,2015,NUTS,2013,ITC18,3,3.05
467,2015,NUTS,2013,ITC33,3,3.59
468,2015,NUTS,2013,ITC41,3,1.53
469,2015,NUTS,2013,ITC42,3,4.07
470,2015,NUTS,2013,ITC43,3,6.11
471,2015,NUTS,2013,ITC46,3,6.11
472,2015,NUTS,2013,ITC47,3,4.07
473,2015,NUTS,2013,ITC48,3,6.11
474,2015,NUTS,2013,ITC4C,3,0.94
475,2015,NUTS,2013,ITF14,3,2.04
476,2015,NUTS,2013,ITF33,3,1.02
477,2015,NUTS,2013,ITF45,3,3.05
478,2015,NUTS,2013,ITG12,3,0.87
479,2015,NUTS,2013,ITG27,3,6.11
480,2015,NUTS,2013,ITH10,3,3.05
481,2015,NUTS,2013,ITH32,3,6.11
482,2015,NUTS,2013,ITH34,3,6.11
483,2015,NUTS,2013,ITH36,3,2.62
484,2015,NUTS,2013,ITH44,3,3.05
485,2015,NUTS,2013,ITH53,3,4.89
486,2015,NUTS,2013,ITH55,3,1.83
487,2015,NUTS,2013,ITH56,3,2.04
488,2015,NUTS,2013,ITH57,3,6.11
489,2015,NUTS,2013,ITH59,3,6.11
490,2015,NUTS,2013,ITI14,3,0.38
491,2015,NUTS,2013,ITI17,3,0.51
492,2015,NUTS,2013,ITI43,3,0.44
493,2015,NUTS,2013,ITI44,3,6.11
494,2015,NUTS,2013,LT003,3,3.05
495,2015,NUTS,2013,LT00A,3,1.15
496,2015,NUTS,2013,LU000,3,0.57
497,2015,NUTS,2013,LV006,3,0.29
498,2015,NUTS,2013,NL121,3,2.04
499,2015,NUTS,2013,NL131,3,2.04
500,2015,NUTS,2013,NL213,3,1.63
501,2015,NUTS,2013,NL221,3,0.72
502,2015,NUTS,2013,NL226,3,0.72
503,2015,NUTS,2013,NL310,3,0.8
504,2015,NUTS,2013,NL323,3,6.11
505,2015,NUTS,2013,NL326,3,0.43
506,2015,NUTS,2013,NL327,3,1.53
507,2015,NUTS,2013,NL332,3,1.07
508,2015,NUTS,2013,NL333,3,1.71
509,2015,NUTS,2013,NL337,3,0.23
510,2015,NUTS,2013,NL339,3,0.23
511,2015,NUTS,2013,NL413,3,2.04
512,2015,NUTS,2013,NL414,3,2.14
513,2015,NUTS,2013,NL423,3,1.91
514,2015,NUTS,2013,PL127,3,0.23
515,2015,NUTS,2013,PL129,3,6.11
516,2015,NUTS,2013,PL12A,3,6.11
517,2015,NUTS,2013,PL229,3,6.11
518,2015,NUTS,2013,PL22A,3,6.11
519,2015,NUTS,2013,PL514,3,3.05
520,2015,NUTS,2013,PT11A,3,1.22
521,2015,NUTS,2013,PT16D,3,1.36
522,2015,NUTS,2013,PT170,3,0.1
523,2015,NUTS,2013,RO215,3,6.11
524,2015,NUTS,2013,RO321,3,1.53
525,2015,NUTS,2013,RO413,3,6.11
526,2015,NUTS,2013,SE110,3,1.08
527,2015,NUTS,2013,SE123,3,1.22
528,2015,NUTS,2013,SE125,3,6.11
529,2015,NUTS,2013,SE224,3,0.36
530,2015,NUTS,2013,SE232,3,1.67
531,2015,NUTS,2013,SE331,3,6.11
532,2015,NUTS,2013,SE332,3,1.53
533,2015,NUTS,2013,SI032,3,2.04
534,2015,NUTS,2013,SI035,3,6.11
535,2015,NUTS,2013,SI041,3,0.75
536,2015,NUTS,2013,SI042,3,6.11
537,2015,NUTS,2013,SI043,3,6.11
538,2015,NUTS,2013,UKC12,3,6.11
539,2015,NUTS,2013,UKC22,3,3.05
540,2015,NUTS,2013,UKD33,3,0.31
541,2015,NUTS,2013,UKD34,3,2.04
542,2015,NUTS,2013,UKE31,3,6.11
543,2015,NUTS,2013,UKE42,3,1.88
544,2015,NUTS,2013,UKF14,3,0.56
545,2015,NUTS,2013,UKF22,3,3.49
546,2015,NUTS,2013,UKG31,3,1.36
547,2015,NUTS,2013,UKG37,3,6.11
548,2015,NUTS,2013,UKH11,3,6.11
549,2015,NUTS,2013,UKI32,3,0.41
550,2015,NUTS,2013,UKI42,3,2.04
551,2015,NUTS,2013,UKI52,3,3.05
552,2015,NUTS,2013,UKI74,3,3.05
553,2015,NUTS,2013,UKI75,3,1.53
554,2015,NUTS,2013,UKJ11,3,2.04
555,2015,NUTS,2013,UKK12,3,3.05
556,2015,NUTS,2013,UKK13,3,3.05
557,2015,NUTS,2013,UKL17,3,6.11
558,2015,NUTS,2013,UKL21,3,6.11
559,2015,NUTS,2013,UKM34,3,1.36
560,2016,NUTS,2016,AT,0,1.57
561,2016,NUTS,2016,BE,0,1.03
562,2016,NUTS,2016,CY,0,2.81
563,2016,NUTS,2016,CZ,0,1.5
564,2016,NUTS,2016,DE,0,1.24
565,2016,NUTS,2016,DK,0,0.75
