,year,region_type,region_year_spec,region_id,region_level,products_fund_spec
272,2015,NUTS,2013,ITH3,2,2.66
273,2015,NUTS,2013,ITH4,2,4.06
274,2015,NUTS,2013,ITH5,2,2.29
275,2015,NUTS,2013,ITI1,2,0.18
276,2015,NUTS,2013,ITI4,2,0.67
277,2015,NUTS,2013,LT00,2,2.77
278,2015,NUTS,2013,LU00,2,0.45
279,2015,NUTS,2013,LV00,2,0.88
280,2015,NUTS,2013,NL12,2,3.06
281,2015,NUTS,2013,NL13,2,1.28
282,2015,NUTS,2013,NL21,2,0.65
283,2015,NUTS,2013,NL22,2,0.38
284,2015,NUTS,2013,NL31,2,0.59
285,2015,NUTS,2013,NL32,2,0.52
286,2015,NUTS,2013,NL33,2,1.03
287,2015,NUTS,2013,NL41,2,1.8
288,2015,NUTS,2013,NL42,2,0.97
289,2015,NUTS,2013,PL12,2,1.3
290,2015,NUTS,2013,PL22,2,6.25
291,2015,NUTS,2013,PL51,2,5.2
292,2015,NUTS,2013,PT11,2,1.21
293,2015,NUTS,2013,PT16,2,1.69
294,2015,NUTS,2013,PT17,2,0.02
295,2015,NUTS,2013,RO21,2,2.42
296,2015,NUTS,2013,RO32,2,0.64
297,2015,NUTS,2013,RO41,2,6.25
298,2015,NUTS,2013,SE11,2,1.2
299,2015,NUTS,2013,SE12,2,0.5
300,2015,NUTS,2013,SE22,2,0.42
301,2015,NUTS,2013,SE23,2,3.46
302,2015,NUTS,2013,SE33,2,1.44
303,2015,NUTS,2013,SI03,2,4.83
304,2015,NUTS,2013,SI04,2,1.47
305,2015,NUTS,2013,UKC1,2,6.25
306,2015,NUTS,2013,UKC2,2,3.78
307,2015,NUTS,2013,UKD3,2,0.16
308,2015,NUTS,2013,UKE3,2,4.98
309,2015,NUTS,2013,UKE4,2,1.55
310,2015,NUTS,2013,UKF1,2,0.48
311,2015,NUTS,2013,UKF2,2,4.48
312,2015,NUTS,2013,UKG3,2,1.56
313,2015,NUTS,2013,UKH1,2,0.18
314,2015,NUTS,2013,UKI3,2,0.23
315,2015,NUTS,2013,UKI4,2,2.43
316,2015,NUTS,2013,UKI5,2,3.03
317,2015,NUTS,2013,UKI7,2,4.52
318,2015,NUTS,2013,UKJ1,2,0.57
319,2015,NUTS,2013,UKK1,2,2.46
320,2015,NUTS,2013,UKL1,2,3.51
321,2015,NUTS,2013,UKL2,2,0.04
322,2015,NUTS,2013,UKM3,2,1.02
323,2015,NUTS,2013,AT122,3,6.25
324,2015,NUTS,2013,AT130,3,0.88
325,2015,NUTS,2013,AT211,3,6.25
326,2015,NUTS,2013,AT221,3,1.04
327,2015,NUTS,2013,AT223,3,6.25
328,2015,NUTS,2013,AT226,3,6.25
329,2015,NUTS,2013,AT311,3,6.25
330,2015,NUTS,2013,AT322,3,6.25
331,2015,NUTS,2013,AT323,3,2.35
332,2015,NUTS,2013,AT335,3,6.25
333,2015,NUTS,2013,BE100,3,0.17
334,2015,NUTS,2013,BE212,3,3.9
335,2015,NUTS,2013,BE213,3,4.1
336,2015,NUTS,2013,BE221,3,6.25
337,2015,NUTS,2013,BE234,3,0.76
338,2015,NUTS,2013,BE235,3,3.41
339,2015,NUTS,2013,BE241,3,3.04
340,2015,NUTS,2013,BE242,3,1.56
341,2015,NUTS,2013,BE310,3,1.81
342,2015,NUTS,2013,BE332,3,2.48
343,2015,NUTS,2013,BE352,3,5.34
344,2015,NUTS,2013,BG411,3,2.02
345,2015,NUTS,2013,CY000,3,0.51
346,2015,NUTS,2013,CZ010,3,0.17
347,2015,NUTS,2013,CZ052,3,6.25
348,2015,NUTS,2013,CZ064,3,0.47
349,2015,NUTS,2013,DE111,3,1.29
350,2015,NUTS,2013,DE112,3,6.25
351,2015,NUTS,2013,DE113,3,3.21
352,2015,NUTS,2013,DE122,3,1.64
353,2015,NUTS,2013,DE125,3,0.01
354,2015,NUTS,2013,DE129,3,6.25
355,2015,NUTS,2013,DE131,3,1.11
356,2015,NUTS,2013,DE134,3,6.25
357,2015,NUTS,2013,DE139,3,0.21
358,2015,NUTS,2013,DE141,3,5.84
359,2015,NUTS,2013,DE212,3,2.25
360,2015,NUTS,2013,DE21H,3,0.88
361,2015,NUTS,2013,DE21K,3,6.25
362,2015,NUTS,2013,DE21L,3,6.25
363,2015,NUTS,2013,DE239,3,6.25
364,2015,NUTS,2013,DE242,3,0.49
365,2015,NUTS,2013,DE251,3,6.25
366,2015,NUTS,2013,DE252,3,1.78
367,2015,NUTS,2013,DE257,3,6.25
368,2015,NUTS,2013,DE263,3,6.25
369,2015,NUTS,2013,DE268,3,6.25
370,2015,NUTS,2013,DE27C,3,6.25
371,2015,NUTS,2013,DE300,3,0.41
372,2015,NUTS,2013,DE502,3,2.98
373,2015,NUTS,2013,DE600,3,1.31
374,2015,NUTS,2013,DE711,3,1.09
375,2015,NUTS,2013,DE712,3,1.36
376,2015,NUTS,2013,DE732,3,6.25
377,2015,NUTS,2013,DE803,3,2.74
378,2015,NUTS,2013,DE804,3,6.25
379,2015,NUTS,2013,DE911,3,0.9
380,2015,NUTS,2013,DE916,3,6.25
381,2015,NUTS,2013,DE929,3,1.52
382,2015,NUTS,2013,DE943,3,4.41
383,2015,NUTS,2013,DE94E,3,6.25
384,2015,NUTS,2013,DEA12,3,1.44
385,2015,NUTS,2013,DEA13,3,0.25
386,2015,NUTS,2013,DEA1C,3,6.25
387,2015,NUTS,2013,DEA1E,3,6.25
388,2015,NUTS,2013,DEA23,3,2.36
389,2015,NUTS,2013,DEA24,3,5.78
390,2015,NUTS,2013,DEA26,3,0.88
391,2015,NUTS,2013,DEA2D,3,4.21
392,2015,NUTS,2013,DEA35,3,6.25
393,2015,NUTS,2013,DEA38,3,6.25
394,2015,NUTS,2013,DEA47,3,6.08
395,2015,NUTS,2013,DEA51,3,6.25
396,2015,NUTS,2013,DEA52,3,1.58
397,2015,NUTS,2013,DEA58,3,6.25
398,2015,NUTS,2013,DEB34,3,6.25
399,2015,NUTS,2013,DEC01,3,6.25
400,2015,NUTS,2013,DED21,3,4.44
401,2015,NUTS,2013,DED2D,3,6.25
402,2015,NUTS,2013,DED41,3,4.97
403,2015,NUTS,2013,DED43,3,6.25
404,2015,NUTS,2013,DED51,3,0.28
405,2015,NUTS,2013,DEF06,3,0.92
406,2015,NUTS,2013,DEF0F,3,6.25
407,2015,NUTS,2013,DEG03,3,0.63
408,2015,NUTS,2013,DEG0F,3,6.25
409,2015,NUTS,2013,DEG0J,3,6.25
410,2015,NUTS,2013,DK011,3,0.23
411,2015,NUTS,2013,DK012,3,2.74
412,2015,NUTS,2013,DK022,3,6.25
413,2015,NUTS,2013,DK042,3,0.46
414,2015,NUTS,2013,DK050,3,3.54
415,2015,NUTS,2013,EE001,3,0.18
416,2015,NUTS,2013,ES212,3,5.54
417,2015,NUTS,2013,ES213,3,2.75
418,2015,NUTS,2013,ES220,3,2.15
419,2015,NUTS,2013,ES230,3,3.7
420,2015,NUTS,2013,ES243,3,1.14
421,2015,NUTS,2013,ES300,3,1.95
422,2015,NUTS,2013,ES412,3,6.25
423,2015,NUTS,2013,ES422,3,6.11
424,2015,NUTS,2013,ES511,3,0.73
425,2015,NUTS,2013,ES514,3,2.55
426,2015,NUTS,2013,ES521,3,2.04
427,2015,NUTS,2013,ES532,3,2.71
428,2015,NUTS,2013,FI193,3,6.25
429,2015,NUTS,2013,FI197,3,1.68
430,2015,NUTS,2013,FI1B1,3,3.37
431,2015,NUTS,2013,FI1C1,3,4.83
432,2015,NUTS,2013,FI1C3,3,6.25
433,2015,NUTS,2013,FI1D1,3,6.25
