year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,12775.326
2012,NUTS,2010,DE,0,13117.886
2013,NUTS,2010,DE,0,13316.302
2014,NUTS,2010,DE,0,13911.942
2015,NUTS,2010,DE,0,14176.101
2016,NUTS,2010,DE,0,15339.694
2017,NUTS,2010,DE,0,15934.268
2018,NUTS,2010,DE,0,16967.649
2019,NUTS,2010,DE,0,17365.103
2020,NUTS,2010,DE,0,17433.484
2011,NUTS,2010,DE1,1,2009.918
2012,NUTS,2010,DE1,1,2069.217
2013,NUTS,2010,DE1,1,2021.509
2014,NUTS,2010,DE1,1,2068.897
2015,NUTS,2010,DE1,1,2136.768
2016,NUTS,2010,DE1,1,2264.054
2017,NUTS,2010,DE1,1,2347.5
2018,NUTS,2010,DE1,1,2456.134
2019,NUTS,2010,DE1,1,2528.521
2011,NUTS,2010,DE11,2,363.531
2012,NUTS,2010,DE11,2,378.713
2013,NUTS,2010,DE11,2,394.327
2014,NUTS,2010,DE11,2,386.606
2015,NUTS,2010,DE11,2,408.353
2016,NUTS,2010,DE11,2,462.005
2017,NUTS,2010,DE11,2,481.655
2018,NUTS,2010,DE11,2,481.904
2019,NUTS,2010,DE11,2,478.154
2011,NUTS,2010,DE12,2,724.347
2012,NUTS,2010,DE12,2,743.398
2013,NUTS,2010,DE12,2,750.62
2014,NUTS,2010,DE12,2,743.355
2015,NUTS,2010,DE12,2,768.342
2016,NUTS,2010,DE12,2,767.037
2017,NUTS,2010,DE12,2,796.981
2018,NUTS,2010,DE12,2,842.525
2019,NUTS,2010,DE12,2,874.866
2011,NUTS,2010,DE13,2,388.297
2012,NUTS,2010,DE13,2,395.408
2013,NUTS,2010,DE13,2,401.25
2014,NUTS,2010,DE13,2,442.499
2015,NUTS,2010,DE13,2,444.457
2016,NUTS,2010,DE13,2,495.084
2017,NUTS,2010,DE13,2,497.57
2018,NUTS,2010,DE13,2,520.523
2019,NUTS,2010,DE13,2,540.495
2011,NUTS,2010,DE14,2,533.744
2012,NUTS,2010,DE14,2,551.698
2013,NUTS,2010,DE14,2,475.312
2014,NUTS,2010,DE14,2,496.437
2015,NUTS,2010,DE14,2,515.616
2016,NUTS,2010,DE14,2,539.929
2017,NUTS,2010,DE14,2,571.295
2018,NUTS,2010,DE14,2,611.183
2019,NUTS,2010,DE14,2,634.997
2011,NUTS,2010,DE2,1,1903.815
2012,NUTS,2010,DE2,1,1956.152
2013,NUTS,2010,DE2,1,2017.134
2014,NUTS,2010,DE2,1,2026.483
2015,NUTS,2010,DE2,1,2095.322
2016,NUTS,2010,DE2,1,2289.76
2017,NUTS,2010,DE2,1,2412.344
2018,NUTS,2010,DE2,1,2582.485
2019,NUTS,2010,DE2,1,2681.533
2011,NUTS,2010,DE21,2,940.329
2012,NUTS,2010,DE21,2,991.445
2013,NUTS,2010,DE21,2,1045.359
2014,NUTS,2010,DE21,2,1053.022
2015,NUTS,2010,DE21,2,1106.105
2016,NUTS,2010,DE21,2,1176.392
2017,NUTS,2010,DE21,2,1228.956
2018,NUTS,2010,DE21,2,1334.695
2019,NUTS,2010,DE21,2,1396.712
2011,NUTS,2010,DE22,2,33.74
2012,NUTS,2010,DE22,2,33.394
2013,NUTS,2010,DE22,2,34.349
2014,NUTS,2010,DE22,2,37.333
2015,NUTS,2010,DE22,2,40.481
2016,NUTS,2010,DE22,2,54.15
2017,NUTS,2010,DE22,2,58.318
2018,NUTS,2010,DE22,2,63.325
2019,NUTS,2010,DE22,2,67.684
2011,NUTS,2010,DE23,2,150.801
2012,NUTS,2010,DE23,2,151.995
2013,NUTS,2010,DE23,2,153.735
2014,NUTS,2010,DE23,2,153.007
2015,NUTS,2010,DE23,2,155.938
2016,NUTS,2010,DE23,2,177.804
2017,NUTS,2010,DE23,2,193.837
2018,NUTS,2010,DE23,2,202.509
2019,NUTS,2010,DE23,2,210.026
2011,NUTS,2010,DE24,2,133.294
2012,NUTS,2010,DE24,2,142.342
2013,NUTS,2010,DE24,2,149.974
2014,NUTS,2010,DE24,2,130.344
2015,NUTS,2010,DE24,2,133.255
2016,NUTS,2010,DE24,2,153.822
2017,NUTS,2010,DE24,2,158.847
2018,NUTS,2010,DE24,2,170.73
2019,NUTS,2010,DE24,2,177.122
2011,NUTS,2010,DE25,2,360.778
2012,NUTS,2010,DE25,2,359.867
2013,NUTS,2010,DE25,2,365.042
2014,NUTS,2010,DE25,2,377.676
2015,NUTS,2010,DE25,2,368.305
2016,NUTS,2010,DE25,2,394.031
2017,NUTS,2010,DE25,2,416.26
2018,NUTS,2010,DE25,2,430.413
2019,NUTS,2010,DE25,2,428.575
2011,NUTS,2010,DE26,2,222.33
2012,NUTS,2010,DE26,2,218.481
2013,NUTS,2010,DE26,2,208.455
2014,NUTS,2010,DE26,2,214.282
2015,NUTS,2010,DE26,2,226.166
2016,NUTS,2010,DE26,2,250.773
2017,NUTS,2010,DE26,2,266.548
2018,NUTS,2010,DE26,2,278.117
2019,NUTS,2010,DE26,2,285.409
2011,NUTS,2010,DE27,2,62.544
2012,NUTS,2010,DE27,2,58.629
2013,NUTS,2010,DE27,2,60.219
2014,NUTS,2010,DE27,2,60.82
2015,NUTS,2010,DE27,2,65.073
2016,NUTS,2010,DE27,2,82.787
2017,NUTS,2010,DE27,2,89.577
2018,NUTS,2010,DE27,2,102.695
2019,NUTS,2010,DE27,2,116.013
2011,NUTS,2010,DE3,1,887.008
2012,NUTS,2010,DE3,1,878.302
2013,NUTS,2010,DE3,1,877.594
2014,NUTS,2010,DE3,1,1013.19
2015,NUTS,2010,DE3,1,1013.108
2016,NUTS,2010,DE3,1,1101.333
2017,NUTS,2010,DE3,1,1082.193
2018,NUTS,2010,DE3,1,1144.094
