year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_pc_act_fte
2019,NUTS,2010,BG41,2,0.9286
2003,NUTS,2010,BG42,2,0.0752
2004,NUTS,2010,BG42,2,0.0854
2005,NUTS,2010,BG42,2,0.0896
2006,NUTS,2010,BG42,2,0.1003
2007,NUTS,2010,BG42,2,0.16
2008,NUTS,2010,BG42,2,0.1749
2009,NUTS,2010,BG42,2,0.149
2010,NUTS,2010,BG42,2,0.1838
2011,NUTS,2010,BG42,2,0.192
2012,NUTS,2010,BG42,2,0.1283
2013,NUTS,2010,BG42,2,0.1555
2014,NUTS,2010,BG42,2,0.1416
2015,NUTS,2010,BG42,2,0.167
2016,NUTS,2010,BG42,2,0.1761
2017,NUTS,2010,BG42,2,0.2021
2018,NUTS,2010,BG42,2,0.2354
2019,NUTS,2010,BG42,2,0.2589
1998,NUTS,2010,CY,0,0.057
1999,NUTS,2010,CY,0,0.0659
2000,NUTS,2010,CY,0,0.0695
2001,NUTS,2010,CY,0,0.0756
2002,NUTS,2010,CY,0,0.0949
2003,NUTS,2010,CY,0,0.1043
2004,NUTS,2010,CY,0,0.1276
2005,NUTS,2010,CY,0,0.1503
2006,NUTS,2010,CY,0,0.1546
2007,NUTS,2010,CY,0,0.1561
2008,NUTS,2010,CY,0,0.1598
2009,NUTS,2010,CY,0,0.1771
2010,NUTS,2010,CY,0,0.1719
2011,NUTS,2010,CY,0,0.1699
2012,NUTS,2010,CY,0,0.1622
2013,NUTS,2010,CY,0,0.1671
2014,NUTS,2010,CY,0,0.1683
2015,NUTS,2010,CY,0,0.1626
2016,NUTS,2010,CY,0,0.1666
2017,NUTS,2010,CY,0,0.1943
2018,NUTS,2010,CY,0,0.2161
2019,NUTS,2010,CY,0,0.255
2000,NUTS,2010,CZ,0,0.156
2001,NUTS,2010,CZ,0,0.1706
2002,NUTS,2010,CZ,0,0.1742
2003,NUTS,2010,CZ,0,0.183
2004,NUTS,2010,CZ,0,0.1803
2005,NUTS,2010,CZ,0,0.2807
2006,NUTS,2010,CZ,0,0.2934
2007,NUTS,2010,CZ,0,0.3161
2008,NUTS,2010,CZ,0,0.3373
2009,NUTS,2010,CZ,0,0.3319
2010,NUTS,2010,CZ,0,0.3303
2011,NUTS,2010,CZ,0,0.3433
2012,NUTS,2010,CZ,0,0.3624
2013,NUTS,2010,CZ,0,0.3657
2014,NUTS,2010,CZ,0,0.3796
2015,NUTS,2010,CZ,0,0.3878
2016,NUTS,2010,CZ,0,0.371
2017,NUTS,2010,CZ,0,0.3878
2018,NUTS,2010,CZ,0,0.4057
2019,NUTS,2010,CZ,0,0.433
2020,NUTS,2010,CZ,0,0.4607
2000,NUTS,2010,CZ0,1,0.1548
2001,NUTS,2010,CZ0,1,0.1696
2002,NUTS,2010,CZ0,1,0.1732
2003,NUTS,2010,CZ0,1,0.1813
2004,NUTS,2010,CZ0,1,0.1789
2005,NUTS,2010,CZ0,1,0.2782
2006,NUTS,2010,CZ0,1,0.2907
2007,NUTS,2010,CZ0,1,0.3126
2008,NUTS,2010,CZ0,1,0.3335
2009,NUTS,2010,CZ0,1,0.3274
2010,NUTS,2010,CZ0,1,0.3259
2011,NUTS,2010,CZ0,1,0.3383
2012,NUTS,2010,CZ0,1,0.357
2013,NUTS,2010,CZ0,1,0.3595
2014,NUTS,2010,CZ0,1,0.3735
2015,NUTS,2010,CZ0,1,0.3802
2016,NUTS,2010,CZ0,1,0.3629
2017,NUTS,2010,CZ0,1,0.3788
2018,NUTS,2010,CZ0,1,0.3951
2019,NUTS,2010,CZ0,1,0.4214
2020,NUTS,2010,CZ0,1,0.4487
2001,NUTS,2010,CZ01,2,0.7089
2002,NUTS,2010,CZ01,2,0.7203
2003,NUTS,2010,CZ01,2,0.7812
2004,NUTS,2010,CZ01,2,0.7505
2005,NUTS,2010,CZ01,2,1.1148
2006,NUTS,2010,CZ01,2,1.1271
2007,NUTS,2010,CZ01,2,1.2632
2008,NUTS,2010,CZ01,2,1.2904
2009,NUTS,2010,CZ01,2,1.2255
2010,NUTS,2010,CZ01,2,1.2294
2011,NUTS,2010,CZ01,2,1.3005
2012,NUTS,2010,CZ01,2,1.2753
2013,NUTS,2010,CZ01,2,1.3787
2014,NUTS,2010,CZ01,2,1.3368
2015,NUTS,2010,CZ01,2,1.3304
2016,NUTS,2010,CZ01,2,1.278
2017,NUTS,2010,CZ01,2,1.3437
2018,NUTS,2010,CZ01,2,1.36
2019,NUTS,2010,CZ01,2,1.4281
2020,NUTS,2010,CZ01,2,1.4602
2001,NUTS,2010,CZ02,2,0.1119
2002,NUTS,2010,CZ02,2,0.1515
2003,NUTS,2010,CZ02,2,0.1536
2004,NUTS,2010,CZ02,2,0.141
2005,NUTS,2010,CZ02,2,0.1764
2006,NUTS,2010,CZ02,2,0.1878
2007,NUTS,2010,CZ02,2,0.1841
2008,NUTS,2010,CZ02,2,0.2261
2009,NUTS,2010,CZ02,2,0.2183
2010,NUTS,2010,CZ02,2,0.1825
2011,NUTS,2010,CZ02,2,0.2093
2012,NUTS,2010,CZ02,2,0.1985
2013,NUTS,2010,CZ02,2,0.1815
2014,NUTS,2010,CZ02,2,0.1708
2015,NUTS,2010,CZ02,2,0.2226
2016,NUTS,2010,CZ02,2,0.1798
2017,NUTS,2010,CZ02,2,0.194
2018,NUTS,2010,CZ02,2,0.2115
2019,NUTS,2010,CZ02,2,0.2218
2020,NUTS,2010,CZ02,2,0.2325
2001,NUTS,2010,CZ03,2,0.1159
2002,NUTS,2010,CZ03,2,0.1068
2003,NUTS,2010,CZ03,2,0.0815
2004,NUTS,2010,CZ03,2,0.0716
2005,NUTS,2010,CZ03,2,0.1355
2006,NUTS,2010,CZ03,2,0.1328
2007,NUTS,2010,CZ03,2,0.1415
2008,NUTS,2010,CZ03,2,0.1356
