year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2011,NUTS,2010,BG4,1,100.6
2012,NUTS,2010,BG4,1,100.3
2013,NUTS,2010,BG4,1,109.1
2014,NUTS,2010,BG4,1,119.2
2015,NUTS,2010,BG4,1,125.7
2016,NUTS,2010,BG4,1,124.8
2017,NUTS,2010,BG4,1,128.2
2018,NUTS,2010,BG4,1,133.2
2019,NUTS,2010,BG4,1,136.5
2020,NUTS,2010,BG4,1,146.6
2011,NUTS,2010,BG41,2,73.8
2012,NUTS,2010,BG41,2,74.7
2013,NUTS,2010,BG41,2,81.6
2014,NUTS,2010,BG41,2,91.1
2015,NUTS,2010,BG41,2,94.2
2016,NUTS,2010,BG41,2,95.2
2017,NUTS,2010,BG41,2,98.1
2018,NUTS,2010,BG41,2,103.0
2019,NUTS,2010,BG41,2,107.1
2020,NUTS,2010,BG41,2,116.3
2011,NUTS,2010,BG42,2,26.8
2012,NUTS,2010,BG42,2,25.6
2013,NUTS,2010,BG42,2,27.5
2014,NUTS,2010,BG42,2,28.1
2015,NUTS,2010,BG42,2,31.5
2016,NUTS,2010,BG42,2,29.7
2017,NUTS,2010,BG42,2,30.1
2018,NUTS,2010,BG42,2,30.2
2019,NUTS,2010,BG42,2,29.4
2020,NUTS,2010,BG42,2,30.3
2011,NUTS,2010,CH,0,459.9
2012,NUTS,2010,CH,0,484.0
2013,NUTS,2010,CH,0,497.9
2014,NUTS,2010,CH,0,520.9
2015,NUTS,2010,CH,0,536.9
2016,NUTS,2010,CH,0,558.9
2017,NUTS,2010,CH,0,568.1
2018,NUTS,2010,CH,0,592.7
2019,NUTS,2010,CH,0,617.6
2020,NUTS,2010,CH,0,608.6
2011,NUTS,2010,CH0,1,459.9
2012,NUTS,2010,CH0,1,484.0
2013,NUTS,2010,CH0,1,497.9
2014,NUTS,2010,CH0,1,520.9
2015,NUTS,2010,CH0,1,536.9
2016,NUTS,2010,CH0,1,558.9
2017,NUTS,2010,CH0,1,568.1
2018,NUTS,2010,CH0,1,592.7
2019,NUTS,2010,CH0,1,617.6
2020,NUTS,2010,CH0,1,608.6
2011,NUTS,2010,CH01,2,78.7
2012,NUTS,2010,CH01,2,80.5
2013,NUTS,2010,CH01,2,81.9
2014,NUTS,2010,CH01,2,84.6
2015,NUTS,2010,CH01,2,86.3
2016,NUTS,2010,CH01,2,95.0
2017,NUTS,2010,CH01,2,95.5
2018,NUTS,2010,CH01,2,96.6
2019,NUTS,2010,CH01,2,100.6
2020,NUTS,2010,CH01,2,100.1
2011,NUTS,2010,CH02,2,96.5
2012,NUTS,2010,CH02,2,101.0
2013,NUTS,2010,CH02,2,105.4
2014,NUTS,2010,CH02,2,110.4
2015,NUTS,2010,CH02,2,113.2
2016,NUTS,2010,CH02,2,115.5
2017,NUTS,2010,CH02,2,113.0
2018,NUTS,2010,CH02,2,118.9
2019,NUTS,2010,CH02,2,129.7
2020,NUTS,2010,CH02,2,124.7
2011,NUTS,2010,CH03,2,67.6
2012,NUTS,2010,CH03,2,74.7
2013,NUTS,2010,CH03,2,82.4
2014,NUTS,2010,CH03,2,84.9
2015,NUTS,2010,CH03,2,85.1
2016,NUTS,2010,CH03,2,83.1
2017,NUTS,2010,CH03,2,87.7
2018,NUTS,2010,CH03,2,89.3
2019,NUTS,2010,CH03,2,90.0
2020,NUTS,2010,CH03,2,89.3
2011,NUTS,2010,CH04,2,109.5
2012,NUTS,2010,CH04,2,116.0
2013,NUTS,2010,CH04,2,114.0
2014,NUTS,2010,CH04,2,116.7
2015,NUTS,2010,CH04,2,123.9
2016,NUTS,2010,CH04,2,136.8
2017,NUTS,2010,CH04,2,139.0
2018,NUTS,2010,CH04,2,145.2
2019,NUTS,2010,CH04,2,151.9
2020,NUTS,2010,CH04,2,149.9
2011,NUTS,2010,CH05,2,55.3
2012,NUTS,2010,CH05,2,57.0
2013,NUTS,2010,CH05,2,57.1
2014,NUTS,2010,CH05,2,62.4
2015,NUTS,2010,CH05,2,63.6
2016,NUTS,2010,CH05,2,64.2
2017,NUTS,2010,CH05,2,65.7
2018,NUTS,2010,CH05,2,68.8
2019,NUTS,2010,CH05,2,66.3
2020,NUTS,2010,CH05,2,67.4
2011,NUTS,2010,CH06,2,39.0
2012,NUTS,2010,CH06,2,41.5
2013,NUTS,2010,CH06,2,41.4
2014,NUTS,2010,CH06,2,45.2
2015,NUTS,2010,CH06,2,47.4
2016,NUTS,2010,CH06,2,48.5
2017,NUTS,2010,CH06,2,50.8
2018,NUTS,2010,CH06,2,56.0
2019,NUTS,2010,CH06,2,58.6
2020,NUTS,2010,CH06,2,57.7
2011,NUTS,2010,CH07,2,13.2
2012,NUTS,2010,CH07,2,13.4
2013,NUTS,2010,CH07,2,15.7
2014,NUTS,2010,CH07,2,16.7
2015,NUTS,2010,CH07,2,17.4
2016,NUTS,2010,CH07,2,15.9
2017,NUTS,2010,CH07,2,16.4
2018,NUTS,2010,CH07,2,17.9
2019,NUTS,2010,CH07,2,20.6
2020,NUTS,2010,CH07,2,19.5
2011,NUTS,2010,CY,0,22.0
2012,NUTS,2010,CY,0,23.9
2013,NUTS,2010,CY,0,21.9
2014,NUTS,2010,CY,0,22.7
2015,NUTS,2010,CY,0,23.5
2016,NUTS,2010,CY,0,23.7
2017,NUTS,2010,CY,0,27.6
2018,NUTS,2010,CY,0,28.9
2019,NUTS,2010,CY,0,29.4
2020,NUTS,2010,CY,0,30.0
2011,NUTS,2010,CY0,1,22.0
2012,NUTS,2010,CY0,1,23.9
2013,NUTS,2010,CY0,1,21.9
2014,NUTS,2010,CY0,1,22.7
2015,NUTS,2010,CY0,1,23.5
2016,NUTS,2010,CY0,1,23.7
2017,NUTS,2010,CY0,1,27.6
2018,NUTS,2010,CY0,1,28.9
2019,NUTS,2010,CY0,1,29.4
2020,NUTS,2010,CY0,1,30.0
2011,NUTS,2010,CY00,2,22.0
2012,NUTS,2010,CY00,2,23.9
2013,NUTS,2010,CY00,2,21.9
2014,NUTS,2010,CY00,2,22.7
2015,NUTS,2010,CY00,2,23.5
2016,NUTS,2010,CY00,2,23.7
2017,NUTS,2010,CY00,2,27.6
