year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_pc_act_fte
2018,NUTS,2010,DEA2,2,0.3978
2019,NUTS,2010,DEA2,2,0.4002
2011,NUTS,2010,DEA3,2,0.1571
2012,NUTS,2010,DEA3,2,0.1622
2013,NUTS,2010,DEA3,2,0.1703
2014,NUTS,2010,DEA3,2,0.1687
2015,NUTS,2010,DEA3,2,0.162
2016,NUTS,2010,DEA3,2,0.1716
2017,NUTS,2010,DEA3,2,0.1776
2018,NUTS,2010,DEA3,2,0.181
2019,NUTS,2010,DEA3,2,0.18
2011,NUTS,2010,DEA4,2,0.1619
2012,NUTS,2010,DEA4,2,0.163
2013,NUTS,2010,DEA4,2,0.1641
2014,NUTS,2010,DEA4,2,0.1751
2015,NUTS,2010,DEA4,2,0.1706
2016,NUTS,2010,DEA4,2,0.1973
2017,NUTS,2010,DEA4,2,0.2115
2018,NUTS,2010,DEA4,2,0.2231
2019,NUTS,2010,DEA4,2,0.2224
2011,NUTS,2010,DEA5,2,0.2156
2012,NUTS,2010,DEA5,2,0.2121
2013,NUTS,2010,DEA5,2,0.2132
2014,NUTS,2010,DEA5,2,0.22
2015,NUTS,2010,DEA5,2,0.2192
2016,NUTS,2010,DEA5,2,0.251
2017,NUTS,2010,DEA5,2,0.2616
2018,NUTS,2010,DEA5,2,0.2666
2019,NUTS,2010,DEA5,2,0.2717
2011,NUTS,2010,DEB,1,0.133
2012,NUTS,2010,DEB,1,0.1393
2013,NUTS,2010,DEB,1,0.1434
2014,NUTS,2010,DEB,1,0.1408
2015,NUTS,2010,DEB,1,0.1463
2016,NUTS,2010,DEB,1,0.1649
2017,NUTS,2010,DEB,1,0.1634
2018,NUTS,2010,DEB,1,0.1702
2019,NUTS,2010,DEB,1,0.1712
2011,NUTS,2010,DEB1,2,0.0403
2012,NUTS,2010,DEB1,2,0.0405
