year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_total_f
2016,NUTS,2010,ES13,2,1553.0
2017,NUTS,2010,ES13,2,1551.0
2018,NUTS,2010,ES13,2,1636.0
2019,NUTS,2010,ES13,2,1657.0
2011,NUTS,2010,ES2,1,17888.0
2012,NUTS,2010,ES2,1,18179.0
2013,NUTS,2010,ES2,1,17772.0
2014,NUTS,2010,ES2,1,17895.0
2015,NUTS,2010,ES2,1,18360.0
2016,NUTS,2010,ES2,1,18378.0
2017,NUTS,2010,ES2,1,19069.0
2018,NUTS,2010,ES2,1,20028.0
2019,NUTS,2010,ES2,1,20128.0
2011,NUTS,2010,ES21,2,10184.0
2012,NUTS,2010,ES21,2,10693.0
2013,NUTS,2010,ES21,2,10538.0
2014,NUTS,2010,ES21,2,10472.0
2015,NUTS,2010,ES21,2,10903.0
2016,NUTS,2010,ES21,2,10773.0
2017,NUTS,2010,ES21,2,11251.0
2018,NUTS,2010,ES21,2,11808.0
2019,NUTS,2010,ES21,2,11985.0
2011,NUTS,2010,ES22,2,2820.0
2012,NUTS,2010,ES22,2,2575.0
2013,NUTS,2010,ES22,2,2505.0
2014,NUTS,2010,ES22,2,2495.0
2015,NUTS,2010,ES22,2,2514.0
2016,NUTS,2010,ES22,2,2589.0
2017,NUTS,2010,ES22,2,2745.0
2018,NUTS,2010,ES22,2,2873.0
2019,NUTS,2010,ES22,2,2786.0
2011,NUTS,2010,ES23,2,943.0
2012,NUTS,2010,ES23,2,962.0
2013,NUTS,2010,ES23,2,911.0
2014,NUTS,2010,ES23,2,985.0
2015,NUTS,2010,ES23,2,967.0
2016,NUTS,2010,ES23,2,1035.0
2017,NUTS,2010,ES23,2,1043.0
2018,NUTS,2010,ES23,2,1078.0
2019,NUTS,2010,ES23,2,1082.0
2011,NUTS,2010,ES24,2,3941.0
2012,NUTS,2010,ES24,2,3948.0
2013,NUTS,2010,ES24,2,3818.0
2014,NUTS,2010,ES24,2,3943.0
2015,NUTS,2010,ES24,2,3976.0
2016,NUTS,2010,ES24,2,3981.0
2017,NUTS,2010,ES24,2,4030.0
2018,NUTS,2010,ES24,2,4268.0
2019,NUTS,2010,ES24,2,4275.0
2011,NUTS,2010,ES3,1,33594.0
2012,NUTS,2010,ES3,1,30841.0
2013,NUTS,2010,ES3,1,30030.0
2014,NUTS,2010,ES3,1,30223.0
2015,NUTS,2010,ES3,1,31167.0
2016,NUTS,2010,ES3,1,30925.0
2017,NUTS,2010,ES3,1,31625.0
2018,NUTS,2010,ES3,1,33399.0
2019,NUTS,2010,ES3,1,35066.0
2011,NUTS,2010,ES30,2,33594.0
2012,NUTS,2010,ES30,2,30841.0
2013,NUTS,2010,ES30,2,30030.0
2014,NUTS,2010,ES30,2,30223.0
2015,NUTS,2010,ES30,2,31167.0
2016,NUTS,2010,ES30,2,30925.0
2017,NUTS,2010,ES30,2,31625.0
2018,NUTS,2010,ES30,2,33399.0
2019,NUTS,2010,ES30,2,35066.0
2011,NUTS,2010,ES4,1,12938.0
2012,NUTS,2010,ES4,1,12106.0
2013,NUTS,2010,ES4,1,10547.0
2014,NUTS,2010,ES4,1,10440.0
2015,NUTS,2010,ES4,1,11008.0
2016,NUTS,2010,ES4,1,11005.0
2017,NUTS,2010,ES4,1,11509.0
2018,NUTS,2010,ES4,1,12295.0
2019,NUTS,2010,ES4,1,12500.0
2011,NUTS,2010,ES41,2,7960.0
2012,NUTS,2010,ES41,2,7504.0
2013,NUTS,2010,ES41,2,6889.0
2014,NUTS,2010,ES41,2,6956.0
2015,NUTS,2010,ES41,2,7135.0
2016,NUTS,2010,ES41,2,7073.0
2017,NUTS,2010,ES41,2,7339.0
2018,NUTS,2010,ES41,2,7899.0
2019,NUTS,2010,ES41,2,8201.0
2011,NUTS,2010,ES42,2,3461.0
2012,NUTS,2010,ES42,2,3109.0
2013,NUTS,2010,ES42,2,2130.0
2014,NUTS,2010,ES42,2,2145.0
2015,NUTS,2010,ES42,2,2503.0
2016,NUTS,2010,ES42,2,2617.0
2017,NUTS,2010,ES42,2,2710.0
2018,NUTS,2010,ES42,2,2857.0
2019,NUTS,2010,ES42,2,2897.0
2011,NUTS,2010,ES43,2,1517.0
2012,NUTS,2010,ES43,2,1493.0
2013,NUTS,2010,ES43,2,1529.0
2014,NUTS,2010,ES43,2,1338.0
2015,NUTS,2010,ES43,2,1369.0
2016,NUTS,2010,ES43,2,1315.0
2017,NUTS,2010,ES43,2,1461.0
2018,NUTS,2010,ES43,2,1539.0
2019,NUTS,2010,ES43,2,1402.0
2011,NUTS,2010,ES5,1,43391.0
2012,NUTS,2010,ES5,1,42828.0
2013,NUTS,2010,ES5,1,42524.0
2014,NUTS,2010,ES5,1,42869.0
2015,NUTS,2010,ES5,1,43354.0
2016,NUTS,2010,ES5,1,44645.0
2017,NUTS,2010,ES5,1,46692.0
2018,NUTS,2010,ES5,1,48312.0
2019,NUTS,2010,ES5,1,50525.0
2011,NUTS,2010,ES51,2,28228.0
2012,NUTS,2010,ES51,2,28284.0
2013,NUTS,2010,ES51,2,28386.0
2014,NUTS,2010,ES51,2,27828.0
2015,NUTS,2010,ES51,2,28351.0
2016,NUTS,2010,ES51,2,29034.0
2017,NUTS,2010,ES51,2,30444.0
2018,NUTS,2010,ES51,2,31750.0
2019,NUTS,2010,ES51,2,32909.0
2011,NUTS,2010,ES52,2,13466.0
2012,NUTS,2010,ES52,2,12927.0
2013,NUTS,2010,ES52,2,12616.0
2014,NUTS,2010,ES52,2,13474.0
2015,NUTS,2010,ES52,2,13304.0
2016,NUTS,2010,ES52,2,13936.0
2017,NUTS,2010,ES52,2,14448.0
2018,NUTS,2010,ES52,2,14708.0
2019,NUTS,2010,ES52,2,15617.0
2011,NUTS,2010,ES53,2,1698.0
2012,NUTS,2010,ES53,2,1617.0
2013,NUTS,2010,ES53,2,1523.0
2014,NUTS,2010,ES53,2,1567.0
2015,NUTS,2010,ES53,2,1699.0
2016,NUTS,2010,ES53,2,1676.0
2017,NUTS,2010,ES53,2,1800.0
2018,NUTS,2010,ES53,2,1853.0
2019,NUTS,2010,ES53,2,1999.0
2011,NUTS,2010,ES6,1,19956.0
2012,NUTS,2010,ES6,1,19522.0
2013,NUTS,2010,ES6,1,19436.0
2014,NUTS,2010,ES6,1,19406.0
2015,NUTS,2010,ES6,1,20757.0
2016,NUTS,2010,ES6,1,20683.0
2017,NUTS,2010,ES6,1,21817.0
2018,NUTS,2010,ES6,1,22405.0
2019,NUTS,2010,ES6,1,22941.0
2011,NUTS,2010,ES61,2,16940.0
2012,NUTS,2010,ES61,2,16474.0
