year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_emp_fte
2013,NUTS,2010,DE5,1,0.7382
2015,NUTS,2010,DE5,1,0.8278
2017,NUTS,2010,DE5,1,0.7796
2019,NUTS,2010,DE5,1,0.8927
2011,NUTS,2010,DE50,2,0.701
2013,NUTS,2010,DE50,2,0.7382
2015,NUTS,2010,DE50,2,0.8278
2017,NUTS,2010,DE50,2,0.7796
2019,NUTS,2010,DE50,2,0.8927
2011,NUTS,2010,DE6,1,0.8339
2013,NUTS,2010,DE6,1,0.8366
2015,NUTS,2010,DE6,1,0.9118
2017,NUTS,2010,DE6,1,1.0276
2019,NUTS,2010,DE6,1,1.0281
2011,NUTS,2010,DE60,2,0.8339
2013,NUTS,2010,DE60,2,0.8366
2015,NUTS,2010,DE60,2,0.9118
2017,NUTS,2010,DE60,2,1.0276
2019,NUTS,2010,DE60,2,1.0281
2011,NUTS,2010,DE7,1,1.2137
2013,NUTS,2010,DE7,1,1.1291
2015,NUTS,2010,DE7,1,1.2757
2017,NUTS,2010,DE7,1,1.2739
2019,NUTS,2010,DE7,1,1.2976
2011,NUTS,2010,DE71,2,1.5193
2013,NUTS,2010,DE71,2,1.3343
2015,NUTS,2010,DE71,2,1.6069
2017,NUTS,2010,DE71,2,1.567
2019,NUTS,2010,DE71,2,1.6063
2011,NUTS,2010,DE72,2,0.6196
2013,NUTS,2010,DE72,2,0.6933
2015,NUTS,2010,DE72,2,0.6993
2017,NUTS,2010,DE72,2,0.7489
2019,NUTS,2010,DE72,2,0.7639
2011,NUTS,2010,DE73,2,0.7494
2013,NUTS,2010,DE73,2,0.837
2015,NUTS,2010,DE73,2,0.6926
2017,NUTS,2010,DE73,2,0.7448
2019,NUTS,2010,DE73,2,0.7063
2011,NUTS,2010,DE8,1,0.2872
2013,NUTS,2010,DE8,1,0.2015
2015,NUTS,2010,DE8,1,0.2254
2017,NUTS,2010,DE8,1,0.2391
2019,NUTS,2010,DE8,1,0.2636
2011,NUTS,2010,DE80,2,0.2872
2013,NUTS,2010,DE80,2,0.2015
