year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cte_p_mact
2002,NUTS,2010,DE13,2,44.307
2003,NUTS,2010,DE13,2,24.332
2004,NUTS,2010,DE13,2,37.032
2005,NUTS,2010,DE13,2,29.667
2006,NUTS,2010,DE13,2,19.345
2007,NUTS,2010,DE13,2,27.782
2008,NUTS,2010,DE13,2,28.104
2009,NUTS,2010,DE13,2,13.083
2010,NUTS,2010,DE13,2,12.599
2011,NUTS,2010,DE13,2,22.292
2012,NUTS,2010,DE13,2,13.175
1999,NUTS,2010,DE14,2,18.426
2000,NUTS,2010,DE14,2,26.768
2001,NUTS,2010,DE14,2,49.196
2002,NUTS,2010,DE14,2,44.748
2003,NUTS,2010,DE14,2,42.656
2004,NUTS,2010,DE14,2,36.853
2005,NUTS,2010,DE14,2,29.197
2006,NUTS,2010,DE14,2,36.592
2007,NUTS,2010,DE14,2,35.183
2008,NUTS,2010,DE14,2,32.03
2009,NUTS,2010,DE14,2,35.086
2010,NUTS,2010,DE14,2,25.614
2011,NUTS,2010,DE14,2,40.796
2012,NUTS,2010,DE14,2,26.262
1999,NUTS,2010,DE2,1,103.79
2000,NUTS,2010,DE2,1,104.88
2001,NUTS,2010,DE2,1,108.176
2002,NUTS,2010,DE2,1,97.983
2003,NUTS,2010,DE2,1,84.375
2004,NUTS,2010,DE2,1,78.557
2005,NUTS,2010,DE2,1,70.147
2006,NUTS,2010,DE2,1,76.926
2007,NUTS,2010,DE2,1,79.429
2008,NUTS,2010,DE2,1,57.534
2009,NUTS,2010,DE2,1,56.369
2010,NUTS,2010,DE2,1,61.898
2011,NUTS,2010,DE2,1,53.331
2012,NUTS,2010,DE2,1,44.615
1999,NUTS,2010,DE21,2,224.07
2000,NUTS,2010,DE21,2,222.377
2001,NUTS,2010,DE21,2,217.186
2002,NUTS,2010,DE21,2,185.008
2003,NUTS,2010,DE21,2,164.3
2004,NUTS,2010,DE21,2,146.57
2005,NUTS,2010,DE21,2,132.673
2006,NUTS,2010,DE21,2,134.517
2007,NUTS,2010,DE21,2,135.899
2008,NUTS,2010,DE21,2,99.697
2009,NUTS,2010,DE21,2,93.151
2010,NUTS,2010,DE21,2,100.052
2011,NUTS,2010,DE21,2,85.757
2012,NUTS,2010,DE21,2,71.864
1999,NUTS,2010,DE22,2,22.853
2000,NUTS,2010,DE22,2,17.528
2001,NUTS,2010,DE22,2,12.103
2002,NUTS,2010,DE22,2,8.039
2003,NUTS,2010,DE22,2,12.956
2004,NUTS,2010,DE22,2,18.965
2005,NUTS,2010,DE22,2,6.277
2006,NUTS,2010,DE22,2,15.815
2007,NUTS,2010,DE22,2,29.583
2008,NUTS,2010,DE22,2,12.889
2009,NUTS,2010,DE22,2,21.578
2010,NUTS,2010,DE22,2,17.125
2011,NUTS,2010,DE22,2,16.711
2012,NUTS,2010,DE22,2,7.037
1999,NUTS,2010,DE23,2,31.087
2000,NUTS,2010,DE23,2,24.919
2001,NUTS,2010,DE23,2,48.695
2002,NUTS,2010,DE23,2,81.786
2003,NUTS,2010,DE23,2,46.868
2004,NUTS,2010,DE23,2,43.052
2005,NUTS,2010,DE23,2,26.491
2006,NUTS,2010,DE23,2,36.729
2007,NUTS,2010,DE23,2,25.49
2008,NUTS,2010,DE23,2,25.809
2009,NUTS,2010,DE23,2,23.109
2010,NUTS,2010,DE23,2,38.153
2011,NUTS,2010,DE23,2,30.688
2012,NUTS,2010,DE23,2,25.769
1999,NUTS,2010,DE24,2,20.931
2000,NUTS,2010,DE24,2,27.781
2001,NUTS,2010,DE24,2,33.742
2002,NUTS,2010,DE24,2,33.205
2003,NUTS,2010,DE24,2,24.904
2004,NUTS,2010,DE24,2,28.241
2005,NUTS,2010,DE24,2,31.798
2006,NUTS,2010,DE24,2,36.139
2007,NUTS,2010,DE24,2,51.835
2008,NUTS,2010,DE24,2,25.513
2009,NUTS,2010,DE24,2,28.445
2010,NUTS,2010,DE24,2,31.215
2011,NUTS,2010,DE24,2,27.749
2012,NUTS,2010,DE24,2,21.837
1999,NUTS,2010,DE25,2,115.586
2000,NUTS,2010,DE25,2,127.436
2001,NUTS,2010,DE25,2,148.386
2002,NUTS,2010,DE25,2,135.773
2003,NUTS,2010,DE25,2,113.053
2004,NUTS,2010,DE25,2,99.548
2005,NUTS,2010,DE25,2,106.262
2006,NUTS,2010,DE25,2,143.951
2007,NUTS,2010,DE25,2,138.089
2008,NUTS,2010,DE25,2,102.293
2009,NUTS,2010,DE25,2,104.965
2010,NUTS,2010,DE25,2,120.166
2011,NUTS,2010,DE25,2,99.856
2012,NUTS,2010,DE25,2,82.601
1999,NUTS,2010,DE26,2,11.277
2000,NUTS,2010,DE26,2,12.52
2001,NUTS,2010,DE26,2,9.713
2002,NUTS,2010,DE26,2,26.358
2003,NUTS,2010,DE26,2,18.383
2004,NUTS,2010,DE26,2,41.944
2005,NUTS,2010,DE26,2,13.581
2006,NUTS,2010,DE26,2,12.45
2007,NUTS,2010,DE26,2,14.982
2008,NUTS,2010,DE26,2,8.252
2009,NUTS,2010,DE26,2,5.625
2010,NUTS,2010,DE26,2,9.033
2011,NUTS,2010,DE26,2,3.669
2012,NUTS,2010,DE26,2,9.357
1999,NUTS,2010,DE27,2,21.799
2000,NUTS,2010,DE27,2,21.377
2001,NUTS,2010,DE27,2,23.295
2002,NUTS,2010,DE27,2,16.284
2003,NUTS,2010,DE27,2,20.414
2004,NUTS,2010,DE27,2,14.361
2005,NUTS,2010,DE27,2,20.313
2006,NUTS,2010,DE27,2,10.901
2007,NUTS,2010,DE27,2,16.45
2008,NUTS,2010,DE27,2,16.435
2009,NUTS,2010,DE27,2,15.04
2010,NUTS,2010,DE27,2,11.422
2011,NUTS,2010,DE27,2,17.44
2012,NUTS,2010,DE27,2,15.027
1999,NUTS,2010,DE3,1,39.519
2000,NUTS,2010,DE3,1,42.01
2001,NUTS,2010,DE3,1,37.464
2002,NUTS,2010,DE3,1,36.296
2003,NUTS,2010,DE3,1,38.89
2004,NUTS,2010,DE3,1,42.276
2005,NUTS,2010,DE3,1,36.924
2006,NUTS,2010,DE3,1,40.157
2007,NUTS,2010,DE3,1,40.001
2008,NUTS,2010,DE3,1,30.924
2009,NUTS,2010,DE3,1,28.581
2010,NUTS,2010,DE3,1,39.409
2011,NUTS,2010,DE3,1,34.303
2012,NUTS,2010,DE3,1,25.261
1999,NUTS,2010,DE30,2,39.519
2000,NUTS,2010,DE30,2,42.01
2001,NUTS,2010,DE30,2,37.464
2002,NUTS,2010,DE30,2,36.296
2003,NUTS,2010,DE30,2,38.89
2004,NUTS,2010,DE30,2,42.276
2005,NUTS,2010,DE30,2,36.924
2006,NUTS,2010,DE30,2,40.157
2007,NUTS,2010,DE30,2,40.001
2008,NUTS,2010,DE30,2,30.924
2009,NUTS,2010,DE30,2,28.581
2010,NUTS,2010,DE30,2,39.409
2011,NUTS,2010,DE30,2,34.303
2012,NUTS,2010,DE30,2,25.261
1999,NUTS,2010,DE4,1,5.887
2000,NUTS,2010,DE4,1,13.918
2001,NUTS,2010,DE4,1,12.024
2002,NUTS,2010,DE4,1,11.321
2003,NUTS,2010,DE4,1,15.203
2004,NUTS,2010,DE4,1,14.828
2005,NUTS,2010,DE4,1,12.129
2006,NUTS,2010,DE4,1,12.263
2007,NUTS,2010,DE4,1,13.164
2008,NUTS,2010,DE4,1,15.515
2009,NUTS,2010,DE4,1,9.554
2010,NUTS,2010,DE4,1,9.106
2011,NUTS,2010,DE4,1,11.831
2012,NUTS,2010,DE4,1,7.993
1999,NUTS,2010,DE40,2,5.887
2000,NUTS,2010,DE40,2,13.918
2001,NUTS,2010,DE40,2,12.024
2002,NUTS,2010,DE40,2,11.321
2003,NUTS,2010,DE40,2,15.203
2004,NUTS,2010,DE40,2,14.828
2005,NUTS,2010,DE40,2,12.129
2006,NUTS,2010,DE40,2,12.263
2007,NUTS,2010,DE40,2,13.164
2008,NUTS,2010,DE40,2,15.515
2009,NUTS,2010,DE40,2,9.554
2010,NUTS,2010,DE40,2,9.106
2011,NUTS,2010,DE40,2,11.831
2012,NUTS,2010,DE40,2,7.993
1999,NUTS,2010,DE5,1,3.65
2000,NUTS,2010,DE5,1,6.902
2001,NUTS,2010,DE5,1,6.481
2002,NUTS,2010,DE5,1,4.498
2003,NUTS,2010,DE5,1,15.018
2004,NUTS,2010,DE5,1,9.615
2005,NUTS,2010,DE5,1,5.013
2006,NUTS,2010,DE5,1,11.086
2007,NUTS,2010,DE5,1,18.806
2008,NUTS,2010,DE5,1,8.847
2009,NUTS,2010,DE5,1,6.752
2011,NUTS,2010,DE5,1,17.086
2012,NUTS,2010,DE5,1,1.872
1999,NUTS,2010,DE50,2,3.65
2000,NUTS,2010,DE50,2,6.902
2001,NUTS,2010,DE50,2,6.481
2002,NUTS,2010,DE50,2,4.498
2003,NUTS,2010,DE50,2,15.018
2004,NUTS,2010,DE50,2,9.615
2005,NUTS,2010,DE50,2,5.013
2006,NUTS,2010,DE50,2,11.086
2007,NUTS,2010,DE50,2,18.806
2008,NUTS,2010,DE50,2,8.847
2009,NUTS,2010,DE50,2,6.752
2011,NUTS,2010,DE50,2,17.086
2012,NUTS,2010,DE50,2,1.872
1999,NUTS,2010,DE6,1,3.769
2000,NUTS,2010,DE6,1,18.909
2001,NUTS,2010,DE6,1,15.182
2002,NUTS,2010,DE6,1,13.843
2003,NUTS,2010,DE6,1,15.747
2004,NUTS,2010,DE6,1,6.718
2005,NUTS,2010,DE6,1,7.694
2006,NUTS,2010,DE6,1,5.87
2007,NUTS,2010,DE6,1,11.41
2008,NUTS,2010,DE6,1,8.377
2009,NUTS,2010,DE6,1,6.16
2010,NUTS,2010,DE6,1,7.388
2011,NUTS,2010,DE6,1,14.428
2012,NUTS,2010,DE6,1,14.06
1999,NUTS,2010,DE60,2,3.769
2000,NUTS,2010,DE60,2,18.909
2001,NUTS,2010,DE60,2,15.182
2002,NUTS,2010,DE60,2,13.843
2003,NUTS,2010,DE60,2,15.747
2004,NUTS,2010,DE60,2,6.718
2005,NUTS,2010,DE60,2,7.694
2006,NUTS,2010,DE60,2,5.87
2007,NUTS,2010,DE60,2,11.41
2008,NUTS,2010,DE60,2,8.377
2009,NUTS,2010,DE60,2,6.16
2010,NUTS,2010,DE60,2,7.388
2011,NUTS,2010,DE60,2,14.428
2012,NUTS,2010,DE60,2,14.06
1999,NUTS,2010,DE7,1,28.416
2000,NUTS,2010,DE7,1,36.497
2001,NUTS,2010,DE7,1,29.87
2002,NUTS,2010,DE7,1,29.305
2003,NUTS,2010,DE7,1,25.088
2004,NUTS,2010,DE7,1,36.136
2005,NUTS,2010,DE7,1,26.014
2006,NUTS,2010,DE7,1,27.456
2007,NUTS,2010,DE7,1,30.942
2008,NUTS,2010,DE7,1,18.016
2009,NUTS,2010,DE7,1,23.327
2010,NUTS,2010,DE7,1,21.334
2011,NUTS,2010,DE7,1,23.374
2012,NUTS,2010,DE7,1,19.1
1999,NUTS,2010,DE71,2,37.402
2000,NUTS,2010,DE71,2,45.267
2001,NUTS,2010,DE71,2,41.275
2002,NUTS,2010,DE71,2,43.341
2003,NUTS,2010,DE71,2,37.479
2004,NUTS,2010,DE71,2,51.603
2005,NUTS,2010,DE71,2,37.86
2006,NUTS,2010,DE71,2,40.428
2007,NUTS,2010,DE71,2,44.762
2008,NUTS,2010,DE71,2,25.802
2009,NUTS,2010,DE71,2,32.229
2010,NUTS,2010,DE71,2,31.62
2011,NUTS,2010,DE71,2,34.294
2012,NUTS,2010,DE71,2,25.433
1999,NUTS,2010,DE72,2,24.778
2000,NUTS,2010,DE72,2,40.482
2001,NUTS,2010,DE72,2,19.641
2002,NUTS,2010,DE72,2,10.398
2003,NUTS,2010,DE72,2,3.918
2004,NUTS,2010,DE72,2,11.853
2005,NUTS,2010,DE72,2,11.201
2006,NUTS,2010,DE72,2,4.756
2007,NUTS,2010,DE72,2,13.211
2008,NUTS,2010,DE72,2,6.657
2009,NUTS,2010,DE72,2,13.0
2010,NUTS,2010,DE72,2,4.862
2011,NUTS,2010,DE72,2,7.76
2012,NUTS,2010,DE72,2,14.835
1999,NUTS,2010,DE73,2,3.414
2000,NUTS,2010,DE73,2,5.638
2001,NUTS,2010,DE73,2,2.133
2002,NUTS,2010,DE73,2,0.854
2003,NUTS,2010,DE73,2,3.529
2004,NUTS,2010,DE73,2,7.845
2005,NUTS,2010,DE73,2,1.669
2006,NUTS,2010,DE73,2,5.851
2007,NUTS,2010,DE73,2,2.524
2008,NUTS,2010,DE73,2,3.027
2009,NUTS,2010,DE73,2,3.356
2010,NUTS,2010,DE73,2,2.521
2011,NUTS,2010,DE73,2,2.031
2012,NUTS,2010,DE73,2,2.431
1999,NUTS,2010,DE8,1,5.59
2000,NUTS,2010,DE8,1,1.087
2001,NUTS,2010,DE8,1,4.779
2002,NUTS,2010,DE8,1,6.32
2003,NUTS,2010,DE8,1,1.113
2004,NUTS,2010,DE8,1,8.173
2005,NUTS,2010,DE8,1,5.053
2006,NUTS,2010,DE8,1,5.938
2007,NUTS,2010,DE8,1,9.872
2008,NUTS,2010,DE8,1,12.879
2009,NUTS,2010,DE8,1,1.391
2010,NUTS,2010,DE8,1,0.861
2011,NUTS,2010,DE8,1,1.18
2012,NUTS,2010,DE8,1,1.439
1999,NUTS,2010,DE80,2,5.59
2000,NUTS,2010,DE80,2,1.087
2001,NUTS,2010,DE80,2,4.779
2002,NUTS,2010,DE80,2,6.32
2003,NUTS,2010,DE80,2,1.113
2004,NUTS,2010,DE80,2,8.173
2005,NUTS,2010,DE80,2,5.053
2006,NUTS,2010,DE80,2,5.938
2007,NUTS,2010,DE80,2,9.872
2008,NUTS,2010,DE80,2,12.879
2009,NUTS,2010,DE80,2,1.391
2010,NUTS,2010,DE80,2,0.861
2011,NUTS,2010,DE80,2,1.18
2012,NUTS,2010,DE80,2,1.439
1999,NUTS,2010,DE9,1,49.431
2000,NUTS,2010,DE9,1,37.416
2001,NUTS,2010,DE9,1,37.475
2002,NUTS,2010,DE9,1,32.731
2003,NUTS,2010,DE9,1,36.024
2004,NUTS,2010,DE9,1,32.556
2005,NUTS,2010,DE9,1,22.076
2006,NUTS,2010,DE9,1,13.646
2007,NUTS,2010,DE9,1,16.686
2008,NUTS,2010,DE9,1,20.81
2009,NUTS,2010,DE9,1,14.335
2010,NUTS,2010,DE9,1,14.591
2011,NUTS,2010,DE9,1,14.226
2012,NUTS,2010,DE9,1,11.108
1999,NUTS,2010,DE91,2,48.598
2000,NUTS,2010,DE91,2,37.359
2001,NUTS,2010,DE91,2,53.433
2002,NUTS,2010,DE91,2,38.532
2003,NUTS,2010,DE91,2,50.277
2004,NUTS,2010,DE91,2,21.589
2005,NUTS,2010,DE91,2,17.387
2006,NUTS,2010,DE91,2,9.541
2007,NUTS,2010,DE91,2,8.318
2008,NUTS,2010,DE91,2,14.367
2009,NUTS,2010,DE91,2,13.279
2010,NUTS,2010,DE91,2,11.912
2011,NUTS,2010,DE91,2,12.598
2012,NUTS,2010,DE91,2,10.795
1999,NUTS,2010,DE92,2,126.37
2000,NUTS,2010,DE92,2,88.295
2001,NUTS,2010,DE92,2,83.687
2002,NUTS,2010,DE92,2,81.769
2003,NUTS,2010,DE92,2,84.93
2004,NUTS,2010,DE92,2,88.983
2005,NUTS,2010,DE92,2,54.022
2006,NUTS,2010,DE92,2,34.027
2007,NUTS,2010,DE92,2,45.097
2008,NUTS,2010,DE92,2,51.692
2009,NUTS,2010,DE92,2,35.596
2010,NUTS,2010,DE92,2,38.647
2011,NUTS,2010,DE92,2,34.438
2012,NUTS,2010,DE92,2,27.583
1999,NUTS,2010,DE93,2,16.719
2000,NUTS,2010,DE93,2,15.992
2001,NUTS,2010,DE93,2,10.651
2002,NUTS,2010,DE93,2,6.567
2003,NUTS,2010,DE93,2,6.742
2004,NUTS,2010,DE93,2,14.289
2005,NUTS,2010,DE93,2,11.672
2006,NUTS,2010,DE93,2,10.398
2007,NUTS,2010,DE93,2,10.036
2008,NUTS,2010,DE93,2,12.975
2009,NUTS,2010,DE93,2,6.047
2010,NUTS,2010,DE93,2,3.812
2011,NUTS,2010,DE93,2,6.028
2012,NUTS,2010,DE93,2,5.382
1999,NUTS,2010,DE94,2,3.034
2000,NUTS,2010,DE94,2,7.096
2001,NUTS,2010,DE94,2,4.6
2002,NUTS,2010,DE94,2,4.05
2003,NUTS,2010,DE94,2,3.576
2004,NUTS,2010,DE94,2,1.961
2005,NUTS,2010,DE94,2,4.22
2006,NUTS,2010,DE94,2,0.425
2007,NUTS,2010,DE94,2,1.695
2008,NUTS,2010,DE94,2,3.267
2009,NUTS,2010,DE94,2,2.085
2010,NUTS,2010,DE94,2,3.268
2011,NUTS,2010,DE94,2,3.613
2012,NUTS,2010,DE94,2,0.972
1999,NUTS,2010,DEA,1,33.422
2000,NUTS,2010,DEA,1,34.656
2001,NUTS,2010,DEA,1,33.221
2002,NUTS,2010,DEA,1,30.766
2003,NUTS,2010,DEA,1,31.449
2004,NUTS,2010,DEA,1,27.681
2005,NUTS,2010,DEA,1,24.17
2006,NUTS,2010,DEA,1,18.423
2007,NUTS,2010,DEA,1,19.301
2008,NUTS,2010,DEA,1,17.001
2009,NUTS,2010,DEA,1,17.645
2010,NUTS,2010,DEA,1,18.282
2011,NUTS,2010,DEA,1,16.022
2012,NUTS,2010,DEA,1,12.032
1999,NUTS,2010,DEA1,2,27.569
2000,NUTS,2010,DEA1,2,31.159
2001,NUTS,2010,DEA1,2,22.647
2002,NUTS,2010,DEA1,2,22.37
2003,NUTS,2010,DEA1,2,23.078
2004,NUTS,2010,DEA1,2,19.035
2005,NUTS,2010,DEA1,2,20.591
2006,NUTS,2010,DEA1,2,17.679
2007,NUTS,2010,DEA1,2,21.192
2008,NUTS,2010,DEA1,2,12.726
2009,NUTS,2010,DEA1,2,12.913
2010,NUTS,2010,DEA1,2,16.32
2011,NUTS,2010,DEA1,2,8.512
2012,NUTS,2010,DEA1,2,8.029
1999,NUTS,2010,DEA2,2,57.849
2000,NUTS,2010,DEA2,2,55.912
2001,NUTS,2010,DEA2,2,68.56
2002,NUTS,2010,DEA2,2,55.307
2003,NUTS,2010,DEA2,2,63.615
2004,NUTS,2010,DEA2,2,59.441
2005,NUTS,2010,DEA2,2,46.033
2006,NUTS,2010,DEA2,2,27.127
2007,NUTS,2010,DEA2,2,25.973
2008,NUTS,2010,DEA2,2,31.256
2009,NUTS,2010,DEA2,2,35.496
2010,NUTS,2010,DEA2,2,26.98
2011,NUTS,2010,DEA2,2,25.446
2012,NUTS,2010,DEA2,2,15.015
1999,NUTS,2010,DEA3,2,22.458
2000,NUTS,2010,DEA3,2,27.34
2001,NUTS,2010,DEA3,2,25.779
2002,NUTS,2010,DEA3,2,26.066
2003,NUTS,2010,DEA3,2,19.285
2004,NUTS,2010,DEA3,2,9.787
2005,NUTS,2010,DEA3,2,12.089
2006,NUTS,2010,DEA3,2,9.649
2007,NUTS,2010,DEA3,2,9.985
2008,NUTS,2010,DEA3,2,11.925
2009,NUTS,2010,DEA3,2,9.454
2010,NUTS,2010,DEA3,2,7.084
2011,NUTS,2010,DEA3,2,10.226
2012,NUTS,2010,DEA3,2,5.455
1999,NUTS,2010,DEA4,2,29.034
2000,NUTS,2010,DEA4,2,21.7
2001,NUTS,2010,DEA4,2,11.746
2002,NUTS,2010,DEA4,2,22.058
2003,NUTS,2010,DEA4,2,29.051
2004,NUTS,2010,DEA4,2,23.507
2005,NUTS,2010,DEA4,2,24.358
2006,NUTS,2010,DEA4,2,17.614
2007,NUTS,2010,DEA4,2,16.97
2008,NUTS,2010,DEA4,2,15.998
2009,NUTS,2010,DEA4,2,11.35
2010,NUTS,2010,DEA4,2,11.759
2011,NUTS,2010,DEA4,2,9.125
2012,NUTS,2010,DEA4,2,15.011
1999,NUTS,2010,DEA5,2,23.25
2000,NUTS,2010,DEA5,2,27.096
2001,NUTS,2010,DEA5,2,24.575
2002,NUTS,2010,DEA5,2,22.363
2003,NUTS,2010,DEA5,2,15.823
2004,NUTS,2010,DEA5,2,18.032
2005,NUTS,2010,DEA5,2,11.743
2006,NUTS,2010,DEA5,2,15.796
2007,NUTS,2010,DEA5,2,16.458
2008,NUTS,2010,DEA5,2,10.02
2009,NUTS,2010,DEA5,2,12.033
2010,NUTS,2010,DEA5,2,22.354
2011,NUTS,2010,DEA5,2,23.54
2012,NUTS,2010,DEA5,2,17.21
1999,NUTS,2010,DEB,1,20.029
2000,NUTS,2010,DEB,1,19.177
2001,NUTS,2010,DEB,1,15.451
2002,NUTS,2010,DEB,1,12.591
2003,NUTS,2010,DEB,1,10.201
2004,NUTS,2010,DEB,1,10.151
2005,NUTS,2010,DEB,1,9.463
2006,NUTS,2010,DEB,1,7.165
2007,NUTS,2010,DEB,1,10.826
2008,NUTS,2010,DEB,1,8.679
2009,NUTS,2010,DEB,1,10.335
2010,NUTS,2010,DEB,1,6.671
2011,NUTS,2010,DEB,1,10.543
2012,NUTS,2010,DEB,1,1.82
1999,NUTS,2010,DEB1,2,12.513
2002,NUTS,2010,DEB1,2,3.263
2003,NUTS,2010,DEB1,2,4.46
2004,NUTS,2010,DEB1,2,5.019
2005,NUTS,2010,DEB1,2,5.927
2006,NUTS,2010,DEB1,2,3.004
2007,NUTS,2010,DEB1,2,4.587
2008,NUTS,2010,DEB1,2,6.286
2009,NUTS,2010,DEB1,2,13.624
2010,NUTS,2010,DEB1,2,5.615
2011,NUTS,2010,DEB1,2,9.4
2012,NUTS,2010,DEB1,2,1.714
1999,NUTS,2010,DEB2,2,13.624
2002,NUTS,2010,DEB2,2,7.821
2004,NUTS,2010,DEB2,2,4.225
2005,NUTS,2010,DEB2,2,6.032
2006,NUTS,2010,DEB2,2,1.92
2007,NUTS,2010,DEB2,2,5.017
2008,NUTS,2010,DEB2,2,7.394
2009,NUTS,2010,DEB2,2,2.163
2010,NUTS,2010,DEB2,2,2.467
1999,NUTS,2010,DEB3,2,27.039
2002,NUTS,2010,DEB3,2,20.607
2003,NUTS,2010,DEB3,2,17.023
2004,NUTS,2010,DEB3,2,15.497
2005,NUTS,2010,DEB3,2,13.062
2006,NUTS,2010,DEB3,2,11.608
2007,NUTS,2010,DEB3,2,16.963
2008,NUTS,2010,DEB3,2,10.768
2009,NUTS,2010,DEB3,2,10.087
2010,NUTS,2010,DEB3,2,8.614
2011,NUTS,2010,DEB3,2,14.212
2012,NUTS,2010,DEB3,2,2.378
1999,NUTS,2010,DEC,1,8.66
2000,NUTS,2010,DEC,1,6.796
2001,NUTS,2010,DEC,1,2.065
2002,NUTS,2010,DEC,1,4.54
2003,NUTS,2010,DEC,1,0.717
2004,NUTS,2010,DEC,1,0.151
2005,NUTS,2010,DEC,1,3.455
2006,NUTS,2010,DEC,1,4.945
2007,NUTS,2010,DEC,1,3.83
2008,NUTS,2010,DEC,1,4.439
2009,NUTS,2010,DEC,1,1.302
2010,NUTS,2010,DEC,1,3.647
2011,NUTS,2010,DEC,1,2.743
2012,NUTS,2010,DEC,1,3.324
1999,NUTS,2010,DED,1,2.109
2000,NUTS,2010,DED,1,8.822
2001,NUTS,2010,DED,1,6.518
2002,NUTS,2010,DED,1,5.079
2003,NUTS,2010,DED,1,6.111
2004,NUTS,2010,DED,1,7.596
2005,NUTS,2010,DED,1,7.992
2006,NUTS,2010,DED,1,8.862
2007,NUTS,2010,DED,1,7.339
2008,NUTS,2010,DED,1,6.102
2009,NUTS,2010,DED,1,9.89
2010,NUTS,2010,DED,1,7.483
2011,NUTS,2010,DED,1,9.444
2012,NUTS,2010,DED,1,6.927
2000,NUTS,2010,DED2,2,13.769
2001,NUTS,2010,DED2,2,10.688
2002,NUTS,2010,DED2,2,10.007
2003,NUTS,2010,DED2,2,13.061
2004,NUTS,2010,DED2,2,16.633
2005,NUTS,2010,DED2,2,17.79
2006,NUTS,2010,DED2,2,19.595
2007,NUTS,2010,DED2,2,11.737
2008,NUTS,2010,DED2,2,10.536
2009,NUTS,2010,DED2,2,18.346
2010,NUTS,2010,DED2,2,13.619
2011,NUTS,2010,DED2,2,20.467
2012,NUTS,2010,DED2,2,6.75
2005,NUTS,2010,DED4,2,2.981
2006,NUTS,2010,DED4,2,2.617
2007,NUTS,2010,DED4,2,5.999
2008,NUTS,2010,DED4,2,1.943
2009,NUTS,2010,DED4,2,5.708
2010,NUTS,2010,DED4,2,4.169
2011,NUTS,2010,DED4,2,3.295
2012,NUTS,2010,DED4,2,3.042
2006,NUTS,2010,DED5,2,1.388
2007,NUTS,2010,DED5,2,2.323
2008,NUTS,2010,DED5,2,5.355
2009,NUTS,2010,DED5,2,2.792
2010,NUTS,2010,DED5,2,2.574
2011,NUTS,2010,DED5,2,0.964
2012,NUTS,2010,DED5,2,12.787
1999,NUTS,2010,DEE,1,2.214
2000,NUTS,2010,DEE,1,3.66
2001,NUTS,2010,DEE,1,0.702
2002,NUTS,2010,DEE,1,1.956
2003,NUTS,2010,DEE,1,1.422
2004,NUTS,2010,DEE,1,0.776
2005,NUTS,2010,DEE,1,0.776
2006,NUTS,2010,DEE,1,1.807
2007,NUTS,2010,DEE,1,0.573
2008,NUTS,2010,DEE,1,0.791
2010,NUTS,2010,DEE,1,0.695
2011,NUTS,2010,DEE,1,0.901
2012,NUTS,2010,DEE,1,1.29
1999,NUTS,2010,DEE0,2,2.214
2000,NUTS,2010,DEE0,2,3.66
2001,NUTS,2010,DEE0,2,0.702
2002,NUTS,2010,DEE0,2,1.956
2003,NUTS,2010,DEE0,2,1.422
2004,NUTS,2010,DEE0,2,0.776
2005,NUTS,2010,DEE0,2,0.776
2006,NUTS,2010,DEE0,2,1.807
2007,NUTS,2010,DEE0,2,0.573
2008,NUTS,2010,DEE0,2,0.791
2010,NUTS,2010,DEE0,2,0.695
2011,NUTS,2010,DEE0,2,0.901
2012,NUTS,2010,DEE0,2,1.29
1999,NUTS,2010,DEF,1,12.301
2000,NUTS,2010,DEF,1,17.257
2001,NUTS,2010,DEF,1,9.16
2002,NUTS,2010,DEF,1,2.857
2003,NUTS,2010,DEF,1,12.504
2004,NUTS,2010,DEF,1,7.801
2005,NUTS,2010,DEF,1,6.532
2006,NUTS,2010,DEF,1,7.126
2007,NUTS,2010,DEF,1,5.746
2008,NUTS,2010,DEF,1,7.187
2009,NUTS,2010,DEF,1,4.872
2010,NUTS,2010,DEF,1,6.303
2011,NUTS,2010,DEF,1,5.561
2012,NUTS,2010,DEF,1,4.643
1999,NUTS,2010,DEF0,2,12.301
2000,NUTS,2010,DEF0,2,17.257
2001,NUTS,2010,DEF0,2,9.16
2002,NUTS,2010,DEF0,2,2.857
2003,NUTS,2010,DEF0,2,12.504
2004,NUTS,2010,DEF0,2,7.801
2005,NUTS,2010,DEF0,2,6.532
2006,NUTS,2010,DEF0,2,7.126
2007,NUTS,2010,DEF0,2,5.746
2008,NUTS,2010,DEF0,2,7.187
2009,NUTS,2010,DEF0,2,4.872
2010,NUTS,2010,DEF0,2,6.303
2011,NUTS,2010,DEF0,2,5.561
2012,NUTS,2010,DEF0,2,4.643
1999,NUTS,2010,DEG,1,3.528
2000,NUTS,2010,DEG,1,7.935
2001,NUTS,2010,DEG,1,6.715
2002,NUTS,2010,DEG,1,8.361
2003,NUTS,2010,DEG,1,13.85
2004,NUTS,2010,DEG,1,8.482
2005,NUTS,2010,DEG,1,12.161
2006,NUTS,2010,DEG,1,12.52
2007,NUTS,2010,DEG,1,14.152
2008,NUTS,2010,DEG,1,17.317
2009,NUTS,2010,DEG,1,16.864
2010,NUTS,2010,DEG,1,15.516
2011,NUTS,2010,DEG,1,7.634
2012,NUTS,2010,DEG,1,12.194
1999,NUTS,2010,DEG0,2,3.528
2000,NUTS,2010,DEG0,2,7.935
2001,NUTS,2010,DEG0,2,6.715
