year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_f_hc
2017,NUTS,2010,DED,1,3502.0
2019,NUTS,2010,DED,1,3722.0
2017,NUTS,2010,DED2,2,1750.0
2019,NUTS,2010,DED2,2,1857.0
2017,NUTS,2010,DED4,2,1347.0
2019,NUTS,2010,DED4,2,1455.0
2017,NUTS,2010,DED5,2,405.0
2019,NUTS,2010,DED5,2,410.0
2017,NUTS,2010,DEE,1,877.0
2019,NUTS,2010,DEE,1,938.0
2017,NUTS,2010,DEE0,2,877.0
2019,NUTS,2010,DEE0,2,938.0
2017,NUTS,2010,DEF,1,1458.0
2019,NUTS,2010,DEF,1,1607.0
2017,NUTS,2010,DEF0,2,1458.0
2019,NUTS,2010,DEF0,2,1607.0
2017,NUTS,2010,DEG,1,1523.0
2019,NUTS,2010,DEG,1,1661.0
2017,NUTS,2010,DEG0,2,1523.0
2019,NUTS,2010,DEG0,2,1661.0
2017,NUTS,2010,DEZ,1,0.0
2019,NUTS,2010,DEZ,1,0.0
2017,NUTS,2010,DEZZ,2,0.0
2019,NUTS,2010,DEZZ,2,0.0
2011,NUTS,2010,DK,0,14188.0
2012,NUTS,2010,DK,0,12928.0
2013,NUTS,2010,DK,0,12538.0
2015,NUTS,2010,DK,0,12773.0
2017,NUTS,2010,DK,0,14138.0
2019,NUTS,2010,DK,0,14072.0
2011,NUTS,2010,DK0,1,13326.0
2013,NUTS,2010,DK0,1,13930.0
2015,NUTS,2010,DK0,1,12773.0
2017,NUTS,2010,DK0,1,14138.0
2019,NUTS,2010,DK0,1,14072.0
2011,NUTS,2010,DK01,2,9895.0
2013,NUTS,2010,DK01,2,10533.0
2015,NUTS,2010,DK01,2,9427.0
2017,NUTS,2010,DK01,2,10788.0
2019,NUTS,2010,DK01,2,10548.0
2011,NUTS,2010,DK02,2,585.0
2013,NUTS,2010,DK02,2,634.0
2015,NUTS,2010,DK02,2,489.0
2017,NUTS,2010,DK02,2,846.0
2019,NUTS,2010,DK02,2,657.0
2011,NUTS,2010,DK03,2,1260.0
2013,NUTS,2010,DK03,2,1193.0
2015,NUTS,2010,DK03,2,1595.0
2017,NUTS,2010,DK03,2,1029.0
2019,NUTS,2010,DK03,2,1245.0
2011,NUTS,2010,DK04,2,1392.0
2013,NUTS,2010,DK04,2,1364.0
2015,NUTS,2010,DK04,2,989.0
2017,NUTS,2010,DK04,2,1189.0
2019,NUTS,2010,DK04,2,1335.0
2011,NUTS,2010,DK05,2,195.0
2013,NUTS,2010,DK05,2,206.0
2015,NUTS,2010,DK05,2,273.0
2017,NUTS,2010,DK05,2,286.0
2019,NUTS,2010,DK05,2,287.0
2011,NUTS,2010,EA19,2,295757.0
2013,NUTS,2010,EA19,2,317466.0
2015,NUTS,2010,EA19,2,344124.0
2017,NUTS,2010,EA19,2,393374.0
2019,NUTS,2010,EA19,2,443294.0
2011,NUTS,2010,EE,0,1103.0
2012,NUTS,2010,EE,0,905.0
2013,NUTS,2010,EE,0,870.0
2014,NUTS,2010,EE,0,930.0
2015,NUTS,2010,EE,0,779.0
2016,NUTS,2010,EE,0,742.0
2017,NUTS,2010,EE,0,817.0
2018,NUTS,2010,EE,0,883.0
2019,NUTS,2010,EE,0,1110.0
2011,NUTS,2010,EL,0,3139.0
2013,NUTS,2010,EL,0,3051.0
2015,NUTS,2010,EL,0,3653.0
2017,NUTS,2010,EL,0,6787.0
2019,NUTS,2010,EL,0,6843.0
2011,NUTS,2010,EL3,1,2091.0
2011,NUTS,2010,EL30,2,2091.0
2011,NUTS,2010,EL4,1,59.0
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,1.0
2011,NUTS,2010,EL43,2,58.0
2011,NUTS,2010,EL5,1,763.0
2011,NUTS,2010,EL51,2,74.0
2011,NUTS,2010,EL52,2,637.0
2011,NUTS,2010,EL53,2,23.0
2011,NUTS,2010,EL54,2,29.0
2011,NUTS,2010,EL6,1,226.0
2011,NUTS,2010,EL61,2,23.0
2011,NUTS,2010,EL62,2,9.0
2011,NUTS,2010,EL63,2,71.0
2011,NUTS,2010,EL64,2,87.0
2011,NUTS,2010,EL65,2,36.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,37858.0
2012,NUTS,2010,ES,0,37672.0
2013,NUTS,2010,ES,0,38393.0
2014,NUTS,2010,ES,0,37764.0
2015,NUTS,2010,ES,0,38372.0
2016,NUTS,2010,ES,0,38804.0
2017,NUTS,2010,ES,0,41302.0
2018,NUTS,2010,ES,0,45033.0
2019,NUTS,2010,ES,0,46818.0
2011,NUTS,2010,ES1,1,2634.0
2012,NUTS,2010,ES1,1,2575.0
2013,NUTS,2010,ES1,1,2666.0
2014,NUTS,2010,ES1,1,2601.0
2015,NUTS,2010,ES1,1,2399.0
2016,NUTS,2010,ES1,1,2394.0
2017,NUTS,2010,ES1,1,2814.0
2018,NUTS,2010,ES1,1,2981.0
2019,NUTS,2010,ES1,1,3096.0
2011,NUTS,2010,ES11,2,1617.0
2012,NUTS,2010,ES11,2,1601.0
2013,NUTS,2010,ES11,2,1706.0
2014,NUTS,2010,ES11,2,1667.0
2015,NUTS,2010,ES11,2,1583.0
2016,NUTS,2010,ES11,2,1543.0
2017,NUTS,2010,ES11,2,1887.0
2018,NUTS,2010,ES11,2,2008.0
2019,NUTS,2010,ES11,2,2078.0
2011,NUTS,2010,ES12,2,748.0
2012,NUTS,2010,ES12,2,699.0
2013,NUTS,2010,ES12,2,705.0
2014,NUTS,2010,ES12,2,701.0
2015,NUTS,2010,ES12,2,569.0
2016,NUTS,2010,ES12,2,590.0
2017,NUTS,2010,ES12,2,623.0
2018,NUTS,2010,ES12,2,639.0
2019,NUTS,2010,ES12,2,699.0
2011,NUTS,2010,ES13,2,268.0
2012,NUTS,2010,ES13,2,275.0
2013,NUTS,2010,ES13,2,256.0
2014,NUTS,2010,ES13,2,234.0
2015,NUTS,2010,ES13,2,247.0
2016,NUTS,2010,ES13,2,261.0
2017,NUTS,2010,ES13,2,305.0
2018,NUTS,2010,ES13,2,334.0
2019,NUTS,2010,ES13,2,319.0
2011,NUTS,2010,ES2,1,7730.0
2012,NUTS,2010,ES2,1,7578.0
2013,NUTS,2010,ES2,1,7387.0
2014,NUTS,2010,ES2,1,7282.0
2015,NUTS,2010,ES2,1,7420.0
2016,NUTS,2010,ES2,1,7390.0
2017,NUTS,2010,ES2,1,7855.0
2018,NUTS,2010,ES2,1,8420.0
2019,NUTS,2010,ES2,1,8500.0
2011,NUTS,2010,ES21,2,5203.0
2012,NUTS,2010,ES21,2,5231.0
2013,NUTS,2010,ES21,2,5158.0
2014,NUTS,2010,ES21,2,5078.0
2015,NUTS,2010,ES21,2,5178.0
2016,NUTS,2010,ES21,2,5055.0
2017,NUTS,2010,ES21,2,5470.0
2018,NUTS,2010,ES21,2,5870.0
2019,NUTS,2010,ES21,2,5898.0
2011,NUTS,2010,ES22,2,1190.0
2012,NUTS,2010,ES22,2,1038.0
2013,NUTS,2010,ES22,2,1031.0
2014,NUTS,2010,ES22,2,967.0
2015,NUTS,2010,ES22,2,1028.0
2016,NUTS,2010,ES22,2,1079.0
2017,NUTS,2010,ES22,2,1100.0
2018,NUTS,2010,ES22,2,1166.0
2019,NUTS,2010,ES22,2,1217.0
2011,NUTS,2010,ES23,2,363.0
2012,NUTS,2010,ES23,2,356.0
2013,NUTS,2010,ES23,2,325.0
2014,NUTS,2010,ES23,2,360.0
2015,NUTS,2010,ES23,2,365.0
2016,NUTS,2010,ES23,2,325.0
2017,NUTS,2010,ES23,2,359.0
2018,NUTS,2010,ES23,2,334.0
2019,NUTS,2010,ES23,2,332.0
2011,NUTS,2010,ES24,2,974.0
2012,NUTS,2010,ES24,2,952.0
2013,NUTS,2010,ES24,2,873.0
2014,NUTS,2010,ES24,2,877.0
2015,NUTS,2010,ES24,2,849.0
2016,NUTS,2010,ES24,2,931.0
2017,NUTS,2010,ES24,2,926.0
2018,NUTS,2010,ES24,2,1049.0
2019,NUTS,2010,ES24,2,1053.0
2011,NUTS,2010,ES3,1,8947.0
2012,NUTS,2010,ES3,1,9039.0
2013,NUTS,2010,ES3,1,9553.0
2014,NUTS,2010,ES3,1,9272.0
2015,NUTS,2010,ES3,1,9871.0
2016,NUTS,2010,ES3,1,9773.0
2017,NUTS,2010,ES3,1,10005.0
2018,NUTS,2010,ES3,1,10741.0
