year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2017,NUTS,2010,DE71,2,0.1064
2018,NUTS,2010,DE71,2,0.1163
2019,NUTS,2010,DE71,2,0.1155
2015,NUTS,2010,DE72,2,0.0278
2016,NUTS,2010,DE72,2,0.0321
2017,NUTS,2010,DE72,2,0.0394
2018,NUTS,2010,DE72,2,0.0403
2019,NUTS,2010,DE72,2,0.037
2015,NUTS,2010,DE73,2,0.0172
2016,NUTS,2010,DE73,2,0.0192
2017,NUTS,2010,DE73,2,0.0225
2018,NUTS,2010,DE73,2,0.0163
2019,NUTS,2010,DE73,2,0.0171
2015,NUTS,2010,DE8,1,0.1132
2016,NUTS,2010,DE8,1,0.1158
2017,NUTS,2010,DE8,1,0.1308
2018,NUTS,2010,DE8,1,0.1462
2019,NUTS,2010,DE8,1,0.1466
2015,NUTS,2010,DE80,2,0.1132
2016,NUTS,2010,DE80,2,0.1158
2017,NUTS,2010,DE80,2,0.1308
2018,NUTS,2010,DE80,2,0.1462
2019,NUTS,2010,DE80,2,0.1466
2015,NUTS,2010,DE9,1,0.0878
2016,NUTS,2010,DE9,1,0.0844
2017,NUTS,2010,DE9,1,0.0821
2018,NUTS,2010,DE9,1,0.0871
2019,NUTS,2010,DE9,1,0.0866
2015,NUTS,2010,DE91,2,0.3101
2016,NUTS,2010,DE91,2,0.3191
2017,NUTS,2010,DE91,2,0.3013
2018,NUTS,2010,DE91,2,0.3013
2019,NUTS,2010,DE91,2,0.303
2015,NUTS,2010,DE92,2,0.0566
2016,NUTS,2010,DE92,2,0.0565
2017,NUTS,2010,DE92,2,0.0545
2018,NUTS,2010,DE92,2,0.0735
2019,NUTS,2010,DE92,2,0.0736
2015,NUTS,2010,DE93,2,0.0112
2016,NUTS,2010,DE93,2,0.0086
2017,NUTS,2010,DE93,2,0.0127
2018,NUTS,2010,DE93,2,0.0113
2019,NUTS,2010,DE93,2,0.0121
2015,NUTS,2010,DE94,2,0.0278
2016,NUTS,2010,DE94,2,0.0167
2017,NUTS,2010,DE94,2,0.0169
2018,NUTS,2010,DE94,2,0.0186
2019,NUTS,2010,DE94,2,0.0155
2015,NUTS,2010,DEA,1,0.087
2016,NUTS,2010,DEA,1,0.0877
2017,NUTS,2010,DEA,1,0.0891
2018,NUTS,2010,DEA,1,0.0941
2019,NUTS,2010,DEA,1,0.0973
2015,NUTS,2010,DEA1,2,0.0397
2016,NUTS,2010,DEA1,2,0.0346
2017,NUTS,2010,DEA1,2,0.0377
2018,NUTS,2010,DEA1,2,0.0426
2019,NUTS,2010,DEA1,2,0.043
2015,NUTS,2010,DEA2,2,0.2455
2016,NUTS,2010,DEA2,2,0.2479
2017,NUTS,2010,DEA2,2,0.2479
2018,NUTS,2010,DEA2,2,0.2615
2019,NUTS,2010,DEA2,2,0.2736
2015,NUTS,2010,DEA3,2,0.0188
2016,NUTS,2010,DEA3,2,0.0169
2017,NUTS,2010,DEA3,2,0.0212
2018,NUTS,2010,DEA3,2,0.0216
2019,NUTS,2010,DEA3,2,0.0204
2015,NUTS,2010,DEA4,2,0.0141
2016,NUTS,2010,DEA4,2,0.0147
2017,NUTS,2010,DEA4,2,0.0171
2018,NUTS,2010,DEA4,2,0.0186
2019,NUTS,2010,DEA4,2,0.0195
2015,NUTS,2010,DEA5,2,0.0492
2016,NUTS,2010,DEA5,2,0.052
2017,NUTS,2010,DEA5,2,0.0523
2018,NUTS,2010,DEA5,2,0.0538
2019,NUTS,2010,DEA5,2,0.0519
2015,NUTS,2010,DEB,1,0.0384
