year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2011,NUTS,2010,EL30,2,0.0106
2013,NUTS,2010,EL30,2,0.0157
2015,NUTS,2010,EL30,2,0.0134
2017,NUTS,2010,EL30,2,0.0166
2019,NUTS,2010,EL30,2,0.013
2011,NUTS,2010,EL4,1,0.0016
2013,NUTS,2010,EL4,1,0.0047
2015,NUTS,2010,EL4,1,0.0041
2017,NUTS,2010,EL4,1,0.0074
2019,NUTS,2010,EL4,1,0.0071
2011,NUTS,2010,EL41,2,0.0015
2013,NUTS,2010,EL41,2,0.0015
2015,NUTS,2010,EL41,2,0.0015
2017,NUTS,2010,EL41,2,0.0043
2019,NUTS,2010,EL41,2,0.0105
2011,NUTS,2010,EL42,2,0.0046
2013,NUTS,2010,EL42,2,0.0063
2015,NUTS,2010,EL42,2,0.0043
2017,NUTS,2010,EL42,2,0.0072
2019,NUTS,2010,EL42,2,0.0083
2011,NUTS,2010,EL43,2,0.0
2013,NUTS,2010,EL43,2,0.0047
2015,NUTS,2010,EL43,2,0.0048
2017,NUTS,2010,EL43,2,0.0084
2019,NUTS,2010,EL43,2,0.0056
2011,NUTS,2010,EL5,1,0.0038
2013,NUTS,2010,EL5,1,0.0069
2015,NUTS,2010,EL5,1,0.0069
2017,NUTS,2010,EL5,1,0.0032
2019,NUTS,2010,EL5,1,0.0052
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.0013
2015,NUTS,2010,EL51,2,0.0013
2017,NUTS,2010,EL51,2,0.0015
2019,NUTS,2010,EL51,2,0.0003
2011,NUTS,2010,EL52,2,0.0052
2013,NUTS,2010,EL52,2,0.01
2015,NUTS,2010,EL52,2,0.0101
2017,NUTS,2010,EL52,2,0.0034
2019,NUTS,2010,EL52,2,0.007
2011,NUTS,2010,EL53,2,0.006
2013,NUTS,2010,EL53,2,0.0058
2015,NUTS,2010,EL53,2,0.0031
2017,NUTS,2010,EL53,2,0.0031
2019,NUTS,2010,EL53,2,0.0061
2011,NUTS,2010,EL54,2,0.0013
2013,NUTS,2010,EL54,2,0.0015
2015,NUTS,2010,EL54,2,0.0015
2017,NUTS,2010,EL54,2,0.0056
2019,NUTS,2010,EL54,2,0.003
2011,NUTS,2010,EL6,1,0.0004
2013,NUTS,2010,EL6,1,0.0009
2015,NUTS,2010,EL6,1,0.0008
2017,NUTS,2010,EL6,1,0.0012
2019,NUTS,2010,EL6,1,0.0019
2011,NUTS,2010,EL61,2,0.0003
2013,NUTS,2010,EL61,2,0.0004
2015,NUTS,2010,EL61,2,0.0004
2017,NUTS,2010,EL61,2,0.0012
2019,NUTS,2010,EL61,2,0.0008
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.0005
2015,NUTS,2010,EL63,2,0.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0008
2013,NUTS,2010,EL64,2,0.0018
2015,NUTS,2010,EL64,2,0.0017
2017,NUTS,2010,EL64,2,0.0016
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0008
2013,NUTS,2010,EL65,2,0.0014
2015,NUTS,2010,EL65,2,0.0014
2017,NUTS,2010,EL65,2,0.0026
2019,NUTS,2010,EL65,2,0.0075
2011,NUTS,2010,ES,0,0.0013
2012,NUTS,2010,ES,0,0.0013
2013,NUTS,2010,ES,0,0.0012
2014,NUTS,2010,ES,0,0.0012
2015,NUTS,2010,ES,0,0.0012
2016,NUTS,2010,ES,0,0.0018
2017,NUTS,2010,ES,0,0.0014
2018,NUTS,2010,ES,0,0.0017
2019,NUTS,2010,ES,0,0.0016
2020,NUTS,2010,ES,0,0.0018
2011,NUTS,2010,ES1,1,0.0017
2012,NUTS,2010,ES1,1,0.0015
2013,NUTS,2010,ES1,1,0.0009
2015,NUTS,2010,ES1,1,0.0007
2016,NUTS,2010,ES1,1,0.0022
2017,NUTS,2010,ES1,1,0.0021
2018,NUTS,2010,ES1,1,0.004
2014,NUTS,2010,ES11,2,0.0002
2015,NUTS,2010,ES11,2,0.0002
2016,NUTS,2010,ES11,2,0.0026
2017,NUTS,2010,ES11,2,0.0027
2018,NUTS,2010,ES11,2,0.0031
2019,NUTS,2010,ES11,2,0.003
2012,NUTS,2010,ES12,2,0.001
2013,NUTS,2010,ES12,2,0.0005
2014,NUTS,2010,ES12,2,0.0006
2015,NUTS,2010,ES12,2,0.0008
2016,NUTS,2010,ES12,2,0.0006
2017,NUTS,2010,ES12,2,0.0005
2018,NUTS,2010,ES12,2,0.0009
2019,NUTS,2010,ES12,2,0.0005
2011,NUTS,2010,ES13,2,0.0103
2015,NUTS,2010,ES13,2,0.0029
2016,NUTS,2010,ES13,2,0.0027
2017,NUTS,2010,ES13,2,0.0022
2018,NUTS,2010,ES13,2,0.0128
2011,NUTS,2010,ES2,1,0.0012
2013,NUTS,2010,ES2,1,0.0014
2015,NUTS,2010,ES2,1,0.0011
2019,NUTS,2010,ES2,1,0.0007
2011,NUTS,2010,ES21,2,0.0013
2012,NUTS,2010,ES21,2,0.0022
2013,NUTS,2010,ES21,2,0.0017
2014,NUTS,2010,ES21,2,0.0013
2015,NUTS,2010,ES21,2,0.0013
2016,NUTS,2010,ES21,2,0.002
2017,NUTS,2010,ES21,2,0.0014
2018,NUTS,2010,ES21,2,0.0013
2019,NUTS,2010,ES21,2,0.0015
2011,NUTS,2010,ES22,2,0.0014
2015,NUTS,2010,ES22,2,0.001
2011,NUTS,2010,ES23,2,0.0016
2012,NUTS,2010,ES23,2,0.003
2014,NUTS,2010,ES23,2,0.0013
2015,NUTS,2010,ES23,2,0.0013
2016,NUTS,2010,ES23,2,0.0005
2017,NUTS,2010,ES23,2,0.0007
2018,NUTS,2010,ES23,2,0.0005
2011,NUTS,2010,ES24,2,0.0007
2012,NUTS,2010,ES24,2,0.0006
2013,NUTS,2010,ES24,2,0.0005
2014,NUTS,2010,ES24,2,0.0002
2015,NUTS,2010,ES24,2,0.0006
2016,NUTS,2010,ES24,2,0.0005
2017,NUTS,2010,ES24,2,0.0005
2018,NUTS,2010,ES24,2,0.0002
2011,NUTS,2010,ES3,1,0.0024
2012,NUTS,2010,ES3,1,0.0027
2013,NUTS,2010,ES3,1,0.0026
2014,NUTS,2010,ES3,1,0.0021
2015,NUTS,2010,ES3,1,0.0025
2016,NUTS,2010,ES3,1,0.0021
2017,NUTS,2010,ES3,1,0.0021
2018,NUTS,2010,ES3,1,0.0027
2019,NUTS,2010,ES3,1,0.0027
2011,NUTS,2010,ES30,2,0.0024
2012,NUTS,2010,ES30,2,0.0027
2013,NUTS,2010,ES30,2,0.0026
2014,NUTS,2010,ES30,2,0.0021
2015,NUTS,2010,ES30,2,0.0025
2016,NUTS,2010,ES30,2,0.0021
2017,NUTS,2010,ES30,2,0.0021
2018,NUTS,2010,ES30,2,0.0027
2019,NUTS,2010,ES30,2,0.0027
2011,NUTS,2010,ES4,1,0.0007
