year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_pc_act_hc
2013,NUTS,2010,DE91,2,0.8783
2014,NUTS,2010,DE91,2,0.91
2015,NUTS,2010,DE91,2,0.8991
2016,NUTS,2010,DE91,2,0.9032
2017,NUTS,2010,DE91,2,0.8995
2018,NUTS,2010,DE91,2,0.8859
2019,NUTS,2010,DE91,2,0.8861
2011,NUTS,2010,DE92,2,0.1404
2012,NUTS,2010,DE92,2,0.1407
2013,NUTS,2010,DE92,2,0.1325
2014,NUTS,2010,DE92,2,0.1575
2015,NUTS,2010,DE92,2,0.1531
2016,NUTS,2010,DE92,2,0.1563
2017,NUTS,2010,DE92,2,0.1508
2018,NUTS,2010,DE92,2,0.1955
2019,NUTS,2010,DE92,2,0.1865
2011,NUTS,2010,DE93,2,0.0443
2012,NUTS,2010,DE93,2,0.0471
2013,NUTS,2010,DE93,2,0.0413
2014,NUTS,2010,DE93,2,0.0332
2015,NUTS,2010,DE93,2,0.0419
2016,NUTS,2010,DE93,2,0.0319
2017,NUTS,2010,DE93,2,0.0457
2018,NUTS,2010,DE93,2,0.0391
2019,NUTS,2010,DE93,2,0.0387
2011,NUTS,2010,DE94,2,0.0527
2012,NUTS,2010,DE94,2,0.053
2013,NUTS,2010,DE94,2,0.0577
2014,NUTS,2010,DE94,2,0.0658
2015,NUTS,2010,DE94,2,0.0606
2016,NUTS,2010,DE94,2,0.0515
2017,NUTS,2010,DE94,2,0.0546
2018,NUTS,2010,DE94,2,0.0585
2019,NUTS,2010,DE94,2,0.0478
2011,NUTS,2010,DEA,1,0.2189
2012,NUTS,2010,DEA,1,0.2232
2013,NUTS,2010,DEA,1,0.2241
2014,NUTS,2010,DEA,1,0.2326
2015,NUTS,2010,DEA,1,0.2349
2016,NUTS,2010,DEA,1,0.2327
2017,NUTS,2010,DEA,1,0.2392
2018,NUTS,2010,DEA,1,0.2493
2019,NUTS,2010,DEA,1,0.2565
2011,NUTS,2010,DEA1,2,0.1006
2012,NUTS,2010,DEA1,2,0.0979
2013,NUTS,2010,DEA1,2,0.0903
2014,NUTS,2010,DEA1,2,0.0986
2015,NUTS,2010,DEA1,2,0.1019
2016,NUTS,2010,DEA1,2,0.0975
2017,NUTS,2010,DEA1,2,0.0992
2018,NUTS,2010,DEA1,2,0.1076
2019,NUTS,2010,DEA1,2,0.1089
2011,NUTS,2010,DEA2,2,0.6447
2012,NUTS,2010,DEA2,2,0.6647
2013,NUTS,2010,DEA2,2,0.6718
2014,NUTS,2010,DEA2,2,0.691
2015,NUTS,2010,DEA2,2,0.6904
2016,NUTS,2010,DEA2,2,0.6684
2017,NUTS,2010,DEA2,2,0.6839
2018,NUTS,2010,DEA2,2,0.7157
2019,NUTS,2010,DEA2,2,0.7406
2011,NUTS,2010,DEA3,2,0.0528
2012,NUTS,2010,DEA3,2,0.0489
2013,NUTS,2010,DEA3,2,0.0498
2014,NUTS,2010,DEA3,2,0.045
2015,NUTS,2010,DEA3,2,0.0432
2016,NUTS,2010,DEA3,2,0.0464
2017,NUTS,2010,DEA3,2,0.0515
2018,NUTS,2010,DEA3,2,0.0506
2019,NUTS,2010,DEA3,2,0.0496
2011,NUTS,2010,DEA4,2,0.0568
2012,NUTS,2010,DEA4,2,0.064
2013,NUTS,2010,DEA4,2,0.057
2014,NUTS,2010,DEA4,2,0.0576
2015,NUTS,2010,DEA4,2,0.0613
2016,NUTS,2010,DEA4,2,0.0685
2017,NUTS,2010,DEA4,2,0.0788
2018,NUTS,2010,DEA4,2,0.0864
2019,NUTS,2010,DEA4,2,0.0887
2011,NUTS,2010,DEA5,2,0.0849
2012,NUTS,2010,DEA5,2,0.085
2013,NUTS,2010,DEA5,2,0.0932
2014,NUTS,2010,DEA5,2,0.1037
2015,NUTS,2010,DEA5,2,0.1069
2016,NUTS,2010,DEA5,2,0.1069
2017,NUTS,2010,DEA5,2,0.1096
2018,NUTS,2010,DEA5,2,0.1103
2019,NUTS,2010,DEA5,2,0.1087
2011,NUTS,2010,DEB,1,0.1174
2012,NUTS,2010,DEB,1,0.1135
