year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_t_pc_emp_hc
2020,NUTS,2010,CZ05,2,0.0027
2011,NUTS,2010,CZ06,2,0.007
2012,NUTS,2010,CZ06,2,0.0061
2013,NUTS,2010,CZ06,2,0.0055
2014,NUTS,2010,CZ06,2,0.0048
2015,NUTS,2010,CZ06,2,0.0025
2016,NUTS,2010,CZ06,2,0.0011
2017,NUTS,2010,CZ06,2,0.0012
2018,NUTS,2010,CZ06,2,0.002
2019,NUTS,2010,CZ06,2,0.002
2020,NUTS,2010,CZ06,2,0.0022
2011,NUTS,2010,CZ07,2,0.0027
2012,NUTS,2010,CZ07,2,0.0022
2013,NUTS,2010,CZ07,2,0.0016
2014,NUTS,2010,CZ07,2,0.0023
2015,NUTS,2010,CZ07,2,0.0011
2016,NUTS,2010,CZ07,2,0.0009
2017,NUTS,2010,CZ07,2,0.0009
2018,NUTS,2010,CZ07,2,0.0005
