year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_fte_t
2015,NUTS,2010,DE13,2,0.1844
2016,NUTS,2010,DE13,2,0.1851
2017,NUTS,2010,DE13,2,0.1907
2018,NUTS,2010,DE13,2,0.1978
2019,NUTS,2010,DE13,2,0.209
2011,NUTS,2010,DE14,2,0.0955
2012,NUTS,2010,DE14,2,0.0925
2013,NUTS,2010,DE14,2,0.0934
2014,NUTS,2010,DE14,2,0.0874
2015,NUTS,2010,DE14,2,0.1014
2016,NUTS,2010,DE14,2,0.1006
2017,NUTS,2010,DE14,2,0.1071
2018,NUTS,2010,DE14,2,0.1099
2019,NUTS,2010,DE14,2,0.1142
2011,NUTS,2010,DE2,1,0.1868
2012,NUTS,2010,DE2,1,0.1904
2013,NUTS,2010,DE2,1,0.198
2014,NUTS,2010,DE2,1,0.1997
2015,NUTS,2010,DE2,1,0.1991
2016,NUTS,2010,DE2,1,0.1962
2017,NUTS,2010,DE2,1,0.1994
2018,NUTS,2010,DE2,1,0.2068
2019,NUTS,2010,DE2,1,0.2104
2011,NUTS,2010,DE21,2,0.4272
2012,NUTS,2010,DE21,2,0.4297
2013,NUTS,2010,DE21,2,0.4417
2014,NUTS,2010,DE21,2,0.4453
2015,NUTS,2010,DE21,2,0.4326
2016,NUTS,2010,DE21,2,0.4223
2017,NUTS,2010,DE21,2,0.4246
2018,NUTS,2010,DE21,2,0.439
2019,NUTS,2010,DE21,2,0.4407
2015,NUTS,2010,DE22,2,0.0111
2016,NUTS,2010,DE22,2,0.011
2017,NUTS,2010,DE22,2,0.01
2018,NUTS,2010,DE22,2,0.0118
2019,NUTS,2010,DE22,2,0.0136
2015,NUTS,2010,DE23,2,0.0331
2016,NUTS,2010,DE23,2,0.0347
2017,NUTS,2010,DE23,2,0.0317
2018,NUTS,2010,DE23,2,0.0348
2019,NUTS,2010,DE23,2,0.034
2011,NUTS,2010,DE24,2,0.0368
2012,NUTS,2010,DE24,2,0.0388
2013,NUTS,2010,DE24,2,0.039
2014,NUTS,2010,DE24,2,0.0557
2015,NUTS,2010,DE24,2,0.0597
2016,NUTS,2010,DE24,2,0.0486
2017,NUTS,2010,DE24,2,0.069
2018,NUTS,2010,DE24,2,0.0683
2019,NUTS,2010,DE24,2,0.0633
2011,NUTS,2010,DE25,2,0.1428
2012,NUTS,2010,DE25,2,0.1397
2013,NUTS,2010,DE25,2,0.1676
2014,NUTS,2010,DE25,2,0.1593
2015,NUTS,2010,DE25,2,0.1694
2016,NUTS,2010,DE25,2,0.1721
2017,NUTS,2010,DE25,2,0.1769
2018,NUTS,2010,DE25,2,0.189
2019,NUTS,2010,DE25,2,0.2039
2011,NUTS,2010,DE26,2,0.0774
2012,NUTS,2010,DE26,2,0.072
2013,NUTS,2010,DE26,2,0.0708
2014,NUTS,2010,DE26,2,0.0525
2015,NUTS,2010,DE26,2,0.058
2016,NUTS,2010,DE26,2,0.0597
2017,NUTS,2010,DE26,2,0.0563
2018,NUTS,2010,DE26,2,0.0571
2019,NUTS,2010,DE26,2,0.0574
2011,NUTS,2010,DE27,2,0.0227
2012,NUTS,2010,DE27,2,0.0244
2013,NUTS,2010,DE27,2,0.0276
2014,NUTS,2010,DE27,2,0.0336
2015,NUTS,2010,DE27,2,0.0356
2016,NUTS,2010,DE27,2,0.0361
2017,NUTS,2010,DE27,2,0.0391
2018,NUTS,2010,DE27,2,0.047
2019,NUTS,2010,DE27,2,0.0512
2011,NUTS,2010,DE3,1,0.6279
2012,NUTS,2010,DE3,1,0.635
2013,NUTS,2010,DE3,1,0.6267
2014,NUTS,2010,DE3,1,0.6464
2015,NUTS,2010,DE3,1,0.6193
2016,NUTS,2010,DE3,1,0.6079
2017,NUTS,2010,DE3,1,0.6217
2018,NUTS,2010,DE3,1,0.641
2019,NUTS,2010,DE3,1,0.6565
2011,NUTS,2010,DE30,2,0.6279
2012,NUTS,2010,DE30,2,0.635
2013,NUTS,2010,DE30,2,0.6267
2014,NUTS,2010,DE30,2,0.6464
2015,NUTS,2010,DE30,2,0.6193
2016,NUTS,2010,DE30,2,0.6079
2017,NUTS,2010,DE30,2,0.6217
2018,NUTS,2010,DE30,2,0.641
2019,NUTS,2010,DE30,2,0.6565
2011,NUTS,2010,DE4,1,0.2863
2012,NUTS,2010,DE4,1,0.2947
2013,NUTS,2010,DE4,1,0.3054
2014,NUTS,2010,DE4,1,0.3229
2015,NUTS,2010,DE4,1,0.3073
2016,NUTS,2010,DE4,1,0.3152
2017,NUTS,2010,DE4,1,0.317
2018,NUTS,2010,DE4,1,0.3199
2019,NUTS,2010,DE4,1,0.3379
2011,NUTS,2010,DE40,2,0.2863
2012,NUTS,2010,DE40,2,0.2947
2013,NUTS,2010,DE40,2,0.3054
2014,NUTS,2010,DE40,2,0.3229
2015,NUTS,2010,DE40,2,0.3073
2016,NUTS,2010,DE40,2,0.3152
2017,NUTS,2010,DE40,2,0.317
2018,NUTS,2010,DE40,2,0.3199
2019,NUTS,2010,DE40,2,0.3379
2011,NUTS,2010,DE5,1,0.6056
2012,NUTS,2010,DE5,1,0.6473
2013,NUTS,2010,DE5,1,0.6735
2014,NUTS,2010,DE5,1,0.7188
2015,NUTS,2010,DE5,1,0.7692
2016,NUTS,2010,DE5,1,0.7353
2017,NUTS,2010,DE5,1,0.7435
2018,NUTS,2010,DE5,1,0.7746
2019,NUTS,2010,DE5,1,0.8
2011,NUTS,2010,DE50,2,0.6056
2012,NUTS,2010,DE50,2,0.6473
2013,NUTS,2010,DE50,2,0.6735
2014,NUTS,2010,DE50,2,0.7188
2015,NUTS,2010,DE50,2,0.7692
2016,NUTS,2010,DE50,2,0.7353
2017,NUTS,2010,DE50,2,0.7435
2018,NUTS,2010,DE50,2,0.7746
2019,NUTS,2010,DE50,2,0.8
2011,NUTS,2010,DE6,1,0.3203
2012,NUTS,2010,DE6,1,0.3244
2013,NUTS,2010,DE6,1,0.3464
2014,NUTS,2010,DE6,1,0.344
2015,NUTS,2010,DE6,1,0.3508
2016,NUTS,2010,DE6,1,0.351
2017,NUTS,2010,DE6,1,0.3439
2018,NUTS,2010,DE6,1,0.3542
2019,NUTS,2010,DE6,1,0.3589
2011,NUTS,2010,DE60,2,0.3203
2012,NUTS,2010,DE60,2,0.3244
2013,NUTS,2010,DE60,2,0.3464
2014,NUTS,2010,DE60,2,0.344
2015,NUTS,2010,DE60,2,0.3508
2016,NUTS,2010,DE60,2,0.351
2017,NUTS,2010,DE60,2,0.3439
2018,NUTS,2010,DE60,2,0.3542
2019,NUTS,2010,DE60,2,0.3589
2011,NUTS,2010,DE7,1,0.1362
2012,NUTS,2010,DE7,1,0.1355
2013,NUTS,2010,DE7,1,0.1354
2014,NUTS,2010,DE7,1,0.136
2015,NUTS,2010,DE7,1,0.1438
2016,NUTS,2010,DE7,1,0.1528
2017,NUTS,2010,DE7,1,0.1626
2018,NUTS,2010,DE7,1,0.1613
2019,NUTS,2010,DE7,1,0.1623
2011,NUTS,2010,DE71,2,0.1978
2012,NUTS,2010,DE71,2,0.1941
2013,NUTS,2010,DE71,2,0.1932
2014,NUTS,2010,DE71,2,0.1936
2015,NUTS,2010,DE71,2,0.1957
2016,NUTS,2010,DE71,2,0.2066
2017,NUTS,2010,DE71,2,0.219
2018,NUTS,2010,DE71,2,0.2242
2019,NUTS,2010,DE71,2,0.2244
2011,NUTS,2010,DE72,2,0.0291
2012,NUTS,2010,DE72,2,0.0284
2013,NUTS,2010,DE72,2,0.0284
