year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_ht_p_mact
2012,NUTS,2010,HU2,1,1.526
2011,NUTS,2010,HU21,2,6.646
2012,NUTS,2010,HU21,2,0.674
2011,NUTS,2010,HU22,2,2.263
2012,NUTS,2010,HU22,2,2.048
2011,NUTS,2010,HU23,2,3.337
2012,NUTS,2010,HU23,2,2.016
2011,NUTS,2010,HU3,1,6.195
2012,NUTS,2010,HU3,1,5.666
2011,NUTS,2010,HU31,2,1.599
2012,NUTS,2010,HU31,2,1.064
2011,NUTS,2010,HU32,2,1.804
2012,NUTS,2010,HU32,2,1.353
2011,NUTS,2010,HU33,2,15.172
2012,NUTS,2010,HU33,2,14.563
2011,NUTS,2010,IE,0,54.373
2012,NUTS,2010,IE,0,29.942
2011,NUTS,2010,IE0,1,51.556
2012,NUTS,2010,IE0,1,28.745
2011,NUTS,2010,IE01,2,49.677
2012,NUTS,2010,IE01,2,27.342
2011,NUTS,2010,IE02,2,52.213
2012,NUTS,2010,IE02,2,29.224
2011,NUTS,2010,IS,0,28.011
2012,NUTS,2010,IS,0,1.848
2011,NUTS,2010,IS0,1,28.011
2012,NUTS,2010,IS0,1,1.848
2011,NUTS,2010,IS00,2,28.011
2012,NUTS,2010,IS00,2,1.848
2011,NUTS,2010,IT,0,15.991
2012,NUTS,2010,IT,0,11.582
2011,NUTS,2010,ITC,1,26.213
2012,NUTS,2010,ITC,1,17.201
2011,NUTS,2010,ITC1,2,29.801
2012,NUTS,2010,ITC1,2,13.635
2011,NUTS,2010,ITC2,2,30.185
2011,NUTS,2010,ITC3,2,47.458
2012,NUTS,2010,ITC3,2,35.512
2011,NUTS,2010,ITC4,2,21.318
2012,NUTS,2010,ITC4,2,16.27
2011,NUTS,2010,ITF,1,5.411
2012,NUTS,2010,ITF,1,4.253
2011,NUTS,2010,ITF1,2,3.06
2012,NUTS,2010,ITF1,2,4.759
2011,NUTS,2010,ITF2,2,1.46
2011,NUTS,2010,ITF3,2,8.054
2012,NUTS,2010,ITF3,2,8.181
2011,NUTS,2010,ITF4,2,4.708
2012,NUTS,2010,ITF4,2,1.361
2011,NUTS,2010,ITF5,2,1.572
2012,NUTS,2010,ITF5,2,1.172
2011,NUTS,2010,ITF6,2,3.36
2012,NUTS,2010,ITF6,2,0.482
2011,NUTS,2010,ITG,1,6.071
2012,NUTS,2010,ITG,1,1.657
2011,NUTS,2010,ITG1,2,7.782
2012,NUTS,2010,ITG1,2,2.325
2011,NUTS,2010,ITG2,2,1.863
2011,NUTS,2010,ITH,1,16.382
2012,NUTS,2010,ITH,1,13.339
2011,NUTS,2010,ITH1,2,24.341
2012,NUTS,2010,ITH1,2,17.489
2011,NUTS,2010,ITH2,2,13.171
2012,NUTS,2010,ITH2,2,0.578
2011,NUTS,2010,ITH3,2,13.201
2012,NUTS,2010,ITH3,2,8.466
2011,NUTS,2010,ITH4,2,19.08
2012,NUTS,2010,ITH4,2,20.618
2011,NUTS,2010,ITH5,2,18.529
2012,NUTS,2010,ITH5,2,17.706
2011,NUTS,2010,ITI,1,14.24
2012,NUTS,2010,ITI,1,12.269
2011,NUTS,2010,ITI1,2,16.829
2012,NUTS,2010,ITI1,2,15.837
2011,NUTS,2010,ITI2,2,4.374
2012,NUTS,2010,ITI2,2,5.772
2011,NUTS,2010,ITI3,2,12.983
2012,NUTS,2010,ITI3,2,7.154
2011,NUTS,2010,ITI4,2,14.391
2012,NUTS,2010,ITI4,2,12.331
2011,NUTS,2010,LT,0,3.712
2012,NUTS,2010,LT,0,8.285
2011,NUTS,2010,LT0,1,3.712
2012,NUTS,2010,LT0,1,8.285
2011,NUTS,2010,LT00,2,3.712
2012,NUTS,2010,LT00,2,8.285
2011,NUTS,2010,LU,0,19.636
2012,NUTS,2010,LU,0,17.397
2011,NUTS,2010,LU0,1,19.636
2012,NUTS,2010,LU0,1,17.397
2011,NUTS,2010,LU00,2,19.636
2012,NUTS,2010,LU00,2,17.397
2011,NUTS,2010,LV,0,0.973
2012,NUTS,2010,LV,0,7.112
2011,NUTS,2010,LV0,1,0.973
2012,NUTS,2010,LV0,1,7.112
2011,NUTS,2010,LV00,2,0.973
2012,NUTS,2010,LV00,2,7.112
2011,NUTS,2010,NL,0,85.461
2012,NUTS,2010,NL,0,61.55
2011,NUTS,2010,NL1,1,20.351
2012,NUTS,2010,NL1,1,9.308
2011,NUTS,2010,NL11,2,30.808
2012,NUTS,2010,NL11,2,16.705
2011,NUTS,2010,NL12,2,25.26
2012,NUTS,2010,NL12,2,6.03
2011,NUTS,2010,NL13,2,0.707
2012,NUTS,2010,NL13,2,4.714
2011,NUTS,2010,NL2,1,24.254
2012,NUTS,2010,NL2,1,16.342
2011,NUTS,2010,NL21,2,13.761
2012,NUTS,2010,NL21,2,12.828
2011,NUTS,2010,NL22,2,33.065
2012,NUTS,2010,NL22,2,20.679
2011,NUTS,2010,NL23,2,9.957
2012,NUTS,2010,NL23,2,4.658
2011,NUTS,2010,NL3,1,43.886
2012,NUTS,2010,NL3,1,28.467
2011,NUTS,2010,NL31,2,34.931
2012,NUTS,2010,NL31,2,16.557
2011,NUTS,2010,NL32,2,44.229
2012,NUTS,2010,NL32,2,27.492
2011,NUTS,2010,NL33,2,49.745
2012,NUTS,2010,NL33,2,36.345
2011,NUTS,2010,NL34,2,15.675
2012,NUTS,2010,NL34,2,1.901
2011,NUTS,2010,NL4,1,267.233
2012,NUTS,2010,NL4,1,202.692
2011,NUTS,2010,NL41,2,349.681
2012,NUTS,2010,NL41,2,255.44
2011,NUTS,2010,NL42,2,76.713
2012,NUTS,2010,NL42,2,80.828
2011,NUTS,2010,NO,0,25.824
2012,NUTS,2010,NO,0,24.0
2011,NUTS,2010,NO0,1,25.442
2012,NUTS,2010,NO0,1,23.726
2011,NUTS,2010,NO01,2,52.44
2012,NUTS,2010,NO01,2,49.403
2011,NUTS,2010,NO02,2,1.765
2011,NUTS,2010,NO03,2,6.027
2012,NUTS,2010,NO03,2,11.787
2011,NUTS,2010,NO04,2,15.727
2012,NUTS,2010,NO04,2,17.714
2011,NUTS,2010,NO05,2,6.976
2011,NUTS,2010,NO06,2,89.566
2012,NUTS,2010,NO06,2,69.556
2011,NUTS,2010,NO07,2,1.368
2012,NUTS,2010,NO07,2,8.251
2011,NUTS,2010,PL,0,3.48
2012,NUTS,2010,PL,0,3.268
2011,NUTS,2010,PL1,1,7.776
2012,NUTS,2010,PL1,1,4.231
2011,NUTS,2010,PL11,2,3.453
2012,NUTS,2010,PL11,2,1.305
2011,NUTS,2010,PL12,2,10.016
2012,NUTS,2010,PL12,2,5.704
2011,NUTS,2010,PL2,1,1.876
2012,NUTS,2010,PL2,1,2.749
2011,NUTS,2010,PL21,2,1.477
2012,NUTS,2010,PL21,2,3.798
2011,NUTS,2010,PL22,2,2.148
2012,NUTS,2010,PL22,2,2.028
2011,NUTS,2010,PL3,1,1.31
2012,NUTS,2010,PL3,1,1.305
2011,NUTS,2010,PL31,2,2.666
2012,NUTS,2010,PL31,2,2.183
2011,NUTS,2010,PL32,2,1.456
2012,NUTS,2010,PL32,2,1.677
2012,NUTS,2010,PL33,2,0.372
2011,NUTS,2010,PL4,1,3.658
2012,NUTS,2010,PL4,1,5.712
2011,NUTS,2010,PL41,2,1.287
2012,NUTS,2010,PL41,2,4.584
2011,NUTS,2010,PL42,2,0.807
2012,NUTS,2010,PL42,2,0.524
2011,NUTS,2010,PL43,2,15.08
2012,NUTS,2010,PL43,2,16.824
2011,NUTS,2010,PL5,1,2.243
2012,NUTS,2010,PL5,1,4.11
2011,NUTS,2010,PL51,2,2.968
2012,NUTS,2010,PL51,2,4.632
2012,NUTS,2010,PL52,2,2.509
2011,NUTS,2010,PL6,1,2.032
2012,NUTS,2010,PL6,1,1.395
2011,NUTS,2010,PL61,2,1.402
2012,NUTS,2010,PL61,2,1.337
2011,NUTS,2010,PL63,2,3.996
2012,NUTS,2010,PL63,2,2.285
2011,NUTS,2010,PT,0,3.907
2012,NUTS,2010,PT,0,1.912
2011,NUTS,2010,PT1,1,3.908
2012,NUTS,2010,PT1,1,1.942
2011,NUTS,2010,PT11,2,3.352
2012,NUTS,2010,PT11,2,1.976
2011,NUTS,2010,PT15,2,2.13
2011,NUTS,2010,PT16,2,3.008
2012,NUTS,2010,PT16,2,1.385
2011,NUTS,2010,PT17,2,6.74
2012,NUTS,2010,PT17,2,3.196
2011,NUTS,2010,PT3,1,7.331
2011,NUTS,2010,PT30,2,7.331
2011,NUTS,2010,RO,0,1.287
2012,NUTS,2010,RO,0,1.372
2011,NUTS,2010,RO1,1,1.479
2012,NUTS,2010,RO1,1,0.643
2011,NUTS,2010,RO11,2,1.677
2011,NUTS,2010,RO12,2,1.237
2012,NUTS,2010,RO12,2,1.448
2012,NUTS,2010,RO2,1,0.741
2012,NUTS,2010,RO21,2,0.834
2012,NUTS,2010,RO22,2,0.607
2011,NUTS,2010,RO3,1,2.442
2012,NUTS,2010,RO3,1,3.501
2011,NUTS,2010,RO31,2,0.18
2012,NUTS,2010,RO31,2,0.473
2011,NUTS,2010,RO32,2,5.204
2012,NUTS,2010,RO32,2,7.286
2011,NUTS,2010,RO4,1,1.176
2011,NUTS,2010,RO42,2,2.65
2011,NUTS,2010,SE,0,143.063
2012,NUTS,2010,SE,0,134.26
2011,NUTS,2010,SE1,1,206.185
2012,NUTS,2010,SE1,1,186.044
2011,NUTS,2010,SE11,2,270.896
2012,NUTS,2010,SE11,2,250.194
2011,NUTS,2010,SE12,2,112.652
2012,NUTS,2010,SE12,2,92.84
2011,NUTS,2010,SE2,1,127.738
2012,NUTS,2010,SE2,1,129.817
2011,NUTS,2010,SE21,2,11.129
2012,NUTS,2010,SE21,2,12.623
2011,NUTS,2010,SE22,2,309.08
2012,NUTS,2010,SE22,2,316.821
2011,NUTS,2010,SE23,2,45.177
2012,NUTS,2010,SE23,2,44.85
2011,NUTS,2010,SE3,1,32.244
2012,NUTS,2010,SE3,1,18.734
2011,NUTS,2010,SE31,2,16.823
2012,NUTS,2010,SE31,2,6.34
2011,NUTS,2010,SE32,2,13.249
2012,NUTS,2010,SE32,2,18.467
2011,NUTS,2010,SE33,2,70.8
2012,NUTS,2010,SE33,2,39.18
2011,NUTS,2010,SI,0,11.605
2012,NUTS,2010,SI,0,6.414
2011,NUTS,2010,SI0,1,11.281
2012,NUTS,2010,SI0,1,6.414
2011,NUTS,2010,SI01,2,4.055
2011,NUTS,2010,SI02,2,19.265
2011,NUTS,2010,SK,0,2.891
2012,NUTS,2010,SK,0,2.435
2011,NUTS,2010,SK0,1,2.425
2012,NUTS,2010,SK0,1,2.435
2011,NUTS,2010,SK01,2,5.995
2012,NUTS,2010,SK01,2,5.707
2011,NUTS,2010,SK02,2,3.412
2012,NUTS,2010,SK02,2,3.434
2011,NUTS,2010,SK03,2,0.494
2012,NUTS,2010,SK03,2,1.85
2011,NUTS,2010,SK04,2,1.333
2012,NUTS,2010,SK04,2,0.264
2011,NUTS,2010,TR,0,1.246
2012,NUTS,2010,TR,0,1.202
