year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2018,NUTS,2010,BG31,2,782.0
2019,NUTS,2010,BG31,2,783.0
2011,NUTS,2010,BG32,2,554.0
2012,NUTS,2010,BG32,2,574.0
2013,NUTS,2010,BG32,2,659.0
2014,NUTS,2010,BG32,2,1040.0
2015,NUTS,2010,BG32,2,994.0
2016,NUTS,2010,BG32,2,755.0
2017,NUTS,2010,BG32,2,907.0
2018,NUTS,2010,BG32,2,1034.0
2019,NUTS,2010,BG32,2,957.0
2011,NUTS,2010,BG33,2,1015.0
2012,NUTS,2010,BG33,2,1099.0
2013,NUTS,2010,BG33,2,1113.0
2014,NUTS,2010,BG33,2,1218.0
2015,NUTS,2010,BG33,2,1264.0
2016,NUTS,2010,BG33,2,1328.0
2017,NUTS,2010,BG33,2,1273.0
2018,NUTS,2010,BG33,2,1404.0
2019,NUTS,2010,BG33,2,1509.0
2011,NUTS,2010,BG34,2,559.0
2012,NUTS,2010,BG34,2,534.0
2013,NUTS,2010,BG34,2,632.0
2014,NUTS,2010,BG34,2,587.0
2015,NUTS,2010,BG34,2,812.0
2016,NUTS,2010,BG34,2,756.0
2017,NUTS,2010,BG34,2,764.0
2018,NUTS,2010,BG34,2,819.0
2019,NUTS,2010,BG34,2,923.0
2011,NUTS,2010,BG4,1,9566.0
2012,NUTS,2010,BG4,1,8723.0
2013,NUTS,2010,BG4,1,9510.0
2014,NUTS,2010,BG4,1,10030.0
2015,NUTS,2010,BG4,1,10649.0
2016,NUTS,2010,BG4,1,12624.0
2017,NUTS,2010,BG4,1,11499.0
2018,NUTS,2010,BG4,1,12482.0
2019,NUTS,2010,BG4,1,12768.0
2011,NUTS,2010,BG41,2,8418.0
2012,NUTS,2010,BG41,2,7951.0
2013,NUTS,2010,BG41,2,8590.0
2014,NUTS,2010,BG41,2,9179.0
2015,NUTS,2010,BG41,2,9562.0
2016,NUTS,2010,BG41,2,11459.0
2017,NUTS,2010,BG41,2,10112.0
2018,NUTS,2010,BG41,2,10793.0
2019,NUTS,2010,BG41,2,10933.0
2011,NUTS,2010,BG42,2,1148.0
2012,NUTS,2010,BG42,2,772.0
2013,NUTS,2010,BG42,2,920.0
2014,NUTS,2010,BG42,2,851.0
2015,NUTS,2010,BG42,2,1087.0
2016,NUTS,2010,BG42,2,1165.0
2017,NUTS,2010,BG42,2,1387.0
2018,NUTS,2010,BG42,2,1689.0
2019,NUTS,2010,BG42,2,1835.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,35785.0
2015,NUTS,2010,CH,0,43740.0
2017,NUTS,2010,CH,0,44273.0
2019,NUTS,2010,CH,0,47699.0
