year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps
2013,NUTS,2010,PL4,1,172.364
2014,NUTS,2010,PL4,1,178.033
2015,NUTS,2010,PL4,1,252.169
2016,NUTS,2010,PL4,1,287.185
2017,NUTS,2010,PL4,1,368.149
2018,NUTS,2010,PL4,1,442.527
2019,NUTS,2010,PL4,1,503.435
2011,NUTS,2010,PL41,2,84.082
2012,NUTS,2010,PL41,2,108.694
2013,NUTS,2010,PL41,2,140.348
2014,NUTS,2010,PL41,2,140.367
2015,NUTS,2010,PL41,2,194.217
2016,NUTS,2010,PL41,2,225.878
2017,NUTS,2010,PL41,2,255.309
2018,NUTS,2010,PL41,2,305.154
2019,NUTS,2010,PL41,2,359.497
2012,NUTS,2010,PL42,2,18.641
2014,NUTS,2010,PL42,2,23.192
2015,NUTS,2010,PL42,2,34.861
2016,NUTS,2010,PL42,2,38.989
2017,NUTS,2010,PL42,2,63.749
2018,NUTS,2010,PL42,2,71.359
2012,NUTS,2010,PL43,2,11.022
2014,NUTS,2010,PL43,2,14.515
2015,NUTS,2010,PL43,2,23.091
2016,NUTS,2010,PL43,2,22.319
2017,NUTS,2010,PL43,2,49.092
2018,NUTS,2010,PL43,2,66.015
2011,NUTS,2010,PL5,1,156.95
2012,NUTS,2010,PL5,1,214.532
2013,NUTS,2010,PL5,1,209.785
2014,NUTS,2010,PL5,1,269.827
2015,NUTS,2010,PL5,1,324.415
2016,NUTS,2010,PL5,1,313.752
2017,NUTS,2010,PL5,1,423.782
2018,NUTS,2010,PL5,1,543.926
2019,NUTS,2010,PL5,1,622.586
2011,NUTS,2010,PL51,2,136.095
2012,NUTS,2010,PL51,2,203.382
2013,NUTS,2010,PL51,2,198.281
2014,NUTS,2010,PL51,2,255.717
2015,NUTS,2010,PL51,2,303.238
2016,NUTS,2010,PL51,2,286.344
2017,NUTS,2010,PL51,2,375.754
2018,NUTS,2010,PL51,2,464.596
2019,NUTS,2010,PL51,2,568.055
2011,NUTS,2010,PL52,2,20.855
2012,NUTS,2010,PL52,2,11.15
2013,NUTS,2010,PL52,2,11.505
2014,NUTS,2010,PL52,2,14.11
2015,NUTS,2010,PL52,2,21.177
2016,NUTS,2010,PL52,2,27.408
2017,NUTS,2010,PL52,2,48.028
2018,NUTS,2010,PL52,2,79.331
2019,NUTS,2010,PL52,2,54.531
2011,NUTS,2010,PL6,1,155.75
2012,NUTS,2010,PL6,1,251.836
2013,NUTS,2010,PL6,1,247.165
2014,NUTS,2010,PL6,1,309.479
2015,NUTS,2010,PL6,1,396.05
2016,NUTS,2010,PL6,1,457.966
2017,NUTS,2010,PL6,1,513.573
2018,NUTS,2010,PL6,1,721.674
2019,NUTS,2010,PL6,1,858.643
2011,NUTS,2010,PL61,2,23.089
2012,NUTS,2010,PL61,2,47.833
2013,NUTS,2010,PL61,2,35.251
2014,NUTS,2010,PL61,2,56.641
2015,NUTS,2010,PL61,2,96.803
2016,NUTS,2010,PL61,2,76.134
2017,NUTS,2010,PL61,2,114.18
2018,NUTS,2010,PL61,2,153.476
2011,NUTS,2010,PL62,2,9.765
2012,NUTS,2010,PL62,2,33.167
2013,NUTS,2010,PL62,2,12.446
2014,NUTS,2010,PL62,2,10.542
2015,NUTS,2010,PL62,2,12.38
2016,NUTS,2010,PL62,2,28.691
2017,NUTS,2010,PL62,2,51.771
2018,NUTS,2010,PL62,2,50.291
2011,NUTS,2010,PL63,2,122.936
2012,NUTS,2010,PL63,2,170.837
2013,NUTS,2010,PL63,2,199.468
2014,NUTS,2010,PL63,2,242.256
2015,NUTS,2010,PL63,2,286.907
2016,NUTS,2010,PL63,2,353.142
2017,NUTS,2010,PL63,2,347.622
2018,NUTS,2010,PL63,2,517.907
2019,NUTS,2010,PL63,2,607.426
2016,NUTS,2010,PL7,1,164.169
2017,NUTS,2010,PL7,1,216.382
2018,NUTS,2010,PL7,1,313.853
2019,NUTS,2010,PL7,1,281.539
2016,NUTS,2010,PL71,2,135.478
2017,NUTS,2010,PL71,2,173.24
2018,NUTS,2010,PL71,2,237.249
2019,NUTS,2010,PL71,2,220.633
2016,NUTS,2010,PL72,2,28.691
2017,NUTS,2010,PL72,2,43.143
2018,NUTS,2010,PL72,2,76.603
2019,NUTS,2010,PL72,2,60.906
2016,NUTS,2010,PL8,1,320.885
2017,NUTS,2010,PL8,1,369.725
2018,NUTS,2010,PL8,1,458.056
2019,NUTS,2010,PL8,1,523.004
2016,NUTS,2010,PL81,2,68.921
2017,NUTS,2010,PL81,2,75.923
2018,NUTS,2010,PL81,2,111.362
2019,NUTS,2010,PL81,2,133.283
2016,NUTS,2010,PL82,2,229.203
2017,NUTS,2010,PL82,2,262.874
2018,NUTS,2010,PL82,2,295.381
2019,NUTS,2010,PL82,2,331.466
2016,NUTS,2010,PL84,2,22.72
2017,NUTS,2010,PL84,2,30.929
2018,NUTS,2010,PL84,2,51.313
2019,NUTS,2010,PL84,2,58.255
2016,NUTS,2010,PL9,1,1872.816
2017,NUTS,2010,PL9,1,2201.489
2018,NUTS,2010,PL9,1,2648.176
2019,NUTS,2010,PL9,1,2885.013
2016,NUTS,2010,PL91,2,1781.536
2017,NUTS,2010,PL91,2,2096.096
2018,NUTS,2010,PL91,2,2492.831
2019,NUTS,2010,PL91,2,2699.52
2016,NUTS,2010,PL92,2,91.321
2017,NUTS,2010,PL92,2,105.433
2018,NUTS,2010,PL92,2,155.345
2019,NUTS,2010,PL92,2,185.494
2011,NUTS,2010,PT,0,1455.133
2012,NUTS,2010,PT,0,1407.361
2013,NUTS,2010,PT,0,1326.216
2014,NUTS,2010,PT,0,1282.295
2015,NUTS,2010,PT,0,1273.851
2016,NUTS,2010,PT,0,1405.354
2017,NUTS,2010,PT,0,1554.728
2018,NUTS,2010,PT,0,1691.295
2019,NUTS,2010,PT,0,1854.422
2020,NUTS,2010,PT,0,2166.854
2011,NUTS,2010,PT1,1,1451.398
2012,NUTS,2010,PT1,1,1399.197
2013,NUTS,2010,PT1,1,1319.518
2014,NUTS,2010,PT1,1,1276.7
2015,NUTS,2010,PT1,1,1267.634
2016,NUTS,2010,PT1,1,1400.561
2017,NUTS,2010,PT1,1,1547.311
2018,NUTS,2010,PT1,1,1681.821
2019,NUTS,2010,PT1,1,1841.23
2020,NUTS,2010,PT1,1,2152.131
2011,NUTS,2010,PT11,2,391.624
2012,NUTS,2010,PT11,2,449.705
2013,NUTS,2010,PT11,2,443.11
2014,NUTS,2010,PT11,2,441.411
2015,NUTS,2010,PT11,2,435.189
2016,NUTS,2010,PT11,2,453.612
2017,NUTS,2010,PT11,2,554.09
2018,NUTS,2010,PT11,2,594.649
2019,NUTS,2010,PT11,2,612.29
2020,NUTS,2010,PT11,2,771.553
2011,NUTS,2010,PT15,2,4.734
2012,NUTS,2010,PT15,2,4.774
2013,NUTS,2010,PT15,2,3.833
2014,NUTS,2010,PT15,2,4.813
2015,NUTS,2010,PT15,2,7.06
2016,NUTS,2010,PT15,2,5.963
2017,NUTS,2010,PT15,2,5.807
2018,NUTS,2010,PT15,2,6.403
2019,NUTS,2010,PT15,2,12.892
2020,NUTS,2010,PT15,2,16.241
2011,NUTS,2010,PT16,2,211.162
2012,NUTS,2010,PT16,2,234.523
2013,NUTS,2010,PT16,2,235.17
2014,NUTS,2010,PT16,2,261.607
2015,NUTS,2010,PT16,2,243.35
2016,NUTS,2010,PT16,2,282.651
2017,NUTS,2010,PT16,2,306.267
2018,NUTS,2010,PT16,2,310.275
2019,NUTS,2010,PT16,2,353.626
2020,NUTS,2010,PT16,2,365.782
2011,NUTS,2010,PT17,2,817.829
2012,NUTS,2010,PT17,2,678.929
2013,NUTS,2010,PT17,2,610.383
2014,NUTS,2010,PT17,2,538.86
2015,NUTS,2010,PT17,2,544.289
2016,NUTS,2010,PT17,2,618.582
2017,NUTS,2010,PT17,2,634.34
2018,NUTS,2010,PT17,2,710.227
2019,NUTS,2010,PT17,2,782.127
2020,NUTS,2010,PT17,2,913.044
2011,NUTS,2010,PT18,2,26.05
2012,NUTS,2010,PT18,2,31.266
2013,NUTS,2010,PT18,2,27.021
2014,NUTS,2010,PT18,2,30.009
2015,NUTS,2010,PT18,2,37.745
2016,NUTS,2010,PT18,2,39.753
2017,NUTS,2010,PT18,2,46.808
2018,NUTS,2010,PT18,2,60.267
2019,NUTS,2010,PT18,2,80.295
2020,NUTS,2010,PT18,2,85.51
2011,NUTS,2010,PT2,1,1.699
2012,NUTS,2010,PT2,1,4.69
2013,NUTS,2010,PT2,1,2.051
2014,NUTS,2010,PT2,1,0.908
2015,NUTS,2010,PT2,1,1.622
2016,NUTS,2010,PT2,1,1.062
2017,NUTS,2010,PT2,1,1.963
2018,NUTS,2010,PT2,1,2.219
2019,NUTS,2010,PT2,1,2.343
2020,NUTS,2010,PT2,1,2.634
2011,NUTS,2010,PT20,2,1.699
2012,NUTS,2010,PT20,2,4.69
2013,NUTS,2010,PT20,2,2.051
2014,NUTS,2010,PT20,2,0.908
2015,NUTS,2010,PT20,2,1.622
2016,NUTS,2010,PT20,2,1.062
2017,NUTS,2010,PT20,2,1.963
2018,NUTS,2010,PT20,2,2.219
2019,NUTS,2010,PT20,2,2.343
2020,NUTS,2010,PT20,2,2.634
2011,NUTS,2010,PT3,1,2.036
2012,NUTS,2010,PT3,1,3.474
2013,NUTS,2010,PT3,1,4.647
2014,NUTS,2010,PT3,1,4.687
2015,NUTS,2010,PT3,1,4.595
2016,NUTS,2010,PT3,1,3.732
2017,NUTS,2010,PT3,1,5.455
2018,NUTS,2010,PT3,1,7.254
2019,NUTS,2010,PT3,1,10.85
2020,NUTS,2010,PT3,1,12.089
2011,NUTS,2010,PT30,2,2.036
2012,NUTS,2010,PT30,2,3.474
2013,NUTS,2010,PT30,2,4.647
2014,NUTS,2010,PT30,2,4.687
2015,NUTS,2010,PT30,2,4.595
2016,NUTS,2010,PT30,2,3.732
2017,NUTS,2010,PT30,2,5.455
2018,NUTS,2010,PT30,2,7.254
2019,NUTS,2010,PT30,2,10.85
2020,NUTS,2010,PT30,2,12.089
2011,NUTS,2010,RO,0,483.089
2012,NUTS,2010,RO,0,528.884
2013,NUTS,2010,RO,0,339.416
2014,NUTS,2010,RO,0,466.152
2015,NUTS,2010,RO,0,661.364
2016,NUTS,2010,RO,0,881.883
2017,NUTS,2010,RO,0,1042.015
2018,NUTS,2010,RO,0,1152.41
2019,NUTS,2010,RO,0,1161.045
2020,NUTS,2010,RO,0,1146.268
2011,NUTS,2010,RO1,1,90.016
2012,NUTS,2010,RO1,1,82.121
2013,NUTS,2010,RO1,1,37.647
2014,NUTS,2010,RO1,1,110.506
2015,NUTS,2010,RO1,1,127.717
2016,NUTS,2010,RO1,1,132.896
2017,NUTS,2010,RO1,1,129.984
2018,NUTS,2010,RO1,1,151.766
2019,NUTS,2010,RO1,1,143.941
2011,NUTS,2010,RO11,2,67.69
2012,NUTS,2010,RO11,2,40.161
2013,NUTS,2010,RO11,2,16.329
2014,NUTS,2010,RO11,2,29.545
2015,NUTS,2010,RO11,2,45.246
2016,NUTS,2010,RO11,2,30.505
2017,NUTS,2010,RO11,2,37.05
2018,NUTS,2010,RO11,2,30.938
2019,NUTS,2010,RO11,2,15.506
2011,NUTS,2010,RO12,2,22.325
2012,NUTS,2010,RO12,2,41.96
2013,NUTS,2010,RO12,2,21.319
2014,NUTS,2010,RO12,2,80.961
2015,NUTS,2010,RO12,2,82.471
2016,NUTS,2010,RO12,2,102.391
2017,NUTS,2010,RO12,2,92.934
2018,NUTS,2010,RO12,2,120.828
2019,NUTS,2010,RO12,2,128.435
