year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_total_t
2019,NUTS,2010,EL30,2,0.0164
2011,NUTS,2010,EL4,1,0.002
2013,NUTS,2010,EL4,1,0.01
2015,NUTS,2010,EL4,1,0.0102
2017,NUTS,2010,EL4,1,0.0135
2019,NUTS,2010,EL4,1,0.0128
2011,NUTS,2010,EL41,2,0.0024
2013,NUTS,2010,EL41,2,0.0036
2015,NUTS,2010,EL41,2,0.0038
2017,NUTS,2010,EL41,2,0.0056
2019,NUTS,2010,EL41,2,0.0197
2011,NUTS,2010,EL42,2,0.0052
2013,NUTS,2010,EL42,2,0.0057
2015,NUTS,2010,EL42,2,0.0044
2017,NUTS,2010,EL42,2,0.0101
2019,NUTS,2010,EL42,2,0.013
2011,NUTS,2010,EL43,2,0.0003
2013,NUTS,2010,EL43,2,0.0143
2015,NUTS,2010,EL43,2,0.0152
2017,NUTS,2010,EL43,2,0.0179
2019,NUTS,2010,EL43,2,0.0105
2011,NUTS,2010,EL5,1,0.0044
2013,NUTS,2010,EL5,1,0.0081
2015,NUTS,2010,EL5,1,0.008
2017,NUTS,2010,EL5,1,0.0039
2019,NUTS,2010,EL5,1,0.0059
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.0013
2015,NUTS,2010,EL51,2,0.0013
2017,NUTS,2010,EL51,2,0.0015
2019,NUTS,2010,EL51,2,0.0007
2011,NUTS,2010,EL52,2,0.0059
2013,NUTS,2010,EL52,2,0.0113
2015,NUTS,2010,EL52,2,0.0113
2017,NUTS,2010,EL52,2,0.0043
2019,NUTS,2010,EL52,2,0.0078
2011,NUTS,2010,EL53,2,0.0066
2013,NUTS,2010,EL53,2,0.0053
2015,NUTS,2010,EL53,2,0.0047
2017,NUTS,2010,EL53,2,0.0039
2019,NUTS,2010,EL53,2,0.0049
2011,NUTS,2010,EL54,2,0.0018
2013,NUTS,2010,EL54,2,0.0042
2015,NUTS,2010,EL54,2,0.0043
2017,NUTS,2010,EL54,2,0.006
2019,NUTS,2010,EL54,2,0.0053
2011,NUTS,2010,EL6,1,0.0005
2013,NUTS,2010,EL6,1,0.001
2015,NUTS,2010,EL6,1,0.0008
2017,NUTS,2010,EL6,1,0.0013
2019,NUTS,2010,EL6,1,0.0024
2011,NUTS,2010,EL61,2,0.0003
2013,NUTS,2010,EL61,2,0.0006
2015,NUTS,2010,EL61,2,0.0003
2017,NUTS,2010,EL61,2,0.0009
2019,NUTS,2010,EL61,2,0.001
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0005
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.0007
2015,NUTS,2010,EL63,2,0.0003
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0016
2013,NUTS,2010,EL64,2,0.0018
2015,NUTS,2010,EL64,2,0.0017
2017,NUTS,2010,EL64,2,0.0018
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0007
2013,NUTS,2010,EL65,2,0.0014
2015,NUTS,2010,EL65,2,0.0014
2017,NUTS,2010,EL65,2,0.0031
2019,NUTS,2010,EL65,2,0.0101
2011,NUTS,2010,ES,0,0.0018
2012,NUTS,2010,ES,0,0.0019
2013,NUTS,2010,ES,0,0.0017
2014,NUTS,2010,ES,0,0.0017
2015,NUTS,2010,ES,0,0.0019
2016,NUTS,2010,ES,0,0.0026
2017,NUTS,2010,ES,0,0.0023
2018,NUTS,2010,ES,0,0.0025
2019,NUTS,2010,ES,0,0.0024
2020,NUTS,2010,ES,0,0.0025
2011,NUTS,2010,ES1,1,0.0027
2012,NUTS,2010,ES1,1,0.003
2013,NUTS,2010,ES1,1,0.0022
2015,NUTS,2010,ES1,1,0.0025
2016,NUTS,2010,ES1,1,0.0037
2017,NUTS,2010,ES1,1,0.0034
2018,NUTS,2010,ES1,1,0.0048
2014,NUTS,2010,ES11,2,0.0003
2015,NUTS,2010,ES11,2,0.0004
2016,NUTS,2010,ES11,2,0.0023
2017,NUTS,2010,ES11,2,0.0026
2018,NUTS,2010,ES11,2,0.0031
2019,NUTS,2010,ES11,2,0.003
2012,NUTS,2010,ES12,2,0.0014
2013,NUTS,2010,ES12,2,0.0007
2014,NUTS,2010,ES12,2,0.0008
2015,NUTS,2010,ES12,2,0.0011
2016,NUTS,2010,ES12,2,0.0008
2017,NUTS,2010,ES12,2,0.0007
2018,NUTS,2010,ES12,2,0.0011
2019,NUTS,2010,ES12,2,0.0008
2011,NUTS,2010,ES13,2,0.0175
2015,NUTS,2010,ES13,2,0.0147
2016,NUTS,2010,ES13,2,0.015
2017,NUTS,2010,ES13,2,0.0117
2018,NUTS,2010,ES13,2,0.0186
2011,NUTS,2010,ES2,1,0.0016
2013,NUTS,2010,ES2,1,0.0016
2015,NUTS,2010,ES2,1,0.0015
2019,NUTS,2010,ES2,1,0.0009
2011,NUTS,2010,ES21,2,0.002
2012,NUTS,2010,ES21,2,0.0028
2013,NUTS,2010,ES21,2,0.0021
2014,NUTS,2010,ES21,2,0.0017
2015,NUTS,2010,ES21,2,0.0021
2016,NUTS,2010,ES21,2,0.0021
2017,NUTS,2010,ES21,2,0.0017
2018,NUTS,2010,ES21,2,0.0015
2019,NUTS,2010,ES21,2,0.0017
2011,NUTS,2010,ES22,2,0.0018
2015,NUTS,2010,ES22,2,0.0016
2011,NUTS,2010,ES23,2,0.0015
2012,NUTS,2010,ES23,2,0.0024
2014,NUTS,2010,ES23,2,0.0011
2015,NUTS,2010,ES23,2,0.0011
2016,NUTS,2010,ES23,2,0.0005
2017,NUTS,2010,ES23,2,0.0006
2018,NUTS,2010,ES23,2,0.0005
2011,NUTS,2010,ES24,2,0.0008
2012,NUTS,2010,ES24,2,0.0008
2013,NUTS,2010,ES24,2,0.0006
2014,NUTS,2010,ES24,2,0.0002
2015,NUTS,2010,ES24,2,0.0006
2016,NUTS,2010,ES24,2,0.0005
2017,NUTS,2010,ES24,2,0.0005
2018,NUTS,2010,ES24,2,0.0002
2011,NUTS,2010,ES3,1,0.0038
2012,NUTS,2010,ES3,1,0.0039
2013,NUTS,2010,ES3,1,0.0037
2014,NUTS,2010,ES3,1,0.0032
2015,NUTS,2010,ES3,1,0.0036
2016,NUTS,2010,ES3,1,0.0038
2017,NUTS,2010,ES3,1,0.0039
2018,NUTS,2010,ES3,1,0.0045
2019,NUTS,2010,ES3,1,0.0044
2011,NUTS,2010,ES30,2,0.0038
2012,NUTS,2010,ES30,2,0.0039
2013,NUTS,2010,ES30,2,0.0037
2014,NUTS,2010,ES30,2,0.0032
2015,NUTS,2010,ES30,2,0.0036
2016,NUTS,2010,ES30,2,0.0038
2017,NUTS,2010,ES30,2,0.0039
2018,NUTS,2010,ES30,2,0.0045
2019,NUTS,2010,ES30,2,0.0044
2011,NUTS,2010,ES4,1,0.0011
2013,NUTS,2010,ES4,1,0.0004
2014,NUTS,2010,ES4,1,0.0005
2015,NUTS,2010,ES4,1,0.0009
2016,NUTS,2010,ES4,1,0.0009
2018,NUTS,2010,ES4,1,0.001
2019,NUTS,2010,ES4,1,0.0009
2012,NUTS,2010,ES41,2,0.001
2013,NUTS,2010,ES41,2,0.0007
2014,NUTS,2010,ES41,2,0.001
2015,NUTS,2010,ES41,2,0.0011
2017,NUTS,2010,ES41,2,0.0011
2018,NUTS,2010,ES41,2,0.0007
2019,NUTS,2010,ES41,2,0.0006
2013,NUTS,2010,ES42,2,0.0001
2014,NUTS,2010,ES42,2,0.0
2015,NUTS,2010,ES42,2,0.0008
2017,NUTS,2010,ES42,2,0.001
2011,NUTS,2010,ES43,2,0.0006
2013,NUTS,2010,ES43,2,0.0004
2014,NUTS,2010,ES43,2,0.0004
2015,NUTS,2010,ES43,2,0.0007
2016,NUTS,2010,ES43,2,0.001
2011,NUTS,2010,ES5,1,0.0018
2012,NUTS,2010,ES5,1,0.0016
2013,NUTS,2010,ES5,1,0.0016
2014,NUTS,2010,ES5,1,0.0021
2015,NUTS,2010,ES5,1,0.0019
2016,NUTS,2010,ES5,1,0.0035
2017,NUTS,2010,ES5,1,0.0028
2018,NUTS,2010,ES5,1,0.0029
2011,NUTS,2010,ES51,2,0.0028
2012,NUTS,2010,ES51,2,0.0025
2013,NUTS,2010,ES51,2,0.0024
2014,NUTS,2010,ES51,2,0.0031
2015,NUTS,2010,ES51,2,0.0032
2016,NUTS,2010,ES51,2,0.0058
2017,NUTS,2010,ES51,2,0.0046
2018,NUTS,2010,ES51,2,0.0048
2019,NUTS,2010,ES51,2,0.0046
2011,NUTS,2010,ES52,2,0.0006
2012,NUTS,2010,ES52,2,0.0006
2013,NUTS,2010,ES52,2,0.0008
2014,NUTS,2010,ES52,2,0.0009
2015,NUTS,2010,ES52,2,0.0003
2016,NUTS,2010,ES52,2,0.0003
2017,NUTS,2010,ES52,2,0.0003
2018,NUTS,2010,ES52,2,0.0004
2019,NUTS,2010,ES52,2,0.0004
2011,NUTS,2010,ES53,2,0.0007
2012,NUTS,2010,ES53,2,0.0006
2013,NUTS,2010,ES53,2,0.0007
2014,NUTS,2010,ES53,2,0.0006
