year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_fte
2011,NUTS,2010,DE27,2,212.0
2012,NUTS,2010,DE27,2,228.0
2013,NUTS,2010,DE27,2,262.0
2014,NUTS,2010,DE27,2,321.0
2015,NUTS,2010,DE27,2,345.0
2016,NUTS,2010,DE27,2,363.0
2017,NUTS,2010,DE27,2,400.0
2018,NUTS,2010,DE27,2,484.0
2019,NUTS,2010,DE27,2,534.0
2011,NUTS,2010,DE3,1,10855.0
2012,NUTS,2010,DE3,1,11132.0
2013,NUTS,2010,DE3,1,11216.0
2014,NUTS,2010,DE3,1,11782.0
2015,NUTS,2010,DE3,1,11325.0
2016,NUTS,2010,DE3,1,11461.0
2017,NUTS,2010,DE3,1,11975.0
2018,NUTS,2010,DE3,1,12589.0
2019,NUTS,2010,DE3,1,12958.0
2011,NUTS,2010,DE30,2,10855.0
2012,NUTS,2010,DE30,2,11132.0
2013,NUTS,2010,DE30,2,11216.0
2014,NUTS,2010,DE30,2,11782.0
2015,NUTS,2010,DE30,2,11325.0
2016,NUTS,2010,DE30,2,11461.0
2017,NUTS,2010,DE30,2,11975.0
2018,NUTS,2010,DE30,2,12589.0
2019,NUTS,2010,DE30,2,12958.0
2011,NUTS,2010,DE4,1,3777.0
2012,NUTS,2010,DE4,1,3860.0
2013,NUTS,2010,DE4,1,3953.0
2014,NUTS,2010,DE4,1,4138.0
2015,NUTS,2010,DE4,1,3918.0
2016,NUTS,2010,DE4,1,4122.0
2017,NUTS,2010,DE4,1,4117.0
2018,NUTS,2010,DE4,1,4158.0
2019,NUTS,2010,DE4,1,4353.0
2011,NUTS,2010,DE40,2,3777.0
2012,NUTS,2010,DE40,2,3860.0
2013,NUTS,2010,DE40,2,3953.0
2014,NUTS,2010,DE40,2,4138.0
2015,NUTS,2010,DE40,2,3918.0
2016,NUTS,2010,DE40,2,4122.0
2017,NUTS,2010,DE40,2,4117.0
2018,NUTS,2010,DE40,2,4158.0
2019,NUTS,2010,DE40,2,4353.0
2011,NUTS,2010,DE5,1,1950.0
2012,NUTS,2010,DE5,1,2074.0
2013,NUTS,2010,DE5,1,2166.0
2014,NUTS,2010,DE5,1,2363.0
2015,NUTS,2010,DE5,1,2479.0
2016,NUTS,2010,DE5,1,2533.0
2017,NUTS,2010,DE5,1,2530.0
2018,NUTS,2010,DE5,1,2666.0
2019,NUTS,2010,DE5,1,2803.0
2011,NUTS,2010,DE50,2,1950.0
2012,NUTS,2010,DE50,2,2074.0
2013,NUTS,2010,DE50,2,2166.0
2014,NUTS,2010,DE50,2,2363.0
2015,NUTS,2010,DE50,2,2479.0
2016,NUTS,2010,DE50,2,2533.0
2017,NUTS,2010,DE50,2,2530.0
2018,NUTS,2010,DE50,2,2666.0
2019,NUTS,2010,DE50,2,2803.0
2011,NUTS,2010,DE6,1,2893.0
2012,NUTS,2010,DE6,1,2960.0
2013,NUTS,2010,DE6,1,3220.0
2014,NUTS,2010,DE6,1,3284.0
2015,NUTS,2010,DE6,1,3342.0
2016,NUTS,2010,DE6,1,3438.0
2017,NUTS,2010,DE6,1,3456.0
2018,NUTS,2010,DE6,1,3569.0
2019,NUTS,2010,DE6,1,3649.0
2011,NUTS,2010,DE60,2,2893.0
2012,NUTS,2010,DE60,2,2960.0
2013,NUTS,2010,DE60,2,3220.0
2014,NUTS,2010,DE60,2,3284.0
2015,NUTS,2010,DE60,2,3342.0
2016,NUTS,2010,DE60,2,3438.0
2017,NUTS,2010,DE60,2,3456.0
2018,NUTS,2010,DE60,2,3569.0
2019,NUTS,2010,DE60,2,3649.0
2011,NUTS,2010,DE7,1,4213.0
2012,NUTS,2010,DE7,1,4214.0
2013,NUTS,2010,DE7,1,4257.0
2014,NUTS,2010,DE7,1,4257.0
2015,NUTS,2010,DE7,1,4566.0
2016,NUTS,2010,DE7,1,4961.0
2017,NUTS,2010,DE7,1,5306.0
2018,NUTS,2010,DE7,1,5278.0
2019,NUTS,2010,DE7,1,5395.0
2011,NUTS,2010,DE71,2,3863.0
2012,NUTS,2010,DE71,2,3832.0
2013,NUTS,2010,DE71,2,3860.0
2014,NUTS,2010,DE71,2,3837.0
2015,NUTS,2010,DE71,2,3960.0
2016,NUTS,2010,DE71,2,4297.0
