year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps_kp05
2017,NUTS,2010,EL62,2,0.011
2018,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.041
2015,NUTS,2010,EL63,2,0.011
2017,NUTS,2010,EL63,2,0.0
2018,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.05
2013,NUTS,2010,EL64,2,0.051
2015,NUTS,2010,EL64,2,0.052
2017,NUTS,2010,EL64,2,0.053
2018,NUTS,2010,EL64,2,0.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.108
2013,NUTS,2010,EL65,2,0.205
2015,NUTS,2010,EL65,2,0.168
2017,NUTS,2010,EL65,2,0.378
2018,NUTS,2010,EL65,2,3.146
2019,NUTS,2010,EL65,2,0.756
2011,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZ,1,0.0
2018,NUTS,2010,ELZ,1,0.0
2011,NUTS,2010,ELZZ,2,0.0
2015,NUTS,2010,ELZZ,2,0.0
2018,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,22.697
2012,NUTS,2010,ES,0,24.259
2013,NUTS,2010,ES,0,20.741
2014,NUTS,2010,ES,0,20.815
2015,NUTS,2010,ES,0,25.902
2016,NUTS,2010,ES,0,30.6
2017,NUTS,2010,ES,0,28.319
2018,NUTS,2010,ES,0,36.362
2019,NUTS,2010,ES,0,38.655
2020,NUTS,2010,ES,0,41.874
2011,NUTS,2010,ES1,1,2.77
2012,NUTS,2010,ES1,1,3.426
2013,NUTS,2010,ES1,1,3.348
2015,NUTS,2010,ES1,1,2.878
2016,NUTS,2010,ES1,1,4.781
2017,NUTS,2010,ES1,1,4.72
2018,NUTS,2010,ES1,1,4.662
2014,NUTS,2010,ES11,2,0.114
2015,NUTS,2010,ES11,2,0.0
2016,NUTS,2010,ES11,2,1.913
2017,NUTS,2010,ES11,2,1.888
2018,NUTS,2010,ES11,2,2.797
2019,NUTS,2010,ES11,2,1.841
2012,NUTS,2010,ES12,2,0.247
2013,NUTS,2010,ES12,2,0.132
2014,NUTS,2010,ES12,2,0.133
2015,NUTS,2010,ES12,2,0.0
2016,NUTS,2010,ES12,2,0.0
2017,NUTS,2010,ES12,2,0.0
2018,NUTS,2010,ES12,2,0.0
2019,NUTS,2010,ES12,2,0.0
2011,NUTS,2010,ES13,2,2.502
2015,NUTS,2010,ES13,2,2.878
2016,NUTS,2010,ES13,2,2.869
2017,NUTS,2010,ES13,2,1.888
2018,NUTS,2010,ES13,2,2.797
2011,NUTS,2010,ES2,1,2.285
2013,NUTS,2010,ES2,1,2.093
2015,NUTS,2010,ES2,1,1.919
