year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2018,NUTS,2010,CZ02,2,4398.0
2019,NUTS,2010,CZ02,2,4581.0
2020,NUTS,2010,CZ02,2,4555.0
2011,NUTS,2010,CZ03,2,3634.0
2012,NUTS,2010,CZ03,2,3506.0
2013,NUTS,2010,CZ03,2,3921.0
2014,NUTS,2010,CZ03,2,4392.0
2015,NUTS,2010,CZ03,2,4357.0
2016,NUTS,2010,CZ03,2,4407.0
2017,NUTS,2010,CZ03,2,4564.0
2018,NUTS,2010,CZ03,2,4799.0
2019,NUTS,2010,CZ03,2,5203.0
2020,NUTS,2010,CZ03,2,5167.0
2011,NUTS,2010,CZ04,2,756.0
2012,NUTS,2010,CZ04,2,792.0
2013,NUTS,2010,CZ04,2,885.0
2014,NUTS,2010,CZ04,2,1009.0
2015,NUTS,2010,CZ04,2,949.0
2016,NUTS,2010,CZ04,2,934.0
2017,NUTS,2010,CZ04,2,1039.0
2018,NUTS,2010,CZ04,2,1086.0
2019,NUTS,2010,CZ04,2,1017.0
2020,NUTS,2010,CZ04,2,1077.0
2011,NUTS,2010,CZ05,2,4255.0
2012,NUTS,2010,CZ05,2,4288.0
2013,NUTS,2010,CZ05,2,4570.0
2014,NUTS,2010,CZ05,2,4699.0
2015,NUTS,2010,CZ05,2,4642.0
2016,NUTS,2010,CZ05,2,4657.0
2017,NUTS,2010,CZ05,2,4863.0
2018,NUTS,2010,CZ05,2,4812.0
2019,NUTS,2010,CZ05,2,5421.0
2020,NUTS,2010,CZ05,2,5424.0
2011,NUTS,2010,CZ06,2,9019.0
2012,NUTS,2010,CZ06,2,9780.0
2013,NUTS,2010,CZ06,2,10847.0
2014,NUTS,2010,CZ06,2,11857.0
2015,NUTS,2010,CZ06,2,13431.0
2016,NUTS,2010,CZ06,2,12685.0
2017,NUTS,2010,CZ06,2,13144.0
2018,NUTS,2010,CZ06,2,12809.0
2019,NUTS,2010,CZ06,2,13391.0
2020,NUTS,2010,CZ06,2,14398.0
2011,NUTS,2010,CZ07,2,2883.0
2012,NUTS,2010,CZ07,2,3528.0
2013,NUTS,2010,CZ07,2,4085.0
2014,NUTS,2010,CZ07,2,4500.0
2015,NUTS,2010,CZ07,2,4533.0
2016,NUTS,2010,CZ07,2,4663.0
2017,NUTS,2010,CZ07,2,4625.0
2018,NUTS,2010,CZ07,2,4830.0
2019,NUTS,2010,CZ07,2,5429.0
2020,NUTS,2010,CZ07,2,5233.0
2011,NUTS,2010,CZ08,2,3255.0
2012,NUTS,2010,CZ08,2,3543.0
2013,NUTS,2010,CZ08,2,3551.0
2014,NUTS,2010,CZ08,2,3794.0
2015,NUTS,2010,CZ08,2,4229.0
2016,NUTS,2010,CZ08,2,4488.0
2017,NUTS,2010,CZ08,2,4584.0
2018,NUTS,2010,CZ08,2,4633.0
2019,NUTS,2010,CZ08,2,4579.0
2020,NUTS,2010,CZ08,2,4654.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,522010.0
2013,NUTS,2010,DE,0,549283.0
2015,NUTS,2010,DE,0,586030.0
2017,NUTS,2010,DE,0,623125.0
2019,NUTS,2010,DE,0,667394.0
2011,NUTS,2010,DE1,1,105422.0
2013,NUTS,2010,DE1,1,111506.0
2015,NUTS,2010,DE1,1,121801.0
