year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_total_pnp_f
2013,NUTS,2010,EL,0,0.0214
2015,NUTS,2010,EL,0,0.0214
2017,NUTS,2010,EL,0,0.024
2019,NUTS,2010,EL,0,0.0186
2001,NUTS,2010,EL3,1,0.0071
2003,NUTS,2010,EL3,1,0.0126
2005,NUTS,2010,EL3,1,0.0108
2011,NUTS,2010,EL3,1,0.0339
2001,NUTS,2010,EL30,2,0.0071
2003,NUTS,2010,EL30,2,0.0126
2005,NUTS,2010,EL30,2,0.0108
2011,NUTS,2010,EL30,2,0.0339
2011,NUTS,2010,EL4,1,0.0031
2011,NUTS,2010,EL41,2,0.0065
2011,NUTS,2010,EL42,2,0.0079
2011,NUTS,2010,EL43,2,0.0
2011,NUTS,2010,EL5,1,0.0058
2011,NUTS,2010,EL51,2,0.0
2001,NUTS,2010,EL52,2,0.014
2003,NUTS,2010,EL52,2,0.0057
2005,NUTS,2010,EL52,2,0.0056
2011,NUTS,2010,EL52,2,0.008
2011,NUTS,2010,EL53,2,0.0059
2011,NUTS,2010,EL54,2,0.0033
2011,NUTS,2010,EL6,1,0.0006
2011,NUTS,2010,EL61,2,0.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.002
2001,NUTS,2010,EL65,2,0.0052
2003,NUTS,2010,EL65,2,0.0087
2011,NUTS,2010,EL65,2,0.0009
1997,NUTS,2010,ES,0,0.0111
1999,NUTS,2010,ES,0,0.0108
2000,NUTS,2010,ES,0,0.0154
2001,NUTS,2010,ES,0,0.0163
2002,NUTS,2010,ES,0,0.0047
2003,NUTS,2010,ES,0,0.0042
2004,NUTS,2010,ES,0,0.0037
2005,NUTS,2010,ES,0,0.0037
2006,NUTS,2010,ES,0,0.0053
2007,NUTS,2010,ES,0,0.005
2008,NUTS,2010,ES,0,0.0048
2009,NUTS,2010,ES,0,0.0055
2010,NUTS,2010,ES,0,0.0048
2011,NUTS,2010,ES,0,0.0041
2012,NUTS,2010,ES,0,0.004
2013,NUTS,2010,ES,0,0.0038
2014,NUTS,2010,ES,0,0.0037
2015,NUTS,2010,ES,0,0.0041
2016,NUTS,2010,ES,0,0.0049
2017,NUTS,2010,ES,0,0.0048
2018,NUTS,2010,ES,0,0.0046
2019,NUTS,2010,ES,0,0.0042
2002,NUTS,2010,ES1,1,0.0065
2003,NUTS,2010,ES1,1,0.0004
2004,NUTS,2010,ES1,1,0.0016
2005,NUTS,2010,ES1,1,0.0014
2006,NUTS,2010,ES1,1,0.0112
2007,NUTS,2010,ES1,1,0.0053
2008,NUTS,2010,ES1,1,0.0043
2009,NUTS,2010,ES1,1,0.0044
2010,NUTS,2010,ES1,1,0.0036
2011,NUTS,2010,ES1,1,0.0043
2012,NUTS,2010,ES1,1,0.0038
2013,NUTS,2010,ES1,1,0.0036
2015,NUTS,2010,ES1,1,0.0046
2016,NUTS,2010,ES1,1,0.0057
2017,NUTS,2010,ES1,1,0.0062
2018,NUTS,2010,ES1,1,0.0063
2002,NUTS,2010,ES11,2,0.002
2003,NUTS,2010,ES11,2,0.0004
2004,NUTS,2010,ES11,2,0.0011
2005,NUTS,2010,ES11,2,0.0011
2006,NUTS,2010,ES11,2,0.0014
2007,NUTS,2010,ES11,2,0.0021
2008,NUTS,2010,ES11,2,0.001
2009,NUTS,2010,ES11,2,0.0031
2010,NUTS,2010,ES11,2,0.0005
2014,NUTS,2010,ES11,2,0.0013
2015,NUTS,2010,ES11,2,0.0017
2016,NUTS,2010,ES11,2,0.0045
2017,NUTS,2010,ES11,2,0.0055
2018,NUTS,2010,ES11,2,0.0052
2019,NUTS,2010,ES11,2,0.005
2002,NUTS,2010,ES12,2,0.0056
2003,NUTS,2010,ES12,2,0.0006
2004,NUTS,2010,ES12,2,0.0
2005,NUTS,2010,ES12,2,0.0
2006,NUTS,2010,ES12,2,0.0035
2007,NUTS,2010,ES12,2,0.0024
2008,NUTS,2010,ES12,2,0.0027
2009,NUTS,2010,ES12,2,0.0018
2010,NUTS,2010,ES12,2,0.0022
2012,NUTS,2010,ES12,2,0.0022
2013,NUTS,2010,ES12,2,0.0009
2014,NUTS,2010,ES12,2,0.0013
2015,NUTS,2010,ES12,2,0.0013
2016,NUTS,2010,ES12,2,0.0004
2017,NUTS,2010,ES12,2,0.0009
2018,NUTS,2010,ES12,2,0.0009
2019,NUTS,2010,ES12,2,0.0005
2002,NUTS,2010,ES13,2,0.0334
2003,NUTS,2010,ES13,2,0.0
2004,NUTS,2010,ES13,2,0.0069
2005,NUTS,2010,ES13,2,0.0055
2006,NUTS,2010,ES13,2,0.0734
2007,NUTS,2010,ES13,2,0.0261
2008,NUTS,2010,ES13,2,0.0227
2009,NUTS,2010,ES13,2,0.015
2010,NUTS,2010,ES13,2,0.0208
2011,NUTS,2010,ES13,2,0.0292
2015,NUTS,2010,ES13,2,0.0243
2016,NUTS,2010,ES13,2,0.0202
2017,NUTS,2010,ES13,2,0.0186
2018,NUTS,2010,ES13,2,0.0216
2002,NUTS,2010,ES2,1,0.0066
2003,NUTS,2010,ES2,1,0.0004
2004,NUTS,2010,ES2,1,0.0036
2005,NUTS,2010,ES2,1,0.0032
2006,NUTS,2010,ES2,1,0.0023
2007,NUTS,2010,ES2,1,0.0059
2008,NUTS,2010,ES2,1,0.0057
2009,NUTS,2010,ES2,1,0.0074
2010,NUTS,2010,ES2,1,0.009
2011,NUTS,2010,ES2,1,0.0035
2013,NUTS,2010,ES2,1,0.0043
2015,NUTS,2010,ES2,1,0.0043
2019,NUTS,2010,ES2,1,0.0021
2002,NUTS,2010,ES21,2,0.0123
2003,NUTS,2010,ES21,2,0.0005
2004,NUTS,2010,ES21,2,0.0028
2005,NUTS,2010,ES21,2,0.0016
2006,NUTS,2010,ES21,2,0.0026
2007,NUTS,2010,ES21,2,0.0026
2008,NUTS,2010,ES21,2,0.0015
2009,NUTS,2010,ES21,2,0.0031
2010,NUTS,2010,ES21,2,0.0049
2011,NUTS,2010,ES21,2,0.0044
2012,NUTS,2010,ES21,2,0.0058
2013,NUTS,2010,ES21,2,0.0049
2014,NUTS,2010,ES21,2,0.0043
2015,NUTS,2010,ES21,2,0.006
2016,NUTS,2010,ES21,2,0.0057
2017,NUTS,2010,ES21,2,0.0052
2018,NUTS,2010,ES21,2,0.0022
2019,NUTS,2010,ES21,2,0.003
2002,NUTS,2010,ES22,2,0.0
2003,NUTS,2010,ES22,2,0.0
2004,NUTS,2010,ES22,2,0.0045
2005,NUTS,2010,ES22,2,0.004
2006,NUTS,2010,ES22,2,0.0016
2007,NUTS,2010,ES22,2,0.0
2008,NUTS,2010,ES22,2,0.0
2009,NUTS,2010,ES22,2,0.0022
2010,NUTS,2010,ES22,2,0.0021
2011,NUTS,2010,ES22,2,0.0041
2015,NUTS,2010,ES22,2,0.0042
2002,NUTS,2010,ES23,2,0.0
2003,NUTS,2010,ES23,2,0.0
2004,NUTS,2010,ES23,2,0.0
2005,NUTS,2010,ES23,2,0.0033
2006,NUTS,2010,ES23,2,0.0
2007,NUTS,2010,ES23,2,0.0571
2008,NUTS,2010,ES23,2,0.0642
2009,NUTS,2010,ES23,2,0.0686
2010,NUTS,2010,ES23,2,0.0669
2011,NUTS,2010,ES23,2,0.0028
2012,NUTS,2010,ES23,2,0.0056
2014,NUTS,2010,ES23,2,0.0014
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0014
2002,NUTS,2010,ES24,2,0.0
2003,NUTS,2010,ES24,2,0.0005
2004,NUTS,2010,ES24,2,0.0057
2005,NUTS,2010,ES24,2,0.0056
2006,NUTS,2010,ES24,2,0.0027
2007,NUTS,2010,ES24,2,0.0025
2008,NUTS,2010,ES24,2,0.0017
2009,NUTS,2010,ES24,2,0.0024
2010,NUTS,2010,ES24,2,0.0055
2011,NUTS,2010,ES24,2,0.002
2012,NUTS,2010,ES24,2,0.0027
2013,NUTS,2010,ES24,2,0.002
2014,NUTS,2010,ES24,2,0.0024
2015,NUTS,2010,ES24,2,0.0027
2016,NUTS,2010,ES24,2,0.0017
2017,NUTS,2010,ES24,2,0.0017
2018,NUTS,2010,ES24,2,0.001
2002,NUTS,2010,ES3,1,0.0109
2003,NUTS,2010,ES3,1,0.0143
2004,NUTS,2010,ES3,1,0.0096
2005,NUTS,2010,ES3,1,0.0104
2006,NUTS,2010,ES3,1,0.0128
2007,NUTS,2010,ES3,1,0.0131
2008,NUTS,2010,ES3,1,0.014
2009,NUTS,2010,ES3,1,0.0137
2010,NUTS,2010,ES3,1,0.0095
2011,NUTS,2010,ES3,1,0.0071
2012,NUTS,2010,ES3,1,0.0077
2013,NUTS,2010,ES3,1,0.0073
2014,NUTS,2010,ES3,1,0.0068
2015,NUTS,2010,ES3,1,0.0077
2016,NUTS,2010,ES3,1,0.0087
2017,NUTS,2010,ES3,1,0.0095
2018,NUTS,2010,ES3,1,0.0122
2019,NUTS,2010,ES3,1,0.0111
2002,NUTS,2010,ES30,2,0.0109
2003,NUTS,2010,ES30,2,0.0143
2004,NUTS,2010,ES30,2,0.0096
2005,NUTS,2010,ES30,2,0.0104
2006,NUTS,2010,ES30,2,0.0128
2007,NUTS,2010,ES30,2,0.0131
2008,NUTS,2010,ES30,2,0.014
2009,NUTS,2010,ES30,2,0.0137
2010,NUTS,2010,ES30,2,0.0095
2011,NUTS,2010,ES30,2,0.0071
2012,NUTS,2010,ES30,2,0.0077
2013,NUTS,2010,ES30,2,0.0073
2014,NUTS,2010,ES30,2,0.0068
2015,NUTS,2010,ES30,2,0.0077
2016,NUTS,2010,ES30,2,0.0087
2017,NUTS,2010,ES30,2,0.0095
2018,NUTS,2010,ES30,2,0.0122
2019,NUTS,2010,ES30,2,0.0111
2002,NUTS,2010,ES4,1,0.0004
2003,NUTS,2010,ES4,1,0.0015
2004,NUTS,2010,ES4,1,0.0006
2005,NUTS,2010,ES4,1,0.0014
2006,NUTS,2010,ES4,1,0.0011
2007,NUTS,2010,ES4,1,0.0011
2008,NUTS,2010,ES4,1,0.0012
2009,NUTS,2010,ES4,1,0.0022
2010,NUTS,2010,ES4,1,0.0037
2011,NUTS,2010,ES4,1,0.0048
2013,NUTS,2010,ES4,1,0.0018
2014,NUTS,2010,ES4,1,0.0016
2015,NUTS,2010,ES4,1,0.0042
2016,NUTS,2010,ES4,1,0.0034
2018,NUTS,2010,ES4,1,0.0035
2019,NUTS,2010,ES4,1,0.0024
2002,NUTS,2010,ES41,2,0.0005
2003,NUTS,2010,ES41,2,0.0029
2004,NUTS,2010,ES41,2,0.0007
2005,NUTS,2010,ES41,2,0.0011
2006,NUTS,2010,ES41,2,0.0017
2007,NUTS,2010,ES41,2,0.0
2008,NUTS,2010,ES41,2,0.0002
2009,NUTS,2010,ES41,2,0.0012
2010,NUTS,2010,ES41,2,0.0044
2012,NUTS,2010,ES41,2,0.0031
2013,NUTS,2010,ES41,2,0.0023
2014,NUTS,2010,ES41,2,0.0021
2015,NUTS,2010,ES41,2,0.0029
2017,NUTS,2010,ES41,2,0.0025
2018,NUTS,2010,ES41,2,0.0026
2019,NUTS,2010,ES41,2,0.0022
2002,NUTS,2010,ES42,2,0.0004
2003,NUTS,2010,ES42,2,0.0004
2004,NUTS,2010,ES42,2,0.0004
2005,NUTS,2010,ES42,2,0.0019
2006,NUTS,2010,ES42,2,0.0006
2007,NUTS,2010,ES42,2,0.0003
2008,NUTS,2010,ES42,2,0.0026
2009,NUTS,2010,ES42,2,0.0032
2010,NUTS,2010,ES42,2,0.0022
2013,NUTS,2010,ES42,2,0.0005
2014,NUTS,2010,ES42,2,0.0005
2015,NUTS,2010,ES42,2,0.006
2017,NUTS,2010,ES42,2,0.0056
2002,NUTS,2010,ES43,2,0.0
2003,NUTS,2010,ES43,2,0.0
2004,NUTS,2010,ES43,2,0.0006
2005,NUTS,2010,ES43,2,0.0011
2006,NUTS,2010,ES43,2,0.0006
2007,NUTS,2010,ES43,2,0.0052
2008,NUTS,2010,ES43,2,0.001
2009,NUTS,2010,ES43,2,0.0025
2010,NUTS,2010,ES43,2,0.0048
2011,NUTS,2010,ES43,2,0.0024
2013,NUTS,2010,ES43,2,0.0031
2014,NUTS,2010,ES43,2,0.0027
2015,NUTS,2010,ES43,2,0.0037
2016,NUTS,2010,ES43,2,0.0041
2002,NUTS,2010,ES5,1,0.0053
2003,NUTS,2010,ES5,1,0.0053
2004,NUTS,2010,ES5,1,0.0048
2005,NUTS,2010,ES5,1,0.0041
2006,NUTS,2010,ES5,1,0.0053
2007,NUTS,2010,ES5,1,0.0049
2008,NUTS,2010,ES5,1,0.0039
2009,NUTS,2010,ES5,1,0.0045
2010,NUTS,2010,ES5,1,0.0044
2011,NUTS,2010,ES5,1,0.0042
2012,NUTS,2010,ES5,1,0.0042
2013,NUTS,2010,ES5,1,0.0041
2014,NUTS,2010,ES5,1,0.0043
2015,NUTS,2010,ES5,1,0.0041
2016,NUTS,2010,ES5,1,0.0062
2017,NUTS,2010,ES5,1,0.0049
2018,NUTS,2010,ES5,1,0.004
2002,NUTS,2010,ES51,2,0.0085
2003,NUTS,2010,ES51,2,0.0084
2004,NUTS,2010,ES51,2,0.0073
2005,NUTS,2010,ES51,2,0.0061
2006,NUTS,2010,ES51,2,0.0077
2007,NUTS,2010,ES51,2,0.0081
2008,NUTS,2010,ES51,2,0.0066
2009,NUTS,2010,ES51,2,0.0066
2010,NUTS,2010,ES51,2,0.0064
2011,NUTS,2010,ES51,2,0.0057
2012,NUTS,2010,ES51,2,0.0054
2013,NUTS,2010,ES51,2,0.0053
2014,NUTS,2010,ES51,2,0.0056
2015,NUTS,2010,ES51,2,0.0058
2016,NUTS,2010,ES51,2,0.0097
2017,NUTS,2010,ES51,2,0.0076
2018,NUTS,2010,ES51,2,0.0067
2019,NUTS,2010,ES51,2,0.0066
2002,NUTS,2010,ES52,2,0.0009
2003,NUTS,2010,ES52,2,0.0012
2004,NUTS,2010,ES52,2,0.0013
2005,NUTS,2010,ES52,2,0.0015
2006,NUTS,2010,ES52,2,0.0023
2007,NUTS,2010,ES52,2,0.0005
2008,NUTS,2010,ES52,2,0.0002
2009,NUTS,2010,ES52,2,0.0014
2010,NUTS,2010,ES52,2,0.0012
2011,NUTS,2010,ES52,2,0.0022
2012,NUTS,2010,ES52,2,0.0023
2013,NUTS,2010,ES52,2,0.0026
2014,NUTS,2010,ES52,2,0.0028
2015,NUTS,2010,ES52,2,0.0019
2016,NUTS,2010,ES52,2,0.0017
2017,NUTS,2010,ES52,2,0.0015
2018,NUTS,2010,ES52,2,0.0005
2019,NUTS,2010,ES52,2,0.0004
2002,NUTS,2010,ES53,2,0.0022
2003,NUTS,2010,ES53,2,0.0015
2004,NUTS,2010,ES53,2,0.0019
2005,NUTS,2010,ES53,2,0.0009
2006,NUTS,2010,ES53,2,0.0018
2007,NUTS,2010,ES53,2,0.0013
2008,NUTS,2010,ES53,2,0.002
2009,NUTS,2010,ES53,2,0.0031
2010,NUTS,2010,ES53,2,0.0041
2011,NUTS,2010,ES53,2,0.003
2012,NUTS,2010,ES53,2,0.0035
2013,NUTS,2010,ES53,2,0.0022
2014,NUTS,2010,ES53,2,0.0018
2015,NUTS,2010,ES53,2,0.0017
2016,NUTS,2010,ES53,2,0.0017
2017,NUTS,2010,ES53,2,0.0018
2018,NUTS,2010,ES53,2,0.001
2002,NUTS,2010,ES6,1,0.0003
2003,NUTS,2010,ES6,1,0.0006
2004,NUTS,2010,ES6,1,0.0007
2005,NUTS,2010,ES6,1,0.0009
2006,NUTS,2010,ES6,1,0.0008
2007,NUTS,2010,ES6,1,0.0009
2008,NUTS,2010,ES6,1,0.0015
2009,NUTS,2010,ES6,1,0.0029
2010,NUTS,2010,ES6,1,0.0017
2011,NUTS,2010,ES6,1,0.0021
2012,NUTS,2010,ES6,1,0.0025
2013,NUTS,2010,ES6,1,0.0021
2014,NUTS,2010,ES6,1,0.0019
2015,NUTS,2010,ES6,1,0.0014
2016,NUTS,2010,ES6,1,0.0017
2017,NUTS,2010,ES6,1,0.0016
2018,NUTS,2010,ES6,1,0.0011
2019,NUTS,2010,ES6,1,0.0012
2002,NUTS,2010,ES61,2,0.0003
2003,NUTS,2010,ES61,2,0.0007
2004,NUTS,2010,ES61,2,0.0008
2005,NUTS,2010,ES61,2,0.001
2006,NUTS,2010,ES61,2,0.0008
2007,NUTS,2010,ES61,2,0.0011
2008,NUTS,2010,ES61,2,0.0014
2009,NUTS,2010,ES61,2,0.0031
2010,NUTS,2010,ES61,2,0.0018
2011,NUTS,2010,ES61,2,0.0022
2012,NUTS,2010,ES61,2,0.0027
2013,NUTS,2010,ES61,2,0.0024
2014,NUTS,2010,ES61,2,0.0021
2015,NUTS,2010,ES61,2,0.0012
2016,NUTS,2010,ES61,2,0.0016
2017,NUTS,2010,ES61,2,0.0016
2018,NUTS,2010,ES61,2,0.0013
2019,NUTS,2010,ES61,2,0.0014
2002,NUTS,2010,ES62,2,0.0
2003,NUTS,2010,ES62,2,0.0
2004,NUTS,2010,ES62,2,0.0
2005,NUTS,2010,ES62,2,0.0008
2006,NUTS,2010,ES62,2,0.0008
2007,NUTS,2010,ES62,2,0.0
2008,NUTS,2010,ES62,2,0.002
2009,NUTS,2010,ES62,2,0.0017
2010,NUTS,2010,ES62,2,0.001
2012,NUTS,2010,ES62,2,0.0016
2013,NUTS,2010,ES62,2,0.0006
2014,NUTS,2010,ES62,2,0.0013
2015,NUTS,2010,ES62,2,0.0026
2016,NUTS,2010,ES62,2,0.0026
2018,NUTS,2010,ES62,2,0.0003
2019,NUTS,2010,ES62,2,0.0003
2002,NUTS,2010,ES63,2,0.0
2003,NUTS,2010,ES63,2,0.0
2004,NUTS,2010,ES63,2,0.0
2005,NUTS,2010,ES63,2,0.0
2006,NUTS,2010,ES63,2,0.0
2007,NUTS,2010,ES63,2,0.0
2008,NUTS,2010,ES63,2,0.0
2009,NUTS,2010,ES63,2,0.0
2010,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES63,2,0.0
2002,NUTS,2010,ES64,2,0.0
2003,NUTS,2010,ES64,2,0.0
2004,NUTS,2010,ES64,2,0.0
2005,NUTS,2010,ES64,2,0.0
2006,NUTS,2010,ES64,2,0.0
2007,NUTS,2010,ES64,2,0.0
2008,NUTS,2010,ES64,2,0.0
2009,NUTS,2010,ES64,2,0.0
2010,NUTS,2010,ES64,2,0.0
2015,NUTS,2010,ES64,2,0.0
2002,NUTS,2010,ES7,1,0.0
2003,NUTS,2010,ES7,1,0.0
2004,NUTS,2010,ES7,1,0.0003
2005,NUTS,2010,ES7,1,0.0003
2006,NUTS,2010,ES7,1,0.0002
2007,NUTS,2010,ES7,1,0.0002
2008,NUTS,2010,ES7,1,0.0002
2009,NUTS,2010,ES7,1,0.0007
2010,NUTS,2010,ES7,1,0.0006
2011,NUTS,2010,ES7,1,0.0008
2012,NUTS,2010,ES7,1,0.001
2013,NUTS,2010,ES7,1,0.001
2014,NUTS,2010,ES7,1,0.0012
2015,NUTS,2010,ES7,1,0.0012
2016,NUTS,2010,ES7,1,0.0012
2017,NUTS,2010,ES7,1,0.0012
2018,NUTS,2010,ES7,1,0.0004
2002,NUTS,2010,ES70,2,0.0
2003,NUTS,2010,ES70,2,0.0
2004,NUTS,2010,ES70,2,0.0003
2005,NUTS,2010,ES70,2,0.0003
2006,NUTS,2010,ES70,2,0.0002
2007,NUTS,2010,ES70,2,0.0002
2008,NUTS,2010,ES70,2,0.0002
2009,NUTS,2010,ES70,2,0.0007
2010,NUTS,2010,ES70,2,0.0006
2011,NUTS,2010,ES70,2,0.0008
2012,NUTS,2010,ES70,2,0.001
2013,NUTS,2010,ES70,2,0.001
2014,NUTS,2010,ES70,2,0.0012
2015,NUTS,2010,ES70,2,0.0012
2016,NUTS,2010,ES70,2,0.0012
2017,NUTS,2010,ES70,2,0.0012
2018,NUTS,2010,ES70,2,0.0004
2001,NUTS,2010,EU27_2020,7,0.0109
2002,NUTS,2010,EU27_2020,7,0.0137
2003,NUTS,2010,EU27_2020,7,0.0134
2004,NUTS,2010,EU27_2020,7,0.0138
2005,NUTS,2010,EU27_2020,7,0.015
2006,NUTS,2010,EU27_2020,7,0.0168
2007,NUTS,2010,EU27_2020,7,0.0171
2008,NUTS,2010,EU27_2020,7,0.0173
2009,NUTS,2010,EU27_2020,7,0.0172
2010,NUTS,2010,EU27_2020,7,0.0161
2011,NUTS,2010,EU27_2020,7,0.0165
2012,NUTS,2010,EU27_2020,7,0.0164
2013,NUTS,2010,EU27_2020,7,0.0134
2014,NUTS,2010,EU27_2020,7,0.0144
2016,NUTS,2010,EU27_2020,7,0.0155
2017,NUTS,2010,EU27_2020,7,0.0157
1997,NUTS,2010,FI,0,0.0217
1998,NUTS,2010,FI,0,0.0238
1999,NUTS,2010,FI,0,0.0325
2000,NUTS,2010,FI,0,0.0286
2001,NUTS,2010,FI,0,0.0311
2002,NUTS,2010,FI,0,0.0309
2003,NUTS,2010,FI,0,0.0335
2004,NUTS,2010,FI,0,0.0349
2005,NUTS,2010,FI,0,0.0339
2006,NUTS,2010,FI,0,0.0343
2007,NUTS,2010,FI,0,0.0336
2008,NUTS,2010,FI,0,0.0349
2009,NUTS,2010,FI,0,0.0382
2010,NUTS,2010,FI,0,0.0408
2011,NUTS,2010,FI,0,0.0432
2012,NUTS,2010,FI,0,0.041
2013,NUTS,2010,FI,0,0.0404
2014,NUTS,2010,FI,0,0.0435
2015,NUTS,2010,FI,0,0.0436
2016,NUTS,2010,FI,0,0.0451
2017,NUTS,2010,FI,0,0.0449
2018,NUTS,2010,FI,0,0.0467
2019,NUTS,2010,FI,0,0.0487
2003,NUTS,2010,FR,0,0.03
2004,NUTS,2010,FR,0,0.0297
2005,NUTS,2010,FR,0,0.0288
2006,NUTS,2010,FR,0,0.0284
2007,NUTS,2010,FR,0,0.0288
2008,NUTS,2010,FR,0,0.0291
2009,NUTS,2010,FR,0,0.0267
2010,NUTS,2010,FR,0,0.0251
2011,NUTS,2010,FR,0,0.0288
2012,NUTS,2010,FR,0,0.0313
2013,NUTS,2010,FR,0,0.0313
2014,NUTS,2010,FR,0,0.0344
2016,NUTS,2010,FR,0,0.035
2017,NUTS,2010,FR,0,0.0342
2004,NUTS,2010,HR,0,0.0
2005,NUTS,2010,HR,0,0.0025
2006,NUTS,2010,HR,0,0.0027
2007,NUTS,2010,HR,0,0.0007
2008,NUTS,2010,HR,0,0.0007
2009,NUTS,2010,HR,0,0.002
2010,NUTS,2010,HR,0,0.0015
2011,NUTS,2010,HR,0,0.0018
2004,NUTS,2010,HR0,1,0.0
2005,NUTS,2010,HR0,1,0.0024
2006,NUTS,2010,HR0,1,0.0026
2007,NUTS,2010,HR0,1,0.0007
2008,NUTS,2010,HR0,1,0.0007
2009,NUTS,2010,HR0,1,0.0019
2010,NUTS,2010,HR0,1,0.0015
2011,NUTS,2010,HR0,1,0.0018
2008,NUTS,2010,HR03,2,0.0022
2009,NUTS,2010,HR03,2,0.0061
2010,NUTS,2010,HR03,2,0.0047
2011,NUTS,2010,HR03,2,0.0057
2008,NUTS,2010,HR04,2,0.0
2009,NUTS,2010,HR04,2,0.0
2010,NUTS,2010,HR04,2,0.0
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2003,NUTS,2010,IS,0,0.1644
2005,NUTS,2010,IS,0,0.1307
2006,NUTS,2010,IS,0,0.1314
2007,NUTS,2010,IS,0,0.1089
2008,NUTS,2010,IS,0,0.1123
2009,NUTS,2010,IS,0,0.1099
2011,NUTS,2010,IS,0,0.1073
2016,NUTS,2010,IS,0,0.0
2017,NUTS,2010,IS,0,0.0
2018,NUTS,2010,IS,0,0.0
2002,NUTS,2010,IT,0,0.03
2003,NUTS,2010,IT,0,0.0313
2004,NUTS,2010,IT,0,0.0347
2005,NUTS,2010,IT,0,0.0477
2006,NUTS,2010,IT,0,0.0617
2007,NUTS,2010,IT,0,0.0633
2008,NUTS,2010,IT,0,0.0618
2009,NUTS,2010,IT,0,0.0622
2010,NUTS,2010,IT,0,0.0477
2011,NUTS,2010,IT,0,0.0438
2012,NUTS,2010,IT,0,0.0427
2013,NUTS,2010,IT,0,0.0441
2014,NUTS,2010,IT,0,0.0465
2015,NUTS,2010,IT,0,0.0506
2016,NUTS,2010,IT,0,0.0487
2017,NUTS,2010,IT,0,0.0471
2018,NUTS,2010,IT,0,0.0445
2019,NUTS,2010,IT,0,0.0541
2003,NUTS,2010,ITC,1,0.0665
2004,NUTS,2010,ITC,1,0.0691
2005,NUTS,2010,ITC,1,0.0792
2007,NUTS,2010,ITC,1,0.1184
2008,NUTS,2010,ITC,1,0.1166
2009,NUTS,2010,ITC,1,0.1278
2010,NUTS,2010,ITC,1,0.0861
2011,NUTS,2010,ITC,1,0.0785
2012,NUTS,2010,ITC,1,0.0752
2013,NUTS,2010,ITC,1,0.0768
2014,NUTS,2010,ITC,1,0.0695
2015,NUTS,2010,ITC,1,0.0729
2016,NUTS,2010,ITC,1,0.0733
2017,NUTS,2010,ITC,1,0.0584
2018,NUTS,2010,ITC,1,0.0599
2019,NUTS,2010,ITC,1,0.0643
2003,NUTS,2010,ITC1,2,0.035
2004,NUTS,2010,ITC1,2,0.0516
2005,NUTS,2010,ITC1,2,0.067
2007,NUTS,2010,ITC1,2,0.0706
2008,NUTS,2010,ITC1,2,0.0663
2009,NUTS,2010,ITC1,2,0.0654
2010,NUTS,2010,ITC1,2,0.0458
2011,NUTS,2010,ITC1,2,0.0431
2012,NUTS,2010,ITC1,2,0.0553
2013,NUTS,2010,ITC1,2,0.0638
2014,NUTS,2010,ITC1,2,0.0543
2015,NUTS,2010,ITC1,2,0.0539
2016,NUTS,2010,ITC1,2,0.0509
2017,NUTS,2010,ITC1,2,0.0431
2018,NUTS,2010,ITC1,2,0.0468
2019,NUTS,2010,ITC1,2,0.0508
2003,NUTS,2010,ITC2,2,0.04
2004,NUTS,2010,ITC2,2,0.1016
2005,NUTS,2010,ITC2,2,0.0653
2007,NUTS,2010,ITC2,2,0.1107
2008,NUTS,2010,ITC2,2,0.0508
2009,NUTS,2010,ITC2,2,0.0581
2010,NUTS,2010,ITC2,2,0.0684
2011,NUTS,2010,ITC2,2,0.0526
2012,NUTS,2010,ITC2,2,0.0879
2013,NUTS,2010,ITC2,2,0.0952
2014,NUTS,2010,ITC2,2,0.0836
2015,NUTS,2010,ITC2,2,0.08
2016,NUTS,2010,ITC2,2,0.0725
2017,NUTS,2010,ITC2,2,0.0761
2018,NUTS,2010,ITC2,2,0.0899
2019,NUTS,2010,ITC2,2,0.1004
2003,NUTS,2010,ITC3,2,0.0233
2004,NUTS,2010,ITC3,2,0.0181
2005,NUTS,2010,ITC3,2,0.0227
2007,NUTS,2010,ITC3,2,0.0453
2008,NUTS,2010,ITC3,2,0.052
2009,NUTS,2010,ITC3,2,0.0376
2010,NUTS,2010,ITC3,2,0.0301
2011,NUTS,2010,ITC3,2,0.0401
2012,NUTS,2010,ITC3,2,0.0414
2013,NUTS,2010,ITC3,2,0.0446
2014,NUTS,2010,ITC3,2,0.0327
2015,NUTS,2010,ITC3,2,0.0434
2016,NUTS,2010,ITC3,2,0.0354
2017,NUTS,2010,ITC3,2,0.0296
2018,NUTS,2010,ITC3,2,0.0318
2019,NUTS,2010,ITC3,2,0.0556
2003,NUTS,2010,ITC4,2,0.0889
2004,NUTS,2010,ITC4,2,0.0845
2005,NUTS,2010,ITC4,2,0.0937
2007,NUTS,2010,ITC4,2,0.1515
2008,NUTS,2010,ITC4,2,0.1507
2009,NUTS,2010,ITC4,2,0.1711
