year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2016,NUTS,2010,CZ05,2,1269.0
2017,NUTS,2010,CZ05,2,1325.0
2018,NUTS,2010,CZ05,2,1536.0
2019,NUTS,2010,CZ05,2,1464.0
2020,NUTS,2010,CZ05,2,1469.0
2011,NUTS,2010,CZ06,2,3014.0
2012,NUTS,2010,CZ06,2,4066.0
2013,NUTS,2010,CZ06,2,3890.0
2014,NUTS,2010,CZ06,2,3930.0
2015,NUTS,2010,CZ06,2,4101.0
2016,NUTS,2010,CZ06,2,4034.0
2017,NUTS,2010,CZ06,2,4061.0
2018,NUTS,2010,CZ06,2,4612.0
2019,NUTS,2010,CZ06,2,5164.0
2020,NUTS,2010,CZ06,2,5327.0
2011,NUTS,2010,CZ07,2,1306.0
2012,NUTS,2010,CZ07,2,1521.0
2013,NUTS,2010,CZ07,2,1709.0
2014,NUTS,2010,CZ07,2,1810.0
2015,NUTS,2010,CZ07,2,2162.0
2016,NUTS,2010,CZ07,2,2129.0
2017,NUTS,2010,CZ07,2,1718.0
2018,NUTS,2010,CZ07,2,1748.0
2019,NUTS,2010,CZ07,2,1863.0
2020,NUTS,2010,CZ07,2,1825.0
2011,NUTS,2010,CZ08,2,1505.0
2012,NUTS,2010,CZ08,2,2238.0
2013,NUTS,2010,CZ08,2,1149.0
2014,NUTS,2010,CZ08,2,1256.0
2015,NUTS,2010,CZ08,2,1301.0
2016,NUTS,2010,CZ08,2,1264.0
2017,NUTS,2010,CZ08,2,1301.0
2018,NUTS,2010,CZ08,2,1566.0
2019,NUTS,2010,CZ08,2,1698.0
2020,NUTS,2010,CZ08,2,1773.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
