year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_fte
2011,NUTS,2010,DK03,2,625.0
2013,NUTS,2010,DK03,2,594.0
2015,NUTS,2010,DK03,2,984.0
2017,NUTS,2010,DK03,2,530.0
2019,NUTS,2010,DK03,2,679.0
2011,NUTS,2010,DK04,2,452.0
2013,NUTS,2010,DK04,2,680.0
2015,NUTS,2010,DK04,2,388.0
2017,NUTS,2010,DK04,2,501.0
2019,NUTS,2010,DK04,2,833.0
2011,NUTS,2010,DK05,2,60.0
2013,NUTS,2010,DK05,2,37.0
2015,NUTS,2010,DK05,2,49.0
2017,NUTS,2010,DK05,2,65.0
2019,NUTS,2010,DK05,2,93.0
2011,NUTS,2010,EE,0,433.0
2012,NUTS,2010,EE,0,416.0
2013,NUTS,2010,EE,0,407.0
2014,NUTS,2010,EE,0,374.0
2015,NUTS,2010,EE,0,345.0
2016,NUTS,2010,EE,0,358.0
2017,NUTS,2010,EE,0,423.0
2018,NUTS,2010,EE,0,457.0
2019,NUTS,2010,EE,0,517.0
2011,NUTS,2010,EL,0,1329.0
2013,NUTS,2010,EL,0,1158.0
2015,NUTS,2010,EL,0,1420.0
2017,NUTS,2010,EL,0,2870.0
2019,NUTS,2010,EL,0,3254.0
2011,NUTS,2010,EL3,1,799.0
2011,NUTS,2010,EL30,2,799.0
2011,NUTS,2010,EL4,1,13.0
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,0.0
2011,NUTS,2010,EL43,2,13.0
2011,NUTS,2010,EL5,1,410.0
2011,NUTS,2010,EL51,2,7.0
2011,NUTS,2010,EL52,2,389.0
2011,NUTS,2010,EL53,2,10.0
2011,NUTS,2010,EL54,2,4.0
2011,NUTS,2010,EL6,1,106.0
2011,NUTS,2010,EL61,2,5.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,45.0
2011,NUTS,2010,EL64,2,43.0
2011,NUTS,2010,EL65,2,14.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,13545.0
2012,NUTS,2010,ES,0,13584.0
2013,NUTS,2010,ES,0,13922.0
2014,NUTS,2010,ES,0,13808.0
2015,NUTS,2010,ES,0,13984.0
2016,NUTS,2010,ES,0,14470.0
2017,NUTS,2010,ES,0,15510.0
2018,NUTS,2010,ES,0,17120.0
2019,NUTS,2010,ES,0,17681.0
2011,NUTS,2010,ES1,1,799.0
