year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_eur_hab
2019,NUTS,2010,CZ07,2,273.2
2020,NUTS,2010,CZ07,2,246.2
2011,NUTS,2010,CZ08,2,162.2
2012,NUTS,2010,CZ08,2,148.1
2013,NUTS,2010,CZ08,2,141.2
2014,NUTS,2010,CZ08,2,153.2
2015,NUTS,2010,CZ08,2,156.4
2016,NUTS,2010,CZ08,2,157.0
2017,NUTS,2010,CZ08,2,154.7
2018,NUTS,2010,CZ08,2,181.0
2019,NUTS,2010,CZ08,2,179.5
2020,NUTS,2010,CZ08,2,188.1
2011,NUTS,2010,DE,0,942.0
2012,NUTS,2010,DE,0,984.8
2013,NUTS,2010,DE,0,990.1
2014,NUTS,2010,DE,0,1043.1
2015,NUTS,2010,DE,0,1093.4
2016,NUTS,2010,DE,0,1121.7
2017,NUTS,2010,DE,0,1206.4
2018,NUTS,2010,DE,0,1264.2
2019,NUTS,2010,DE,0,1325.3
2020,NUTS,2010,DE,0,1273.2
2011,NUTS,2010,DE1,1,1857.0
2013,NUTS,2010,DE1,1,1910.1
2015,NUTS,2010,DE1,1,2119.9
2017,NUTS,2010,DE1,1,2547.1
2019,NUTS,2010,DE1,1,2733.8
2011,NUTS,2010,DE11,2,2641.1
2013,NUTS,2010,DE11,2,2692.7
2015,NUTS,2010,DE11,2,3043.5
2017,NUTS,2010,DE11,2,3884.3
2019,NUTS,2010,DE11,2,3971.9
2011,NUTS,2010,DE12,2,1581.0
2013,NUTS,2010,DE12,2,1682.0
2015,NUTS,2010,DE12,2,1895.7
2017,NUTS,2010,DE12,2,2131.1
2019,NUTS,2010,DE12,2,2435.0
2011,NUTS,2010,DE13,2,894.6
2013,NUTS,2010,DE13,2,892.8
2015,NUTS,2010,DE13,2,949.6
2017,NUTS,2010,DE13,2,1032.9
2019,NUTS,2010,DE13,2,1149.0
2011,NUTS,2010,DE14,2,1704.2
2013,NUTS,2010,DE14,2,1753.6
2015,NUTS,2010,DE14,2,1826.1
2017,NUTS,2010,DE14,2,2038.7
2019,NUTS,2010,DE14,2,2354.9
2011,NUTS,2010,DE2,1,1162.6
2013,NUTS,2010,DE2,1,1271.8
2015,NUTS,2010,DE2,1,1366.5
2017,NUTS,2010,DE2,1,1444.9
2019,NUTS,2010,DE2,1,1658.5
2011,NUTS,2010,DE21,2,2006.3
2013,NUTS,2010,DE21,2,2219.7
2015,NUTS,2010,DE21,2,2333.8
2017,NUTS,2010,DE21,2,2308.4
2019,NUTS,2010,DE21,2,2685.0
2015,NUTS,2010,DE22,2,458.4
2017,NUTS,2010,DE22,2,518.0
2019,NUTS,2010,DE22,2,643.8
2015,NUTS,2010,DE23,2,779.7
2017,NUTS,2010,DE23,2,1033.2
2019,NUTS,2010,DE23,2,1187.7
2011,NUTS,2010,DE24,2,530.9
2013,NUTS,2010,DE24,2,588.0
2015,NUTS,2010,DE24,2,665.0
2017,NUTS,2010,DE24,2,782.0
2019,NUTS,2010,DE24,2,992.7
2011,NUTS,2010,DE25,2,1281.7
2013,NUTS,2010,DE25,2,1434.6
2015,NUTS,2010,DE25,2,1533.3
2017,NUTS,2010,DE25,2,1568.9
2019,NUTS,2010,DE25,2,1731.2
2011,NUTS,2010,DE26,2,771.5
2013,NUTS,2010,DE26,2,815.3
2015,NUTS,2010,DE26,2,775.7
2017,NUTS,2010,DE26,2,1129.9
2019,NUTS,2010,DE26,2,1197.5
2011,NUTS,2010,DE27,2,414.1
2013,NUTS,2010,DE27,2,437.3
2015,NUTS,2010,DE27,2,581.5
2017,NUTS,2010,DE27,2,627.7
2019,NUTS,2010,DE27,2,682.7
2011,NUTS,2010,DE3,1,1097.4
2013,NUTS,2010,DE3,1,1187.5
2015,NUTS,2010,DE3,1,1267.0
2017,NUTS,2010,DE3,1,1326.6
2019,NUTS,2010,DE3,1,1432.6
2011,NUTS,2010,DE30,2,1097.4
2013,NUTS,2010,DE30,2,1187.5
2015,NUTS,2010,DE30,2,1267.0
2017,NUTS,2010,DE30,2,1326.6
2019,NUTS,2010,DE30,2,1432.6
2011,NUTS,2010,DE4,1,386.2
2013,NUTS,2010,DE4,1,380.9
2015,NUTS,2010,DE4,1,443.1
2017,NUTS,2010,DE4,1,478.0
2019,NUTS,2010,DE4,1,539.7
2011,NUTS,2010,DE40,2,386.2
2013,NUTS,2010,DE40,2,380.9
2015,NUTS,2010,DE40,2,443.1
2017,NUTS,2010,DE40,2,478.0
2019,NUTS,2010,DE40,2,539.7
2011,NUTS,2010,DE5,1,1151.7
2013,NUTS,2010,DE5,1,1208.3
2015,NUTS,2010,DE5,1,1307.7
2017,NUTS,2010,DE5,1,1336.8
2019,NUTS,2010,DE5,1,1471.3
2011,NUTS,2010,DE50,2,1151.7
2013,NUTS,2010,DE50,2,1208.3
2015,NUTS,2010,DE50,2,1307.7
2017,NUTS,2010,DE50,2,1336.8
2019,NUTS,2010,DE50,2,1471.3
2011,NUTS,2010,DE6,1,1228.2
2013,NUTS,2010,DE6,1,1328.3
2015,NUTS,2010,DE6,1,1371.8
2017,NUTS,2010,DE6,1,1378.6
2019,NUTS,2010,DE6,1,1463.4
2011,NUTS,2010,DE60,2,1228.2
2013,NUTS,2010,DE60,2,1334.1
2015,NUTS,2010,DE60,2,1371.8
2017,NUTS,2010,DE60,2,1378.6
2019,NUTS,2010,DE60,2,1463.4
2011,NUTS,2010,DE7,1,1143.3
2013,NUTS,2010,DE7,1,1139.6
2015,NUTS,2010,DE7,1,1213.6
2017,NUTS,2010,DE7,1,1315.7
2019,NUTS,2010,DE7,1,1454.9
2011,NUTS,2010,DE71,2,1485.9
2013,NUTS,2010,DE71,2,1426.9
2015,NUTS,2010,DE71,2,1530.3
2017,NUTS,2010,DE71,2,1660.5
2019,NUTS,2010,DE71,2,1839.0
2011,NUTS,2010,DE72,2,624.8
2013,NUTS,2010,DE72,2,719.6
2015,NUTS,2010,DE72,2,806.0
2017,NUTS,2010,DE72,2,863.4
2019,NUTS,2010,DE72,2,796.9
2011,NUTS,2010,DE73,2,525.0
2013,NUTS,2010,DE73,2,590.8
2015,NUTS,2010,DE73,2,543.5
2017,NUTS,2010,DE73,2,584.7
2019,NUTS,2010,DE73,2,760.8
2011,NUTS,2010,DE8,1,459.2
2013,NUTS,2010,DE8,1,425.7
2015,NUTS,2010,DE8,1,470.2
2017,NUTS,2010,DE8,1,486.8
2019,NUTS,2010,DE8,1,525.0
2011,NUTS,2010,DE80,2,459.2
2013,NUTS,2010,DE80,2,425.7
2015,NUTS,2010,DE80,2,470.2
2017,NUTS,2010,DE80,2,486.8
2019,NUTS,2010,DE80,2,525.0
2011,NUTS,2010,DE9,1,830.6
2013,NUTS,2010,DE9,1,899.9
2015,NUTS,2010,DE9,1,1132.7
2017,NUTS,2010,DE9,1,1122.8
2019,NUTS,2010,DE9,1,1206.2
2011,NUTS,2010,DE91,2,2566.1
2013,NUTS,2010,DE91,2,2781.7
2015,NUTS,2010,DE91,2,3737.3
2017,NUTS,2010,DE91,2,3682.6
2019,NUTS,2010,DE91,2,3901.8
2011,NUTS,2010,DE92,2,718.7
2013,NUTS,2010,DE92,2,766.6
2015,NUTS,2010,DE92,2,843.4
2017,NUTS,2010,DE92,2,846.8
2019,NUTS,2010,DE92,2,948.1
2011,NUTS,2010,DE93,2,223.1
2013,NUTS,2010,DE93,2,258.1
2015,NUTS,2010,DE93,2,255.4
2017,NUTS,2010,DE93,2,250.0
2019,NUTS,2010,DE93,2,248.5
2011,NUTS,2010,DE94,2,217.7
2013,NUTS,2010,DE94,2,239.1
2015,NUTS,2010,DE94,2,306.4
2017,NUTS,2010,DE94,2,322.1
2019,NUTS,2010,DE94,2,370.6
2011,NUTS,2010,DEA,1,657.5
2013,NUTS,2010,DEA,1,668.8
2015,NUTS,2010,DEA,1,718.5
2017,NUTS,2010,DEA,1,800.4
2019,NUTS,2010,DEA,1,864.9
2011,NUTS,2010,DEA1,2,659.4
2013,NUTS,2010,DEA1,2,626.1
2015,NUTS,2010,DEA1,2,693.9
2017,NUTS,2010,DEA1,2,794.0
2019,NUTS,2010,DEA1,2,849.3
2011,NUTS,2010,DEA2,2,1097.6
2013,NUTS,2010,DEA2,2,1079.4
2015,NUTS,2010,DEA2,2,1135.6
2017,NUTS,2010,DEA2,2,1244.3
2019,NUTS,2010,DEA2,2,1326.0
2011,NUTS,2010,DEA3,2,298.0
2013,NUTS,2010,DEA3,2,320.3
2015,NUTS,2010,DEA3,2,351.5
2017,NUTS,2010,DEA3,2,398.4
2019,NUTS,2010,DEA3,2,465.8
2011,NUTS,2010,DEA4,2,568.8
2013,NUTS,2010,DEA4,2,644.1
2015,NUTS,2010,DEA4,2,662.7
2017,NUTS,2010,DEA4,2,728.2
2019,NUTS,2010,DEA4,2,776.2
2011,NUTS,2010,DEA5,2,436.7
2013,NUTS,2010,DEA5,2,497.8
2015,NUTS,2010,DEA5,2,540.8
2017,NUTS,2010,DEA5,2,595.1
2019,NUTS,2010,DEA5,2,655.4
2011,NUTS,2010,DEB,1,596.8
2013,NUTS,2010,DEB,1,664.5
2015,NUTS,2010,DEB,1,794.0
2017,NUTS,2010,DEB,1,859.6
2019,NUTS,2010,DEB,1,937.5
2011,NUTS,2010,DEB1,2,192.2
2013,NUTS,2010,DEB1,2,215.2
2015,NUTS,2010,DEB1,2,225.2
2017,NUTS,2010,DEB1,2,230.3
2019,NUTS,2010,DEB1,2,300.4
2011,NUTS,2010,DEB2,2,857.8
2013,NUTS,2010,DEB2,2,862.5
2015,NUTS,2010,DEB2,2,868.2
2017,NUTS,2010,DEB2,2,269.3
2019,NUTS,2010,DEB2,2,285.9
2011,NUTS,2010,DEB3,2,830.9
2013,NUTS,2010,DEB3,2,945.4
2015,NUTS,2010,DEB3,2,1192.3
2017,NUTS,2010,DEB3,2,1471.3
2019,NUTS,2010,DEB3,2,1568.7
2011,NUTS,2010,DEC,1,470.1
2013,NUTS,2010,DEC,1,464.2
2015,NUTS,2010,DEC,1,539.9
2017,NUTS,2010,DEC,1,620.7
2019,NUTS,2010,DEC,1,680.2
2011,NUTS,2010,DEC0,2,470.1
2013,NUTS,2010,DEC0,2,464.2
2015,NUTS,2010,DEC0,2,539.9
2017,NUTS,2010,DEC0,2,620.7
2019,NUTS,2010,DEC0,2,680.2
2011,NUTS,2010,DED,1,683.7
2013,NUTS,2010,DED,1,707.4
2015,NUTS,2010,DED,1,762.8
2017,NUTS,2010,DED,1,831.4
2019,NUTS,2010,DED,1,946.0
2011,NUTS,2010,DED2,2,997.2
2013,NUTS,2010,DED2,2,1038.2
2015,NUTS,2010,DED2,2,1134.7
