year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2016,NUTS,2010,CN_X_HK,5,240483.276
2011,NUTS,2010,CY,0,13.36
2012,NUTS,2010,CY,0,13.325
2013,NUTS,2010,CY,0,16.381
2014,NUTS,2010,CY,0,19.544
2015,NUTS,2010,CY,0,19.169
2016,NUTS,2010,CY,0,36.212
2017,NUTS,2010,CY,0,40.11
2018,NUTS,2010,CY,0,52.286
2019,NUTS,2010,CY,0,67.772
2020,NUTS,2010,CY,0,77.652
2011,NUTS,2010,CY0,1,13.36
2012,NUTS,2010,CY0,1,13.325
2013,NUTS,2010,CY0,1,16.381
2014,NUTS,2010,CY0,1,19.544
2015,NUTS,2010,CY0,1,19.169
2016,NUTS,2010,CY0,1,36.212
2017,NUTS,2010,CY0,1,40.11
2018,NUTS,2010,CY0,1,52.286
2019,NUTS,2010,CY0,1,67.772
2020,NUTS,2010,CY0,1,77.652
2011,NUTS,2010,CY00,2,13.36
2012,NUTS,2010,CY00,2,13.325
2013,NUTS,2010,CY00,2,16.381
2014,NUTS,2010,CY00,2,19.544
2015,NUTS,2010,CY00,2,19.169
2016,NUTS,2010,CY00,2,36.212
2017,NUTS,2010,CY00,2,40.11
2018,NUTS,2010,CY00,2,52.286
2019,NUTS,2010,CY00,2,67.772
2020,NUTS,2010,CY00,2,77.652
2011,NUTS,2010,CZ,0,1816.178
2012,NUTS,2010,CZ,0,2000.254
2013,NUTS,2010,CZ,0,2143.258
2014,NUTS,2010,CZ,0,2362.087
2015,NUTS,2010,CZ,0,2364.325
2016,NUTS,2010,CZ,0,2378.054
2017,NUTS,2010,CZ,0,2722.637
2018,NUTS,2010,CZ,0,2974.234
2019,NUTS,2010,CZ,0,3094.711
2020,NUTS,2010,CZ,0,2977.507
2011,NUTS,2010,CZ0,1,1816.178
2012,NUTS,2010,CZ0,1,2000.254
2013,NUTS,2010,CZ0,1,2143.258
2014,NUTS,2010,CZ0,1,2362.087
2015,NUTS,2010,CZ0,1,2364.325
2016,NUTS,2010,CZ0,1,2378.054
2017,NUTS,2010,CZ0,1,2722.637
2018,NUTS,2010,CZ0,1,2974.234
2019,NUTS,2010,CZ0,1,3094.711
2020,NUTS,2010,CZ0,1,2977.507
2011,NUTS,2010,CZ01,2,408.782
2012,NUTS,2010,CZ01,2,472.298
2013,NUTS,2010,CZ01,2,470.092
2014,NUTS,2010,CZ01,2,515.071
2015,NUTS,2010,CZ01,2,548.707
2016,NUTS,2010,CZ01,2,555.815
2017,NUTS,2010,CZ01,2,724.031
2018,NUTS,2010,CZ01,2,814.797
2019,NUTS,2010,CZ01,2,848.238
2020,NUTS,2010,CZ01,2,904.506
2011,NUTS,2010,CZ02,2,274.645
2012,NUTS,2010,CZ02,2,288.891
2013,NUTS,2010,CZ02,2,423.223
2014,NUTS,2010,CZ02,2,411.757
2015,NUTS,2010,CZ02,2,415.699
2016,NUTS,2010,CZ02,2,420.446
2017,NUTS,2010,CZ02,2,538.912
2018,NUTS,2010,CZ02,2,603.472
2019,NUTS,2010,CZ02,2,595.236
2020,NUTS,2010,CZ02,2,481.29
2011,NUTS,2010,CZ03,2,190.379
2012,NUTS,2010,CZ03,2,213.535
2013,NUTS,2010,CZ03,2,204.602
2014,NUTS,2010,CZ03,2,214.573
2015,NUTS,2010,CZ03,2,222.386
2016,NUTS,2010,CZ03,2,212.529
2017,NUTS,2010,CZ03,2,210.731
2018,NUTS,2010,CZ03,2,249.37
2019,NUTS,2010,CZ03,2,278.884
2020,NUTS,2010,CZ03,2,243.727
2011,NUTS,2010,CZ04,2,42.268
2012,NUTS,2010,CZ04,2,58.257
2013,NUTS,2010,CZ04,2,47.749
2014,NUTS,2010,CZ04,2,52.218
2015,NUTS,2010,CZ04,2,55.612
2016,NUTS,2010,CZ04,2,41.862
2017,NUTS,2010,CZ04,2,42.93
2018,NUTS,2010,CZ04,2,47.68
2019,NUTS,2010,CZ04,2,62.721
2020,NUTS,2010,CZ04,2,56.918
2011,NUTS,2010,CZ05,2,233.973
2012,NUTS,2010,CZ05,2,286.833
2013,NUTS,2010,CZ05,2,258.939
2014,NUTS,2010,CZ05,2,287.804
2015,NUTS,2010,CZ05,2,272.98
2016,NUTS,2010,CZ05,2,275.238
2017,NUTS,2010,CZ05,2,299.589
2018,NUTS,2010,CZ05,2,327.562
2019,NUTS,2010,CZ05,2,336.413
2020,NUTS,2010,CZ05,2,318.242
2011,NUTS,2010,CZ06,2,323.076
2012,NUTS,2010,CZ06,2,357.27
2013,NUTS,2010,CZ06,2,425.126
2014,NUTS,2010,CZ06,2,516.054
2015,NUTS,2010,CZ06,2,510.313
2016,NUTS,2010,CZ06,2,502.695
2017,NUTS,2010,CZ06,2,491.255
2018,NUTS,2010,CZ06,2,495.836
2019,NUTS,2010,CZ06,2,539.865
2020,NUTS,2010,CZ06,2,555.527
2011,NUTS,2010,CZ07,2,155.956
2012,NUTS,2010,CZ07,2,160.401
2013,NUTS,2010,CZ07,2,161.4
2014,NUTS,2010,CZ07,2,176.271
2015,NUTS,2010,CZ07,2,175.867
2016,NUTS,2010,CZ07,2,183.692
2017,NUTS,2010,CZ07,2,240.0
2018,NUTS,2010,CZ07,2,258.717
2019,NUTS,2010,CZ07,2,281.381
2020,NUTS,2010,CZ07,2,246.922
2011,NUTS,2010,CZ08,2,157.337
