year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_se_pc_act
2012,NUTS,2010,DE21,2,10.6
2013,NUTS,2010,DE21,2,10.5
2014,NUTS,2010,DE21,2,11.0
2015,NUTS,2010,DE21,2,10.8
2016,NUTS,2010,DE21,2,11.0
2017,NUTS,2010,DE21,2,11.1
2018,NUTS,2010,DE21,2,11.5
2019,NUTS,2010,DE21,2,10.9
2020,NUTS,2010,DE21,2,11.1
2011,NUTS,2010,DE22,2,5.5
2012,NUTS,2010,DE22,2,5.2
2013,NUTS,2010,DE22,2,4.7
2014,NUTS,2010,DE22,2,4.8
2015,NUTS,2010,DE22,2,4.8
2016,NUTS,2010,DE22,2,5.6
2017,NUTS,2010,DE22,2,5.4
2018,NUTS,2010,DE22,2,6.0
2019,NUTS,2010,DE22,2,6.0
2020,NUTS,2010,DE22,2,6.0
2011,NUTS,2010,DE23,2,6.3
2012,NUTS,2010,DE23,2,6.6
2013,NUTS,2010,DE23,2,6.6
2014,NUTS,2010,DE23,2,6.9
2015,NUTS,2010,DE23,2,7.3
2016,NUTS,2010,DE23,2,6.8
2017,NUTS,2010,DE23,2,6.8
2018,NUTS,2010,DE23,2,7.0
2019,NUTS,2010,DE23,2,7.4
2020,NUTS,2010,DE23,2,9.1
2011,NUTS,2010,DE24,2,6.5
2012,NUTS,2010,DE24,2,6.2
2013,NUTS,2010,DE24,2,5.8
2014,NUTS,2010,DE24,2,5.8
2015,NUTS,2010,DE24,2,5.9
2016,NUTS,2010,DE24,2,5.9
2017,NUTS,2010,DE24,2,5.8
2018,NUTS,2010,DE24,2,5.7
2019,NUTS,2010,DE24,2,5.8
2020,NUTS,2010,DE24,2,6.9
2011,NUTS,2010,DE25,2,8.3
2012,NUTS,2010,DE25,2,7.7
2013,NUTS,2010,DE25,2,7.7
2014,NUTS,2010,DE25,2,7.5
2015,NUTS,2010,DE25,2,8.1
2016,NUTS,2010,DE25,2,8.6
2017,NUTS,2010,DE25,2,8.4
2018,NUTS,2010,DE25,2,8.3
2019,NUTS,2010,DE25,2,8.7
2020,NUTS,2010,DE25,2,9.7
2011,NUTS,2010,DE26,2,6.4
2012,NUTS,2010,DE26,2,6.5
2013,NUTS,2010,DE26,2,6.3
2014,NUTS,2010,DE26,2,6.7
2015,NUTS,2010,DE26,2,7.2
2016,NUTS,2010,DE26,2,6.5
2017,NUTS,2010,DE26,2,6.9
2018,NUTS,2010,DE26,2,7.0
2019,NUTS,2010,DE26,2,7.2
2020,NUTS,2010,DE26,2,7.2
2011,NUTS,2010,DE27,2,6.7
2012,NUTS,2010,DE27,2,5.8
2013,NUTS,2010,DE27,2,6.5
2014,NUTS,2010,DE27,2,6.6
2015,NUTS,2010,DE27,2,6.6
2016,NUTS,2010,DE27,2,6.8
2017,NUTS,2010,DE27,2,6.8
2018,NUTS,2010,DE27,2,6.9
2019,NUTS,2010,DE27,2,6.8
2020,NUTS,2010,DE27,2,7.5
2011,NUTS,2010,DE3,1,9.1
2012,NUTS,2010,DE3,1,8.7
2013,NUTS,2010,DE3,1,8.5
2014,NUTS,2010,DE3,1,9.0
2015,NUTS,2010,DE3,1,9.3
2016,NUTS,2010,DE3,1,10.0
2017,NUTS,2010,DE3,1,10.5
2018,NUTS,2010,DE3,1,10.6
2019,NUTS,2010,DE3,1,11.2
2020,NUTS,2010,DE3,1,11.2
2011,NUTS,2010,DE30,2,9.1
2012,NUTS,2010,DE30,2,8.7
2013,NUTS,2010,DE30,2,8.5
2014,NUTS,2010,DE30,2,9.0
2015,NUTS,2010,DE30,2,9.3
2016,NUTS,2010,DE30,2,10.0
2017,NUTS,2010,DE30,2,10.5
2018,NUTS,2010,DE30,2,10.6
2019,NUTS,2010,DE30,2,11.2
2020,NUTS,2010,DE30,2,11.2
2011,NUTS,2010,DE4,1,5.7
2012,NUTS,2010,DE4,1,5.2
2013,NUTS,2010,DE4,1,5.7
2014,NUTS,2010,DE4,1,5.7
2015,NUTS,2010,DE4,1,5.6
2016,NUTS,2010,DE4,1,6.2
2017,NUTS,2010,DE4,1,6.2
2018,NUTS,2010,DE4,1,5.8
2019,NUTS,2010,DE4,1,6.0
2020,NUTS,2010,DE4,1,6.5
2011,NUTS,2010,DE40,2,5.7
2012,NUTS,2010,DE40,2,5.2
2013,NUTS,2010,DE40,2,5.7
2014,NUTS,2010,DE40,2,5.7
2015,NUTS,2010,DE40,2,5.6
2016,NUTS,2010,DE40,2,6.2
2017,NUTS,2010,DE40,2,6.2
2018,NUTS,2010,DE40,2,5.8
2019,NUTS,2010,DE40,2,6.0
2020,NUTS,2010,DE40,2,6.5
2011,NUTS,2010,DE5,1,7.1
2012,NUTS,2010,DE5,1,7.2
2013,NUTS,2010,DE5,1,7.0
2014,NUTS,2010,DE5,1,7.1
2015,NUTS,2010,DE5,1,6.8
2016,NUTS,2010,DE5,1,7.5
2017,NUTS,2010,DE5,1,8.6
2018,NUTS,2010,DE5,1,9.0
2019,NUTS,2010,DE5,1,8.9
2020,NUTS,2010,DE5,1,8.4
2011,NUTS,2010,DE50,2,7.1
2012,NUTS,2010,DE50,2,7.2
2013,NUTS,2010,DE50,2,7.0
2014,NUTS,2010,DE50,2,7.1
2015,NUTS,2010,DE50,2,6.8
2016,NUTS,2010,DE50,2,7.5
2017,NUTS,2010,DE50,2,8.6
2018,NUTS,2010,DE50,2,9.0
2019,NUTS,2010,DE50,2,8.9
2020,NUTS,2010,DE50,2,8.4
2011,NUTS,2010,DE6,1,10.2
2012,NUTS,2010,DE6,1,8.8
2013,NUTS,2010,DE6,1,9.1
2014,NUTS,2010,DE6,1,9.0
2015,NUTS,2010,DE6,1,10.1
2016,NUTS,2010,DE6,1,10.0
2017,NUTS,2010,DE6,1,10.7
2018,NUTS,2010,DE6,1,11.2
2019,NUTS,2010,DE6,1,10.7
2020,NUTS,2010,DE6,1,10.6
2011,NUTS,2010,DE60,2,10.2
2012,NUTS,2010,DE60,2,8.8
2013,NUTS,2010,DE60,2,9.1
2014,NUTS,2010,DE60,2,9.0
2015,NUTS,2010,DE60,2,10.1
2016,NUTS,2010,DE60,2,10.0
2017,NUTS,2010,DE60,2,10.7
2018,NUTS,2010,DE60,2,11.2
2019,NUTS,2010,DE60,2,10.7
2020,NUTS,2010,DE60,2,10.6
2011,NUTS,2010,DE7,1,7.4
2012,NUTS,2010,DE7,1,7.3
2013,NUTS,2010,DE7,1,7.5
2014,NUTS,2010,DE7,1,7.5
2015,NUTS,2010,DE7,1,7.4
2016,NUTS,2010,DE7,1,7.5
2017,NUTS,2010,DE7,1,8.0
2018,NUTS,2010,DE7,1,7.6
2019,NUTS,2010,DE7,1,7.8
2020,NUTS,2010,DE7,1,7.7
2011,NUTS,2010,DE71,2,8.4
2012,NUTS,2010,DE71,2,8.4
2013,NUTS,2010,DE71,2,8.5
2014,NUTS,2010,DE71,2,8.5
2015,NUTS,2010,DE71,2,8.3
2016,NUTS,2010,DE71,2,8.3
2017,NUTS,2010,DE71,2,9.0
2018,NUTS,2010,DE71,2,8.3
2019,NUTS,2010,DE71,2,8.6
2020,NUTS,2010,DE71,2,8.3
2011,NUTS,2010,DE72,2,6.1
2012,NUTS,2010,DE72,2,5.8
2013,NUTS,2010,DE72,2,5.9
2014,NUTS,2010,DE72,2,6.4
2015,NUTS,2010,DE72,2,6.7
2016,NUTS,2010,DE72,2,5.9
2017,NUTS,2010,DE72,2,5.8
2018,NUTS,2010,DE72,2,5.7
2019,NUTS,2010,DE72,2,6.2
2020,NUTS,2010,DE72,2,6.7
2011,NUTS,2010,DE73,2,5.2
2012,NUTS,2010,DE73,2,5.3
2013,NUTS,2010,DE73,2,5.4
2014,NUTS,2010,DE73,2,5.2
2015,NUTS,2010,DE73,2,5.1
2016,NUTS,2010,DE73,2,6.2
2017,NUTS,2010,DE73,2,6.8
2018,NUTS,2010,DE73,2,6.6
2019,NUTS,2010,DE73,2,6.2
2020,NUTS,2010,DE73,2,6.4
2011,NUTS,2010,DE8,1,5.3
2012,NUTS,2010,DE8,1,4.1
2013,NUTS,2010,DE8,1,4.5
2014,NUTS,2010,DE8,1,5.0
2015,NUTS,2010,DE8,1,5.8
2016,NUTS,2010,DE8,1,5.7
2017,NUTS,2010,DE8,1,5.4
2018,NUTS,2010,DE8,1,5.9
2019,NUTS,2010,DE8,1,5.7
2020,NUTS,2010,DE8,1,5.0
2011,NUTS,2010,DE80,2,5.3
2012,NUTS,2010,DE80,2,4.1
2013,NUTS,2010,DE80,2,4.5
2014,NUTS,2010,DE80,2,5.0
2015,NUTS,2010,DE80,2,5.8
2016,NUTS,2010,DE80,2,5.7
2017,NUTS,2010,DE80,2,5.4
2018,NUTS,2010,DE80,2,5.9
2019,NUTS,2010,DE80,2,5.7
2020,NUTS,2010,DE80,2,5.0
2011,NUTS,2010,DE9,1,6.5
2012,NUTS,2010,DE9,1,6.2
2013,NUTS,2010,DE9,1,6.2
2014,NUTS,2010,DE9,1,6.3
2015,NUTS,2010,DE9,1,6.5
2016,NUTS,2010,DE9,1,6.4
2017,NUTS,2010,DE9,1,6.5
2018,NUTS,2010,DE9,1,6.5
2019,NUTS,2010,DE9,1,6.6
2020,NUTS,2010,DE9,1,7.3
2011,NUTS,2010,DE91,2,7.2
2012,NUTS,2010,DE91,2,7.2
2013,NUTS,2010,DE91,2,7.4
2014,NUTS,2010,DE91,2,7.7
2015,NUTS,2010,DE91,2,8.0
2016,NUTS,2010,DE91,2,7.5
2017,NUTS,2010,DE91,2,7.6
2018,NUTS,2010,DE91,2,8.1
2019,NUTS,2010,DE91,2,8.3
2020,NUTS,2010,DE91,2,9.0
2011,NUTS,2010,DE92,2,7.6
2012,NUTS,2010,DE92,2,6.8
2013,NUTS,2010,DE92,2,7.0
2014,NUTS,2010,DE92,2,7.1
2015,NUTS,2010,DE92,2,7.2
2016,NUTS,2010,DE92,2,7.6
2017,NUTS,2010,DE92,2,7.5
2018,NUTS,2010,DE92,2,7.4
2019,NUTS,2010,DE92,2,7.3
2020,NUTS,2010,DE92,2,8.9
2011,NUTS,2010,DE93,2,6.8
2012,NUTS,2010,DE93,2,6.1
2013,NUTS,2010,DE93,2,5.7
2014,NUTS,2010,DE93,2,6.0
2015,NUTS,2010,DE93,2,6.3
2016,NUTS,2010,DE93,2,6.1
2017,NUTS,2010,DE93,2,6.3
2018,NUTS,2010,DE93,2,6.1
2019,NUTS,2010,DE93,2,6.2
2020,NUTS,2010,DE93,2,6.3
2011,NUTS,2010,DE94,2,5.0
2012,NUTS,2010,DE94,2,5.0
2013,NUTS,2010,DE94,2,5.1
2014,NUTS,2010,DE94,2,4.9
2015,NUTS,2010,DE94,2,5.0
2016,NUTS,2010,DE94,2,5.1
2017,NUTS,2010,DE94,2,5.1
2018,NUTS,2010,DE94,2,5.0
2019,NUTS,2010,DE94,2,5.3
2020,NUTS,2010,DE94,2,5.6
2011,NUTS,2010,DEA,1,6.7
2012,NUTS,2010,DEA,1,6.3
2013,NUTS,2010,DEA,1,6.3
2014,NUTS,2010,DEA,1,6.4
2015,NUTS,2010,DEA,1,6.5
2016,NUTS,2010,DEA,1,7.0
2017,NUTS,2010,DEA,1,7.1
2018,NUTS,2010,DEA,1,7.0
2019,NUTS,2010,DEA,1,7.2
2020,NUTS,2010,DEA,1,7.6
2011,NUTS,2010,DEA1,2,6.8
2012,NUTS,2010,DEA1,2,6.2
2013,NUTS,2010,DEA1,2,6.4
2014,NUTS,2010,DEA1,2,6.5
2015,NUTS,2010,DEA1,2,6.5
2016,NUTS,2010,DEA1,2,7.3
2017,NUTS,2010,DEA1,2,6.8
2018,NUTS,2010,DEA1,2,7.0
2019,NUTS,2010,DEA1,2,7.4
2020,NUTS,2010,DEA1,2,8.3
2011,NUTS,2010,DEA2,2,7.9
2012,NUTS,2010,DEA2,2,7.7
2013,NUTS,2010,DEA2,2,7.4
2014,NUTS,2010,DEA2,2,7.6
2015,NUTS,2010,DEA2,2,7.6
2016,NUTS,2010,DEA2,2,8.1
2017,NUTS,2010,DEA2,2,8.5
2018,NUTS,2010,DEA2,2,8.5
2019,NUTS,2010,DEA2,2,8.5
2020,NUTS,2010,DEA2,2,8.5
2011,NUTS,2010,DEA3,2,5.7
2012,NUTS,2010,DEA3,2,5.4
2013,NUTS,2010,DEA3,2,5.8
2014,NUTS,2010,DEA3,2,5.6
2015,NUTS,2010,DEA3,2,5.6
2016,NUTS,2010,DEA3,2,6.3
2017,NUTS,2010,DEA3,2,6.3
2018,NUTS,2010,DEA3,2,6.1
2019,NUTS,2010,DEA3,2,6.3
2020,NUTS,2010,DEA3,2,7.0
2011,NUTS,2010,DEA4,2,6.0
2012,NUTS,2010,DEA4,2,5.6
2013,NUTS,2010,DEA4,2,5.5
2014,NUTS,2010,DEA4,2,5.7
2015,NUTS,2010,DEA4,2,6.0
2016,NUTS,2010,DEA4,2,6.3
2017,NUTS,2010,DEA4,2,6.6
2018,NUTS,2010,DEA4,2,6.1
2019,NUTS,2010,DEA4,2,6.3
2020,NUTS,2010,DEA4,2,6.8
2011,NUTS,2010,DEA5,2,6.4
2012,NUTS,2010,DEA5,2,5.9
2013,NUTS,2010,DEA5,2,5.7
2014,NUTS,2010,DEA5,2,6.0
2015,NUTS,2010,DEA5,2,6.2
2016,NUTS,2010,DEA5,2,6.4
2017,NUTS,2010,DEA5,2,6.5
2018,NUTS,2010,DEA5,2,6.2
2019,NUTS,2010,DEA5,2,6.6
2020,NUTS,2010,DEA5,2,6.8
2011,NUTS,2010,DEB,1,6.6
2012,NUTS,2010,DEB,1,6.5
2013,NUTS,2010,DEB,1,6.6
2014,NUTS,2010,DEB,1,6.3
2015,NUTS,2010,DEB,1,6.6
2016,NUTS,2010,DEB,1,6.4
2017,NUTS,2010,DEB,1,6.8
2018,NUTS,2010,DEB,1,6.7
2019,NUTS,2010,DEB,1,7.1
2020,NUTS,2010,DEB,1,7.5
2011,NUTS,2010,DEB1,2,5.8
2012,NUTS,2010,DEB1,2,5.5
2013,NUTS,2010,DEB1,2,5.3
2014,NUTS,2010,DEB1,2,5.0
2015,NUTS,2010,DEB1,2,5.8
2016,NUTS,2010,DEB1,2,5.8
2017,NUTS,2010,DEB1,2,6.1
2018,NUTS,2010,DEB1,2,6.2
2019,NUTS,2010,DEB1,2,6.5
2020,NUTS,2010,DEB1,2,6.5
2011,NUTS,2010,DEB2,2,5.9
2012,NUTS,2010,DEB2,2,6.9
2013,NUTS,2010,DEB2,2,6.0
2014,NUTS,2010,DEB2,2,5.5
2015,NUTS,2010,DEB2,2,4.8
2016,NUTS,2010,DEB2,2,4.6
2017,NUTS,2010,DEB2,2,5.6
2018,NUTS,2010,DEB2,2,5.2
2019,NUTS,2010,DEB2,2,5.8
2011,NUTS,2010,DEB3,2,7.5
2012,NUTS,2010,DEB3,2,7.1
2013,NUTS,2010,DEB3,2,7.6
2014,NUTS,2010,DEB3,2,7.4
2015,NUTS,2010,DEB3,2,7.6
2016,NUTS,2010,DEB3,2,7.3
2017,NUTS,2010,DEB3,2,7.6
2018,NUTS,2010,DEB3,2,7.4
2019,NUTS,2010,DEB3,2,7.9
2020,NUTS,2010,DEB3,2,8.1
2011,NUTS,2010,DEC,1,6.7
2012,NUTS,2010,DEC,1,6.2
2013,NUTS,2010,DEC,1,6.2
2014,NUTS,2010,DEC,1,5.2
2015,NUTS,2010,DEC,1,6.1
2016,NUTS,2010,DEC,1,6.5
2017,NUTS,2010,DEC,1,6.5
2018,NUTS,2010,DEC,1,6.3
2019,NUTS,2010,DEC,1,6.8
2020,NUTS,2010,DEC,1,5.8
2011,NUTS,2010,DEC0,2,6.7
2012,NUTS,2010,DEC0,2,6.2
2013,NUTS,2010,DEC0,2,6.2
2014,NUTS,2010,DEC0,2,5.2
2015,NUTS,2010,DEC0,2,6.1
2016,NUTS,2010,DEC0,2,6.5
2017,NUTS,2010,DEC0,2,6.5
2018,NUTS,2010,DEC0,2,6.3
2019,NUTS,2010,DEC0,2,6.8
2020,NUTS,2010,DEC0,2,5.8
2011,NUTS,2010,DED,1,6.7
2012,NUTS,2010,DED,1,6.5
2013,NUTS,2010,DED,1,6.7
2014,NUTS,2010,DED,1,6.5
2015,NUTS,2010,DED,1,6.9
2016,NUTS,2010,DED,1,7.2
2017,NUTS,2010,DED,1,7.3
2018,NUTS,2010,DED,1,7.6
2019,NUTS,2010,DED,1,7.3
2020,NUTS,2010,DED,1,7.4
2011,NUTS,2010,DED2,2,7.4
2012,NUTS,2010,DED2,2,7.4
2013,NUTS,2010,DED2,2,7.6
2014,NUTS,2010,DED2,2,7.2
2015,NUTS,2010,DED2,2,8.0
2016,NUTS,2010,DED2,2,8.6
2017,NUTS,2010,DED2,2,8.6
2018,NUTS,2010,DED2,2,8.5
2019,NUTS,2010,DED2,2,8.3
2020,NUTS,2010,DED2,2,8.1
2011,NUTS,2010,DED4,2,6.1
2012,NUTS,2010,DED4,2,5.7
2013,NUTS,2010,DED4,2,5.6
2014,NUTS,2010,DED4,2,5.4
2015,NUTS,2010,DED4,2,5.5
2016,NUTS,2010,DED4,2,5.1
2017,NUTS,2010,DED4,2,5.4
2018,NUTS,2010,DED4,2,5.9
2019,NUTS,2010,DED4,2,5.6
2020,NUTS,2010,DED4,2,5.5
2011,NUTS,2010,DED5,2,6.5
2012,NUTS,2010,DED5,2,6.3
2013,NUTS,2010,DED5,2,6.9
2014,NUTS,2010,DED5,2,6.9
2015,NUTS,2010,DED5,2,7.2
2016,NUTS,2010,DED5,2,7.8
2017,NUTS,2010,DED5,2,8.0
2018,NUTS,2010,DED5,2,8.4
2019,NUTS,2010,DED5,2,8.2
2020,NUTS,2010,DED5,2,8.8
2011,NUTS,2010,DEE,1,4.7
2012,NUTS,2010,DEE,1,4.8
2013,NUTS,2010,DEE,1,5.1
2014,NUTS,2010,DEE,1,5.2
2015,NUTS,2010,DEE,1,5.3
2016,NUTS,2010,DEE,1,5.1
2017,NUTS,2010,DEE,1,4.6
2018,NUTS,2010,DEE,1,5.1
2019,NUTS,2010,DEE,1,5.0
2020,NUTS,2010,DEE,1,5.8
2011,NUTS,2010,DEE0,2,4.7
2012,NUTS,2010,DEE0,2,4.8
2013,NUTS,2010,DEE0,2,5.1
2014,NUTS,2010,DEE0,2,5.2
2015,NUTS,2010,DEE0,2,5.3
2016,NUTS,2010,DEE0,2,5.1
2017,NUTS,2010,DEE0,2,4.6
2018,NUTS,2010,DEE0,2,5.1
2019,NUTS,2010,DEE0,2,5.0
2020,NUTS,2010,DEE0,2,5.8
2011,NUTS,2010,DEF,1,6.6
2012,NUTS,2010,DEF,1,6.1
2013,NUTS,2010,DEF,1,6.4
2014,NUTS,2010,DEF,1,6.8
2015,NUTS,2010,DEF,1,7.0
2016,NUTS,2010,DEF,1,7.0
2017,NUTS,2010,DEF,1,6.7
2018,NUTS,2010,DEF,1,6.9
2019,NUTS,2010,DEF,1,6.5
2020,NUTS,2010,DEF,1,7.5
2011,NUTS,2010,DEF0,2,6.6
2012,NUTS,2010,DEF0,2,6.1
2013,NUTS,2010,DEF0,2,6.4
2014,NUTS,2010,DEF0,2,6.8
2015,NUTS,2010,DEF0,2,7.0
2016,NUTS,2010,DEF0,2,7.0
2017,NUTS,2010,DEF0,2,6.7
2018,NUTS,2010,DEF0,2,6.9
2019,NUTS,2010,DEF0,2,6.5
2020,NUTS,2010,DEF0,2,7.5
2011,NUTS,2010,DEG,1,6.0
2012,NUTS,2010,DEG,1,6.0
2013,NUTS,2010,DEG,1,5.8
2014,NUTS,2010,DEG,1,5.7
2015,NUTS,2010,DEG,1,5.4
2016,NUTS,2010,DEG,1,6.3
2017,NUTS,2010,DEG,1,5.9
2018,NUTS,2010,DEG,1,5.7
2019,NUTS,2010,DEG,1,6.0
2020,NUTS,2010,DEG,1,5.2
2011,NUTS,2010,DEG0,2,6.0
2012,NUTS,2010,DEG0,2,6.0
2013,NUTS,2010,DEG0,2,5.8
2014,NUTS,2010,DEG0,2,5.7
2015,NUTS,2010,DEG0,2,5.4
2016,NUTS,2010,DEG0,2,6.3
2017,NUTS,2010,DEG0,2,5.9
2018,NUTS,2010,DEG0,2,5.7
2019,NUTS,2010,DEG0,2,6.0
2020,NUTS,2010,DEG0,2,5.2
2011,NUTS,2010,DK,0,8.6
2012,NUTS,2010,DK,0,9.0
2013,NUTS,2010,DK,0,9.3
2014,NUTS,2010,DK,0,9.2
2015,NUTS,2010,DK,0,9.0
2016,NUTS,2010,DK,0,9.5
2017,NUTS,2010,DK,0,9.7
2018,NUTS,2010,DK,0,10.1
2019,NUTS,2010,DK,0,10.4
2020,NUTS,2010,DK,0,10.5
2011,NUTS,2010,DK0,1,8.6
2012,NUTS,2010,DK0,1,9.0
2013,NUTS,2010,DK0,1,9.3
2014,NUTS,2010,DK0,1,9.2
2015,NUTS,2010,DK0,1,9.0
2016,NUTS,2010,DK0,1,9.5
2017,NUTS,2010,DK0,1,9.7
2018,NUTS,2010,DK0,1,10.1
2019,NUTS,2010,DK0,1,10.4
2020,NUTS,2010,DK0,1,10.5
2011,NUTS,2010,DK01,2,11.9
2012,NUTS,2010,DK01,2,12.4
2013,NUTS,2010,DK01,2,12.7
2014,NUTS,2010,DK01,2,12.4
2015,NUTS,2010,DK01,2,12.0
2016,NUTS,2010,DK01,2,12.4
2017,NUTS,2010,DK01,2,12.7
2018,NUTS,2010,DK01,2,13.1
2019,NUTS,2010,DK01,2,13.9
2020,NUTS,2010,DK01,2,13.9
2011,NUTS,2010,DK02,2,7.1
2012,NUTS,2010,DK02,2,7.2
2013,NUTS,2010,DK02,2,8.0
2014,NUTS,2010,DK02,2,7.6
2015,NUTS,2010,DK02,2,7.5
2016,NUTS,2010,DK02,2,7.4
2017,NUTS,2010,DK02,2,7.7
2018,NUTS,2010,DK02,2,8.4
2019,NUTS,2010,DK02,2,8.1
2020,NUTS,2010,DK02,2,8.4
2011,NUTS,2010,DK03,2,6.5
2012,NUTS,2010,DK03,2,7.0
2013,NUTS,2010,DK03,2,7.1
2014,NUTS,2010,DK03,2,7.6
2015,NUTS,2010,DK03,2,7.6
2016,NUTS,2010,DK03,2,8.0
2017,NUTS,2010,DK03,2,7.9
2018,NUTS,2010,DK03,2,7.7
2019,NUTS,2010,DK03,2,8.1
2020,NUTS,2010,DK03,2,8.2
2011,NUTS,2010,DK04,2,7.9
2012,NUTS,2010,DK04,2,7.9
2013,NUTS,2010,DK04,2,8.2
2014,NUTS,2010,DK04,2,7.9
2015,NUTS,2010,DK04,2,8.0
2016,NUTS,2010,DK04,2,8.7
2017,NUTS,2010,DK04,2,8.9
2018,NUTS,2010,DK04,2,9.5
2019,NUTS,2010,DK04,2,9.6
2020,NUTS,2010,DK04,2,10.1
2011,NUTS,2010,DK05,2,6.3
2012,NUTS,2010,DK05,2,6.9
2013,NUTS,2010,DK05,2,6.7
2014,NUTS,2010,DK05,2,6.8
2015,NUTS,2010,DK05,2,6.9
2016,NUTS,2010,DK05,2,7.3
2017,NUTS,2010,DK05,2,7.8
2018,NUTS,2010,DK05,2,8.5
2019,NUTS,2010,DK05,2,7.8
2020,NUTS,2010,DK05,2,8.1
2011,NUTS,2010,EA19,2,6.0
2012,NUTS,2010,EA19,2,6.0
2013,NUTS,2010,EA19,2,6.1
2014,NUTS,2010,EA19,2,6.1
2015,NUTS,2010,EA19,2,6.2
2016,NUTS,2010,EA19,2,6.4
2017,NUTS,2010,EA19,2,6.6
2018,NUTS,2010,EA19,2,6.8
2019,NUTS,2010,EA19,2,7.1
2020,NUTS,2010,EA19,2,7.5
2011,NUTS,2010,EE,0,5.4
2012,NUTS,2010,EE,0,5.4
2013,NUTS,2010,EE,0,5.9
2014,NUTS,2010,EE,0,5.9
2015,NUTS,2010,EE,0,6.4
2016,NUTS,2010,EE,0,6.6
2017,NUTS,2010,EE,0,6.6
2018,NUTS,2010,EE,0,6.7
2019,NUTS,2010,EE,0,7.8
2020,NUTS,2010,EE,0,8.0
2011,NUTS,2010,EE0,1,5.4
2012,NUTS,2010,EE0,1,5.4
2013,NUTS,2010,EE0,1,5.9
2014,NUTS,2010,EE0,1,5.9
2015,NUTS,2010,EE0,1,6.4
2016,NUTS,2010,EE0,1,6.6
2017,NUTS,2010,EE0,1,6.6
2018,NUTS,2010,EE0,1,6.7
2019,NUTS,2010,EE0,1,7.8
2020,NUTS,2010,EE0,1,8.0
2011,NUTS,2010,EE00,2,5.4
2012,NUTS,2010,EE00,2,5.4
2013,NUTS,2010,EE00,2,5.9
2014,NUTS,2010,EE00,2,5.9
2015,NUTS,2010,EE00,2,6.4
2016,NUTS,2010,EE00,2,6.6
2017,NUTS,2010,EE00,2,6.6
2018,NUTS,2010,EE00,2,6.7
2019,NUTS,2010,EE00,2,7.8
2020,NUTS,2010,EE00,2,8.0
2011,NUTS,2010,EL,0,4.7
2012,NUTS,2010,EL,0,4.7
2013,NUTS,2010,EL,0,4.9
2014,NUTS,2010,EL,0,4.7
2015,NUTS,2010,EL,0,4.7
2016,NUTS,2010,EL,0,5.1
2017,NUTS,2010,EL,0,5.4
2018,NUTS,2010,EL,0,5.4
2019,NUTS,2010,EL,0,5.5
2020,NUTS,2010,EL,0,6.1
2011,NUTS,2010,EL3,1,6.3
2012,NUTS,2010,EL3,1,6.4
2013,NUTS,2010,EL3,1,6.7
2014,NUTS,2010,EL3,1,6.5
2015,NUTS,2010,EL3,1,6.3
2016,NUTS,2010,EL3,1,7.2
2017,NUTS,2010,EL3,1,7.5
2018,NUTS,2010,EL3,1,7.2
2019,NUTS,2010,EL3,1,6.9
2020,NUTS,2010,EL3,1,7.5
2011,NUTS,2010,EL30,2,6.3
2012,NUTS,2010,EL30,2,6.4
2013,NUTS,2010,EL30,2,6.7
2014,NUTS,2010,EL30,2,6.5
2015,NUTS,2010,EL30,2,6.3
2016,NUTS,2010,EL30,2,7.2
2017,NUTS,2010,EL30,2,7.5
2018,NUTS,2010,EL30,2,7.2
2019,NUTS,2010,EL30,2,6.9
2020,NUTS,2010,EL30,2,7.5
2011,NUTS,2010,EL4,1,3.1
2012,NUTS,2010,EL4,1,3.5
2013,NUTS,2010,EL4,1,3.4
2014,NUTS,2010,EL4,1,3.0
2015,NUTS,2010,EL4,1,2.8
2016,NUTS,2010,EL4,1,3.0
2017,NUTS,2010,EL4,1,3.1
2018,NUTS,2010,EL4,1,2.9
2019,NUTS,2010,EL4,1,3.5
2020,NUTS,2010,EL4,1,4.3
2011,NUTS,2010,EL41,2,3.3
2012,NUTS,2010,EL41,2,3.8
2013,NUTS,2010,EL41,2,4.5
2014,NUTS,2010,EL41,2,4.2
2015,NUTS,2010,EL41,2,2.9
2016,NUTS,2010,EL41,2,4.0
2017,NUTS,2010,EL41,2,4.0
2018,NUTS,2010,EL41,2,3.1
2019,NUTS,2010,EL41,2,3.7
2020,NUTS,2010,EL41,2,4.2
2011,NUTS,2010,EL42,2,3.4
2012,NUTS,2010,EL42,2,3.8
2013,NUTS,2010,EL42,2,2.9
2014,NUTS,2010,EL42,2,2.0
2015,NUTS,2010,EL42,2,2.9
2016,NUTS,2010,EL42,2,2.4
2017,NUTS,2010,EL42,2,2.0
2018,NUTS,2010,EL42,2,1.9
2019,NUTS,2010,EL42,2,2.4
2020,NUTS,2010,EL42,2,3.2
2011,NUTS,2010,EL43,2,2.8
2012,NUTS,2010,EL43,2,3.2
2013,NUTS,2010,EL43,2,3.4
2014,NUTS,2010,EL43,2,3.2
2015,NUTS,2010,EL43,2,2.7
2016,NUTS,2010,EL43,2,3.1
2017,NUTS,2010,EL43,2,3.5
2018,NUTS,2010,EL43,2,3.3
2019,NUTS,2010,EL43,2,4.0
2020,NUTS,2010,EL43,2,4.9
2011,NUTS,2010,EL5,1,4.3
2012,NUTS,2010,EL5,1,4.1
2013,NUTS,2010,EL5,1,4.3
