year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cab
2011,NUTS,2010,NL34,2,5.313
2011,NUTS,2010,NL4,1,126.633
2012,NUTS,2010,NL4,1,98.437
2011,NUTS,2010,NL41,2,166.843
2012,NUTS,2010,NL41,2,131.364
2011,NUTS,2010,NL42,2,33.688
2012,NUTS,2010,NL42,2,22.364
2011,NUTS,2010,NO,0,8.054
2012,NUTS,2010,NO,0,11.039
2011,NUTS,2010,NO0,1,8.054
2012,NUTS,2010,NO0,1,10.84
2011,NUTS,2010,NO01,2,14.391
2012,NUTS,2010,NO01,2,20.586
2011,NUTS,2010,NO03,2,0.516
2012,NUTS,2010,NO03,2,3.033
2011,NUTS,2010,NO04,2,7.864
2012,NUTS,2010,NO04,2,11.555
2011,NUTS,2010,NO06,2,38.392
2012,NUTS,2010,NO06,2,36.296
2012,NUTS,2010,NO07,2,4.125
2011,NUTS,2010,PL,0,0.923
2012,NUTS,2010,PL,0,1.524
2011,NUTS,2010,PL1,1,2.075
2012,NUTS,2010,PL1,1,2.285
2012,NUTS,2010,PL11,2,0.746
2011,NUTS,2010,PL12,2,3.152
2012,NUTS,2010,PL12,2,3.06
2011,NUTS,2010,PL2,1,0.398
2012,NUTS,2010,PL2,1,1.258
2011,NUTS,2010,PL21,2,0.281
2012,NUTS,2010,PL21,2,1.381
2011,NUTS,2010,PL22,2,0.477
2012,NUTS,2010,PL22,2,1.173
2011,NUTS,2010,PL3,1,0.062
2012,NUTS,2010,PL3,1,0.357
2012,NUTS,2010,PL31,2,0.057
2011,NUTS,2010,PL32,2,0.213
2012,NUTS,2010,PL32,2,1.139
2011,NUTS,2010,PL4,1,0.695
2012,NUTS,2010,PL4,1,3.493
2011,NUTS,2010,PL41,2,0.194
2012,NUTS,2010,PL41,2,2.665
2011,NUTS,2010,PL43,2,3.231
2012,NUTS,2010,PL43,2,11.216
2011,NUTS,2010,PL5,1,0.703
2012,NUTS,2010,PL5,1,1.035
2011,NUTS,2010,PL51,2,0.929
2012,NUTS,2010,PL51,2,1.372
2011,NUTS,2010,PL6,1,1.363
2012,NUTS,2010,PL6,1,0.414
2011,NUTS,2010,PL61,2,1.168
2012,NUTS,2010,PL61,2,1.114
2011,NUTS,2010,PL63,2,2.458
2011,NUTS,2010,PT,0,0.886
2012,NUTS,2010,PT,0,0.186
2011,NUTS,2010,PT1,1,0.93
2012,NUTS,2010,PT1,1,0.195
2011,NUTS,2010,PT11,2,1.211
2011,NUTS,2010,PT16,2,0.82
2011,NUTS,2010,PT17,2,1.04
2012,NUTS,2010,PT17,2,0.71
2011,NUTS,2010,RO,0,0.947
2012,NUTS,2010,RO,0,0.74
2011,NUTS,2010,RO1,1,1.176
2012,NUTS,2010,RO1,1,0.381
2011,NUTS,2010,RO11,2,1.126
2011,NUTS,2010,RO12,2,1.237
2012,NUTS,2010,RO12,2,0.859
2012,NUTS,2010,RO2,1,0.741
2012,NUTS,2010,RO21,2,0.834
2012,NUTS,2010,RO22,2,0.607
2011,NUTS,2010,RO3,1,2.046
2012,NUTS,2010,RO3,1,1.439
2011,NUTS,2010,RO32,2,4.545
2012,NUTS,2010,RO32,2,3.237
2011,NUTS,2010,RO4,1,0.549
2011,NUTS,2010,RO42,2,1.239
2011,NUTS,2010,SE,0,40.941
2012,NUTS,2010,SE,0,44.61
2011,NUTS,2010,SE1,1,42.692
2012,NUTS,2010,SE1,1,43.793
2011,NUTS,2010,SE11,2,49.927
2012,NUTS,2010,SE11,2,54.178
2011,NUTS,2010,SE12,2,32.236
2012,NUTS,2010,SE12,2,28.715
2011,NUTS,2010,SE2,1,54.288
2012,NUTS,2010,SE2,1,60.752
2011,NUTS,2010,SE21,2,2.67
2012,NUTS,2010,SE21,2,10.117
2011,NUTS,2010,SE22,2,144.455
2012,NUTS,2010,SE22,2,149.864
2011,NUTS,2010,SE23,2,10.578
2012,NUTS,2010,SE23,2,18.09
2011,NUTS,2010,SE3,1,2.754
2012,NUTS,2010,SE3,1,5.136
2011,NUTS,2010,SE32,2,3.975
2012,NUTS,2010,SE32,2,7.181
2011,NUTS,2010,SE33,2,6.333
2012,NUTS,2010,SE33,2,12.026
2011,NUTS,2010,SI,0,3.924
2011,NUTS,2010,SI0,1,3.924
2011,NUTS,2010,SI01,2,1.869
2011,NUTS,2010,SI02,2,6.195
2011,NUTS,2010,SK,0,0.31
2012,NUTS,2010,SK,0,1.153
2011,NUTS,2010,SK0,1,0.31
2012,NUTS,2010,SK0,1,1.153
2012,NUTS,2010,SK01,2,1.981
2011,NUTS,2010,SK02,2,0.538
2012,NUTS,2010,SK02,2,1.295
2011,NUTS,2010,SK03,2,0.494
2012,NUTS,2010,SK03,2,1.85
2011,NUTS,2010,TR,0,0.571
2012,NUTS,2010,TR,0,0.548
2011,NUTS,2010,TR1,1,1.283
2012,NUTS,2010,TR1,1,0.745
2011,NUTS,2010,TR10,2,1.283
2012,NUTS,2010,TR10,2,0.745
2011,NUTS,2010,TR3,1,1.019
2012,NUTS,2010,TR3,1,1.471
2011,NUTS,2010,TR31,2,0.918
2011,NUTS,2010,TR33,2,2.24
2012,NUTS,2010,TR33,2,5.144
2011,NUTS,2010,TR5,1,2.023
2012,NUTS,2010,TR5,1,1.959
2011,NUTS,2010,TR51,2,2.964
2012,NUTS,2010,TR51,2,2.834
2011,NUTS,2010,UK,0,10.447
2012,NUTS,2010,UK,0,9.893
2011,NUTS,2010,UKC,1,1.593
2012,NUTS,2010,UKC,1,6.392
2012,NUTS,2010,UKC1,2,0.902
2011,NUTS,2010,UKC2,2,2.896
2012,NUTS,2010,UKC2,2,10.681
2011,NUTS,2010,UKD,1,6.709
2012,NUTS,2010,UKD,1,2.733
2012,NUTS,2010,UKD1,2,1.954
2011,NUTS,2010,UKD3,2,7.445
2012,NUTS,2010,UKD3,2,2.36
2011,NUTS,2010,UKD4,2,11.604
2012,NUTS,2010,UKD4,2,4.765
2011,NUTS,2010,UKD6,2,4.657
2012,NUTS,2010,UKD6,2,2.728
2011,NUTS,2010,UKD7,2,4.223
2012,NUTS,2010,UKD7,2,1.712
2011,NUTS,2010,UKE,1,4.743
2012,NUTS,2010,UKE,1,4.226
2011,NUTS,2010,UKE1,2,3.116
2011,NUTS,2010,UKE2,2,11.898
2012,NUTS,2010,UKE2,2,3.616
2011,NUTS,2010,UKE3,2,5.75
2012,NUTS,2010,UKE3,2,2.974
2011,NUTS,2010,UKE4,2,2.165
2012,NUTS,2010,UKE4,2,6.956
2011,NUTS,2010,UKF,1,6.405
2012,NUTS,2010,UKF,1,5.173
2011,NUTS,2010,UKF1,2,10.19
2012,NUTS,2010,UKF1,2,4.299
2011,NUTS,2010,UKF2,2,3.405
2012,NUTS,2010,UKF2,2,8.205
2011,NUTS,2010,UKF3,2,3.102
2011,NUTS,2010,UKG,1,4.179
2012,NUTS,2010,UKG,1,3.309
2011,NUTS,2010,UKG1,2,3.085
2012,NUTS,2010,UKG1,2,5.876
2011,NUTS,2010,UKG2,2,1.571
2012,NUTS,2010,UKG2,2,2.423
2011,NUTS,2010,UKG3,2,6.381
2012,NUTS,2010,UKG3,2,2.504
2011,NUTS,2010,UKH,1,19.72
2012,NUTS,2010,UKH,1,16.875
2011,NUTS,2010,UKH1,2,34.261
2012,NUTS,2010,UKH1,2,34.476
2011,NUTS,2010,UKH2,2,12.835
2012,NUTS,2010,UKH2,2,8.162
2011,NUTS,2010,UKH3,2,6.553
2012,NUTS,2010,UKH3,2,1.403
2011,NUTS,2010,UKI,1,14.603
2012,NUTS,2010,UKI,1,21.046
2011,NUTS,2010,UKI1,2,25.512
2011,NUTS,2010,UKI2,2,7.116
2011,NUTS,2010,UKJ,1,19.798
2012,NUTS,2010,UKJ,1,15.307
2011,NUTS,2010,UKJ1,2,36.844
2012,NUTS,2010,UKJ1,2,20.948
2011,NUTS,2010,UKJ2,2,19.099
2012,NUTS,2010,UKJ2,2,20.885
2011,NUTS,2010,UKJ3,2,11.68
2012,NUTS,2010,UKJ3,2,9.62
2011,NUTS,2010,UKJ4,2,5.746
2012,NUTS,2010,UKJ4,2,4.304
2011,NUTS,2010,UKK,1,11.612
2012,NUTS,2010,UKK,1,8.598
2011,NUTS,2010,UKK1,2,22.74
2012,NUTS,2010,UKK1,2,15.055
2011,NUTS,2010,UKK2,2,3.49
2012,NUTS,2010,UKK2,2,3.808
2011,NUTS,2010,UKK3,2,2.025
2011,NUTS,2010,UKK4,2,0.876
2012,NUTS,2010,UKK4,2,3.657
2011,NUTS,2010,UKL,1,3.344
2012,NUTS,2010,UKL,1,3.033
2011,NUTS,2010,UKL1,2,1.232
2012,NUTS,2010,UKL1,2,1.086
2011,NUTS,2010,UKL2,2,6.767
2012,NUTS,2010,UKL2,2,6.223
2011,NUTS,2010,UKM,1,3.883
