year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_bes_rse_pc_act_fte
2016,NUTS,2010,BG,0,0.1912
2017,NUTS,2010,BG,0,0.2001
2018,NUTS,2010,BG,0,0.2479
2019,NUTS,2010,BG,0,0.2596
2020,NUTS,2010,BG,0,0.2582
2003,NUTS,2010,BG3,1,0.0171
2004,NUTS,2010,BG3,1,0.0161
2005,NUTS,2010,BG3,1,0.0089
2006,NUTS,2010,BG3,1,0.0228
2007,NUTS,2010,BG3,1,0.0231
2008,NUTS,2010,BG3,1,0.0286
2009,NUTS,2010,BG3,1,0.0318
2010,NUTS,2010,BG3,1,0.0209
2011,NUTS,2010,BG3,1,0.0173
2012,NUTS,2010,BG3,1,0.0305
2013,NUTS,2010,BG3,1,
2014,NUTS,2010,BG3,1,0.0369
2015,NUTS,2010,BG3,1,0.0898
2016,NUTS,2010,BG3,1,0.0861
2017,NUTS,2010,BG3,1,0.1025
2018,NUTS,2010,BG3,1,0.1243
2019,NUTS,2010,BG3,1,0.1283
2003,NUTS,2010,BG31,2,
2004,NUTS,2010,BG31,2,
2005,NUTS,2010,BG31,2,
2006,NUTS,2010,BG31,2,
2007,NUTS,2010,BG31,2,
2008,NUTS,2010,BG31,2,0.0132
2009,NUTS,2010,BG31,2,
2010,NUTS,2010,BG31,2,
2011,NUTS,2010,BG31,2,
2012,NUTS,2010,BG31,2,
2013,NUTS,2010,BG31,2,
2014,NUTS,2010,BG31,2,
2015,NUTS,2010,BG31,2,
2016,NUTS,2010,BG31,2,0.1066
2017,NUTS,2010,BG31,2,0.1376
2018,NUTS,2010,BG31,2,0.1783
2019,NUTS,2010,BG31,2,0.1601
2003,NUTS,2010,BG32,2,0.0179
2004,NUTS,2010,BG32,2,0.0208
2005,NUTS,2010,BG32,2,0.0051
2006,NUTS,2010,BG32,2,
2007,NUTS,2010,BG32,2,
2008,NUTS,2010,BG32,2,0.0164
2009,NUTS,2010,BG32,2,0.016
2010,NUTS,2010,BG32,2,0.0168
2011,NUTS,2010,BG32,2,0.0108
2012,NUTS,2010,BG32,2,0.0234
2013,NUTS,2010,BG32,2,0.0283
2014,NUTS,2010,BG32,2,0.0351
2015,NUTS,2010,BG32,2,
2016,NUTS,2010,BG32,2,0.0694
2017,NUTS,2010,BG32,2,0.1121
2018,NUTS,2010,BG32,2,0.1397
2019,NUTS,2010,BG32,2,0.1386
2003,NUTS,2010,BG33,2,
2004,NUTS,2010,BG33,2,
2005,NUTS,2010,BG33,2,
2006,NUTS,2010,BG33,2,0.0242
2007,NUTS,2010,BG33,2,0.0175
2008,NUTS,2010,BG33,2,0.0313
2009,NUTS,2010,BG33,2,
2010,NUTS,2010,BG33,2,
2011,NUTS,2010,BG33,2,
2012,NUTS,2010,BG33,2,
2013,NUTS,2010,BG33,2,
2014,NUTS,2010,BG33,2,
2015,NUTS,2010,BG33,2,0.0705
2016,NUTS,2010,BG33,2,0.0901
2017,NUTS,2010,BG33,2,0.0915
2018,NUTS,2010,BG33,2,0.1055
2019,NUTS,2010,BG33,2,0.1206
2003,NUTS,2010,BG34,2,0.0253
2004,NUTS,2010,BG34,2,0.0217
2005,NUTS,2010,BG34,2,0.0156
2006,NUTS,2010,BG34,2,0.0436
2007,NUTS,2010,BG34,2,0.0444
2008,NUTS,2010,BG34,2,0.0482
2009,NUTS,2010,BG34,2,0.067
2010,NUTS,2010,BG34,2,0.0231
2011,NUTS,2010,BG34,2,0.0201
2012,NUTS,2010,BG34,2,0.0273
2013,NUTS,2010,BG34,2,
2014,NUTS,2010,BG34,2,
2015,NUTS,2010,BG34,2,0.1005
2016,NUTS,2010,BG34,2,0.0819
2017,NUTS,2010,BG34,2,0.0831
2018,NUTS,2010,BG34,2,0.095
2019,NUTS,2010,BG34,2,0.1071
2003,NUTS,2010,BG4,1,0.0575
2004,NUTS,2010,BG4,1,0.0579
2005,NUTS,2010,BG4,1,0.061
2006,NUTS,2010,BG4,1,0.0537
2007,NUTS,2010,BG4,1,0.0523
2008,NUTS,2010,BG4,1,0.0549
2009,NUTS,2010,BG4,1,0.066
2010,NUTS,2010,BG4,1,0.0675
2011,NUTS,2010,BG4,1,0.0737
2012,NUTS,2010,BG4,1,0.0929
2013,NUTS,2010,BG4,1,
2014,NUTS,2010,BG4,1,0.1684
2015,NUTS,2010,BG4,1,0.2347
2016,NUTS,2010,BG4,1,0.2804
2017,NUTS,2010,BG4,1,0.2797
2018,NUTS,2010,BG4,1,0.347
2019,NUTS,2010,BG4,1,0.3633
2000,NUTS,2010,BG41,2,0.083
2002,NUTS,2010,BG41,2,0.0747
2003,NUTS,2010,BG41,2,0.0902
2004,NUTS,2010,BG41,2,0.0924
2005,NUTS,2010,BG41,2,0.0931
2006,NUTS,2010,BG41,2,0.0798
2007,NUTS,2010,BG41,2,0.0737
2008,NUTS,2010,BG41,2,0.0704
2009,NUTS,2010,BG41,2,0.0876
2010,NUTS,2010,BG41,2,0.0883
2011,NUTS,2010,BG41,2,0.0987
2012,NUTS,2010,BG41,2,0.1311
2013,NUTS,2010,BG41,2,0.1802
2014,NUTS,2010,BG41,2,0.2566
2015,NUTS,2010,BG41,2,0.3388
2016,NUTS,2010,BG41,2,0.3999
2017,NUTS,2010,BG41,2,0.3925
2018,NUTS,2010,BG41,2,0.4746
2019,NUTS,2010,BG41,2,0.5006
2003,NUTS,2010,BG42,2,0.0088
2004,NUTS,2010,BG42,2,0.0073
2005,NUTS,2010,BG42,2,0.0125
2006,NUTS,2010,BG42,2,0.0126
2007,NUTS,2010,BG42,2,0.0189
2008,NUTS,2010,BG42,2,0.0308
2009,NUTS,2010,BG42,2,0.0318
2010,NUTS,2010,BG42,2,0.0333
2011,NUTS,2010,BG42,2,0.0326
2012,NUTS,2010,BG42,2,0.0311
2013,NUTS,2010,BG42,2,
2014,NUTS,2010,BG42,2,0.0298
2015,NUTS,2010,BG42,2,0.0653
2016,NUTS,2010,BG42,2,0.0822
2017,NUTS,2010,BG42,2,0.0985
2018,NUTS,2010,BG42,2,0.1351
2019,NUTS,2010,BG42,2,0.1366
2012,NUTS,2010,CH,0,0.3756
2015,NUTS,2010,CH,0,0.4762
2017,NUTS,2010,CH,0,0.4501
2019,NUTS,2010,CH,0,0.4857
2008,NUTS,2010,CH01,2,0.2986
2012,NUTS,2010,CH01,2,0.2876
2015,NUTS,2010,CH01,2,0.4666
2017,NUTS,2010,CH01,2,0.3614
2019,NUTS,2010,CH01,2,0.388
2008,NUTS,2010,CH02,2,0.1939
2012,NUTS,2010,CH02,2,0.3412
2015,NUTS,2010,CH02,2,0.2845
2017,NUTS,2010,CH02,2,0.3117
2019,NUTS,2010,CH02,2,0.2755
