year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_nac
2014,NUTS,2010,CZ03,2,23.181
2015,NUTS,2010,CZ03,2,89.902
2016,NUTS,2010,CZ03,2,28.352
2017,NUTS,2010,CZ03,2,49.089
2018,NUTS,2010,CZ03,2,44.44
2019,NUTS,2010,CZ03,2,35.373
2020,NUTS,2010,CZ03,2,36.513
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.472
2019,NUTS,2010,CZ04,2,0.854
2020,NUTS,2010,CZ04,2,0.915
2011,NUTS,2010,CZ05,2,39.248
2012,NUTS,2010,CZ05,2,32.888
2013,NUTS,2010,CZ05,2,41.792
2014,NUTS,2010,CZ05,2,12.845
2015,NUTS,2010,CZ05,2,2.674
2016,NUTS,2010,CZ05,2,2.163
2017,NUTS,2010,CZ05,2,9.3
2018,NUTS,2010,CZ05,2,0.12
2019,NUTS,2010,CZ05,2,64.703
2020,NUTS,2010,CZ05,2,71.78
2011,NUTS,2010,CZ06,2,52.397
2012,NUTS,2010,CZ06,2,27.261
2013,NUTS,2010,CZ06,2,38.599
2014,NUTS,2010,CZ06,2,43.734
2015,NUTS,2010,CZ06,2,78.847
2016,NUTS,2010,CZ06,2,9.832
2017,NUTS,2010,CZ06,2,16.502
2018,NUTS,2010,CZ06,2,25.667
2019,NUTS,2010,CZ06,2,19.558
2020,NUTS,2010,CZ06,2,20.713
2011,NUTS,2010,CZ07,2,12.253
2012,NUTS,2010,CZ07,2,8.883
2013,NUTS,2010,CZ07,2,7.46
2014,NUTS,2010,CZ07,2,13.629
2015,NUTS,2010,CZ07,2,10.333
2016,NUTS,2010,CZ07,2,10.163
2017,NUTS,2010,CZ07,2,7.479
2018,NUTS,2010,CZ07,2,10.246
2019,NUTS,2010,CZ07,2,16.864
2020,NUTS,2010,CZ07,2,18.457
2011,NUTS,2010,CZ08,2,55.565
2012,NUTS,2010,CZ08,2,66.106
2013,NUTS,2010,CZ08,2,4.101
2014,NUTS,2010,CZ08,2,95.31
2015,NUTS,2010,CZ08,2,8.767
2016,NUTS,2010,CZ08,2,3.087
