year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,HU10,2,0.508
2011,NUTS,2010,HU2,1,0.253
2011,NUTS,2010,HU22,2,0.747
2011,NUTS,2010,IE,0,3.694
2012,NUTS,2010,IE,0,2.554
2011,NUTS,2010,IE0,1,3.694
2012,NUTS,2010,IE0,1,2.554
2011,NUTS,2010,IE01,2,8.977
2012,NUTS,2010,IE01,2,4.557
2011,NUTS,2010,IE02,2,1.865
2012,NUTS,2010,IE02,2,1.869
2011,NUTS,2010,IT,0,2.975
2012,NUTS,2010,IT,0,1.479
2011,NUTS,2010,ITC,1,3.517
2012,NUTS,2010,ITC,1,1.67
2011,NUTS,2010,ITC1,2,3.315
2012,NUTS,2010,ITC1,2,0.866
2011,NUTS,2010,ITC3,2,2.081
2012,NUTS,2010,ITC3,2,0.296
2011,NUTS,2010,ITC4,2,3.873
2012,NUTS,2010,ITC4,2,2.254
2011,NUTS,2010,ITF,1,0.372
2012,NUTS,2010,ITF,1,0.249
2011,NUTS,2010,ITF3,2,0.541
2011,NUTS,2010,ITF4,2,0.141
2012,NUTS,2010,ITF4,2,0.681
2012,NUTS,2010,ITF5,2,1.172
2011,NUTS,2010,ITF6,2,0.898
2011,NUTS,2010,ITG,1,3.998
2012,NUTS,2010,ITG,1,0.828
2011,NUTS,2010,ITG1,2,4.872
2012,NUTS,2010,ITG1,2,1.162
2011,NUTS,2010,ITG2,2,1.863
2011,NUTS,2010,ITH,1,4.928
2012,NUTS,2010,ITH,1,2.819
2011,NUTS,2010,ITH2,2,4.782
2011,NUTS,2010,ITH3,2,6.7
2012,NUTS,2010,ITH3,2,3.377
2011,NUTS,2010,ITH4,2,1.878
2012,NUTS,2010,ITH4,2,0.614
2011,NUTS,2010,ITH5,2,4.419
2012,NUTS,2010,ITH5,2,3.459
2011,NUTS,2010,ITI,1,1.909
2012,NUTS,2010,ITI,1,1.226
2011,NUTS,2010,ITI1,2,1.37
2012,NUTS,2010,ITI1,2,0.701
2011,NUTS,2010,ITI3,2,2.951
2012,NUTS,2010,ITI3,2,4.292
2011,NUTS,2010,ITI4,2,2.286
2012,NUTS,2010,ITI4,2,0.908
2012,NUTS,2010,LT,0,1.433
2012,NUTS,2010,LT0,1,1.433
2012,NUTS,2010,LT00,2,1.433
2011,NUTS,2010,LU,0,2.116
2012,NUTS,2010,LU,0,4.018
2011,NUTS,2010,LU0,1,2.116
2012,NUTS,2010,LU0,1,4.018
2011,NUTS,2010,LU00,2,2.116
2012,NUTS,2010,LU00,2,4.018
2012,NUTS,2010,LV,0,0.97
2012,NUTS,2010,LV0,1,0.97
2012,NUTS,2010,LV00,2,0.97
2011,NUTS,2010,NL,0,14.471
2012,NUTS,2010,NL,0,11.548
2011,NUTS,2010,NL1,1,1.154
2011,NUTS,2010,NL12,2,3.062
2011,NUTS,2010,NL2,1,2.93
2012,NUTS,2010,NL2,1,2.147
2011,NUTS,2010,NL21,2,4.232
2012,NUTS,2010,NL21,2,3.385
2011,NUTS,2010,NL22,2,1.821
2012,NUTS,2010,NL22,2,1.891
2011,NUTS,2010,NL23,2,4.787
2011,NUTS,2010,NL3,1,6.018
2012,NUTS,2010,NL3,1,5.355
2011,NUTS,2010,NL31,2,4.478
2012,NUTS,2010,NL31,2,0.481
2011,NUTS,2010,NL32,2,5.758
2012,NUTS,2010,NL32,2,2.233
2011,NUTS,2010,NL33,2,6.88
2012,NUTS,2010,NL33,2,9.953
2011,NUTS,2010,NL34,2,5.048
2012,NUTS,2010,NL34,2,1.901
