year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_f
2019,NUTS,2010,CZ02,2,1.0
2020,NUTS,2010,CZ02,2,1.0
2011,NUTS,2010,CZ03,2,4.0
2012,NUTS,2010,CZ03,2,7.0
2013,NUTS,2010,CZ03,2,6.0
2014,NUTS,2010,CZ03,2,12.0
2015,NUTS,2010,CZ03,2,21.0
2016,NUTS,2010,CZ03,2,15.0
2017,NUTS,2010,CZ03,2,23.0
2018,NUTS,2010,CZ03,2,21.0
2019,NUTS,2010,CZ03,2,20.0
2020,NUTS,2010,CZ03,2,17.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0
2019,NUTS,2010,CZ04,2,0.0
2020,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ05,2,26.0
2012,NUTS,2010,CZ05,2,29.0
2013,NUTS,2010,CZ05,2,15.0
2014,NUTS,2010,CZ05,2,6.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,4.0
2019,NUTS,2010,CZ05,2,3.0
2020,NUTS,2010,CZ05,2,4.0
2011,NUTS,2010,CZ06,2,5.0
2012,NUTS,2010,CZ06,2,3.0
2013,NUTS,2010,CZ06,2,3.0
2014,NUTS,2010,CZ06,2,5.0
2015,NUTS,2010,CZ06,2,4.0
2016,NUTS,2010,CZ06,2,0.0
2017,NUTS,2010,CZ06,2,1.0
2018,NUTS,2010,CZ06,2,3.0
2019,NUTS,2010,CZ06,2,4.0
2020,NUTS,2010,CZ06,2,1.0
2011,NUTS,2010,CZ07,2,3.0
2012,NUTS,2010,CZ07,2,3.0
2013,NUTS,2010,CZ07,2,1.0
