year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2014,NUTS,2010,ES1,1,0.3442
2015,NUTS,2010,ES1,1,0.3135
2016,NUTS,2010,ES1,1,0.3034
2017,NUTS,2010,ES1,1,0.3506
2018,NUTS,2010,ES1,1,0.3671
2019,NUTS,2010,ES1,1,0.3779
2011,NUTS,2010,ES11,2,0.3217
2012,NUTS,2010,ES11,2,0.3251
2013,NUTS,2010,ES11,2,0.3585
2014,NUTS,2010,ES11,2,0.3519
2015,NUTS,2010,ES11,2,0.3305
2016,NUTS,2010,ES11,2,0.3138
2017,NUTS,2010,ES11,2,0.3763
2018,NUTS,2010,ES11,2,0.3899
2019,NUTS,2010,ES11,2,0.3987
2011,NUTS,2010,ES12,2,0.3977
2012,NUTS,2010,ES12,2,0.3923
2013,NUTS,2010,ES12,2,0.4066
2014,NUTS,2010,ES12,2,0.3944
2015,NUTS,2010,ES12,2,0.3114
2016,NUTS,2010,ES12,2,0.3122
2017,NUTS,2010,ES12,2,0.3281
2018,NUTS,2010,ES12,2,0.3408
2019,NUTS,2010,ES12,2,0.3754
2011,NUTS,2010,ES13,2,0.2472
2012,NUTS,2010,ES13,2,0.2566
2013,NUTS,2010,ES13,2,0.2528
2014,NUTS,2010,ES13,2,0.2243
2015,NUTS,2010,ES13,2,0.2389
2016,NUTS,2010,ES13,2,0.2408
2017,NUTS,2010,ES13,2,0.2743
2018,NUTS,2010,ES13,2,0.3047
2019,NUTS,2010,ES13,2,0.2851
2011,NUTS,2010,ES2,1,0.893
2012,NUTS,2010,ES2,1,0.9049
2013,NUTS,2010,ES2,1,0.9125
2014,NUTS,2010,ES2,1,0.8956
2015,NUTS,2010,ES2,1,0.8977
2016,NUTS,2010,ES2,1,0.869
2017,NUTS,2010,ES2,1,0.9155
2018,NUTS,2010,ES2,1,0.9396
2019,NUTS,2010,ES2,1,0.9291
2011,NUTS,2010,ES21,2,1.186
2012,NUTS,2010,ES21,2,1.2508
2013,NUTS,2010,ES21,2,1.2646
2014,NUTS,2010,ES21,2,1.2467
2015,NUTS,2010,ES21,2,1.2531
