year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_t
2014,NUTS,2010,ES3,1,58.0
2015,NUTS,2010,ES3,1,71.0
2016,NUTS,2010,ES3,1,59.0
2017,NUTS,2010,ES3,1,61.0
2018,NUTS,2010,ES3,1,81.0
2019,NUTS,2010,ES3,1,83.0
2011,NUTS,2010,ES30,2,69.0
2012,NUTS,2010,ES30,2,75.0
2013,NUTS,2010,ES30,2,70.0
2014,NUTS,2010,ES30,2,58.0
2015,NUTS,2010,ES30,2,71.0
2016,NUTS,2010,ES30,2,59.0
2017,NUTS,2010,ES30,2,61.0
2018,NUTS,2010,ES30,2,81.0
2019,NUTS,2010,ES30,2,83.0
2011,NUTS,2010,ES4,1,16.0
2013,NUTS,2010,ES4,1,5.0
2014,NUTS,2010,ES4,1,5.0
2015,NUTS,2010,ES4,1,7.0
2016,NUTS,2010,ES4,1,10.0
2018,NUTS,2010,ES4,1,12.0
2019,NUTS,2010,ES4,1,9.0
2012,NUTS,2010,ES41,2,4.0
2013,NUTS,2010,ES41,2,2.0
2014,NUTS,2010,ES41,2,4.0
2015,NUTS,2010,ES41,2,5.0
2017,NUTS,2010,ES41,2,5.0
2018,NUTS,2010,ES41,2,6.0
2019,NUTS,2010,ES41,2,3.0
2013,NUTS,2010,ES42,2,1.0
2014,NUTS,2010,ES42,2,0.0
2015,NUTS,2010,ES42,2,1.0
2017,NUTS,2010,ES42,2,2.0
2011,NUTS,2010,ES43,2,1.0
2013,NUTS,2010,ES43,2,1.0
2014,NUTS,2010,ES43,2,1.0
2015,NUTS,2010,ES43,2,2.0
2016,NUTS,2010,ES43,2,2.0
2011,NUTS,2010,ES5,1,81.0
2012,NUTS,2010,ES5,1,72.0
2013,NUTS,2010,ES5,1,66.0
2014,NUTS,2010,ES5,1,99.0
2015,NUTS,2010,ES5,1,89.0
2016,NUTS,2010,ES5,1,156.0
2017,NUTS,2010,ES5,1,115.0
2018,NUTS,2010,ES5,1,137.0
2011,NUTS,2010,ES51,2,71.0
2012,NUTS,2010,ES51,2,61.0
2013,NUTS,2010,ES51,2,57.0
2014,NUTS,2010,ES51,2,87.0
2015,NUTS,2010,ES51,2,84.0
2016,NUTS,2010,ES51,2,147.0
2017,NUTS,2010,ES51,2,106.0
2018,NUTS,2010,ES51,2,123.0
2019,NUTS,2010,ES51,2,113.0
2011,NUTS,2010,ES52,2,8.0
2012,NUTS,2010,ES52,2,9.0
2013,NUTS,2010,ES52,2,7.0
