year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_emp_fte_f
2011,NUTS,2010,EL53,2,0.0019
2011,NUTS,2010,EL54,2,0.0021
2011,NUTS,2010,EL6,1,0.0004
2011,NUTS,2010,EL61,2,0.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0008
2011,NUTS,2010,EL65,2,0.0011
2011,NUTS,2010,ES,0,0.0014
2012,NUTS,2010,ES,0,0.0016
2013,NUTS,2010,ES,0,0.0014
2014,NUTS,2010,ES,0,0.0015
2015,NUTS,2010,ES,0,0.0015
2016,NUTS,2010,ES,0,0.0019
2017,NUTS,2010,ES,0,0.0016
2018,NUTS,2010,ES,0,0.002
2019,NUTS,2010,ES,0,0.0018
2011,NUTS,2010,ES1,1,0.0015
2012,NUTS,2010,ES1,1,0.0013
2013,NUTS,2010,ES1,1,0.0004
2015,NUTS,2010,ES1,1,0.0005
2016,NUTS,2010,ES1,1,0.0023
2017,NUTS,2010,ES1,1,0.0025
2018,NUTS,2010,ES1,1,0.005
2014,NUTS,2010,ES11,2,0.0003
2015,NUTS,2010,ES11,2,0.0003
2016,NUTS,2010,ES11,2,0.0032
2017,NUTS,2010,ES11,2,0.0036
2018,NUTS,2010,ES11,2,0.0042
2019,NUTS,2010,ES11,2,0.0041
2012,NUTS,2010,ES12,2,0.0006
2013,NUTS,2010,ES12,2,0.0001
2014,NUTS,2010,ES12,2,0.0001
2015,NUTS,2010,ES12,2,0.0001
2016,NUTS,2010,ES12,2,0.0001
2017,NUTS,2010,ES12,2,0.0001
2018,NUTS,2010,ES12,2,0.0003
2019,NUTS,2010,ES12,2,0.0
2011,NUTS,2010,ES13,2,0.0099
2015,NUTS,2010,ES13,2,0.002
2016,NUTS,2010,ES13,2,0.0023
2017,NUTS,2010,ES13,2,0.0017
2018,NUTS,2010,ES13,2,0.0169
2011,NUTS,2010,ES2,1,0.0013
2013,NUTS,2010,ES2,1,0.0017
2015,NUTS,2010,ES2,1,0.0013
2019,NUTS,2010,ES2,1,0.0012
2011,NUTS,2010,ES21,2,0.0016
2012,NUTS,2010,ES21,2,0.0028
2013,NUTS,2010,ES21,2,0.0025
2014,NUTS,2010,ES21,2,0.002
2015,NUTS,2010,ES21,2,0.0019
2016,NUTS,2010,ES21,2,0.0023
2017,NUTS,2010,ES21,2,0.002
2018,NUTS,2010,ES21,2,0.0021
2019,NUTS,2010,ES21,2,0.0024
2011,NUTS,2010,ES22,2,0.001
2015,NUTS,2010,ES22,2,0.0002
2011,NUTS,2010,ES23,2,0.0014
2012,NUTS,2010,ES23,2,0.0033
2014,NUTS,2010,ES23,2,0.0004
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0005
2011,NUTS,2010,ES24,2,0.0009
2012,NUTS,2010,ES24,2,0.0004
