year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mact
2012,NUTS,2010,ES7,1,9.549
2011,NUTS,2010,ES70,2,9.816
2012,NUTS,2010,ES70,2,9.549
2011,NUTS,2010,FI,0,499.322
2012,NUTS,2010,FI,0,494.614
2011,NUTS,2010,FI1,1,495.107
2012,NUTS,2010,FI1,1,492.758
2011,NUTS,2010,FI19,2,496.83
2012,NUTS,2010,FI19,2,466.882
2011,NUTS,2010,FI1B,2,752.534
2012,NUTS,2010,FI1B,2,746.882
2011,NUTS,2010,FI1C,2,303.887
2012,NUTS,2010,FI1C,2,347.849
2011,NUTS,2010,FI1D,2,310.923
2012,NUTS,2010,FI1D,2,295.555
2011,NUTS,2010,FI2,1,373.026
2012,NUTS,2010,FI2,1,219.231
2011,NUTS,2010,FI20,2,373.026
2012,NUTS,2010,FI20,2,219.231
2011,NUTS,2010,FR,0,306.523
2012,NUTS,2010,FR,0,239.39
2011,NUTS,2010,FR1,1,532.835
2012,NUTS,2010,FR1,1,411.821
2011,NUTS,2010,FR10,2,532.835
2012,NUTS,2010,FR10,2,411.821
2011,NUTS,2010,FR2,1,195.526
2012,NUTS,2010,FR2,1,150.898
2011,NUTS,2010,FR21,2,154.05
2012,NUTS,2010,FR21,2,145.412
2011,NUTS,2010,FR22,2,194.472
2012,NUTS,2010,FR22,2,120.09
2011,NUTS,2010,FR23,2,275.97
2012,NUTS,2010,FR23,2,199.338
2011,NUTS,2010,FR24,2,217.606
2012,NUTS,2010,FR24,2,185.528
2011,NUTS,2010,FR25,2,119.01
2012,NUTS,2010,FR25,2,83.25
2011,NUTS,2010,FR26,2,170.443
2012,NUTS,2010,FR26,2,141.819
2011,NUTS,2010,FR3,1,100.815
2012,NUTS,2010,FR3,1,89.29
2011,NUTS,2010,FR30,2,100.815
2012,NUTS,2010,FR30,2,89.29
2011,NUTS,2010,FR4,1,249.24
2012,NUTS,2010,FR4,1,207.473
2011,NUTS,2010,FR41,2,134.732
2012,NUTS,2010,FR41,2,129.615
2011,NUTS,2010,FR42,2,340.141
2012,NUTS,2010,FR42,2,286.881
2011,NUTS,2010,FR43,2,322.922
2012,NUTS,2010,FR43,2,227.262
2011,NUTS,2010,FR5,1,202.114
2012,NUTS,2010,FR5,1,168.627
2011,NUTS,2010,FR51,2,157.516
2012,NUTS,2010,FR51,2,132.2
2011,NUTS,2010,FR52,2,292.483
2012,NUTS,2010,FR52,2,259.724
2011,NUTS,2010,FR53,2,132.291
2012,NUTS,2010,FR53,2,81.382
2011,NUTS,2010,FR6,1,190.98
2012,NUTS,2010,FR6,1,157.382
2011,NUTS,2010,FR61,2,148.938
2012,NUTS,2010,FR61,2,118.336
2011,NUTS,2010,FR62,2,248.547
2012,NUTS,2010,FR62,2,210.644
2011,NUTS,2010,FR63,2,138.896
2012,NUTS,2010,FR63,2,112.208
2011,NUTS,2010,FR7,1,586.557
2012,NUTS,2010,FR7,1,424.303
2011,NUTS,2010,FR71,2,623.628
2012,NUTS,2010,FR71,2,465.502
2011,NUTS,2010,FR72,2,407.951
2012,NUTS,2010,FR72,2,223.755
2011,NUTS,2010,FR8,1,218.079
2012,NUTS,2010,FR8,1,176.491
2011,NUTS,2010,FR81,2,155.897
2012,NUTS,2010,FR81,2,113.242
2011,NUTS,2010,FR82,2,258.152
2012,NUTS,2010,FR82,2,214.109
2011,NUTS,2010,FR83,2,28.587
2012,NUTS,2010,FR83,2,30.193
2011,NUTS,2010,FR9,1,7.732
2012,NUTS,2010,FR9,1,3.332
2011,NUTS,2010,FR92,2,11.827
2012,NUTS,2010,FR92,2,3.01
2011,NUTS,2010,FR94,2,11.069
2012,NUTS,2010,FR94,2,5.79
2011,NUTS,2010,HR,0,7.772
2012,NUTS,2010,HR,0,4.187
2011,NUTS,2010,HR0,1,7.772
2012,NUTS,2010,HR0,1,4.187
2011,NUTS,2010,HR03,2,3.672
2012,NUTS,2010,HR03,2,3.385
2011,NUTS,2010,HR04,2,9.657
2012,NUTS,2010,HR04,2,4.559
2011,NUTS,2010,HU,0,52.208
2012,NUTS,2010,HU,0,39.468
2011,NUTS,2010,HU1,1,110.38
2012,NUTS,2010,HU1,1,83.259
2011,NUTS,2010,HU10,2,110.38
2012,NUTS,2010,HU10,2,83.259
2011,NUTS,2010,HU2,1,19.488
2012,NUTS,2010,HU2,1,17.445
2011,NUTS,2010,HU21,2,26.769
2012,NUTS,2010,HU21,2,19.645
2011,NUTS,2010,HU22,2,16.591
2012,NUTS,2010,HU22,2,17.116
2011,NUTS,2010,HU23,2,13.401
2012,NUTS,2010,HU23,2,14.946
2011,NUTS,2010,HU3,1,30.474
2012,NUTS,2010,HU3,1,20.144
2011,NUTS,2010,HU31,2,28.209
2012,NUTS,2010,HU31,2,7.617
2011,NUTS,2010,HU32,2,16.951
2012,NUTS,2010,HU32,2,14.262
2011,NUTS,2010,HU33,2,47.716
2012,NUTS,2010,HU33,2,37.694
2011,NUTS,2010,IE,0,170.875
2012,NUTS,2010,IE,0,117.629
2011,NUTS,2010,IE0,1,163.219
2012,NUTS,2010,IE0,1,112.555
2011,NUTS,2010,IE01,2,147.828
2012,NUTS,2010,IE01,2,123.46
2011,NUTS,2010,IE02,2,168.548
2012,NUTS,2010,IE02,2,108.821
2011,NUTS,2010,IS,0,129.076
2012,NUTS,2010,IS,0,121.781
2011,NUTS,2010,IS0,1,129.076
2012,NUTS,2010,IS0,1,115.622
2011,NUTS,2010,IS00,2,129.076
2012,NUTS,2010,IS00,2,115.622
2011,NUTS,2010,IT,0,177.796
2012,NUTS,2010,IT,0,141.583
2011,NUTS,2010,ITC,1,257.367
2012,NUTS,2010,ITC,1,194.32
2011,NUTS,2010,ITC1,2,258.674
2012,NUTS,2010,ITC1,2,201.256
2011,NUTS,2010,ITC2,2,59.696
2012,NUTS,2010,ITC2,2,109.396
2011,NUTS,2010,ITC3,2,156.466
2012,NUTS,2010,ITC3,2,133.452
2011,NUTS,2010,ITC4,2,274.789
2012,NUTS,2010,ITC4,2,201.476
2011,NUTS,2010,ITF,1,41.102
2012,NUTS,2010,ITF,1,28.967
2011,NUTS,2010,ITF1,2,93.843
2012,NUTS,2010,ITF1,2,45.589
2011,NUTS,2010,ITF2,2,24.313
2012,NUTS,2010,ITF2,2,7.699
2011,NUTS,2010,ITF3,2,32.005
2012,NUTS,2010,ITF3,2,28.584
2011,NUTS,2010,ITF4,2,46.592
2012,NUTS,2010,ITF4,2,26.309
2011,NUTS,2010,ITF5,2,27.156
2012,NUTS,2010,ITF5,2,27.895
2011,NUTS,2010,ITF6,2,18.024
2012,NUTS,2010,ITF6,2,26.193
2011,NUTS,2010,ITG,1,18.031
2012,NUTS,2010,ITG,1,12.934
2011,NUTS,2010,ITG1,2,17.735
2012,NUTS,2010,ITG1,2,12.723
2011,NUTS,2010,ITG2,2,18.759
2012,NUTS,2010,ITG2,2,13.458
2011,NUTS,2010,ITH,1,299.622
2012,NUTS,2010,ITH,1,267.282
2011,NUTS,2010,ITH1,2,294.402
2012,NUTS,2010,ITH1,2,248.993
2011,NUTS,2010,ITH2,2,186.913
2012,NUTS,2010,ITH2,2,118.572
2011,NUTS,2010,ITH3,2,249.289
2012,NUTS,2010,ITH3,2,220.238
2011,NUTS,2010,ITH4,2,458.197
2012,NUTS,2010,ITH4,2,492.557
2011,NUTS,2010,ITH5,2,326.52
2012,NUTS,2010,ITH5,2,279.418
2011,NUTS,2010,ITI,1,129.333
2012,NUTS,2010,ITI,1,93.337
2011,NUTS,2010,ITI1,2,177.594
2012,NUTS,2010,ITI1,2,143.304
2011,NUTS,2010,ITI2,2,87.48
2012,NUTS,2010,ITI2,2,75.577
2011,NUTS,2010,ITI3,2,176.099
2012,NUTS,2010,ITI3,2,129.103
2011,NUTS,2010,ITI4,2,89.845
2012,NUTS,2010,ITI4,2,52.377
2011,NUTS,2010,LT,0,12.048
2012,NUTS,2010,LT,0,17.65
2011,NUTS,2010,LT0,1,12.048
2012,NUTS,2010,LT0,1,17.65
2011,NUTS,2010,LT00,2,12.048
2012,NUTS,2010,LT00,2,17.65
2011,NUTS,2010,LU,0,294.752
2012,NUTS,2010,LU,0,232.423
2011,NUTS,2010,LU0,1,294.752
2012,NUTS,2010,LU0,1,232.423
2011,NUTS,2010,LU00,2,294.752
2012,NUTS,2010,LU00,2,232.423
2011,NUTS,2010,LV,0,17.39
2012,NUTS,2010,LV,0,23.838
2011,NUTS,2010,LV0,1,17.273
2012,NUTS,2010,LV0,1,23.838
2011,NUTS,2010,LV00,2,17.273
2012,NUTS,2010,LV00,2,23.838
2011,NUTS,2010,MT,0,1.855
2012,NUTS,2010,MT,0,27.503
2012,NUTS,2010,MT0,1,22.002
2012,NUTS,2010,MT00,2,22.002
2011,NUTS,2010,NL,0,392.418
2012,NUTS,2010,NL,0,298.408
2011,NUTS,2010,NL1,1,122.993
2012,NUTS,2010,NL1,1,76.731
2011,NUTS,2010,NL11,2,155.874
2012,NUTS,2010,NL11,2,72.534
2011,NUTS,2010,NL12,2,119.626
2012,NUTS,2010,NL12,2,72.957
2011,NUTS,2010,NL13,2,86.575
2012,NUTS,2010,NL13,2,86.865
2011,NUTS,2010,NL2,1,231.297
2012,NUTS,2010,NL2,1,180.116
2011,NUTS,2010,NL21,2,249.509
2012,NUTS,2010,NL21,2,195.786
2011,NUTS,2010,NL22,2,250.891
2012,NUTS,2010,NL22,2,183.784
2011,NUTS,2010,NL23,2,81.809
2012,NUTS,2010,NL23,2,119.003
2011,NUTS,2010,NL3,1,233.803
2012,NUTS,2010,NL3,1,190.297
2011,NUTS,2010,NL31,2,187.088
2012,NUTS,2010,NL31,2,189.497
