year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_act_fte_rse_t
2016,NUTS,2010,DE40,2,0.1787
2017,NUTS,2010,DE40,2,0.1855
2018,NUTS,2010,DE40,2,0.1864
2019,NUTS,2010,DE40,2,0.2023
2011,NUTS,2010,DE5,1,0.3939
2012,NUTS,2010,DE5,1,0.4162
2013,NUTS,2010,DE5,1,0.4269
2014,NUTS,2010,DE5,1,0.3932
2015,NUTS,2010,DE5,1,0.424
2016,NUTS,2010,DE5,1,0.3903
2017,NUTS,2010,DE5,1,0.4007
2018,NUTS,2010,DE5,1,0.4209
2019,NUTS,2010,DE5,1,0.4375
2011,NUTS,2010,DE50,2,0.3939
2012,NUTS,2010,DE50,2,0.4162
2013,NUTS,2010,DE50,2,0.4269
2014,NUTS,2010,DE50,2,0.3932
2015,NUTS,2010,DE50,2,0.424
2016,NUTS,2010,DE50,2,0.3903
2017,NUTS,2010,DE50,2,0.4007
2018,NUTS,2010,DE50,2,0.4209
2019,NUTS,2010,DE50,2,0.4375
2011,NUTS,2010,DE6,1,0.1578
2012,NUTS,2010,DE6,1,0.1881
2013,NUTS,2010,DE6,1,0.1994
2014,NUTS,2010,DE6,1,0.1576
2015,NUTS,2010,DE6,1,0.1619
2016,NUTS,2010,DE6,1,0.1639
2017,NUTS,2010,DE6,1,0.1621
2018,NUTS,2010,DE6,1,0.1745
2019,NUTS,2010,DE6,1,0.1769
2011,NUTS,2010,DE60,2,0.1578
2012,NUTS,2010,DE60,2,0.1881
2013,NUTS,2010,DE60,2,0.1994
2014,NUTS,2010,DE60,2,0.1576
2015,NUTS,2010,DE60,2,0.1619
2016,NUTS,2010,DE60,2,0.1639
2017,NUTS,2010,DE60,2,0.1621
2018,NUTS,2010,DE60,2,0.1745
2019,NUTS,2010,DE60,2,0.1769
2011,NUTS,2010,DE7,1,0.0726
2012,NUTS,2010,DE7,1,0.0736
2013,NUTS,2010,DE7,1,0.0752
2014,NUTS,2010,DE7,1,0.071
2015,NUTS,2010,DE7,1,0.0764
2016,NUTS,2010,DE7,1,0.0798
2017,NUTS,2010,DE7,1,0.0852
2018,NUTS,2010,DE7,1,0.0866
2019,NUTS,2010,DE7,1,0.0863
2011,NUTS,2010,DE71,2,0.1029
2012,NUTS,2010,DE71,2,0.1029
2013,NUTS,2010,DE71,2,0.1049
2014,NUTS,2010,DE71,2,0.0997
2015,NUTS,2010,DE71,2,0.1033
2016,NUTS,2010,DE71,2,0.1069
2017,NUTS,2010,DE71,2,0.113
2018,NUTS,2010,DE71,2,0.1181
2019,NUTS,2010,DE71,2,0.1174
2011,NUTS,2010,DE72,2,0.0185
2012,NUTS,2010,DE72,2,0.0189
2013,NUTS,2010,DE72,2,0.0184
2014,NUTS,2010,DE72,2,0.0186
2015,NUTS,2010,DE72,2,0.0266
2016,NUTS,2010,DE72,2,0.0314
2017,NUTS,2010,DE72,2,0.0371
2018,NUTS,2010,DE72,2,0.0343
2019,NUTS,2010,DE72,2,0.0331
2011,NUTS,2010,DE73,2,0.0227
2012,NUTS,2010,DE73,2,0.0261
2013,NUTS,2010,DE73,2,0.0276
2014,NUTS,2010,DE73,2,0.0239
2015,NUTS,2010,DE73,2,0.0309
2016,NUTS,2010,DE73,2,0.0313
2017,NUTS,2010,DE73,2,0.0329
2018,NUTS,2010,DE73,2,0.0249
2019,NUTS,2010,DE73,2,0.026
2011,NUTS,2010,DE8,1,0.1412
2012,NUTS,2010,DE8,1,0.1467
2013,NUTS,2010,DE8,1,0.1425
2014,NUTS,2010,DE8,1,0.1238
2015,NUTS,2010,DE8,1,0.1242
2016,NUTS,2010,DE8,1,0.1226
2017,NUTS,2010,DE8,1,0.1362
2018,NUTS,2010,DE8,1,0.1446
2019,NUTS,2010,DE8,1,0.1475
2011,NUTS,2010,DE80,2,0.1412
2012,NUTS,2010,DE80,2,0.1467
2013,NUTS,2010,DE80,2,0.1425
2014,NUTS,2010,DE80,2,0.1238
2015,NUTS,2010,DE80,2,0.1242
2016,NUTS,2010,DE80,2,0.1226
2017,NUTS,2010,DE80,2,0.1362
2018,NUTS,2010,DE80,2,0.1446
2019,NUTS,2010,DE80,2,0.1475
2011,NUTS,2010,DE9,1,0.103
2012,NUTS,2010,DE9,1,0.0993
2013,NUTS,2010,DE9,1,0.0992
2014,NUTS,2010,DE9,1,0.1042
2015,NUTS,2010,DE9,1,0.1069
2016,NUTS,2010,DE9,1,0.1041
2017,NUTS,2010,DE9,1,0.0973
2018,NUTS,2010,DE9,1,0.0995
2019,NUTS,2010,DE9,1,0.1
2011,NUTS,2010,DE91,2,0.3602
2012,NUTS,2010,DE91,2,0.3507
2013,NUTS,2010,DE91,2,0.3606
2014,NUTS,2010,DE91,2,0.3924
2015,NUTS,2010,DE91,2,0.3934
2016,NUTS,2010,DE91,2,0.4001
2017,NUTS,2010,DE91,2,0.3648
2018,NUTS,2010,DE91,2,0.3604
2019,NUTS,2010,DE91,2,0.3652
2011,NUTS,2010,DE92,2,0.0695
2012,NUTS,2010,DE92,2,0.0654
2013,NUTS,2010,DE92,2,0.0603
2014,NUTS,2010,DE92,2,0.0642
2015,NUTS,2010,DE92,2,0.0632
2016,NUTS,2010,DE92,2,0.0613
2017,NUTS,2010,DE92,2,0.0597
2018,NUTS,2010,DE92,2,0.0714
2019,NUTS,2010,DE92,2,0.0704
2011,NUTS,2010,DE93,2,0.0178
2012,NUTS,2010,DE93,2,0.0175
2013,NUTS,2010,DE93,2,0.0154
2014,NUTS,2010,DE93,2,0.01
2015,NUTS,2010,DE93,2,0.0173
2016,NUTS,2010,DE93,2,0.0123
2017,NUTS,2010,DE93,2,0.0169
2018,NUTS,2010,DE93,2,0.0138
2019,NUTS,2010,DE93,2,0.0142
2011,NUTS,2010,DE94,2,0.0245
2012,NUTS,2010,DE94,2,0.0245
2013,NUTS,2010,DE94,2,0.0261
2014,NUTS,2010,DE94,2,0.025
2015,NUTS,2010,DE94,2,0.0263
2016,NUTS,2010,DE94,2,0.0198
2017,NUTS,2010,DE94,2,0.0199
2018,NUTS,2010,DE94,2,0.0213
2019,NUTS,2010,DE94,2,0.0207
2011,NUTS,2010,DEA,1,0.0999
2012,NUTS,2010,DEA,1,0.1008
2013,NUTS,2010,DEA,1,0.1027
2014,NUTS,2010,DEA,1,0.0927
2015,NUTS,2010,DEA,1,0.0947
2016,NUTS,2010,DEA,1,0.0949
2017,NUTS,2010,DEA,1,0.0934
2018,NUTS,2010,DEA,1,0.0974
2019,NUTS,2010,DEA,1,0.1002
2011,NUTS,2010,DEA1,2,0.045
2012,NUTS,2010,DEA1,2,0.046
2013,NUTS,2010,DEA1,2,0.0428
2014,NUTS,2010,DEA1,2,0.0409
2015,NUTS,2010,DEA1,2,0.0444
2016,NUTS,2010,DEA1,2,0.0422
2017,NUTS,2010,DEA1,2,0.0439
2018,NUTS,2010,DEA1,2,0.0499
2019,NUTS,2010,DEA1,2,0.0481
2011,NUTS,2010,DEA2,2,0.3011
2012,NUTS,2010,DEA2,2,0.3025
2013,NUTS,2010,DEA2,2,0.3128
2014,NUTS,2010,DEA2,2,0.2789
2015,NUTS,2010,DEA2,2,0.2781
2016,NUTS,2010,DEA2,2,0.2729
2017,NUTS,2010,DEA2,2,0.2639
2018,NUTS,2010,DEA2,2,0.2735
2019,NUTS,2010,DEA2,2,0.2855
2011,NUTS,2010,DEA3,2,0.0203
2012,NUTS,2010,DEA3,2,0.0191
2013,NUTS,2010,DEA3,2,0.0192
2014,NUTS,2010,DEA3,2,0.0159
2015,NUTS,2010,DEA3,2,0.0148
2016,NUTS,2010,DEA3,2,0.0157
2017,NUTS,2010,DEA3,2,0.0168
2018,NUTS,2010,DEA3,2,0.0189
2019,NUTS,2010,DEA3,2,0.018
2011,NUTS,2010,DEA4,2,0.0244
2012,NUTS,2010,DEA4,2,0.0266
2013,NUTS,2010,DEA4,2,0.0246
2014,NUTS,2010,DEA4,2,0.0214
2015,NUTS,2010,DEA4,2,0.024
2016,NUTS,2010,DEA4,2,0.0254
2017,NUTS,2010,DEA4,2,0.0278
2018,NUTS,2010,DEA4,2,0.0284
2019,NUTS,2010,DEA4,2,0.0298
2011,NUTS,2010,DEA5,2,0.0354
2012,NUTS,2010,DEA5,2,0.0367
2013,NUTS,2010,DEA5,2,0.0383
2014,NUTS,2010,DEA5,2,0.037
2015,NUTS,2010,DEA5,2,0.0409
2016,NUTS,2010,DEA5,2,0.0434
2017,NUTS,2010,DEA5,2,0.0434
2018,NUTS,2010,DEA5,2,0.0434
2019,NUTS,2010,DEA5,2,0.0432
2011,NUTS,2010,DEB,1,0.0597
2012,NUTS,2010,DEB,1,0.0576
2013,NUTS,2010,DEB,1,0.0584
2014,NUTS,2010,DEB,1,0.0516
2015,NUTS,2010,DEB,1,0.0534
2016,NUTS,2010,DEB,1,0.0566
2017,NUTS,2010,DEB,1,0.0612
2018,NUTS,2010,DEB,1,0.0629
2019,NUTS,2010,DEB,1,0.0692
2011,NUTS,2010,DEB1,2,0.0081
