year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2013,NUTS,2010,DE,0,1.4867
2015,NUTS,2010,DE,0,1.5517
2017,NUTS,2010,DE,0,1.6008
2019,NUTS,2010,DE,0,1.6864
2011,NUTS,2010,DK,0,2.2994
2012,NUTS,2010,DK,0,2.4165
2013,NUTS,2010,DK,0,2.4493
2015,NUTS,2010,DK,0,2.421
2017,NUTS,2010,DK,0,2.4401
2019,NUTS,2010,DK,0,2.4566
2011,NUTS,2010,DK0,1,2.2322
2012,NUTS,2010,DK0,1,2.4398
2013,NUTS,2010,DK0,1,2.5058
2015,NUTS,2010,DK0,1,2.3759
2017,NUTS,2010,DK0,1,2.3902
2019,NUTS,2010,DK0,1,2.4069
2011,NUTS,2010,DK01,2,4.2284
2013,NUTS,2010,DK01,2,4.4647
2015,NUTS,2010,DK01,2,4.2107
2017,NUTS,2010,DK01,2,4.3166
2019,NUTS,2010,DK01,2,4.3306
2011,NUTS,2010,DK02,2,0.8473
2013,NUTS,2010,DK02,2,0.8639
2015,NUTS,2010,DK02,2,0.8603
2017,NUTS,2010,DK02,2,1.0116
2019,NUTS,2010,DK02,2,0.9455
2011,NUTS,2010,DK03,2,1.0304
2013,NUTS,2010,DK03,2,1.1794
2015,NUTS,2010,DK03,2,1.4278
2017,NUTS,2010,DK03,2,0.9524
2019,NUTS,2010,DK03,2,1.0094
2011,NUTS,2010,DK04,2,1.6872
2013,NUTS,2010,DK04,2,2.199
2015,NUTS,2010,DK04,2,1.7357
2017,NUTS,2010,DK04,2,1.7111
2019,NUTS,2010,DK04,2,1.7464
2011,NUTS,2010,DK05,2,1.1326
2013,NUTS,2010,DK05,2,1.5411
2015,NUTS,2010,DK05,2,1.4457
2017,NUTS,2010,DK05,2,1.884
2019,NUTS,2010,DK05,2,2.0256
2011,NUTS,2010,EA19,2,1.3273
2013,NUTS,2010,EA19,2,1.3704
2015,NUTS,2010,EA19,2,1.447
2017,NUTS,2010,EA19,2,1.5267
2019,NUTS,2010,EA19,2,1.636
2011,NUTS,2010,EE,0,1.4605
2012,NUTS,2010,EE,0,1.4756
2013,NUTS,2010,EE,0,1.5062
2014,NUTS,2010,EE,0,1.5742
2015,NUTS,2010,EE,0,1.4681
2016,NUTS,2010,EE,0,1.3661
2017,NUTS,2010,EE,0,1.36
2018,NUTS,2010,EE,0,1.3783
2019,NUTS,2010,EE,0,1.4446
2011,NUTS,2010,EL,0,1.4358
2013,NUTS,2010,EL,0,1.816
2015,NUTS,2010,EL,0,1.9812
2017,NUTS,2010,EL,0,1.9061
2019,NUTS,2010,EL,0,2.1866
2011,NUTS,2010,EL3,1,1.5078
2011,NUTS,2010,EL30,2,1.5078
2011,NUTS,2010,EL4,1,1.7143
2011,NUTS,2010,EL41,2,2.4058
2011,NUTS,2010,EL42,2,0.9526
2011,NUTS,2010,EL43,2,1.9237
2011,NUTS,2010,EL5,1,1.4408
2011,NUTS,2010,EL51,2,1.4605
2011,NUTS,2010,EL52,2,1.3454
2011,NUTS,2010,EL53,2,1.1476
2011,NUTS,2010,EL54,2,2.1974
2011,NUTS,2010,EL6,1,1.0743
