year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_emp_hc_total_gov
2015,NUTS,2010,DE26,2,0.0766
2016,NUTS,2010,DE26,2,0.0785
2017,NUTS,2010,DE26,2,0.0776
2018,NUTS,2010,DE26,2,0.0747
2019,NUTS,2010,DE26,2,0.0827
2015,NUTS,2010,DE27,2,0.0374
2016,NUTS,2010,DE27,2,0.0396
2017,NUTS,2010,DE27,2,0.0416
2018,NUTS,2010,DE27,2,0.0474
2019,NUTS,2010,DE27,2,0.0528
2015,NUTS,2010,DE3,1,0.7955
2016,NUTS,2010,DE3,1,0.7856
2017,NUTS,2010,DE3,1,0.8183
2018,NUTS,2010,DE3,1,0.8473
2019,NUTS,2010,DE3,1,0.8517
2015,NUTS,2010,DE30,2,0.7955
2016,NUTS,2010,DE30,2,0.7856
2017,NUTS,2010,DE30,2,0.8183
2018,NUTS,2010,DE30,2,0.8473
2019,NUTS,2010,DE30,2,0.8517
2015,NUTS,2010,DE4,1,0.3678
2016,NUTS,2010,DE4,1,0.3748
2017,NUTS,2010,DE4,1,0.3709
2018,NUTS,2010,DE4,1,0.3734
2019,NUTS,2010,DE4,1,0.4015
2015,NUTS,2010,DE40,2,0.3678
2016,NUTS,2010,DE40,2,0.3748
2017,NUTS,2010,DE40,2,0.3709
2018,NUTS,2010,DE40,2,0.3734
2019,NUTS,2010,DE40,2,0.4015
2015,NUTS,2010,DE5,1,0.8694
2016,NUTS,2010,DE5,1,0.8732
2017,NUTS,2010,DE5,1,0.8489
2018,NUTS,2010,DE5,1,0.8716
2019,NUTS,2010,DE5,1,0.9225
2015,NUTS,2010,DE50,2,0.8694
2016,NUTS,2010,DE50,2,0.8732
2017,NUTS,2010,DE50,2,0.8489
2018,NUTS,2010,DE50,2,0.8716
2019,NUTS,2010,DE50,2,0.9225
2015,NUTS,2010,DE6,1,0.3481
2016,NUTS,2010,DE6,1,0.3489
2017,NUTS,2010,DE6,1,0.3464
2018,NUTS,2010,DE6,1,0.3479
2019,NUTS,2010,DE6,1,0.3488
2015,NUTS,2010,DE60,2,0.3481
2016,NUTS,2010,DE60,2,0.3489
2017,NUTS,2010,DE60,2,0.3464
2018,NUTS,2010,DE60,2,0.3479
2019,NUTS,2010,DE60,2,0.3488
2015,NUTS,2010,DE7,1,0.1645
2016,NUTS,2010,DE7,1,0.1783
2017,NUTS,2010,DE7,1,0.1931
2018,NUTS,2010,DE7,1,0.1936
2019,NUTS,2010,DE7,1,0.1973
2015,NUTS,2010,DE71,2,0.2239
2016,NUTS,2010,DE71,2,0.2437
2017,NUTS,2010,DE71,2,0.2613
2018,NUTS,2010,DE71,2,0.2687
2019,NUTS,2010,DE71,2,0.2753
2015,NUTS,2010,DE72,2,0.0678
2016,NUTS,2010,DE72,2,0.0717
2017,NUTS,2010,DE72,2,0.0832
2018,NUTS,2010,DE72,2,0.0755
2019,NUTS,2010,DE72,2,0.0718
2015,NUTS,2010,DE73,2,0.0522
2016,NUTS,2010,DE73,2,0.0557
2017,NUTS,2010,DE73,2,0.0582
2018,NUTS,2010,DE73,2,0.0386
2019,NUTS,2010,DE73,2,0.0385
2015,NUTS,2010,DE8,1,0.3029
2016,NUTS,2010,DE8,1,0.3064
2017,NUTS,2010,DE8,1,0.3037
2018,NUTS,2010,DE8,1,0.324
2019,NUTS,2010,DE8,1,0.3232
2015,NUTS,2010,DE80,2,0.3029
2016,NUTS,2010,DE80,2,0.3064
2017,NUTS,2010,DE80,2,0.3037
2018,NUTS,2010,DE80,2,0.324
2019,NUTS,2010,DE80,2,0.3232
2015,NUTS,2010,DE9,1,0.2358
2016,NUTS,2010,DE9,1,0.2341
2017,NUTS,2010,DE9,1,0.2351
2018,NUTS,2010,DE9,1,0.247
2019,NUTS,2010,DE9,1,0.238
2015,NUTS,2010,DE91,2,0.8381
2016,NUTS,2010,DE91,2,0.8641
2017,NUTS,2010,DE91,2,0.8414
2018,NUTS,2010,DE91,2,0.8287
2019,NUTS,2010,DE91,2,0.8227
2015,NUTS,2010,DE92,2,0.1591
2016,NUTS,2010,DE92,2,0.1667
2017,NUTS,2010,DE92,2,0.1635
2018,NUTS,2010,DE92,2,0.2232
2019,NUTS,2010,DE92,2,0.21
2015,NUTS,2010,DE93,2,0.0366
2016,NUTS,2010,DE93,2,0.0289
2017,NUTS,2010,DE93,2,0.04
2018,NUTS,2010,DE93,2,0.0333
2019,NUTS,2010,DE93,2,0.0339
2015,NUTS,2010,DE94,2,0.0619
2016,NUTS,2010,DE94,2,0.0509
2017,NUTS,2010,DE94,2,0.0554
2018,NUTS,2010,DE94,2,0.0593
2019,NUTS,2010,DE94,2,0.0439
2015,NUTS,2010,DEA,1,0.2264
2016,NUTS,2010,DEA,1,0.2244
2017,NUTS,2010,DEA,1,0.2334
2018,NUTS,2010,DEA,1,0.2443
2019,NUTS,2010,DEA,1,0.2507
2015,NUTS,2010,DEA1,2,0.0971
2016,NUTS,2010,DEA1,2,0.0897
2017,NUTS,2010,DEA1,2,0.0919
2018,NUTS,2010,DEA1,2,0.0995
2019,NUTS,2010,DEA1,2,0.1014
2015,NUTS,2010,DEA2,2,0.6404
2016,NUTS,2010,DEA2,2,0.6224
2017,NUTS,2010,DEA2,2,0.6484
2018,NUTS,2010,DEA2,2,0.6868
2019,NUTS,2010,DEA2,2,0.7076
2015,NUTS,2010,DEA3,2,0.0542
2016,NUTS,2010,DEA3,2,0.0564
2017,NUTS,2010,DEA3,2,0.0652
2018,NUTS,2010,DEA3,2,0.0594
2019,NUTS,2010,DEA3,2,0.0577
2015,NUTS,2010,DEA4,2,0.0498
2016,NUTS,2010,DEA4,2,0.0533
2017,NUTS,2010,DEA4,2,0.0595
2018,NUTS,2010,DEA4,2,0.0651
2019,NUTS,2010,DEA4,2,0.0673
2015,NUTS,2010,DEA5,2,0.1219
2016,NUTS,2010,DEA5,2,0.1249
2017,NUTS,2010,DEA5,2,0.1301
2018,NUTS,2010,DEA5,2,0.1317
2019,NUTS,2010,DEA5,2,0.1283
2015,NUTS,2010,DEB,1,0.1042
2016,NUTS,2010,DEB,1,0.1142
2017,NUTS,2010,DEB,1,0.1234
2018,NUTS,2010,DEB,1,0.1285
2019,NUTS,2010,DEB,1,0.1444
2015,NUTS,2010,DEB1,2,0.036
2016,NUTS,2010,DEB1,2,0.0382
2017,NUTS,2010,DEB1,2,0.0367
2018,NUTS,2010,DEB1,2,0.0399
2019,NUTS,2010,DEB1,2,0.0431
2015,NUTS,2010,DEB2,2,0.0182
2016,NUTS,2010,DEB2,2,0.0176
2017,NUTS,2010,DEB2,2,0.0166
2018,NUTS,2010,DEB2,2,0.0211
2019,NUTS,2010,DEB2,2,0.0433
2015,NUTS,2010,DEB3,2,0.1784
2016,NUTS,2010,DEB3,2,0.1988
2017,NUTS,2010,DEB3,2,0.2174
2018,NUTS,2010,DEB3,2,0.2235
2019,NUTS,2010,DEB3,2,0.2469
2015,NUTS,2010,DEC,1,0.2462
2016,NUTS,2010,DEC,1,0.2379
2017,NUTS,2010,DEC,1,0.2289
2018,NUTS,2010,DEC,1,0.2271
2019,NUTS,2010,DEC,1,0.2943
2015,NUTS,2010,DEC0,2,0.2462
2016,NUTS,2010,DEC0,2,0.2379
2017,NUTS,2010,DEC0,2,0.2289
2018,NUTS,2010,DEC0,2,0.2271
2019,NUTS,2010,DEC0,2,0.2943
2015,NUTS,2010,DED,1,0.3991
2016,NUTS,2010,DED,1,0.3963
2017,NUTS,2010,DED,1,0.4171
2018,NUTS,2010,DED,1,0.4283
2019,NUTS,2010,DED,1,0.4427
2015,NUTS,2010,DED2,2,0.5273
2016,NUTS,2010,DED2,2,0.5332
2017,NUTS,2010,DED2,2,0.5609
2018,NUTS,2010,DED2,2,0.571
2019,NUTS,2010,DED2,2,0.5826
2015,NUTS,2010,DED4,2,0.1008
2016,NUTS,2010,DED4,2,0.0994
2017,NUTS,2010,DED4,2,0.1026
2018,NUTS,2010,DED4,2,0.1089
2019,NUTS,2010,DED4,2,0.1119
2015,NUTS,2010,DED5,2,0.6086
2016,NUTS,2010,DED5,2,0.5841
2017,NUTS,2010,DED5,2,0.6198
2018,NUTS,2010,DED5,2,0.631
2019,NUTS,2010,DED5,2,0.6569
2015,NUTS,2010,DEE,1,0.3205
2016,NUTS,2010,DEE,1,0.3219
2017,NUTS,2010,DEE,1,0.3377
2018,NUTS,2010,DEE,1,0.3537
2019,NUTS,2010,DEE,1,0.346
2015,NUTS,2010,DEE0,2,0.3205
2016,NUTS,2010,DEE0,2,0.3219
2017,NUTS,2010,DEE0,2,0.3377
2018,NUTS,2010,DEE0,2,0.3537
2019,NUTS,2010,DEE0,2,0.346
2015,NUTS,2010,DEF,1,0.2485
2016,NUTS,2010,DEF,1,0.2443
2017,NUTS,2010,DEF,1,0.2572
2018,NUTS,2010,DEF,1,0.272
2019,NUTS,2010,DEF,1,0.2604
2015,NUTS,2010,DEF0,2,0.2485
2016,NUTS,2010,DEF0,2,0.2443
2017,NUTS,2010,DEF0,2,0.2572
2018,NUTS,2010,DEF0,2,0.272
2019,NUTS,2010,DEF0,2,0.2604
2015,NUTS,2010,DEG,1,0.272
2016,NUTS,2010,DEG,1,0.2855
2017,NUTS,2010,DEG,1,0.2687
2018,NUTS,2010,DEG,1,0.2884
2019,NUTS,2010,DEG,1,0.2836
2015,NUTS,2010,DEG0,2,0.272
2016,NUTS,2010,DEG0,2,0.2855
2017,NUTS,2010,DEG0,2,0.2687
2018,NUTS,2010,DEG0,2,0.2884
2019,NUTS,2010,DEG0,2,0.2836
1999,NUTS,2010,DK,0,0.4183
2000,NUTS,2010,DK,0,0.3682
2001,NUTS,2010,DK,0,0.3841
2002,NUTS,2010,DK,0,0.1708
2003,NUTS,2010,DK,0,0.1839
2004,NUTS,2010,DK,0,0.1745
2005,NUTS,2010,DK,0,0.1777
2006,NUTS,2010,DK,0,0.184
2007,NUTS,2010,DK,0,0.0914
2009,NUTS,2010,DK,0,0.0777
2010,NUTS,2010,DK,0,0.0772
2011,NUTS,2010,DK,0,0.0874
2012,NUTS,2010,DK,0,0.1065
2013,NUTS,2010,DK,0,0.1089
2014,NUTS,2010,DK,0,0.1272
2015,NUTS,2010,DK,0,0.1372
2016,NUTS,2010,DK,0,0.1322
2017,NUTS,2010,DK,0,0.157
2018,NUTS,2010,DK,0,0.157
2019,NUTS,2010,DK,0,0.1559
1999,NUTS,2010,DK0,1,0.4154
2000,NUTS,2010,DK0,1,0.3645
2001,NUTS,2010,DK0,1,0.393
2002,NUTS,2010,DK0,1,0.173
2003,NUTS,2010,DK0,1,0.1821
2007,NUTS,2010,DK0,1,0.0905
2009,NUTS,2010,DK0,1,0.0749
2010,NUTS,2010,DK0,1,0.076
2011,NUTS,2010,DK0,1,0.0872
2012,NUTS,2010,DK0,1,0.1043
2013,NUTS,2010,DK0,1,0.1067
2014,NUTS,2010,DK0,1,0.1241
2015,NUTS,2010,DK0,1,0.1344
2016,NUTS,2010,DK0,1,0.1291
2017,NUTS,2010,DK0,1,0.1535
2018,NUTS,2010,DK0,1,0.1538
2019,NUTS,2010,DK0,1,0.1526
2007,NUTS,2010,DK01,2,0.2128
2009,NUTS,2010,DK01,2,0.1726
2010,NUTS,2010,DK01,2,0.1624
2011,NUTS,2010,DK01,2,0.1634
2012,NUTS,2010,DK01,2,0.1463
2013,NUTS,2010,DK01,2,0.1351
2014,NUTS,2010,DK01,2,0.1394
2015,NUTS,2010,DK01,2,0.1493
2016,NUTS,2010,DK01,2,0.1282
2017,NUTS,2010,DK01,2,0.2086
2019,NUTS,2010,DK01,2,0.2193
2007,NUTS,2010,DK02,2,0.0217
2009,NUTS,2010,DK02,2,0.0726
2010,NUTS,2010,DK02,2,0.0576
2011,NUTS,2010,DK02,2,0.0805
2012,NUTS,2010,DK02,2,0.063
2013,NUTS,2010,DK02,2,0.0998
2014,NUTS,2010,DK02,2,0.1771
2015,NUTS,2010,DK02,2,0.1893
2016,NUTS,2010,DK02,2,0.1295
2017,NUTS,2010,DK02,2,0.124
2019,NUTS,2010,DK02,2,0.123
2007,NUTS,2010,DK03,2,0.0066
2009,NUTS,2010,DK03,2,0.0108
2010,NUTS,2010,DK03,2,0.0187
2011,NUTS,2010,DK03,2,0.0096
2012,NUTS,2010,DK03,2,0.0858
2013,NUTS,2010,DK03,2,0.0884
2014,NUTS,2010,DK03,2,0.0937
2015,NUTS,2010,DK03,2,0.0946
2016,NUTS,2010,DK03,2,0.1179
2017,NUTS,2010,DK03,2,0.0204
2019,NUTS,2010,DK03,2,0.0226
2007,NUTS,2010,DK04,2,0.0528
2009,NUTS,2010,DK04,2,0.0417
2010,NUTS,2010,DK04,2,0.0492
2011,NUTS,2010,DK04,2,0.0822
2012,NUTS,2010,DK04,2,0.1206
2013,NUTS,2010,DK04,2,0.1219
2014,NUTS,2010,DK04,2,0.1421
2015,NUTS,2010,DK04,2,0.1617
2016,NUTS,2010,DK04,2,0.1847
2017,NUTS,2010,DK04,2,0.1697
2019,NUTS,2010,DK04,2,0.144
2007,NUTS,2010,DK05,2,0.0614
2009,NUTS,2010,DK05,2,0.0066
2010,NUTS,2010,DK05,2,0.0085
2011,NUTS,2010,DK05,2,0.0117
2012,NUTS,2010,DK05,2,0.0176
2013,NUTS,2010,DK05,2,0.0198
2014,NUTS,2010,DK05,2,0.0212
2015,NUTS,2010,DK05,2,0.0291
2016,NUTS,2010,DK05,2,0.0274
2017,NUTS,2010,DK05,2,0.234
2019,NUTS,2010,DK05,2,0.2506
2003,NUTS,2010,EA19,2,0.2057
2004,NUTS,2010,EA19,2,0.2128
2005,NUTS,2010,EA19,2,0.2152
2006,NUTS,2010,EA19,2,0.2221
2007,NUTS,2010,EA19,2,0.2234
2008,NUTS,2010,EA19,2,0.2293
2009,NUTS,2010,EA19,2,0.236
2010,NUTS,2010,EA19,2,0.2368
2011,NUTS,2010,EA19,2,0.242
2012,NUTS,2010,EA19,2,0.2506
2013,NUTS,2010,EA19,2,0.2492
2014,NUTS,2010,EA19,2,0.2521
2015,NUTS,2010,EA19,2,0.2627
2016,NUTS,2010,EA19,2,0.2637
2017,NUTS,2010,EA19,2,0.2661
2018,NUTS,2010,EA19,2,0.2721
2019,NUTS,2010,EA19,2,0.2757
1997,NUTS,2010,EE,0,0.3035
1998,NUTS,2010,EE,0,0.2721
1999,NUTS,2010,EE,0,0.2591
2000,NUTS,2010,EE,0,0.248
2001,NUTS,2010,EE,0,0.2189
2002,NUTS,2010,EE,0,0.2293
2003,NUTS,2010,EE,0,0.2577
2004,NUTS,2010,EE,0,0.2436
2005,NUTS,2010,EE,0,0.212
2006,NUTS,2010,EE,0,0.2201
2007,NUTS,2010,EE,0,0.2205
2008,NUTS,2010,EE,0,0.2252
2009,NUTS,2010,EE,0,0.2338
2010,NUTS,2010,EE,0,0.2446
2011,NUTS,2010,EE,0,0.2403
2012,NUTS,2010,EE,0,0.2456
2013,NUTS,2010,EE,0,0.243
2014,NUTS,2010,EE,0,0.2331
2015,NUTS,2010,EE,0,0.239
2016,NUTS,2010,EE,0,0.2057
2017,NUTS,2010,EE,0,0.201
2018,NUTS,2010,EE,0,0.1781
2019,NUTS,2010,EE,0,0.1752
1999,NUTS,2010,EL,0,0.2022
2001,NUTS,2010,EL,0,0.2258
2003,NUTS,2010,EL,0,0.2256
2005,NUTS,2010,EL,0,0.1867
2011,NUTS,2010,EL,0,0.3528
2013,NUTS,2010,EL,0,0.536
2015,NUTS,2010,EL,0,0.8335
2017,NUTS,2010,EL,0,0.7457
2019,NUTS,2010,EL,0,0.8142
2001,NUTS,2010,EL3,1,0.2874
2003,NUTS,2010,EL3,1,0.3057
2005,NUTS,2010,EL3,1,0.257
2011,NUTS,2010,EL3,1,0.4204
2001,NUTS,2010,EL30,2,0.2874
2003,NUTS,2010,EL30,2,0.3057
2005,NUTS,2010,EL30,2,0.257
2011,NUTS,2010,EL30,2,0.4204
2001,NUTS,2010,EL4,1,0.2766
2003,NUTS,2010,EL4,1,0.3143
2005,NUTS,2010,EL4,1,0.3085
2011,NUTS,2010,EL4,1,0.5169
2001,NUTS,2010,EL41,2,0.3178
2003,NUTS,2010,EL41,2,0.2685
2005,NUTS,2010,EL41,2,0.2573
2011,NUTS,2010,EL41,2,0.2253
2001,NUTS,2010,EL42,2,0.1456
2003,NUTS,2010,EL42,2,0.2658
2005,NUTS,2010,EL42,2,0.2374
2011,NUTS,2010,EL42,2,0.3573
2001,NUTS,2010,EL43,2,0.3199
2003,NUTS,2010,EL43,2,0.3451
2005,NUTS,2010,EL43,2,0.3493
2011,NUTS,2010,EL43,2,0.6673
2011,NUTS,2010,EL5,1,0.2779
2001,NUTS,2010,EL51,2,0.2668
2003,NUTS,2010,EL51,2,0.1055
2005,NUTS,2010,EL51,2,0.077
2011,NUTS,2010,EL51,2,0.0804
2001,NUTS,2010,EL52,2,0.1375
2003,NUTS,2010,EL52,2,0.1624
2005,NUTS,2010,EL52,2,0.1112
2011,NUTS,2010,EL52,2,0.3019
2001,NUTS,2010,EL53,2,0.1117
2003,NUTS,2010,EL53,2,0.1171
2005,NUTS,2010,EL53,2,0.0694
2011,NUTS,2010,EL53,2,0.5442
2001,NUTS,2010,EL54,2,0.1287
2003,NUTS,2010,EL54,2,0.0894
2005,NUTS,2010,EL54,2,0.0424
2011,NUTS,2010,EL54,2,0.2866
2011,NUTS,2010,EL6,1,0.2092
2001,NUTS,2010,EL61,2,0.1035
2003,NUTS,2010,EL61,2,0.1055
2005,NUTS,2010,EL61,2,0.0595
2011,NUTS,2010,EL61,2,0.1885
2001,NUTS,2010,EL62,2,0.0698
2003,NUTS,2010,EL62,2,0.1054
2005,NUTS,2010,EL62,2,0.0861
2011,NUTS,2010,EL62,2,0.2196
2001,NUTS,2010,EL63,2,0.1573
2003,NUTS,2010,EL63,2,0.1615
2005,NUTS,2010,EL63,2,0.1393
2011,NUTS,2010,EL63,2,0.1351
2001,NUTS,2010,EL64,2,0.219
2003,NUTS,2010,EL64,2,0.1268
2005,NUTS,2010,EL64,2,0.0992
2011,NUTS,2010,EL64,2,0.2082
2001,NUTS,2010,EL65,2,0.19
2003,NUTS,2010,EL65,2,0.1745
2005,NUTS,2010,EL65,2,0.1492
2011,NUTS,2010,EL65,2,0.3027
1997,NUTS,2010,ES,0,0.2174
1999,NUTS,2010,ES,0,0.2252
2000,NUTS,2010,ES,0,0.2292
2001,NUTS,2010,ES,0,0.2405
2002,NUTS,2010,ES,0,0.2277
2003,NUTS,2010,ES,0,0.2492
2004,NUTS,2010,ES,0,0.2663
2005,NUTS,2010,ES,0,0.2813
2006,NUTS,2010,ES,0,0.2822
2007,NUTS,2010,ES,0,0.3021
2008,NUTS,2010,ES,0,0.3331
2009,NUTS,2010,ES,0,0.3839
2010,NUTS,2010,ES,0,0.3669
2011,NUTS,2010,ES,0,0.3656
2012,NUTS,2010,ES,0,0.3682
2013,NUTS,2010,ES,0,0.3605
2014,NUTS,2010,ES,0,0.3573
2015,NUTS,2010,ES,0,0.3764
2016,NUTS,2010,ES,0,0.3702
2017,NUTS,2010,ES,0,0.3725
2018,NUTS,2010,ES,0,0.3687
2019,NUTS,2010,ES,0,0.3732
2002,NUTS,2010,ES1,1,0.3664
2003,NUTS,2010,ES1,1,0.3557
2004,NUTS,2010,ES1,1,0.3721
2005,NUTS,2010,ES1,1,0.3622
2006,NUTS,2010,ES1,1,0.3677
2007,NUTS,2010,ES1,1,0.4461
2008,NUTS,2010,ES1,1,0.4636
2009,NUTS,2010,ES1,1,0.5067
2010,NUTS,2010,ES1,1,0.2669
2011,NUTS,2010,ES1,1,0.2426
2013,NUTS,2010,ES1,1,0.2367
2014,NUTS,2010,ES1,1,0.2415
2015,NUTS,2010,ES1,1,0.2605
2016,NUTS,2010,ES1,1,0.2581
2017,NUTS,2010,ES1,1,0.266
2018,NUTS,2010,ES1,1,0.2911
2019,NUTS,2010,ES1,1,0.3199
2002,NUTS,2010,ES11,2,0.4947
2003,NUTS,2010,ES11,2,0.4808
2004,NUTS,2010,ES11,2,0.5013
2005,NUTS,2010,ES11,2,0.4838
2006,NUTS,2010,ES11,2,0.4764
2007,NUTS,2010,ES11,2,0.6021
2008,NUTS,2010,ES11,2,0.6152
2009,NUTS,2010,ES11,2,0.654
2010,NUTS,2010,ES11,2,0.2802
2013,NUTS,2010,ES11,2,0.2398
2014,NUTS,2010,ES11,2,0.2377
2015,NUTS,2010,ES11,2,0.2635
2016,NUTS,2010,ES11,2,0.2561
2017,NUTS,2010,ES11,2,0.2752
2018,NUTS,2010,ES11,2,0.3
2019,NUTS,2010,ES11,2,0.3419
2002,NUTS,2010,ES12,2,0.1186
2003,NUTS,2010,ES12,2,0.1094
2004,NUTS,2010,ES12,2,0.1077
2005,NUTS,2010,ES12,2,0.1113
2006,NUTS,2010,ES12,2,0.1375
2007,NUTS,2010,ES12,2,0.1448
2008,NUTS,2010,ES12,2,0.1861
2009,NUTS,2010,ES12,2,0.2058
2010,NUTS,2010,ES12,2,0.1962
2012,NUTS,2010,ES12,2,0.2072
2013,NUTS,2010,ES12,2,0.1857
2014,NUTS,2010,ES12,2,0.1824
2015,NUTS,2010,ES12,2,0.1795
2016,NUTS,2010,ES12,2,0.1857
2017,NUTS,2010,ES12,2,0.1948
2018,NUTS,2010,ES12,2,0.2117
2019,NUTS,2010,ES12,2,0.2062
2002,NUTS,2010,ES13,2,0.1234
2003,NUTS,2010,ES13,2,0.1291
2004,NUTS,2010,ES13,2,0.1807
2005,NUTS,2010,ES13,2,0.1877
2006,NUTS,2010,ES13,2,0.2317
2007,NUTS,2010,ES13,2,0.2247
2008,NUTS,2010,ES13,2,0.2451
2009,NUTS,2010,ES13,2,0.3318
2010,NUTS,2010,ES13,2,0.3289
2011,NUTS,2010,ES13,2,0.3469
2012,NUTS,2010,ES13,2,0.3533
2013,NUTS,2010,ES13,2,0.3096
2014,NUTS,2010,ES13,2,0.3599
2015,NUTS,2010,ES13,2,0.3897
2016,NUTS,2010,ES13,2,0.3939
2017,NUTS,2010,ES13,2,0.3462
2018,NUTS,2010,ES13,2,0.385
2019,NUTS,2010,ES13,2,0.4066
2002,NUTS,2010,ES2,1,0.1218
2003,NUTS,2010,ES2,1,0.154
2004,NUTS,2010,ES2,1,0.1935
2005,NUTS,2010,ES2,1,0.1983
2006,NUTS,2010,ES2,1,0.2
2007,NUTS,2010,ES2,1,0.2169
2008,NUTS,2010,ES2,1,0.2422
2009,NUTS,2010,ES2,1,0.3196
2010,NUTS,2010,ES2,1,0.3319
2011,NUTS,2010,ES2,1,0.3683
2012,NUTS,2010,ES2,1,0.4009
2013,NUTS,2010,ES2,1,0.4019
2014,NUTS,2010,ES2,1,0.3981
2016,NUTS,2010,ES2,1,0.4075
2017,NUTS,2010,ES2,1,0.4086
2018,NUTS,2010,ES2,1,0.4122
2019,NUTS,2010,ES2,1,0.4084
2002,NUTS,2010,ES21,2,0.0964
2003,NUTS,2010,ES21,2,0.1022
2004,NUTS,2010,ES21,2,0.1664
2005,NUTS,2010,ES21,2,0.1673
2006,NUTS,2010,ES21,2,0.1419
2007,NUTS,2010,ES21,2,0.1751
2008,NUTS,2010,ES21,2,0.1859
2009,NUTS,2010,ES21,2,0.306
2010,NUTS,2010,ES21,2,0.3031
2011,NUTS,2010,ES21,2,0.3827
2012,NUTS,2010,ES21,2,0.4515
2013,NUTS,2010,ES21,2,0.4477
2014,NUTS,2010,ES21,2,0.4451
2015,NUTS,2010,ES21,2,0.4915
2016,NUTS,2010,ES21,2,0.4825
2017,NUTS,2010,ES21,2,0.4681
2018,NUTS,2010,ES21,2,0.4729
2019,NUTS,2010,ES21,2,0.4694
2002,NUTS,2010,ES22,2,0.0968
2003,NUTS,2010,ES22,2,0.0826
2004,NUTS,2010,ES22,2,0.1074
2005,NUTS,2010,ES22,2,0.1202
2006,NUTS,2010,ES22,2,0.145
2007,NUTS,2010,ES22,2,0.1516
2008,NUTS,2010,ES22,2,0.1612
2009,NUTS,2010,ES22,2,0.2164
2010,NUTS,2010,ES22,2,0.2271
2011,NUTS,2010,ES22,2,0.2244
2012,NUTS,2010,ES22,2,0.2291
2013,NUTS,2010,ES22,2,0.27
2014,NUTS,2010,ES22,2,0.2871
2016,NUTS,2010,ES22,2,0.2998
2017,NUTS,2010,ES22,2,0.3392
2018,NUTS,2010,ES22,2,0.3521
2019,NUTS,2010,ES22,2,0.3466
2002,NUTS,2010,ES23,2,0.1707
2003,NUTS,2010,ES23,2,0.2031
2004,NUTS,2010,ES23,2,0.124
2005,NUTS,2010,ES23,2,0.1189
2006,NUTS,2010,ES23,2,0.191
2007,NUTS,2010,ES23,2,0.3172
2008,NUTS,2010,ES23,2,0.3957
2009,NUTS,2010,ES23,2,0.5502
2010,NUTS,2010,ES23,2,0.5959
2011,NUTS,2010,ES23,2,0.5584
2012,NUTS,2010,ES23,2,0.6164
2013,NUTS,2010,ES23,2,0.5542
2014,NUTS,2010,ES23,2,0.5053
2015,NUTS,2010,ES23,2,0.4957
2016,NUTS,2010,ES23,2,0.4547
2017,NUTS,2010,ES23,2,0.5266
2018,NUTS,2010,ES23,2,0.4953
2019,NUTS,2010,ES23,2,0.4812
2002,NUTS,2010,ES24,2,0.1729
2003,NUTS,2010,ES24,2,0.2761
2004,NUTS,2010,ES24,2,0.3001
2005,NUTS,2010,ES24,2,0.3112
2006,NUTS,2010,ES24,2,0.3331
2007,NUTS,2010,ES24,2,0.2941
2008,NUTS,2010,ES24,2,0.3386
2009,NUTS,2010,ES24,2,0.3375
2010,NUTS,2010,ES24,2,0.3734
2011,NUTS,2010,ES24,2,0.3702
2012,NUTS,2010,ES24,2,0.3512
2013,NUTS,2010,ES24,2,0.3494
2014,NUTS,2010,ES24,2,0.3461
2015,NUTS,2010,ES24,2,0.3335
2016,NUTS,2010,ES24,2,0.32
2017,NUTS,2010,ES24,2,0.3141
2018,NUTS,2010,ES24,2,0.3192
2019,NUTS,2010,ES24,2,0.3173
2002,NUTS,2010,ES3,1,0.5777
2003,NUTS,2010,ES3,1,0.5841
2004,NUTS,2010,ES3,1,0.593
2005,NUTS,2010,ES3,1,0.5887
2006,NUTS,2010,ES3,1,0.574
2007,NUTS,2010,ES3,1,0.6046
2008,NUTS,2010,ES3,1,0.6355
2009,NUTS,2010,ES3,1,0.6782
2010,NUTS,2010,ES3,1,0.6803
2011,NUTS,2010,ES3,1,0.6571
2012,NUTS,2010,ES3,1,0.642
2013,NUTS,2010,ES3,1,0.6188
2014,NUTS,2010,ES3,1,0.633
2015,NUTS,2010,ES3,1,0.6166
2016,NUTS,2010,ES3,1,0.6535
2017,NUTS,2010,ES3,1,0.6251
2018,NUTS,2010,ES3,1,0.6118
2019,NUTS,2010,ES3,1,0.6095
2002,NUTS,2010,ES30,2,0.5777
2003,NUTS,2010,ES30,2,0.5841
2004,NUTS,2010,ES30,2,0.593
2005,NUTS,2010,ES30,2,0.5887
2006,NUTS,2010,ES30,2,0.574
2007,NUTS,2010,ES30,2,0.6046
2008,NUTS,2010,ES30,2,0.6355
2009,NUTS,2010,ES30,2,0.6782
2010,NUTS,2010,ES30,2,0.6803
2011,NUTS,2010,ES30,2,0.6571
2012,NUTS,2010,ES30,2,0.642
2013,NUTS,2010,ES30,2,0.6188
2014,NUTS,2010,ES30,2,0.633
2015,NUTS,2010,ES30,2,0.6166
2016,NUTS,2010,ES30,2,0.6535
2017,NUTS,2010,ES30,2,0.6251
2018,NUTS,2010,ES30,2,0.6118
2019,NUTS,2010,ES30,2,0.6095
2002,NUTS,2010,ES4,1,0.0936
2003,NUTS,2010,ES4,1,0.1173
2004,NUTS,2010,ES4,1,0.127
2005,NUTS,2010,ES4,1,0.1225
2006,NUTS,2010,ES4,1,0.1266
