year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrst_ths
2016,NUTS,2010,DE2,1,3732.1
2017,NUTS,2010,DE2,1,3832.2
2018,NUTS,2010,DE2,1,3924.2
2019,NUTS,2010,DE2,1,3992.4
2020,NUTS,2010,DE2,1,4088.1
2011,NUTS,2010,DE21,2,1331.9
2012,NUTS,2010,DE21,2,1433.4
2013,NUTS,2010,DE21,2,1474.1
2014,NUTS,2010,DE21,2,1508.0
2015,NUTS,2010,DE21,2,1539.9
2016,NUTS,2010,DE21,2,1582.2
2017,NUTS,2010,DE21,2,1627.9
2018,NUTS,2010,DE21,2,1661.5
2019,NUTS,2010,DE21,2,1676.4
2020,NUTS,2010,DE21,2,1641.3
2011,NUTS,2010,DE22,2,242.5
2012,NUTS,2010,DE22,2,262.6
2013,NUTS,2010,DE22,2,276.0
2014,NUTS,2010,DE22,2,273.8
2015,NUTS,2010,DE22,2,274.3
2016,NUTS,2010,DE22,2,290.0
2017,NUTS,2010,DE22,2,294.4
2018,NUTS,2010,DE22,2,296.9
2019,NUTS,2010,DE22,2,315.7
2020,NUTS,2010,DE22,2,331.5
2011,NUTS,2010,DE23,2,242.6
2012,NUTS,2010,DE23,2,268.4
2013,NUTS,2010,DE23,2,268.6
2014,NUTS,2010,DE23,2,281.6
2015,NUTS,2010,DE23,2,280.0
2016,NUTS,2010,DE23,2,265.9
2017,NUTS,2010,DE23,2,277.3
2018,NUTS,2010,DE23,2,280.7
2019,NUTS,2010,DE23,2,289.8
2020,NUTS,2010,DE23,2,346.4
2011,NUTS,2010,DE24,2,245.9
2012,NUTS,2010,DE24,2,260.0
2013,NUTS,2010,DE24,2,260.1
2014,NUTS,2010,DE24,2,264.8
2015,NUTS,2010,DE24,2,261.3
2016,NUTS,2010,DE24,2,268.0
2017,NUTS,2010,DE24,2,282.6
2018,NUTS,2010,DE24,2,284.8
2019,NUTS,2010,DE24,2,295.0
2020,NUTS,2010,DE24,2,323.8
2011,NUTS,2010,DE25,2,424.4
2012,NUTS,2010,DE25,2,457.2
2013,NUTS,2010,DE25,2,454.9
2014,NUTS,2010,DE25,2,466.4
2015,NUTS,2010,DE25,2,477.7
2016,NUTS,2010,DE25,2,501.3
2017,NUTS,2010,DE25,2,505.1
2018,NUTS,2010,DE25,2,519.2
2019,NUTS,2010,DE25,2,518.2
2020,NUTS,2010,DE25,2,505.5
2011,NUTS,2010,DE26,2,308.2
2012,NUTS,2010,DE26,2,328.4
2013,NUTS,2010,DE26,2,336.0
2014,NUTS,2010,DE26,2,334.3
2015,NUTS,2010,DE26,2,348.9
2016,NUTS,2010,DE26,2,349.7
2017,NUTS,2010,DE26,2,355.6
2018,NUTS,2010,DE26,2,368.2
2019,NUTS,2010,DE26,2,375.8
2020,NUTS,2010,DE26,2,344.3
2011,NUTS,2010,DE27,2,417.5
2012,NUTS,2010,DE27,2,423.5
2013,NUTS,2010,DE27,2,445.8
2014,NUTS,2010,DE27,2,443.8
2015,NUTS,2010,DE27,2,456.8
2016,NUTS,2010,DE27,2,475.1
2017,NUTS,2010,DE27,2,489.3
2018,NUTS,2010,DE27,2,512.8
2019,NUTS,2010,DE27,2,521.5
2020,NUTS,2010,DE27,2,595.3
2011,NUTS,2010,DE3,1,1068.8
2012,NUTS,2010,DE3,1,1109.7
2013,NUTS,2010,DE3,1,1119.7
2014,NUTS,2010,DE3,1,1155.3
2015,NUTS,2010,DE3,1,1161.6
2016,NUTS,2010,DE3,1,1269.0
2017,NUTS,2010,DE3,1,1312.5
2018,NUTS,2010,DE3,1,1370.9
2019,NUTS,2010,DE3,1,1402.9
2020,NUTS,2010,DE3,1,1393.2
2011,NUTS,2010,DE30,2,1068.8
2012,NUTS,2010,DE30,2,1109.7
2013,NUTS,2010,DE30,2,1119.7
2014,NUTS,2010,DE30,2,1155.3
2015,NUTS,2010,DE30,2,1161.6
2016,NUTS,2010,DE30,2,1269.0
2017,NUTS,2010,DE30,2,1312.5
2018,NUTS,2010,DE30,2,1370.9
2019,NUTS,2010,DE30,2,1402.9
2020,NUTS,2010,DE30,2,1393.2
2011,NUTS,2010,DE4,1,680.7
2012,NUTS,2010,DE4,1,692.8
2013,NUTS,2010,DE4,1,694.6
2014,NUTS,2010,DE4,1,685.4
2015,NUTS,2010,DE4,1,696.3
2016,NUTS,2010,DE4,1,705.2
2017,NUTS,2010,DE4,1,714.5
2018,NUTS,2010,DE4,1,721.9
2019,NUTS,2010,DE4,1,739.1
2020,NUTS,2010,DE4,1,740.2
2011,NUTS,2010,DE40,2,680.7
2012,NUTS,2010,DE40,2,692.8
2013,NUTS,2010,DE40,2,694.6
2014,NUTS,2010,DE40,2,685.4
2015,NUTS,2010,DE40,2,696.3
2016,NUTS,2010,DE40,2,705.2
2017,NUTS,2010,DE40,2,714.5
2018,NUTS,2010,DE40,2,721.9
2019,NUTS,2010,DE40,2,739.1
2020,NUTS,2010,DE40,2,740.2
2011,NUTS,2010,DE5,1,159.4
2012,NUTS,2010,DE5,1,162.2
2013,NUTS,2010,DE5,1,162.8
2014,NUTS,2010,DE5,1,166.7
2015,NUTS,2010,DE5,1,164.4
2016,NUTS,2010,DE5,1,182.0
2017,NUTS,2010,DE5,1,188.6
2018,NUTS,2010,DE5,1,190.2
2019,NUTS,2010,DE5,1,191.5
2020,NUTS,2010,DE5,1,193.7
2011,NUTS,2010,DE50,2,159.4
2012,NUTS,2010,DE50,2,162.2
2013,NUTS,2010,DE50,2,162.8
2014,NUTS,2010,DE50,2,166.7
2015,NUTS,2010,DE50,2,164.4
2016,NUTS,2010,DE50,2,182.0
2017,NUTS,2010,DE50,2,188.6
2018,NUTS,2010,DE50,2,190.2
2019,NUTS,2010,DE50,2,191.5
2020,NUTS,2010,DE50,2,193.7
2011,NUTS,2010,DE6,1,515.6
2012,NUTS,2010,DE6,1,523.1
2013,NUTS,2010,DE6,1,541.2
2014,NUTS,2010,DE6,1,569.5
2015,NUTS,2010,DE6,1,589.2
2016,NUTS,2010,DE6,1,608.3
2017,NUTS,2010,DE6,1,617.9
2018,NUTS,2010,DE6,1,627.3
2019,NUTS,2010,DE6,1,630.4
2020,NUTS,2010,DE6,1,658.7
2011,NUTS,2010,DE60,2,515.6
2012,NUTS,2010,DE60,2,523.1
2013,NUTS,2010,DE60,2,541.2
2014,NUTS,2010,DE60,2,569.5
2015,NUTS,2010,DE60,2,589.2
2016,NUTS,2010,DE60,2,608.3
2017,NUTS,2010,DE60,2,617.9
2018,NUTS,2010,DE60,2,627.3
2019,NUTS,2010,DE60,2,630.4
2020,NUTS,2010,DE60,2,658.7
2011,NUTS,2010,DE7,1,1607.4
2012,NUTS,2010,DE7,1,1673.7
2013,NUTS,2010,DE7,1,1707.6
2014,NUTS,2010,DE7,1,1686.7
2015,NUTS,2010,DE7,1,1730.7
2016,NUTS,2010,DE7,1,1789.6
2017,NUTS,2010,DE7,1,1838.4
2018,NUTS,2010,DE7,1,1833.7
2019,NUTS,2010,DE7,1,1896.6
2020,NUTS,2010,DE7,1,1842.2
2011,NUTS,2010,DE71,2,1063.0
2012,NUTS,2010,DE71,2,1109.6
2013,NUTS,2010,DE71,2,1139.4
2014,NUTS,2010,DE71,2,1136.8
2015,NUTS,2010,DE71,2,1167.8
2016,NUTS,2010,DE71,2,1190.3
2017,NUTS,2010,DE71,2,1226.5
2018,NUTS,2010,DE71,2,1233.8
2019,NUTS,2010,DE71,2,1277.1
2020,NUTS,2010,DE71,2,1225.9
2011,NUTS,2010,DE72,2,259.5
2012,NUTS,2010,DE72,2,271.8
2013,NUTS,2010,DE72,2,273.2
2014,NUTS,2010,DE72,2,263.9
2015,NUTS,2010,DE72,2,271.6
2016,NUTS,2010,DE72,2,290.9
2017,NUTS,2010,DE72,2,288.3
2018,NUTS,2010,DE72,2,282.2
2019,NUTS,2010,DE72,2,293.6
2020,NUTS,2010,DE72,2,297.4
2011,NUTS,2010,DE73,2,284.8
2012,NUTS,2010,DE73,2,292.2
2013,NUTS,2010,DE73,2,295.1
2014,NUTS,2010,DE73,2,285.9
2015,NUTS,2010,DE73,2,291.4
2016,NUTS,2010,DE73,2,308.4
2017,NUTS,2010,DE73,2,323.6
2018,NUTS,2010,DE73,2,317.8
2019,NUTS,2010,DE73,2,325.9
2020,NUTS,2010,DE73,2,318.9
2011,NUTS,2010,DE8,1,418.9
2012,NUTS,2010,DE8,1,405.8
2013,NUTS,2010,DE8,1,401.9
2014,NUTS,2010,DE8,1,407.3
2015,NUTS,2010,DE8,1,424.3
2016,NUTS,2010,DE8,1,426.8
2017,NUTS,2010,DE8,1,435.4
2018,NUTS,2010,DE8,1,421.8
2019,NUTS,2010,DE8,1,432.4
2020,NUTS,2010,DE8,1,439.5
2011,NUTS,2010,DE80,2,418.9
2012,NUTS,2010,DE80,2,405.8
2013,NUTS,2010,DE80,2,401.9
2014,NUTS,2010,DE80,2,407.3
2015,NUTS,2010,DE80,2,424.3
2016,NUTS,2010,DE80,2,426.8
2017,NUTS,2010,DE80,2,435.4
2018,NUTS,2010,DE80,2,421.8
2019,NUTS,2010,DE80,2,432.4
2020,NUTS,2010,DE80,2,439.5
2011,NUTS,2010,DE9,1,1769.0
2012,NUTS,2010,DE9,1,1882.8
2013,NUTS,2010,DE9,1,1922.9
2014,NUTS,2010,DE9,1,1911.2
2015,NUTS,2010,DE9,1,1972.3
2016,NUTS,2010,DE9,1,1960.8
2017,NUTS,2010,DE9,1,1984.9
2018,NUTS,2010,DE9,1,2055.0
2019,NUTS,2010,DE9,1,2106.0
2020,NUTS,2010,DE9,1,2170.9
2011,NUTS,2010,DE91,2,362.1
2012,NUTS,2010,DE91,2,390.3
2013,NUTS,2010,DE91,2,402.8
2014,NUTS,2010,DE91,2,400.2
2015,NUTS,2010,DE91,2,418.0
2016,NUTS,2010,DE91,2,415.8
2017,NUTS,2010,DE91,2,423.6
2018,NUTS,2010,DE91,2,439.0
2019,NUTS,2010,DE91,2,446.4
2020,NUTS,2010,DE91,2,469.6
2011,NUTS,2010,DE92,2,514.7
2012,NUTS,2010,DE92,2,539.0
2013,NUTS,2010,DE92,2,546.8
2014,NUTS,2010,DE92,2,549.3
2015,NUTS,2010,DE92,2,557.0
2016,NUTS,2010,DE92,2,560.5
2017,NUTS,2010,DE92,2,562.4
2018,NUTS,2010,DE92,2,579.0
2019,NUTS,2010,DE92,2,604.9
2020,NUTS,2010,DE92,2,633.0
2011,NUTS,2010,DE93,2,383.1
2012,NUTS,2010,DE93,2,396.7
2013,NUTS,2010,DE93,2,405.2
2014,NUTS,2010,DE93,2,400.4
2015,NUTS,2010,DE93,2,425.5
2016,NUTS,2010,DE93,2,423.4
2017,NUTS,2010,DE93,2,433.2
2018,NUTS,2010,DE93,2,442.7
2019,NUTS,2010,DE93,2,441.5
2020,NUTS,2010,DE93,2,434.9
2011,NUTS,2010,DE94,2,509.1
2012,NUTS,2010,DE94,2,556.9
2013,NUTS,2010,DE94,2,568.2
2014,NUTS,2010,DE94,2,561.3
2015,NUTS,2010,DE94,2,571.9
2016,NUTS,2010,DE94,2,561.0
2017,NUTS,2010,DE94,2,565.7
2018,NUTS,2010,DE94,2,594.2
2019,NUTS,2010,DE94,2,613.1
2020,NUTS,2010,DE94,2,633.3
2011,NUTS,2010,DEA,1,4012.4
2012,NUTS,2010,DEA,1,4205.1
2013,NUTS,2010,DEA,1,4277.6
2014,NUTS,2010,DEA,1,4304.4
2015,NUTS,2010,DEA,1,4433.3
2016,NUTS,2010,DEA,1,4691.5
2017,NUTS,2010,DEA,1,4697.0
2018,NUTS,2010,DEA,1,4749.7
2019,NUTS,2010,DEA,1,4862.1
2020,NUTS,2010,DEA,1,4952.5
2011,NUTS,2010,DEA1,2,1180.5
2012,NUTS,2010,DEA1,2,1235.3
2013,NUTS,2010,DEA1,2,1256.5
2014,NUTS,2010,DEA1,2,1248.5
2015,NUTS,2010,DEA1,2,1292.1
2016,NUTS,2010,DEA1,2,1368.9
2017,NUTS,2010,DEA1,2,1377.2
2018,NUTS,2010,DEA1,2,1371.4
2019,NUTS,2010,DEA1,2,1406.8
2020,NUTS,2010,DEA1,2,1441.5
2011,NUTS,2010,DEA2,2,1097.5
2012,NUTS,2010,DEA2,2,1159.9
2013,NUTS,2010,DEA2,2,1171.7
2014,NUTS,2010,DEA2,2,1190.1
2015,NUTS,2010,DEA2,2,1203.6
2016,NUTS,2010,DEA2,2,1314.6
2017,NUTS,2010,DEA2,2,1317.2
2018,NUTS,2010,DEA2,2,1326.2
2019,NUTS,2010,DEA2,2,1356.3
2020,NUTS,2010,DEA2,2,1343.2
2011,NUTS,2010,DEA3,2,566.5
2012,NUTS,2010,DEA3,2,580.2
2013,NUTS,2010,DEA3,2,599.1
2014,NUTS,2010,DEA3,2,602.7
2015,NUTS,2010,DEA3,2,623.6
2016,NUTS,2010,DEA3,2,648.4
2017,NUTS,2010,DEA3,2,653.3
2018,NUTS,2010,DEA3,2,682.2
2019,NUTS,2010,DEA3,2,705.4
2020,NUTS,2010,DEA3,2,769.7
2011,NUTS,2010,DEA4,2,418.1
2012,NUTS,2010,DEA4,2,448.0
2013,NUTS,2010,DEA4,2,456.4
2014,NUTS,2010,DEA4,2,460.6
2015,NUTS,2010,DEA4,2,482.8
2016,NUTS,2010,DEA4,2,502.6
2017,NUTS,2010,DEA4,2,492.1
2018,NUTS,2010,DEA4,2,506.8
2019,NUTS,2010,DEA4,2,507.8
2020,NUTS,2010,DEA4,2,501.5
2011,NUTS,2010,DEA5,2,749.8
2012,NUTS,2010,DEA5,2,781.6
2013,NUTS,2010,DEA5,2,793.8
2014,NUTS,2010,DEA5,2,802.5
2015,NUTS,2010,DEA5,2,831.3
2016,NUTS,2010,DEA5,2,857.0
2017,NUTS,2010,DEA5,2,857.1
2018,NUTS,2010,DEA5,2,863.2
2019,NUTS,2010,DEA5,2,885.8
2020,NUTS,2010,DEA5,2,896.5
2011,NUTS,2010,DEB,1,965.1
2012,NUTS,2010,DEB,1,1010.3
2013,NUTS,2010,DEB,1,1030.2
2014,NUTS,2010,DEB,1,1025.3
2015,NUTS,2010,DEB,1,1052.3
2016,NUTS,2010,DEB,1,1060.7
2017,NUTS,2010,DEB,1,1089.8
2018,NUTS,2010,DEB,1,1115.1
2019,NUTS,2010,DEB,1,1152.9
2020,NUTS,2010,DEB,1,1188.0
2011,NUTS,2010,DEB1,2,329.8
2012,NUTS,2010,DEB1,2,345.2
2013,NUTS,2010,DEB1,2,345.8
2014,NUTS,2010,DEB1,2,352.3
2015,NUTS,2010,DEB1,2,371.0
2016,NUTS,2010,DEB1,2,367.8
2017,NUTS,2010,DEB1,2,382.2
2018,NUTS,2010,DEB1,2,391.1
2019,NUTS,2010,DEB1,2,407.4
2020,NUTS,2010,DEB1,2,359.0
2011,NUTS,2010,DEB2,2,121.9
2012,NUTS,2010,DEB2,2,131.2
2013,NUTS,2010,DEB2,2,134.0
2014,NUTS,2010,DEB2,2,136.3
2015,NUTS,2010,DEB2,2,135.2
2016,NUTS,2010,DEB2,2,140.0
2017,NUTS,2010,DEB2,2,145.7
2018,NUTS,2010,DEB2,2,149.8
2019,NUTS,2010,DEB2,2,152.6
2020,NUTS,2010,DEB2,2,150.1
2011,NUTS,2010,DEB3,2,513.4
2012,NUTS,2010,DEB3,2,533.8
2013,NUTS,2010,DEB3,2,550.5
2014,NUTS,2010,DEB3,2,536.7
2015,NUTS,2010,DEB3,2,546.1
2016,NUTS,2010,DEB3,2,552.9
2017,NUTS,2010,DEB3,2,561.9
2018,NUTS,2010,DEB3,2,574.2
2019,NUTS,2010,DEB3,2,593.0
2020,NUTS,2010,DEB3,2,678.8
2011,NUTS,2010,DEC,1,214.9
2012,NUTS,2010,DEC,1,227.6
2013,NUTS,2010,DEC,1,229.3
2014,NUTS,2010,DEC,1,219.8
2015,NUTS,2010,DEC,1,220.9
2016,NUTS,2010,DEC,1,249.5
2017,NUTS,2010,DEC,1,245.1
2018,NUTS,2010,DEC,1,255.9
2019,NUTS,2010,DEC,1,260.3
2020,NUTS,2010,DEC,1,265.1
2011,NUTS,2010,DEC0,2,214.9
2012,NUTS,2010,DEC0,2,227.6
2013,NUTS,2010,DEC0,2,229.3
2014,NUTS,2010,DEC0,2,219.8
2015,NUTS,2010,DEC0,2,220.9
2016,NUTS,2010,DEC0,2,249.5
2017,NUTS,2010,DEC0,2,245.1
2018,NUTS,2010,DEC0,2,255.9
2019,NUTS,2010,DEC0,2,260.3
2020,NUTS,2010,DEC0,2,265.1
2011,NUTS,2010,DED,1,1106.7
2012,NUTS,2010,DED,1,1110.1
2013,NUTS,2010,DED,1,1149.9
2014,NUTS,2010,DED,1,1128.1
2015,NUTS,2010,DED,1,1147.9
2016,NUTS,2010,DED,1,1156.8
2017,NUTS,2010,DED,1,1149.0
2018,NUTS,2010,DED,1,1163.2
2019,NUTS,2010,DED,1,1165.0
2020,NUTS,2010,DED,1,1157.1
2011,NUTS,2010,DED2,2,450.0
2012,NUTS,2010,DED2,2,458.3
2013,NUTS,2010,DED2,2,465.8
2014,NUTS,2010,DED2,2,461.0
2015,NUTS,2010,DED2,2,471.2
2016,NUTS,2010,DED2,2,477.5
2017,NUTS,2010,DED2,2,475.3
2018,NUTS,2010,DED2,2,474.3
2019,NUTS,2010,DED2,2,469.8
2020,NUTS,2010,DED2,2,493.9
2011,NUTS,2010,DED4,2,372.6
2012,NUTS,2010,DED4,2,366.1
2013,NUTS,2010,DED4,2,387.2
2014,NUTS,2010,DED4,2,377.9
2015,NUTS,2010,DED4,2,381.3
2016,NUTS,2010,DED4,2,368.6
2017,NUTS,2010,DED4,2,365.2
2018,NUTS,2010,DED4,2,364.6
2019,NUTS,2010,DED4,2,364.4
2020,NUTS,2010,DED4,2,350.6
2011,NUTS,2010,DED5,2,284.1
2012,NUTS,2010,DED5,2,285.7
2013,NUTS,2010,DED5,2,297.0
2014,NUTS,2010,DED5,2,289.1
2015,NUTS,2010,DED5,2,295.3
2016,NUTS,2010,DED5,2,310.8
2017,NUTS,2010,DED5,2,308.5
2018,NUTS,2010,DED5,2,324.2
2019,NUTS,2010,DED5,2,330.8
2020,NUTS,2010,DED5,2,312.6
2011,NUTS,2010,DEE,1,553.2
2012,NUTS,2010,DEE,1,560.4
2013,NUTS,2010,DEE,1,563.8
2014,NUTS,2010,DEE,1,562.5
2015,NUTS,2010,DEE,1,563.0
2016,NUTS,2010,DEE,1,553.4
2017,NUTS,2010,DEE,1,549.9
2018,NUTS,2010,DEE,1,536.7
2019,NUTS,2010,DEE,1,555.5
2020,NUTS,2010,DEE,1,535.6
2011,NUTS,2010,DEE0,2,553.2
2012,NUTS,2010,DEE0,2,560.4
2013,NUTS,2010,DEE0,2,563.8
2014,NUTS,2010,DEE0,2,562.5
2015,NUTS,2010,DEE0,2,563.0
2016,NUTS,2010,DEE0,2,553.4
2017,NUTS,2010,DEE0,2,549.9
2018,NUTS,2010,DEE0,2,536.7
2019,NUTS,2010,DEE0,2,555.5
2020,NUTS,2010,DEE0,2,535.6
2011,NUTS,2010,DEF,1,663.3
2012,NUTS,2010,DEF,1,706.2
2013,NUTS,2010,DEF,1,684.7
2014,NUTS,2010,DEF,1,704.4
2015,NUTS,2010,DEF,1,715.9
2016,NUTS,2010,DEF,1,739.8
2017,NUTS,2010,DEF,1,751.5
2018,NUTS,2010,DEF,1,765.8
2019,NUTS,2010,DEF,1,781.8
2020,NUTS,2010,DEF,1,801.2
2011,NUTS,2010,DEF0,2,663.3
2012,NUTS,2010,DEF0,2,706.2
2013,NUTS,2010,DEF0,2,684.7
2014,NUTS,2010,DEF0,2,704.4
2015,NUTS,2010,DEF0,2,715.9
2016,NUTS,2010,DEF0,2,739.8
2017,NUTS,2010,DEF0,2,751.5
2018,NUTS,2010,DEF0,2,765.8
2019,NUTS,2010,DEF0,2,781.8
2020,NUTS,2010,DEF0,2,801.2
2011,NUTS,2010,DEG,1,589.0
2012,NUTS,2010,DEG,1,607.6
2013,NUTS,2010,DEG,1,611.7
2014,NUTS,2010,DEG,1,587.4
2015,NUTS,2010,DEG,1,571.2
2016,NUTS,2010,DEG,1,572.0
2017,NUTS,2010,DEG,1,570.1
2018,NUTS,2010,DEG,1,585.0
2019,NUTS,2010,DEG,1,589.3
2020,NUTS,2010,DEG,1,589.9
2011,NUTS,2010,DEG0,2,589.0
2012,NUTS,2010,DEG0,2,607.6
2013,NUTS,2010,DEG0,2,611.7
2014,NUTS,2010,DEG0,2,587.4
2015,NUTS,2010,DEG0,2,571.2
2016,NUTS,2010,DEG0,2,572.0
2017,NUTS,2010,DEG0,2,570.1
2018,NUTS,2010,DEG0,2,585.0
2019,NUTS,2010,DEG0,2,589.3
2020,NUTS,2010,DEG0,2,589.9
2011,NUTS,2010,DK,0,1520.4
2012,NUTS,2010,DK,0,1553.3
2013,NUTS,2010,DK,0,1573.3
2014,NUTS,2010,DK,0,1607.4
2015,NUTS,2010,DK,0,1645.5
2016,NUTS,2010,DK,0,1692.0
2017,NUTS,2010,DK,0,1748.1
2018,NUTS,2010,DK,0,1794.4
2019,NUTS,2010,DK,0,1828.3
2020,NUTS,2010,DK,0,1849.6
2011,NUTS,2010,DK0,1,1520.4
2012,NUTS,2010,DK0,1,1553.3
2013,NUTS,2010,DK0,1,1573.3
2014,NUTS,2010,DK0,1,1607.4
2015,NUTS,2010,DK0,1,1645.5
2016,NUTS,2010,DK0,1,1692.0
2017,NUTS,2010,DK0,1,1748.1
2018,NUTS,2010,DK0,1,1794.4
2019,NUTS,2010,DK0,1,1828.3
2020,NUTS,2010,DK0,1,1849.6
2011,NUTS,2010,DK01,2,603.4
2012,NUTS,2010,DK01,2,615.6
2013,NUTS,2010,DK01,2,623.5
2014,NUTS,2010,DK01,2,637.2
2015,NUTS,2010,DK01,2,660.2
2016,NUTS,2010,DK01,2,680.3
2017,NUTS,2010,DK01,2,683.5
2018,NUTS,2010,DK01,2,710.5
2019,NUTS,2010,DK01,2,732.8
2020,NUTS,2010,DK01,2,747.7
2011,NUTS,2010,DK02,2,195.8
2012,NUTS,2010,DK02,2,197.3
2013,NUTS,2010,DK02,2,202.1
2014,NUTS,2010,DK02,2,205.7
2015,NUTS,2010,DK02,2,200.8
2016,NUTS,2010,DK02,2,206.7
2017,NUTS,2010,DK02,2,221.6
2018,NUTS,2010,DK02,2,218.6
2019,NUTS,2010,DK02,2,213.5
2020,NUTS,2010,DK02,2,222.1
2011,NUTS,2010,DK03,2,279.4
2012,NUTS,2010,DK03,2,286.0
2013,NUTS,2010,DK03,2,284.1
2014,NUTS,2010,DK03,2,293.3
2015,NUTS,2010,DK03,2,295.4
2016,NUTS,2010,DK03,2,297.4
2017,NUTS,2010,DK03,2,320.9
2018,NUTS,2010,DK03,2,322.6
2019,NUTS,2010,DK03,2,327.0
2020,NUTS,2010,DK03,2,333.4
2011,NUTS,2010,DK04,2,311.5
2012,NUTS,2010,DK04,2,324.0
2013,NUTS,2010,DK04,2,335.9
2014,NUTS,2010,DK04,2,341.4
2015,NUTS,2010,DK04,2,350.4
2016,NUTS,2010,DK04,2,362.5
2017,NUTS,2010,DK04,2,373.9
2018,NUTS,2010,DK04,2,388.3
2019,NUTS,2010,DK04,2,404.0
2020,NUTS,2010,DK04,2,400.1
2011,NUTS,2010,DK05,2,130.2
2012,NUTS,2010,DK05,2,130.3
2013,NUTS,2010,DK05,2,127.8
2014,NUTS,2010,DK05,2,129.8
2015,NUTS,2010,DK05,2,138.7
2016,NUTS,2010,DK05,2,145.1
2017,NUTS,2010,DK05,2,148.3
2018,NUTS,2010,DK05,2,154.5
2019,NUTS,2010,DK05,2,151.0
2020,NUTS,2010,DK05,2,146.3
2011,NUTS,2010,EA19,2,74547.0
2012,NUTS,2010,EA19,2,76668.0
2013,NUTS,2010,EA19,2,78221.2
2014,NUTS,2010,EA19,2,79953.1
2015,NUTS,2010,EA19,2,81543.1
2016,NUTS,2010,EA19,2,83332.7
2017,NUTS,2010,EA19,2,85116.1
2018,NUTS,2010,EA19,2,87101.0
2019,NUTS,2010,EA19,2,89373.5
2020,NUTS,2010,EA19,2,91599.4
2011,NUTS,2010,EE,0,377.0
2012,NUTS,2010,EE,0,381.5
2013,NUTS,2010,EE,0,381.2
2014,NUTS,2010,EE,0,384.0
2015,NUTS,2010,EE,0,371.4
2016,NUTS,2010,EE,0,376.8
2017,NUTS,2010,EE,0,385.2
2018,NUTS,2010,EE,0,395.4
2019,NUTS,2010,EE,0,409.3
2020,NUTS,2010,EE,0,416.2
2011,NUTS,2010,EE0,1,377.0
2012,NUTS,2010,EE0,1,381.5
2013,NUTS,2010,EE0,1,381.2
2014,NUTS,2010,EE0,1,384.0
2015,NUTS,2010,EE0,1,371.4
2016,NUTS,2010,EE0,1,376.8
2017,NUTS,2010,EE0,1,385.2
2018,NUTS,2010,EE0,1,395.4
2019,NUTS,2010,EE0,1,409.3
2020,NUTS,2010,EE0,1,416.2
2011,NUTS,2010,EE00,2,377.0
2012,NUTS,2010,EE00,2,381.5
2013,NUTS,2010,EE00,2,381.2
2014,NUTS,2010,EE00,2,384.0
2015,NUTS,2010,EE00,2,371.4
2016,NUTS,2010,EE00,2,376.8
2017,NUTS,2010,EE00,2,385.2
2018,NUTS,2010,EE00,2,395.4
2019,NUTS,2010,EE00,2,409.3
2020,NUTS,2010,EE00,2,416.2
2011,NUTS,2010,EL,0,1906.3
2012,NUTS,2010,EL,0,1932.9
2013,NUTS,2010,EL,0,1991.5
2014,NUTS,2010,EL,0,2037.0
2015,NUTS,2010,EL,0,2075.5
2016,NUTS,2010,EL,0,2159.2
2017,NUTS,2010,EL,0,2209.8
2018,NUTS,2010,EL,0,2223.3
2019,NUTS,2010,EL,0,2229.3
2020,NUTS,2010,EL,0,2292.2
2011,NUTS,2010,EL3,1,905.3
2012,NUTS,2010,EL3,1,931.5
2013,NUTS,2010,EL3,1,963.9
2014,NUTS,2010,EL3,1,998.1
2015,NUTS,2010,EL3,1,988.0
2016,NUTS,2010,EL3,1,1009.8
2017,NUTS,2010,EL3,1,1014.7
2018,NUTS,2010,EL3,1,1014.3
2019,NUTS,2010,EL3,1,1036.7
2020,NUTS,2010,EL3,1,1071.8
2011,NUTS,2010,EL30,2,905.3
2012,NUTS,2010,EL30,2,931.5
2013,NUTS,2010,EL30,2,963.9
2014,NUTS,2010,EL30,2,998.1
2015,NUTS,2010,EL30,2,988.0
2016,NUTS,2010,EL30,2,1009.8
2017,NUTS,2010,EL30,2,1014.7
2018,NUTS,2010,EL30,2,1014.3
2019,NUTS,2010,EL30,2,1036.7
2020,NUTS,2010,EL30,2,1071.8
2011,NUTS,2010,EL4,1,145.3
2012,NUTS,2010,EL4,1,152.6
2013,NUTS,2010,EL4,1,164.0
2014,NUTS,2010,EL4,1,162.3
2015,NUTS,2010,EL4,1,171.2
2016,NUTS,2010,EL4,1,186.2
2017,NUTS,2010,EL4,1,189.7
2018,NUTS,2010,EL4,1,187.0
2019,NUTS,2010,EL4,1,192.1
2020,NUTS,2010,EL4,1,201.8
2011,NUTS,2010,EL41,2,23.3
2012,NUTS,2010,EL41,2,27.5
2013,NUTS,2010,EL41,2,35.5
2014,NUTS,2010,EL41,2,31.6
2015,NUTS,2010,EL41,2,29.3
2016,NUTS,2010,EL41,2,33.3
2017,NUTS,2010,EL41,2,30.1
2018,NUTS,2010,EL41,2,31.7
2019,NUTS,2010,EL41,2,35.7
2020,NUTS,2010,EL41,2,37.3
2011,NUTS,2010,EL42,2,37.7
2012,NUTS,2010,EL42,2,40.8
2013,NUTS,2010,EL42,2,41.4
2014,NUTS,2010,EL42,2,41.8
2015,NUTS,2010,EL42,2,45.0
2016,NUTS,2010,EL42,2,41.2
2017,NUTS,2010,EL42,2,47.1
2018,NUTS,2010,EL42,2,47.9
