year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2012,NUTS,2010,EA19,2,0.0087
2013,NUTS,2010,EA19,2,0.0062
2014,NUTS,2010,EA19,2,0.0068
2015,NUTS,2010,EA19,2,0.0069
2016,NUTS,2010,EA19,2,0.0076
2017,NUTS,2010,EA19,2,0.0072
2018,NUTS,2010,EA19,2,0.0076
2019,NUTS,2010,EA19,2,0.0081
2020,NUTS,2010,EA19,2,0.0086
2011,NUTS,2010,EE,0,0.0109
2012,NUTS,2010,EE,0,0.0122
2013,NUTS,2010,EE,0,0.011
2014,NUTS,2010,EE,0,0.0121
2015,NUTS,2010,EE,0,0.0138
2016,NUTS,2010,EE,0,0.0135
2017,NUTS,2010,EE,0,0.0133
2018,NUTS,2010,EE,0,0.0164
2019,NUTS,2010,EE,0,0.012
2020,NUTS,2010,EE,0,0.0134
2011,NUTS,2010,EL,0,0.0044
2012,NUTS,2010,EL,0,0.0045
2013,NUTS,2010,EL,0,0.0062
2014,NUTS,2010,EL,0,0.0062
2015,NUTS,2010,EL,0,0.0057
2016,NUTS,2010,EL,0,0.0061
2017,NUTS,2010,EL,0,0.0065
2018,NUTS,2010,EL,0,0.0063
2019,NUTS,2010,EL,0,0.0063
2020,NUTS,2010,EL,0,0.0055
2011,NUTS,2010,EL3,1,0.0087
2013,NUTS,2010,EL3,1,0.0112
2015,NUTS,2010,EL3,1,0.01
2017,NUTS,2010,EL3,1,0.013
2019,NUTS,2010,EL3,1,0.0108
2011,NUTS,2010,EL30,2,0.0087
2013,NUTS,2010,EL30,2,0.0112
2015,NUTS,2010,EL30,2,0.01
2017,NUTS,2010,EL30,2,0.013
2019,NUTS,2010,EL30,2,0.0108
2011,NUTS,2010,EL4,1,0.0013
2013,NUTS,2010,EL4,1,0.0036
2015,NUTS,2010,EL4,1,0.0033
2017,NUTS,2010,EL4,1,0.0061
2019,NUTS,2010,EL4,1,0.0062
2011,NUTS,2010,EL41,2,0.0013
2013,NUTS,2010,EL41,2,0.0012
2015,NUTS,2010,EL41,2,0.0013
2017,NUTS,2010,EL41,2,0.0034
2019,NUTS,2010,EL41,2,0.0086
2011,NUTS,2010,EL42,2,0.0039
2013,NUTS,2010,EL42,2,0.005
2015,NUTS,2010,EL42,2,0.0037
2017,NUTS,2010,EL42,2,0.006
2019,NUTS,2010,EL42,2,0.0071
2011,NUTS,2010,EL43,2,0.0
2013,NUTS,2010,EL43,2,0.0035
2015,NUTS,2010,EL43,2,0.0036
2017,NUTS,2010,EL43,2,0.007
2019,NUTS,2010,EL43,2,0.0049
2011,NUTS,2010,EL5,1,0.0031
2013,NUTS,2010,EL5,1,0.0049
2015,NUTS,2010,EL5,1,0.0051
2017,NUTS,2010,EL5,1,0.0025
2019,NUTS,2010,EL5,1,0.0042
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.001
2015,NUTS,2010,EL51,2,0.001
2017,NUTS,2010,EL51,2,0.0012
2019,NUTS,2010,EL51,2,0.0003
2011,NUTS,2010,EL52,2,0.0042
