year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2013,NUTS,2010,DK05,2,0.3805
2014,NUTS,2010,DK05,2,0.367
2015,NUTS,2010,DK05,2,0.3394
2016,NUTS,2010,DK05,2,0.3416
2017,NUTS,2010,DK05,2,0.6069
2019,NUTS,2010,DK05,2,0.6287
2011,NUTS,2010,EE,0,0.3246
2012,NUTS,2010,EE,0,0.3555
2013,NUTS,2010,EE,0,0.3363
2014,NUTS,2010,EE,0,0.3552
2015,NUTS,2010,EE,0,0.3497
2016,NUTS,2010,EE,0,0.3376
2017,NUTS,2010,EE,0,0.3412
2018,NUTS,2010,EE,0,0.3904
2019,NUTS,2010,EE,0,0.3505
2011,NUTS,2010,EL,0,0.2932
2013,NUTS,2010,EL,0,0.3516
2015,NUTS,2010,EL,0,0.3571
2017,NUTS,2010,EL,0,0.3534
2019,NUTS,2010,EL,0,0.4114
2011,NUTS,2010,EL3,1,0.2913
2011,NUTS,2010,EL30,2,0.2913
2011,NUTS,2010,EL4,1,0.3608
2011,NUTS,2010,EL41,2,0.1287
2011,NUTS,2010,EL42,2,0.0364
2011,NUTS,2010,EL43,2,0.5762
2011,NUTS,2010,EL5,1,0.3371
2011,NUTS,2010,EL51,2,0.2959
2011,NUTS,2010,EL52,2,0.3467
2011,NUTS,2010,EL53,2,0.0826
2011,NUTS,2010,EL54,2,0.5662
2011,NUTS,2010,EL6,1,0.1932
2011,NUTS,2010,EL61,2,0.292
2011,NUTS,2010,EL62,2,0.0275
2011,NUTS,2010,EL63,2,0.4126
2011,NUTS,2010,EL64,2,0.0127
2011,NUTS,2010,EL65,2,0.0654
2011,NUTS,2010,ES,0,0.2455
2012,NUTS,2010,ES,0,0.2336
2013,NUTS,2010,ES,0,0.2259
2014,NUTS,2010,ES,0,0.2273
2015,NUTS,2010,ES,0,0.2305
2016,NUTS,2010,ES,0,0.2379
2017,NUTS,2010,ES,0,0.248
2018,NUTS,2010,ES,0,0.2538
2019,NUTS,2010,ES,0,0.2672
2011,NUTS,2010,ES1,1,0.2534
2013,NUTS,2010,ES1,1,0.2121
2015,NUTS,2010,ES1,1,0.2083
2016,NUTS,2010,ES1,1,0.2013
2017,NUTS,2010,ES1,1,0.2106
2018,NUTS,2010,ES1,1,0.2293
2011,NUTS,2010,ES11,2,0.2643
2012,NUTS,2010,ES11,2,0.2168
2014,NUTS,2010,ES11,2,0.2131
2015,NUTS,2010,ES11,2,0.2151
2016,NUTS,2010,ES11,2,0.2085
2017,NUTS,2010,ES11,2,0.2099
2018,NUTS,2010,ES11,2,0.2156
2019,NUTS,2010,ES11,2,0.231
2011,NUTS,2010,ES12,2,0.233
2012,NUTS,2010,ES12,2,0.211
2013,NUTS,2010,ES12,2,0.2082
2014,NUTS,2010,ES12,2,0.1788
2015,NUTS,2010,ES12,2,0.1955
2016,NUTS,2010,ES12,2,0.1885
2017,NUTS,2010,ES12,2,0.23
2018,NUTS,2010,ES12,2,0.2882
2019,NUTS,2010,ES12,2,0.2803
2011,NUTS,2010,ES13,2,0.2368
2015,NUTS,2010,ES13,2,0.1991
2016,NUTS,2010,ES13,2,0.1901
