year,region_type,region_year_spec,region_id,region_level,social_media_lq
2021,NUTS,2021,CH013,3,4.09
2021,NUTS,2021,CH021,3,7.68
2021,NUTS,2021,CH040,3,5.81
2021,NUTS,2021,DE212,3,2.92
2021,NUTS,2021,DE21H,3,100.75
2021,NUTS,2021,DE300,3,4.43
2021,NUTS,2021,DE711,3,293.09
2021,NUTS,2021,DK021,3,62.0
2021,NUTS,2021,DK042,3,4.4
2021,NUTS,2021,DK050,3,9.77
2021,NUTS,2021,EE008,3,17.71
2021,NUTS,2021,ES614,3,9.37
2021,NUTS,2021,FRF11,3,10.47
2021,NUTS,2021,ITH55,3,7.86
2021,NUTS,2021,ITI17,3,5.27
2021,NUTS,2021,ITI43,3,1.14
2021,NUTS,2021,NL226,3,2.01
2021,NUTS,2021,NL333,3,11.04
2021,NUTS,2021,NL423,3,5.18
2021,NUTS,2021,PL711,3,9.37
2021,NUTS,2021,PT170,3,7.2
2021,NUTS,2021,SE110,3,1.37
2021,NUTS,2021,SE124,3,26.43
2021,NUTS,2021,TR100,3,4.98
2021,NUTS,2021,UKD33,3,3.75
2021,NUTS,2021,UKE32,3,8.44
2021,NUTS,2021,UKG13,3,9.65
2021,NUTS,2021,UKG31,3,2.1
2021,NUTS,2021,UKH12,3,0.94
2021,NUTS,2021,UKI31,3,0.91
2021,NUTS,2021,UKI32,3,0.9
2021,NUTS,2021,UKJ14,3,1.61
